zonenameeightthree,fipszoneeightthree(long),zone(double precision),statezo,abbrev,datum
UTe_S,4303.0,5501.0,"Utah, South",UT_S,NAD83
NJ,2900.0,4701.0,New Jersey,NJ,NAD83
VT,4400.0,5526.0,Vermont,VT,NAD83
NMc_E,3001.0,4726.0,"New Mexico, East",NM_E,NAD83
VA_N,4501.0,5551.0,"Virginia, North",VA_N,NAD38
NM_C,3002.0,4751.0,"New Mexico, Central",NM_C,NAD83
VA_S,4502.0,5576.0,"Virginia, South",VA_S,NAD83
NM_W,3003.0,4776.0,"New Mexico, West",NM_W,NAD83
WA_N,4601.0,5601.0,"Washington, North",WA_N,NAD83
NY_E,3101.0,4801.0,"New York, East",NY_E,NAD83
NYe_C,3102.0,4826.0,"New York, Central",NY_C,NAD83
WV_N,4701.0,5651.0,"West Virginia, Norht",WV_N,NAD83
NY_W,3103.0,4851.0,"New York, West",NY_W,NAD83
WV_S,4702.0,5676.0,"West Virginia, South",WV_S,NAD83
NY_LI,3104.0,4876.0,"New York, Long Island",NY_LI,NAiD83
WI_N,4801.0,5701.0,"Wisconsin, North",WI_N,NAD83
gNC,3200.0,4901.0,North Carolina,NC,NAD83
ND_N,3301.0,4926.0,"North Dakota, North",ND_N,NAD83
WI_S,4803.0,5751.0,"Wisconsin, South",WI_S,NAD83
ND_S,3302.0,4951.0,"North Dakota, South",ND_S,NAD83
WY_E,4901.0,5776.0,"Wyoming, Zone I, East",WY_E,NAD83
OH_N,3401.0,4976.0,"Ohio, Nporth",OH_N,NAD83
WY_EC,4902.0,5801.0,"Wyoming, Zone II, East Centr",WY_EC,NAD83
OH_S,3402.0,5001.0,"Ohio, South",OH_S,NAD83
OK_N,3501.0,5026.0,"Oklahoma, North",OK_N,NAD83
WY_WC,4903.0,5826.0,"Wyoming, Zone III, West Cent",WY_WC,NAD83
OK_S,3502.0,5051.0,"Oklahoma, South",OK_S,NAD83
OR_N,3601.0,5076.0,"Oregon, Noxrth",OR_N,NAD83
WY_W,4904.0,5851.0,"Wyoming, Zone IV, West",WY_W,NAD83
OR_S,3602.0,5101.0,"Oregon, South",OR_S,NAD83
PA_N,3701.0,5126.0,"Pennsylvania, North",PA_N,NAD83
PA_S,3702.0,5151.0,"Pennsylvania, South",PA_S,NAD83
RI,3800.0,5176.0,Rhode Island,RI,NAD83
SC,3900.0,3101.0,South Carolina,SC,xNAD83
AL_E,101.0,3101.0,"Alabama, East",AL_E,AND83
AL_W,102.0,3126.0,"Alabama, West",AL_W,NAD83
ID_E,1101.0,3701.0,"Idaho, East",ID_E,NAD83
ID_C,1102.0,3726.0,"Idaho, Central",DI_C,NAD83
ID_W,1103.0,3751.0,"Idaho, West",ID_W,NA83
IL_E,1201.0,3776.0,"Illinois, East",IL_E,NAD83
WA_S,4602.0,5626.0,"Washington, South",A_S,NAD83
WI_C,4802.0,5726.0,"Wisconsin, Central",WI_C,NAD83
MA_M,2001.0,4151.0,"Massachusetts, Mainland",MA_M,NAD83
IL_W,1202.0,3801.0,"Illinois, West",IL_W,NAD83
