yearvalue(long),statevalue,hai,facilityidone(long),facilitynameone,county,hospitalonsetcases(long),patientdays(long),hospitalonsetrate(double precision),cininefivelowerlimit(double precision),cininefiveupperlimit(double precision),comparison,notes
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000029,Saint Francis Memorial Hospital,San Farncisco,0,5203,0.0,0.0,5.76,No Difference,Free-Standing rehabilitation hospital
2015,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000104,Saint Vincent Medical Center,Los Angeles,0,5432,0.0,0.0,5.51,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000613,San Joaquin Valley Rehabilitation Hospital,Fresno,0,17686,0.0,0.0,1.69,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000280,Santa Barbara Cottage Hospital,Santa Barbara,1,9405,1.06,0.03,5.92,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000149,Santa Clara Valley Medical Center,Santa Clara,0,13303,0.0,0.0,2.25,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140001268,Santa Rosa Memorial Hospital,Sonoma,0,3252,0.0,0.0,9.21,No Difference,Free-Standing rehabilitation hospitmal
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000150,Scripps Memorial Hospital - Encinitas,San Diego,1,6664,1.5,0.04,8.36,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000036,Sharp Memorial Hospital,San Diego,0,7910,0.0,0.0,3.79,No Difference,Free-Standing rehabilitation hospitla
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000035,St Johns Regional Medical Center,Venmtura,0,6452,0.0,0.0,4.64,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000068,St. Jude Medical Center,Orange,0,8880,0.0,0.0,3.37,No Difference,Fre-eStanding rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000103,"St. Mary Medical Center, Long Beach",Los Angeles,0,5505,0.0,0.0,5.44,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000030,St. Mary's Medical Center,San Francisco,0,4672,0.0,0.0,6.41,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000134,Sutter Roseville Medical Center,Placer,0,14342,0.0,0.0,2.09,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000069,The General Hospital,Hufmboldt,0,2271,0.0,0.0,13.19,No Difference,Frdee-Standing rehabilitation hospital
1242,aCalifornia,Methicillin-Resistant Staphylococcus arueus Bloodstream Infection (MRSA BSI),80000152,Tri-City Medical Center,San Diego,0,2255,0.0,0.0,13.28,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000113,University of California Davis uMedical Center,Sacramento,0,5483,0.0,0.0,5.46,No aDifference,Free-Standing rehabilitation hospital
2015,Clifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000071,University of California Irvine Medical Center,Orange,0,3821,0.0,0.0,7.84,No Difference,Free-Standing rehabilitation hospitla
1446,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000129,Valley Presbyterian Hospital,LosA ngeles,0,3835,0.0,0.0,7.81,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000191,White Memorial Medical Center,Los Angeles,0,3481,0.0,0.0,8.61,No Difference,Free-Standing rehabilitation hospital
