name,streetaddress,city,state,zipcode,latitude,longitude,localizability,datasourcename,datasourceurl,primarykeyfromrocket,assettype
Giant Eagle #0004,5055 Library  Road,Bethel Park,PA,15102,40.3389236351549,-80.0254781207211,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2154,supermarkets
Giant Eagle #65,4110 Brighton Road,Pittsburgh,PA,15212,40.4892632674544,-80.0434660161438,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2050,supermarkets
Giant Eagle #45,225 Blazier Dr,Pittsburgh,PA,15237,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2051,supermarkets
Sam's Club #6575,249 Summit Park Drive,Pittsburgh,PA,15275,40.4495538766619,-80.1779904349046,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55897,supermarkets
Giant Eagle #0052,132 Ben Avon Heights Rd,Pittsburgh,PA,15237,40.5216393149771,-80.0691386522503,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57792,supermarkets
Giant Eagle #0073,9901 Mountain View  Drive,West Mifflin,PA,15122,40.3396577028123,-79.9497507234932,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56268,supermarkets
Murray Avenue Kosher,1912 Murray  Avenue,Pittsburgh,PA,15217,40.4355414383475,-79.9231754772003,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56065,supermarkets
Giant Eagle #646,51 Walsh Road,Pittsburgh,PA,15205,40.4405981739094,-80.0720081639852,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55556,supermarkets
Giant Eagle #17,6320 Shakespeare St,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1878,supermarkets
Giant Eagle #38,1901 Murray Avenue,Pittsburgh,PA,15217,40.4356644808696,-79.9225606363348,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1880,supermarkets
Giant Eagle #63,4250  Murray Ave,Pittsburgh,PA,15217,40.422252855852,-79.9294231858365,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1881,supermarkets
Robert Wholey Co,1711 Penn Avenue,Pittsburgh,PA,15222,40.4501010031256,-79.9858632975096,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1795,supermarkets
Giant Eagle #60,4010 Monroeville Boulevard,Monroeville,PA,15146,40.432094206355,-79.7726641316603,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57877,supermarkets
Wal-Mart Super Center #2300,250 Summit Park Drive,Pittsburgh,PA,15275,40.4472891084208,-80.1762439814093,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55920,supermarkets
Giant Eagle #695,200 Allegheny River Boulevard,Verona,PA,15147,40.4992344638881,-79.8444725515873,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47614,supermarkets
Giant Eagle #2,1800 McKees Rocks Rd,Mc Kees Rocks,PA,15136,40.4677890700157,-80.0976432288596,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,53202,supermarkets
Shop 'n Save Penn Hills ,2820 Universal  Road,Pittsburgh,PA,15235,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47108,supermarkets
Sam's Club #6677,3621 Wm Penn Hwy,Monroeville,PA,15146,40.4364851928196,-79.7995118358429,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51243,supermarkets
Giant Eagle #1691,400 Northtowne  Square,Gibsonia,PA,15044,40.6364706790034,-79.9422997344717,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,49211,supermarkets
Giant Eagle Store #600,2001 Lincoln  Way,Mc Keesport,PA,15131,40.3355093395296,-79.8040198034118,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51792,supermarkets
Donatelli's Italian Food Center,4711 Liberty Avenue,Pittsburgh,PA,15224,40.4621478401123,-79.9493419627557,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43796,supermarkets
Giant Eagle / Market District South Hills #14,7000 Oxford  Drive,Bethel Park,PA,15102,40.3472222182917,-80.0465464537892,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43711,supermarkets
Shop 'n Save,450 56th Street,Pittsburgh,PA,15201,40.4832210796356,-79.9486161713864,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199908020002,supermarkets
Kuhn's Market #4,3125 Banksville Road,Pittsburgh,PA,15216,40.3998001269022,-80.0434513724498,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38483,supermarkets
Shop 'n Save - Pines Plaza ,1130 Perry  Highway,Pittsburgh,PA,15237,40.5479378815443,-80.0355798189684,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44108,supermarkets
Giant Eagle / Market District Waterworks #72,910 Freeport  Road,Pittsburgh,PA,15238,40.4880818184585,-79.8943172227734,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42973,supermarkets
Giant Eagle #641,1025 Washington Pike,Bridgeville,PA,15017,40.3666865453008,-80.1068218666232,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42635,supermarkets
Giant Eagle #67,8080 McKnight Rd / McIntyre Square  Drive,Pittsburgh,PA,15237,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42412,supermarkets
Soergel's Orchards,2573 Brandt School Rd,Wexford,PA,15090,40.6145899641775,-80.0927508851657,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40745,supermarkets
Giant Eagle #605 Elizabeth Township,800 McKeesport  Road,Elizabeth,PA,15037,40.2799239290416,-79.875698354338,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44034,supermarkets
East End Food Co-Op,7516 Meade Street,Pittsburgh,PA,15208,40.448304325157,-79.8957012276635,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40781,supermarkets
Giant Eagle #619,1705 Braddock Avenue,Pittsburgh,PA,15218,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,46832,supermarkets
Patsy's Market,483 Center Avenue,Verona,PA,15147,40.5066864590562,-79.8397324193068,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200008180001,supermarkets
Giant Eagle #6379,420 E Waterfront Dr,Homestead,PA,15120,40.4110092447386,-79.9084912857073,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200002100005,supermarkets
Kuhn's Market,1130 Highwood St,Pittsburgh,PA,15212,40.4683946374744,-80.0266026129949,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35347,supermarkets
Giant Eagle #31,5260  Grove Road,Pittsburgh,PA,15236,40.3573973996838,-80.0022768909744,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,33543,supermarkets
Gordon Food Service,3620 Wm Penn Hwy,Monroeville,PA,15146,40.4320784359189,-79.7996115341044,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611170002,supermarkets
Gordon Food Service Store,1 Urbano Way,Pittsburgh,PA,15205,40.4573716007765,-80.1659936179759,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200710160002,supermarkets
Community Super Market,1117 Milltown Rd,Verona,PA,15147,40.4986513151729,-79.7907203449821,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,262,supermarkets
Leonard Labriola Foods,121 Hulton Road,Verona,PA,15147,40.484548731855,-79.8201127507331,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,253,supermarkets
Gordon Food Service Store ,510 Clairton Blvd,Pittsburgh,PA,15236,40.3338231198288,-79.9470969897752,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611270006,supermarkets
Giant Eagle / Market District Shadyside #40,5550 Centre Avenue,Pittsburgh,PA,15232,40.4566054440019,-79.9343652788186,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912010005,supermarkets
Shop 'n Save,2362 Golden Mile  Highway,Pittsburgh,PA,15239,40.4624461319207,-79.7047653659144,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912060001,supermarkets
Shop 'n Save / Glenshaw #212403,917 Butler  Street,Glenshaw,PA,15116,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200612060006,supermarkets
Wal-Mart Super Center #2281,2351 Century  Drive,West Mifflin,PA,15122,40.3423950830376,-79.9466268875031,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200308190003,supermarkets
Lotus Noodle Co,1649 Penn Avenue,Pittsburgh,PA,15222,40.4497663732215,-79.986426220449,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912230002,supermarkets
Shop 'n Save / Heidelberg,2100 Washington Pike,Carnegie,PA,15106,40.3878912647148,-80.0925646091617,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608300002,supermarkets
Giant Eagle Express #5103,2611 Freeport Road,Pittsburgh,PA,15238,40.5378348108938,-79.838817397384,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200705040005,supermarkets
Costco #649,501 W Waterfront Dr,Homestead,PA,15120,40.4029700093699,-79.9214116735045,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200703140001,supermarkets
Trader Joe's #638,6343 Penn  Avenue,Pittsburgh,PA,15206,40.4591930409335,-79.9192342043347,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200610180001,supermarkets
Shop 'n Save / Rochester,184 Rochester  Road,Pittsburgh,PA,15229,40.5198074269627,-80.0181034349263,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200510120001,supermarkets
Kuhn's Market,745 Ingomar  Road,Ingomar,PA,15127,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200511020009,supermarkets
Shop 'n Save / Noblestown #2412,2103 Noblestown  Road,Pittsburgh,PA,15205,40.4306512290677,-80.0519979037217,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200603230007,supermarkets
Sam's Club #4952,2000 Village Center Drive,Tarentum,PA,15084,40.5658148226346,-79.8042349198677,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601310002,supermarkets
Shop 'n Save #0212404 Imperial,600 Market Place Drive,Oakdale,PA,15071,40.4402026512141,-80.241229135522,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200602230004,supermarkets
Two Louie's Market,1233 Penn Avenue,Pittsburgh,PA,15222,40.4464236673141,-79.9917630571851,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200804240004,supermarkets
