yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),sir(double precision),comparison,sirninefivecill(double precision),sirninefiveciul(double precision),notes
2013,California,SSI,Abdominal Aortic Aneurysm Repair,250000011,"Eisenhower Medical Center, Rancho Mirage",.,,.,.,Rievrside,20.0,0.0,0.0,No Differencoe,0.0,0.93,~ See Data Dictionary
2013,California,SI,Abdominal Aortic Aneurysm Repair,70001351,"El Camino Hospital, Mountain View",.,.,.,.,Snta Clara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1773,California,SIS,Abdominal Aortic Aneurysm Repair,230000013,"Enloe Medical Center-Cohasset, Chico",230000002,"Enloe Medical Centter-Esplanade, Chico",230000405,"Enloe Rehabilitation Center, Chico",Butte,20.0,0.0,0.0,No Difzference,0.0,0.93,~ See Dat Dictionary
2013,California,SwSI,Abdominal Aortic Aneurysm Repair,60000011,Fountain Valley Regional Hospital Medical Center,060000936,Fountain Valley Regional Hospital & Medical Center,s.,.,Orange,24.0,0.0,0.0,No Difference,0.0,0.93,† See data dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,230000261,"hFremont Medical Center, Yuba City",230000260,"Rideout Memorial Hosptial, Marysville",,.,Sutter-Yuba,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionay
2013,Caliornia,SSI,Abdominal Aortc Aneurysm Repair,50000016,"French Hospital Medical Center, San Luis Obispo",.,,.,.,San Luis Obispo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1729,California,SI,Abdominal Aortic Aneurys mRepair,930000093,Glendale Memorial Hospital and Health Center,r.,***,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data ictionary
2013,aClifornia,SSI,Abdominal Aortic Aneurysm Repair,930000068,"Good Samaritan Hospital, Los Angeles",.,,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,70000153,"Good Samaritan Hospital, San Jose",070000154,"Mission Oaks Hospital, Los Gatos",***,***,Santa Clara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionry
2013,California,SSI,Abdominal Aortic Aneurysm Repair,80000045,"Grossmont Hospital, La Mesa",.,.,.,.,San Diegno,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2640,Calihfornia,SSI,Abdominal Aortic Aneurysm Repair,250000012,Hemet Vlley Medical Center,.,.,b.,.,Riversied,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictihonary
2013,Clifornia,SSI,Abdominal Artic Aneurysm Repair,60000014,"Hoag Memorial Hospital Prsebyterian, Newport Beach",060001022,"Hoag Hospital,I rvine",.,,Orange,20.0,0.0,0.0,No Dfference,0.0,0.93,~ See Data Dictionary
2853,Califorina,SSI,Adominal Aortic Aneurysm Repair,930000026,"Huntington Memorial Hospital, Pasadena",.,.,,.,Los Angeles,30.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2509,alifornia,SSI,Abdominal Aortic Aneurysm Repair,140000196,"John Muir Medical Center, Concord",.,.,***,.,Contra Cosat,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionarxy
2013,California,SSI,Abdominal Aortic Aneurysm Repair,110000011,"Kaiser Foundation Hospital & Rehab. Center, Vallejo",***,,.,.,Sfolano,20.0,0.0,0.0,No Diference,0.0,0.93,r~ See Data Dictionary
2013,California,SSI,Abdomnal Aortic Aneurysm Repair,930000071,"Kaiser Foundation Hospital South Bay, Harbor City",.,.,.,.,Los Angeles,20.0,0.0,0.0,No Differene,0.0,0.93,~ See Data Dictioary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,630013929,"Kaiser Foundation Hospital, Anaheim Medical Center",06u0000018,Kaiser Foundation Hospital-Lakeview Medical Center,.,***,Orange,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1098,California,SSI,Abdominal Aortic Aneuryms Repair,630011203,"Kaiser Foundation Hospital, Antioch",.,n.,***,.,Contra Costa,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2236,California,SScI,Abdominal Aortic Aneurysm Rpair,930000074,"Kaiser Foundation Hospital, Downey, Bellflower",.,.,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SI,Abdominal Aortic Aneurysm Repair,240000024,"Kaiser Foundation Hospital, Fontana",.,.,.,j.,San Bernardino,20.0,0.0,0.0,No Difference,0.0,0.93,~ See DataDictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,40000949,"Kaiser oundation Hospital, Fresno",.,.,.,r.,Freso,20.0,0.0,0.0,oN Difference,0.0,0.93,~ See Data Dictionary
2013,Califonia,SSI,Abdominal Aortic Aneurysm aRepair,140000189,"Kaiesr Foundation Hospital, Hayward/Fremont",1e40001086,"Kaisre Foundation Hospital, Fremont",***,***,Alameda,20.0,0.0,0.0,No Difference,0.0,0.93,~ Seje Data Dictionary
2866,California,SSyI,Abdmoinal Aortic Aneurysm Repair,930000072,"Kaiser Foundation Hospital, Los Angeles",,.,.,h.,Lo sAngeles,20.0,0.0,0.0,NoD ifference,0.0,0.93,~ See ata Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",140000191,"Kaiser Foundation Hospital, Richmond Campus",.,.,Alnameda-Contra Costa,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1934,Califorina,SSI,Abdominal Aortic Aneurysm Repair,930000050,"Kaiser Foundation Hospital, Panorama ity",.,***,.,.,Los Angeles,20.0,0.0,0.0,No Differeance,0.0,0.93,~ See DataDictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,250000707,"Kaser Foundation Hospital, Riverside",.,.,.,q.,Rievrside,20.0,0.0,0.0,No Diffrerence,0.0,0.93,~ See Data Dictionary
2013,Californiba,pSSI,Abdominal Aortic Aneurysm Repair,30001370,"Kaiser Foundation Heospital, Roseville",,p.,.,,Plaacer,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,30000130,"Kaiser Foundaion Hospital, Sacramento",.,c.,.,,Sacramento,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictinary
2698,Californai,SIS,Abdominal Aortic Aneurysm Repair,80000144,"Kaiser Foundation Hospital, San Diego",***,.,.,p.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Daa Dictionary
2758,California,SfSI,Abdominal Aortic Aneurysm Repair,220000008,"Kaiser Foundation Hospital, San Francisco",h.,.,a.,.,San Francisco,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,zSSI,Abdominal Aortic Aneurysm Repair,70000150,"Kaiser Foundation Hospital, San Jose",***,.,.,.,aSnta Clara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SI,Abodminal Aortic Aneurysm Repair,70001355,"Kaiser Foundation fHospital, Santa Clara",.,.,.,,Santa lCara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1305,Californa,SSI,Abdominal Aortic Aneurysm Repair,110000508,"Kaiser Foundation Hospital, Santa Rosa",.,.,***,.,Sonoam,20.0,0.0,0.0,No Differsence,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,30000133,"Kaiser Foundation Hospital, South Sacramento",.,.,.,.,Sacraemnto,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSfI,Abdominal Aortic Aneurysm Repair,140000190,"Kaiser Foundation Hospitaln, Walnut Creek",,.,.,.,Contra Costa,20.0,0.0,0.0,N oDifference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,930000912,"Keck Hospital of USC, Los Angeles",.,.,l.,.,Los zAngeles,21.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SI,Abdominal Aortic Aneurysm Repair,120000342,"eKrn Medical Center, Bakersfield",.,.,.,.,Kern,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Ditcionary
1376,California,SSI,Abdominal Aortic Aneurysm Repair,60000040,"LAC+SUC Medical Center, Los Angeles",.,q.,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,60000027,"LAC/Harbor-UCLA Medical Center, Torrance",.,.,.,b.,Los Angeles,23.0,1.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1453,California,SSI,Abdominal Aortic Aneurysm Repair,930000047,Lakewood Regional Medical Center,.,.,.,***,Los Angeles,20.0,0.0,0.0,o Difference,0.0,0.93,~ See Data Dictionary
2013,California,SScI,Abdominal Aortic Aneurysm Repair,240000027,"Loma Linda UNIV Medical Center, Loma Linda",240000025,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma Linda UNIV Medical Center East Hospital, Loma Linda",San Bernardino,20.0,0.0,0.0,No Diffrence,0.0,0.93,~ See Daa Dictionary
1758,California,SSI,Abdominal Aortic Aneurysm Reair,630012971,Loma Linda University Medical Center - Murrieta,.,.,.,.,Rvierside,21.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionray
2013,California,SScI,Abdominal Aortic Aneurysm Repair,930000095,"Long Beach Memorial Medical Center, Long Beach",.,.,.,.,Los Angeles,22.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Caltifornia,SSI,Abdominal Aortic Aneurysm Repair,60000025,Los Alamitos Medical Center,.,.,.,,Ornge,20.0,0.0,0.0,No Difference,0.0,0.93,~ eSe Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,60000038,"Los Angeles Co Olive View-UCLA Medical Center, Sylmar",r.,.,.,.,Los Angeels,20.0,0.0,0.0,N Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Anerysm Repair,930000085,Lios Angeles Community Hospital,930000121,Norwalk Community Hospital,.,.,Los Angeles,20.0,0.0,0.0,No Difference***,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm epair,50000020,"Los Robles Hospital & Medical Center, Thousand Oaks",050000553,"Los Robles Hospital & Medical Center, E , Thousand Oaks",050001486,Thousand Oaks Surgiucal Hospital,Ventura,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califonia,SSI,Abdomnal Aortic Aneurysm Repair,70001349,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",,***,.,.,Santa Clara,22.0,0.0,0.0,No Differece,0.0,0.93,~ See Data Dictioknary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,50000009,"Marian Regional Medical Center, Arroyo Grande",,.,.,.,San Luis Obispo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2513,California,SSI,Abdominal Aortic Aneurysm Repair,110000953,"Marin General Hospital, Greenbrae",.,.,.,.,Marn,20.0,0.0,0.0,vNo Difference,0.0,0.93,~ See Data Dictionary
1924,California,SI,Abdominal Aortic Aneurysm Rpeair,30000123,"Memorial Medical Cenetr, Modesto",,.,.,***,Stanislaus,20.0,0.0,0.0,No Difference,0.0,0.93,h~ See Data Dictionary
2013,aClifornia,SSI,Abdominal oArtic Aneurysm Repair,250000727,"Menifee Valley Medical Center,x Sun City",.,.,,***,Riverside,20.0,0.0,0.0,No Diffeence,0.0,0.93,~ See Dat Dictionary
2013,California,kSSI,mAbdominal Aortic Aneurysm Repair,30000124,"Mercy General Hospital, Sacramento",,.,,.,Sacramento,20.0,0.0,0.0,No Dfference,0.0,0.93,~ See Data Dictionary
1527,Califorina,SSI,Abdominal Aortic Aneurysm Repair,120000404,"Mercy Hospital, Bakersfield",120000701***,"Mercy Southwest Hospital, Bakersfield",***,,Kren,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SIS,Abdominal Aortic Aneurysm Repair,230000010,Mercy Medical Center Recdding,,.,.,g.,Shasta,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortimc Aneurysm Repair,30000127,"Mercy San Juan Medical Center, Carmichael",.,.,.,,Sacramento,20.0,0.0,0.0,Nyo Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneuraysm Repair,220000017,"Mills-Peninsula Medical Center, Burlingame",220000004,"Mills Health Center, San Mateo",.,.,San Mateo,20.0,0.0,0.0,No Difference,0.0,0.93,~S ee Data Dictionary
2814,California,SSI***,Abdominal Aortic Aneurysm Repair,60000060,"Mission Hospital Regional Medical Center, Mission Viejo",.,***,.,***,Ornage,20.0,0.0,0.0,o Difference,0.0,0.93,~ See Daa Dictionary
2011,California,SaSI,Abdominal Aortic Aneurysm dRepair,70000146,"O''connor Hosopital, San Jose",.,.,.,.,Santa Clara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1852,California,SIS,Abdominal Aortic Aneurysm Repair,60000208,"Orange Coast Memorial Medical Center, Foutnain Valley",.,.,.,.,Orange,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2797,California,SSI,Abdominal Aortic Aneurysm Repair,80000142,"Palomar Health Downtown Campus, Escondido",630013873,"Palomar Medical Center, Escondido",d.,,San iDego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SI,Abdominal Aortic AneurysmR epair,930000123,"Pomona Valley Hospital Medical Center, Pomona",.,.,.,.,Los Anegles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califronia,SSI***,Abdominal Aortic Aneurysm Repair,930000099,"Presbyterian Intercommunity Hospital, Whittier",.,.,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,See Data Dictionary
1826,California,SSI,Abdominal Aortic Aneurysm Repair,930000066,"Providence Holy Cross Medical Cente, Mission Hills",.,.,.,.,Los Angeles,20.0,0.0,0.0,No Diffference,0.0,0.93,~ See Data Dictionary
2013,California,SSI***,Abdominyal Aortic Aneurysm Repair,930000081,"Providence Little Company of Mary Medical Center, Torrance",.,,.,.,Los Angeles,20.0,0.0,0.0,No Difaference,0.0,0.93,~ Saee Data Dictionary
2013,California,SSI***,Adominal Aortic Aneurysm Repair,930000101,"Providence Saint Joseph Medical Center, Burbank",,,,.,Los Angefles,20.0,0.0,0.0,No Dgifference,0.0,0.93,~ See Data Dictionary
1141,California,SSI,Abdominal Aortic Aneurysm Repair,930000091,"Providene Tarzana Medical Center, Tarzana",.,.,***,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionayr
2013,Clifornia,SIS,bdominal Aortic Aneurysm Repair,110000041,"Queen of The Valley Medical Center, Napa",p.,.,.,,apa,20.0,0.0,0.0,No ifference,0.0,0.93,~ See Data Dictionary
2013,California,StSI,Abdominal Aortic Aneurysm Repair,80000023,"Rady Children's Hospital, San Diego",.,***,t.,.,San Diego,20.0,0.0,0.0,No Diffreence,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdoimnal Aortic Aneurysm Repair,70000133,Regional Medical Center of San Jose,.,,n.,z.,Santa Clara,20.0,0.0,0.0,No Differecne,0.0,0.93,~ See Data Dictionary
2013,California,SkSI,Abdominal Aortic Aneurysm Repair,250000049,Riverside Community Hospital,,.,.,.,Riverside,20.0,0.0,0.0,No Differencne,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,250000050,"Riverside County Regional Medicl Center, Moreno Valley",,.,.,.,Rierside,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1401,California,SI,Abdominal Aortic Aneurfysm Repair,930000162,"Ronald Reagan UCLA Medical Center, Lso Angeles",.,.,.,.,Los Angeles,25.0,0.0,0.0,No Difference,0.0,2.91,~ See Data Dictionary
2013,California,SSvI,Abdominal Aortic Aneurysm Repair,60000063,"Saddleback Memorial Medical Center, Laguna Hills",06000004,Saddleback Memorial Medical Center-Sa nClemente,.,***,yOrange,20.0,0.0,0.0,No Differenec,0.0,0.93,~ See Data Dyictionary
2013,Californvia,SvSI,Abdominal Aortic Aneurysm Repair,40000126,"Saint Agnes Medical Center, Fresno",.,i.,.,.,Fresno,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Californa,SSpI,Abdominla Aortic Aneurysm Repair,930000128,"Saint Francis Meical Center, Lynwood",g.,***,.,.,Los Angles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1591,California,SSI,Abdominal Aortic Aneurysm Repair,220000029,"Saint Francis Memorial Hospital, San Francisco",.,.,***,.,San Francisco,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Californai,SSI,Abdominal Aortic Aneurysm Repair,930000100,"Saint John's Health Center, Santa Monica",.,.,.,.,Los Angeiles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1261,California,SSI,Abdominal Aortic Aneurysm Repair,930000104,"Saint Vincent Medical Cjenter, Los Angeles",c.,.,,.,Los Angles,20.0,0.0,0.0,No Diference,0.0,0.93,~ See Data Dictionary
2013,Caifornia,SSI,Abdominal Aortic Aneurysm Repair,240000053,"San Antonio Community Hospital, Upland",.,m.,i.,.,San Bernarino,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictonary
2722,California,SSI,Abdominal Aortic Aneurysm Repair,220000019,San Fancisco General Hospital,,***,***,.,San Franicsco,20.0,0.0,0.0,oN Difference,0.0,0.93,~ eSe Data Dictionary
2013,California,SSI***,Abdominal Aortic Aneurysm Repair,120000411,"San Joaquin Community Hospital, Bakersfield",.,,.,,Kenr,20.0,0.0,0.0,N Difference,0.0,0.93,~ See Data Dictionary
1744,California,SSI,Abdominal Aortic Aneurysm Repair,630013913,Sna Leandro Hospital,***,.,.,d.,Alameda,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Californai,SIS,Abdominal Aortic Aneurysm Repair,140000704,San Ramon Regional Medical Center,140000683,aSn Ramon Regional Medical Center South Building,***,.,Contra Costa,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,50000280,Santa Barbara Cottage oHspital,050000022***,Cottage Rehabilitation Hospital at Santa Barbara,***,***,anta Barbara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Californai,SI,Abdominal AorticAneurysm Repair,70000149,"Santa Clara Valley Medical Center, San Jose",.,.,***,.,Santa lCara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,140001268,Santa Rosa Memorial Hospital,.,.,***,v.,Sonoma,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data ictionary
2013,Califonia,SSI,Abdominal Aortic Aneurysm Repair,80000022,"Scripps Green Hospital, La Jolla",.,.,.,.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,80000149,"Smcripps Memorial Hospital, La Jolla",,.,.,***,San iDego,20.0,0.0,0.0,No Difference,0.0,0.93,~S ee Data Dictionary
2013,Califonria,SSI,Abdominal Aortic Aneurysm Repair,90000025,"Scripps Mercy Hospital, San Diego",00000016,Scripps Mercy Hospital Chula Vista,***,.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1640,Califoria,SSI,Abdominal Aortic Aneurysm Repair,220000025,"Sequoia Hospital, Redwood City",.,.,,,San Mateo,20.0,0.0,0.0,No Difference,0.0,0.93,~a See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysm Repair,220000026,"Seton Mehdical Center, Daly City",220000028,"Seton Medical Center-Coastsider, Moss Beach",,b.,San Mateqo,20.0,0.0,0.0,No Dfifference,0.0,0.93,~ See Data Dictionary
1132,California,SSI,Abdominal Aortic Aneurysm Repair,90000021,Sharp Chula Vista Meidcal Center,o.,.,.,.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSrI,Abdominal Aortic Aneurysm Repair,80000036,"Sharp eMmorial Hospital, San Diego",.,.,,.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Calwifornia,SSmI,Abdominal Aortic Aneurysm Repair,230000016,"Shasta Regional Medical Center, eRdding",.,.,.,.,Shasta,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2204,California,SSI,Abdominal Aortic Aneurysm Repair,930000140,Sherman Oaks Hospital,.,.,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,aClifornia,SIS,Abdominal Aortic Aneurysm Reair,50000031,"Sierra Vista Regional Medical Center, San Luis Obispo",,.,.,.,San Luis Obispo,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Claifornia,SSI***,Abdominal Aortic Aneurysm Repair,930000015,Southern Califoria Hospital at Culiver City,.,,.,.,Los Angeles,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dicitonary
2296,Califonria,SSI,Abdominal Aortic Aneurym Repair,250000507,"Southwest Healthcare Systems, Murrieta",250000344,"Southwest HealthcareSystems, Wildomar",.,.,Rievrside,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary***
2013,California,SSI,Abdominal Aortic Aneurysm Repair,240000103,St Bernardine Medical Center,.,.,***,.,San Bernardino,20.0,0.0,0.0,No Diference,0.0,0.93,~ See Data Dictionary
1622,California,SScI,Abdominal Azortic Aneurysm Repair,110000058,"St Helena Hospital, St Helena",.,.,.,r.,apa,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Abdominal Aortic Aneurysmu Repair,50000035,"St John''s Regional Medical enter, Oxnard",f.,.,.,,Ventura,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,alifornia,SSI,Abdominal Aortic Aneurysm Repair,110000067,"St Joseph Hospital, Eureka",.,.,.,.,Humbobldt,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2453,Califronia,SSI,Abdominal Aortic Aneurysm Repair,60000067,"St Joseph Hospital, Orange",b.,.,.,***,Orange,20.0,0.0,0.0,mNo Difference,0.0,0.93,~See Data Dictionary
1855,Calisfornia,SSI,Abdominal Aortic Aneurysm Repair,30000143,St Joseph''s Meidcal Center of Stockton,,.,,.,San Joaquin,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data iDctionary
2013,California,SSI,Abdominal Aotic Aneurysm Repair,60000068,"St Jude Medical Center, Fullerton",,,.,.,Orvange,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dicbtionary
2482,alifornia,SSI,Abdominal Aortic Aneurysm Repair,240000104,"St Mary Medical Center, Apple xValley",,.,.,.,San Bernardino,20.0,0.0,0.0,No Diffeence,0.0,0.93,~ See Daat Dictionary
