full_street_name,street_name,street_type,post_direction
01ST ST,ANSON,PL,NULL
08TH AVE,ANTHONY,ST,NULL
05TH AVE,ANTONIO,ST,NULL
01ST ST,ANZA,AVE,NULL
ANZA ST,ANZA,ST,NULL
ANZAVISTA AVE,ANZAVISTA,AVE,NULL
02ND ST,APOLLO,ST,NULL
APPAREL WAY,APPAREL,WAY,NULL
05TH TI ST,APPLETON,AVE,NULL
05TH AVE,APPLETON,ST,NULL
02ND ST,APTOS,AVE,NULL
AQUAVISTA WAY,AQUAVISTA,WAY,NULL
ARAGO ST,ARAGO,ST,NULL
05TH ST,ARBALLO,DR,NULL
13TH ST,ARBOL,LN,NULL
12TH AVE,ARBOR,ST,NULL
05TH AVE,ARCH,ST,NULL
ARCO WAY,ARCO,WAY,NULL
01ST ST,ARDATH,CT,NULL
02ND ST,ARDENWOOD,WAY,NULL
02ND AVE,ARELIOUS WALKER,DR,NULL
08TH TI ST,ARELLANO,AVE,NULL
02ND AVE,ARGENT,ALY,NULL
05TH TI ST,ARGONAUT,AVE,NULL
19TH ST,ARGUELLO,BLVD,NULL
05TH AVE,ARKANSAS,ST,NULL
01ST ST,ARLETA,AVE,NULL
ARLINGTON ST,ARLINGTON,ST,NULL
10TH TI ST,ARMISTEAD,RD,NULL
05TH AVE,ARMORY,DR,NULL
ARMSTRONG AVE,ARMSTRONG,AVE,NULL
08TH TI ST,ARNOLD,AVE,NULL
01ST ST,ARROYO,WAY,NULL
01ST ST,ARTHUR,AVE,NULL
02ND ST,ASH,ST,NULL
05TH AVE,ASHBURTON,PL,NULL
02ND AVE,ASHBURY,ST,NULL
14TH ST,ASHBURY,TER,NULL
01ST ST,ASHTON,AVE,NULL
ASHWOOD LN,ASHWOOD,LN,NULL
09TH ST,ASPEN,CT,NULL
04TH AVE,ATALAYA,TER,NULL
ATHENS ST,ATHENS,ST,NULL
02ND TI ST,ATOLL,CIR,NULL
01ST ST,ATTRIDGE,ALY,NULL
AUBURN ST,AUBURN,ST,NULL
01ST ST,AUGUST,ALY,NULL
02ND AVE,AUGUSTA,ST,NULL
04TH AVE,AUSTIN,ST,NULL
02ND ST,AUTO,DR,NULL
01ST ST,AUTOMOBILE,DR,NULL
AVALON AVE,AVALON,AVE,NULL
AVENUE B,AVENUE B,NULL,NULL
04TH AVE,AVENUE C,NULL,NULL
03RD TI ST,AVENUE D,NULL,NULL
02ND AVE,AVENUE E,NULL,NULL
04TH AVE,AVENUE F,NULL,NULL
AVENUE H,AVENUE H,NULL,NULL
AVENUE I,AVENUE I,NULL,NULL
05TH ST,AVENUE M,NULL,NULL
AVENUE N,AVENUE N,NULL,NULL
03RD TI ST,AVENUE OF THE PALMS,NULL,NULL
AVERY ST,AVERY,ST,NULL
01ST ST,AVILA,ST,NULL
02ND ST,AVOCA,ALY,NULL
02ND ST,WURSTER,LN,NULL
05TH TI ST,AVON,WAY,NULL
03RD AVE,AZTEC,ST,NULL
BACHE ST,BACHE,ST,NULL
BACON ST,BACON,ST,NULL
BADEN ST,BADEN,ST,NULL
BADGER ST,BADGER,ST,NULL
02ND ST,BAKER,CT,NULL
BAKER ST,BAKER,ST,NULL
BALANCE ST,BALANCE,ST,NULL
04TH AVE,BALBOA,ST,NULL
BALCETA AVE,BALCETA,AVE,NULL
02ND AVE,BALDWIN,CT,NULL
BALHI CT,BALHI,CT,NULL
02ND TI ST,BALMY,ST,NULL
05TH AVE,BALTIMORE,WAY,NULL
BANBURY DR,BANBURY,DR,NULL
BANCROFT AVE,BANCROFT,AVE,NULL
04TH AVE,BANK,ST,NULL
BANKS ST,BANKS,ST,NULL
02ND AVE,BANNAN,PL,NULL
14TH TI ST,BANNEKER,WAY,NULL
05TH AVE,BANNOCK,ST,NULL
06TH ST,BARCELONA,AVE,NULL
01ST ST,BARNARD,AVE,NULL
BARNEVELD AVE,BARNEVELD,AVE,NULL
BARRY CT,BARRY,CT,NULL
BARTLETT ST,BARTLETT,ST,NULL
12TH AVE,BARTOL,ST,NULL
08TH AVE,BASS,CT,NULL
BATTERY ST,BATTERY,ST,NULL
BATTERY BLANEY RD,BATTERY BLANEY,RD,NULL
BATTERY CAULFIELD RD,BATTERY CAULFIELD,RD,NULL
BATTERY CHAMBERLIN RD,BATTERY CHAMBERLIN,RD,NULL
BATTERY CRANSTON RD,BATTERY CRANSTON,RD,NULL
BATTERY CROSBY RD,BATTERY CROSBY,RD,NULL
BATTERY DYNAMITE RD,BATTERY DYNAMITE,RD,NULL
BATTERY EAST RD,BATTERY EAST,RD,NULL
BATTERY SAFFORD RD,BATTERY SAFFORD,RD,NULL
BATTERY WAGNER RD,BATTERY WAGNER,RD,NULL
BAXTER ALY,BAXTER,ALY,NULL
BAY ST,BAY,ST,NULL
BAY SHORE BLVD,BAY SHORE,BLVD,NULL
BAY SHORE BLVD OFF RAMP,BAY SHORE BLVD OFF,RAMP,NULL
BAY SHORE BLVD ON RAMP,BAY SHORE BLVD ON,RAMP,NULL
BAY VIEW ST,BAY VIEW,ST,NULL
BAYSIDE DR,BAYSIDE,DR,NULL
BAYSIDE VILLAGE PL,BAYSIDE VILLAGE,PL,NULL
BAYVIEW CIR,BAYVIEW,CIR,NULL
BAYVIEW PARK RD,BAYVIEW PARK,RD,NULL
BAYWOOD CT,BAYWOOD,CT,NULL
BEACH ST,BEACH,ST,NULL
BEACHMONT DR,BEACHMONT,DR,NULL
BEACON ST,BEACON,ST,NULL
BEALE ST,BEALE,ST,NULL
BEATRICE LN,BEATRICE,LN,NULL
BEAUMONT AVE,BEAUMONT,AVE,NULL
BEAVER ST,BEAVER,ST,NULL
BECKETT ST,BECKETT,ST,NULL
BEDFORD PL,BEDFORD,PL,NULL
BEEMAN LN,BEEMAN,LN,NULL
BEHR AVE,BEHR,AVE,NULL
BEIDEMAN ST,BEIDEMAN,ST,NULL
BELCHER ST,BELCHER,ST,NULL
BELDEN ST,BELDEN,ST,NULL
BELGRAVE AVE,BELGRAVE,AVE,NULL
BELL CT,BELL,CT,NULL
BELLA VISTA WAY,BELLA VISTA,WAY,NULL
BELLAIR PL,BELLAIR,PL,NULL
BELLE AVE,BELLE,AVE,NULL
BELLES ST,BELLES,ST,NULL
BELLEVUE AVE,BELLEVUE,AVE,NULL
BELMONT AVE,BELMONT,AVE,NULL
BELVEDERE ST,BELVEDERE,ST,NULL
BEMIS ST,BEMIS,ST,NULL
BENGAL ALY,BENGAL,ALY,NULL
BENNINGTON ST,BENNINGTON,ST,NULL
BENTON AVE,BENTON,AVE,NULL
BEPLER ST,BEPLER,ST,NULL
BERCUT ACCESS RD,BERCUT ACCESS,RD,NULL
BERGEN ALY,BERGEN,ALY,NULL
BERKELEY WAY,BERKELEY,WAY,NULL
BERKSHIRE WAY,BERKSHIRE,WAY,NULL
BERNAL HEIGHTS BLVD,BERNAL HEIGHTS,BLVD,NULL
BERNARD ST,BERNARD,ST,NULL
BERNICE ST,BERNICE,ST,NULL
BERNICE RODGERS WAY,BERNICE RODGERS,WAY,NULL
BERRY ST,BERRY,ST,NULL
BERRY EXTENSION ST,BERRY EXTENSION,ST,NULL
BERTHA LN,BERTHA,LN,NULL
BERTIE MINOR LN,BERTIE MINOR,LN,NULL
BERTITA ST,BERTITA,ST,NULL
BERWICK PL,BERWICK,PL,NULL
BESSIE ST,BESSIE,ST,NULL
BEULAH ST,BEULAH,ST,NULL
BEVERLY ST,BEVERLY,ST,NULL
BIGELOW CT,BIGELOW,CT,NULL
BIGLER AVE,BIGLER,AVE,NULL
BIRCH ST,BIRCH,ST,NULL
BIRCHWOOD CT,BIRCHWOOD,CT,NULL
BIRD ST,BIRD,ST,NULL
BIRMINGHAM RD,BIRMINGHAM,RD,NULL
BISHOP ST,BISHOP,ST,NULL
BITTING AVE,BITTING,AVE,NULL
BLACK PL,BLACK,PL,NULL
BLACKSTONE CT,BLACKSTONE,CT,NULL
BLAIR TER,BLAIR,TER,NULL
BLAIRWOOD LN,BLAIRWOOD,LN,NULL
BLAKE ST,BLAKE,ST,NULL
BLANCHE ST,BLANCHE,ST,NULL
BLANDY ST,BLANDY,ST,NULL
BLANKEN AVE,BLANKEN,AVE,NULL
BLATCHFORD LN,BLATCHFORD,LN,NULL
BLISS CT,BLISS,CT,NULL
BLISS RD,BLISS,RD,NULL
BLUXOME ST,BLUXOME,ST,NULL
BLYTHDALE AVE,BLYTHDALE,AVE,NULL
BOALT ST,BOALT,ST,NULL
BOARDMAN PL,BOARDMAN,PL,NULL
BOB KAUFMAN ALY,BOB KAUFMAN,ALY,NULL
BOCANA ST,BOCANA,ST,NULL
BONIFACIO ST,BONIFACIO,ST,NULL
BONITA ST,BONITA,ST,NULL
BONNIE BRAE LN,BONNIE BRAE,LN,NULL
BONVIEW ST,BONVIEW,ST,NULL
BORICA ST,BORICA,ST,NULL
BOSWORTH ST,BOSWORTH,ST,NULL
BOUTWELL ST,BOUTWELL,ST,NULL
BOWDOIN ST,BOWDOIN,ST,NULL
BOWLEY CT,BOWLEY,CT,NULL
BOWLEY ST,BOWLEY,ST,NULL
BOWLING GREEN DR,BOWLING GREEN,DR,NULL
BOWMAN CT,BOWMAN,CT,NULL
BOYD ST,BOYD,ST,NULL
BOYLSTON ST,BOYLSTON,ST,NULL
BOYNTON CT,BOYNTON,CT,NULL
BRADFORD ST,BRADFORD,ST,NULL
BRADY ST,BRADY,ST,NULL
BRANNAN ST,BRANNAN,ST,NULL
BRANT ALY,BRANT,ALY,NULL
BRAZIL AVE,BRAZIL,AVE,NULL
BREEN PL,BREEN,PL,NULL
BRENTWOOD AVE,BRENTWOOD,AVE,NULL
BRET HARTE TER,BRET HARTE,TER,NULL
BREWSTER ST,BREWSTER,ST,NULL
BRICE TER,BRICE,TER,NULL
BRIDGEVIEW DR,BRIDGEVIEW,DR,NULL
BRIDGEVIEW WAY,BRIDGEVIEW,WAY,NULL
BRIGHT ST,BRIGHT,ST,NULL
BRIGHTON AVE,BRIGHTON,AVE,NULL
BRITTON ST,BRITTON,ST,NULL
BROAD ST,BROAD,ST,NULL
BROADMOOR DR,BROADMOOR,DR,NULL
BROADWAY,BROADWAY,NULL,NULL
BRODERICK ST,BRODERICK,ST,NULL
BROMLEY PL,BROMLEY,PL,NULL
BROMPTON AVE,BROMPTON,AVE,NULL
BRONTE ST,BRONTE,ST,NULL
BROOK ST,BROOK,ST,NULL
BROOKDALE AVE,BROOKDALE,AVE,NULL
BROOKHAVEN LN,BROOKHAVEN,LN,NULL
BROOKLYN PL,BROOKLYN,PL,NULL
BROOKS ST,BROOKS,ST,NULL
BROSNAN ST,BROSNAN,ST,NULL
BROTHERHOOD WAY,BROTHERHOOD,WAY,NULL
BROWN ST,BROWN,ST,NULL
BRUCE AVE,BRUCE,AVE,NULL
BRUMISS TER,BRUMISS,TER,NULL
BRUNSWICK ST,BRUNSWICK,ST,NULL
BRUSH LN,BRUSH,LN,NULL
BRUSH PL,BRUSH,PL,NULL
BRUSSELS ST,BRUSSELS,ST,NULL
BRYANT ST,BRYANT,ST,NULL
BUCARELI DR,BUCARELI,DR,NULL
BUCHANAN ST,BUCHANAN,ST,NULL
BUCKINGHAM WAY,BUCKINGHAM,WAY,NULL
SAN FRANCISCO GOLF CLUB RD,SAN FRANCISCO GOLF CLUB,RD,NULL
VICHA RATANAPAKDEE WAY,VICHA RATANAPAKDEE,WAY,NULL
BUENA VISTA TER,BUENA VISTA,TER,NULL
BURGOYNE ST,BURGOYNE,ST,NULL
BURKE AVE,BURKE,AVE,NULL
BURLWOOD DR,BURLWOOD,DR,NULL
BURNETT AVE,BURNETT,AVE,NULL
JEFF ADACHI WAY,JEFF ADACHI,WAY,NULL
BURNS PL,BURNS,PL,NULL
BURNSIDE AVE,BURNSIDE,AVE,NULL
BURR AVE,BURR,AVE,NULL
BURRITT ST,BURRITT,ST,NULL
BURROWS ST,BURROWS,ST,NULL
BUSH ST,BUSH,ST,NULL
BUTTE PL,BUTTE,PL,NULL
BYRON CT,BYRON,CT,NULL
BYXBEE ST,BYXBEE,ST,NULL
C ST,C,ST,NULL
CABRILLO ST,CABRILLO,ST,NULL
CADELL PL,CADELL,PL,NULL
CAINE AVE,CAINE,AVE,NULL
CAIRE TER,CAIRE,TER,NULL
CALEDONIA ST,CALEDONIA,ST,NULL
CALGARY ST,CALGARY,ST,NULL
CALHOUN TER,CALHOUN,TER,NULL
CALIFORNIA AVE,CALIFORNIA,AVE,NULL
CALIFORNIA ST,CALIFORNIA,ST,NULL
CALVERT DR,CALVERT,DR,NULL
CAMBON DR,CAMBON,DR,NULL
CAMBRIDGE ST,CAMBRIDGE,ST,NULL
CAMELLIA AVE,CAMELLIA,AVE,NULL
CAMEO WAY,CAMEO,WAY,NULL
CAMERON WAY,CAMERON,WAY,NULL
CAMP ST,CAMP,ST,NULL
LONG BRIDGE VARA,LONG BRIDGE VARA,NULL,NULL
CAMPBELL AVE,CAMPBELL,AVE,NULL
CAMPTON PL,CAMPTON,PL,NULL
CAMPUS LN,CAMPUS,LN,NULL
CAMPUS WAY,CAMPUS,WAY,NULL
CANBY LN,CANBY,LN,NULL
CANBY ST,CANBY,ST,NULL
CANDLESTICK COVE WAY,CANDLESTICK COVE,WAY,NULL
CANDLESTICK POINT SRA,CANDLESTICK POINT SRA,NULL,NULL
CANYON DR,CANYON,DR,NULL
CAPISTRANO AVE,CAPISTRANO,AVE,NULL
CAPITOL AVE,CAPITOL,AVE,NULL
CAPP ST,CAPP,ST,NULL
CAPRA WAY,CAPRA,WAY,NULL
CARD ALY,CARD,ALY,NULL
CARDENAS AVE,CARDENAS,AVE,NULL
CARGO WAY,CARGO,WAY,NULL
CARL ST,CARL,ST,NULL
CARMEL ST,CARMEL,ST,NULL
CARMELITA ST,CARMELITA,ST,NULL
CARNELIAN WAY,CARNELIAN,WAY,NULL
CAROLINA ST,CAROLINA,ST,NULL
CARPENTER CT,CARPENTER,CT,NULL
CARR ST,CARR,ST,NULL
CARRIE ST,CARRIE,ST,NULL
CARRIZAL ST,CARRIZAL,ST,NULL
CARROLL AVE,CARROLL,AVE,NULL
CARSON ST,CARSON,ST,NULL
CARTER ST,CARTER,ST,NULL
CARVER ST,CARVER,ST,NULL
CASA WAY,CASA,WAY,NULL
CASCADE WALK,CASCADE,WALK,NULL
CASE ST,CASE,ST,NULL
CASELLI AVE,CASELLI,AVE,NULL
CASHMERE ST,CASHMERE,ST,NULL
CASITAS AVE,CASITAS,AVE,NULL
CASSANDRA CT,CASSANDRA,CT,NULL
CASTELO AVE,CASTELO,AVE,NULL
CASTENADA AVE,CASTENADA,AVE,NULL
CASTILLO ST,CASTILLO,ST,NULL
CASTLE ST,CASTLE,ST,NULL
CASTLE MANOR AVE,CASTLE MANOR,AVE,NULL
CASTRO ST,CASTRO,ST,NULL
DR MAYA ANGELOU LN,DR MAYA ANGELOU,LN,NULL
CATHERINE CT,CATHERINE,CT,NULL
CAYUGA AVE,CAYUGA,AVE,NULL
CCSF PARKING LOT,CCSF PARKING LOT,NULL,NULL
CECILIA AVE,CECILIA,AVE,NULL
CEDAR ST,CEDAR,ST,NULL
CEDRO AVE,CEDRO,AVE,NULL
CENTRAL AVE,CENTRAL,AVE,NULL
CENTRAL MAGAZINE RD,CENTRAL MAGAZINE,RD,NULL
CENTURY PL,CENTURY,PL,NULL
CERES ST,CERES,ST,NULL
CERRITOS AVE,CERRITOS,AVE,NULL
CERVANTES BLVD,CERVANTES,BLVD,NULL
CESAR CHAVEZ ST,CESAR CHAVEZ,ST,NULL
CESAR CHAVEZ ON RAMP,CESAR CHAVEZ ON,RAMP,NULL
CHABOT TER,CHABOT,TER,NULL
CHAIN OF LAKES DR,CHAIN OF LAKES,DR,NULL
CHANCERY LN,CHANCERY,LN,NULL
SLOAN ALY,SLOAN,ALY,NULL
CHANNEL ST,CHANNEL,ST,NULL
CHAPMAN ST,CHAPMAN,ST,NULL
CHARLES ST,CHARLES,ST,NULL
CHARLES J BRENHAM PL,CHARLES J BRENHAM,PL,NULL
CHARLTON CT,CHARLTON,CT,NULL
CHARTER OAK AVE,CHARTER OAK,AVE,NULL
CHASE CT,CHASE,CT,NULL
CHATHAM PL,CHATHAM,PL,NULL
CHATTANOOGA ST,CHATTANOOGA,ST,NULL
CHAVES AVE,CHAVES,AVE,NULL
CHENERY ST,CHENERY,ST,NULL
CHERRY ST,CHERRY,ST,NULL
CHESLEY ST,CHESLEY,ST,NULL
CHESTER AVE,CHESTER,AVE,NULL
CHESTNUT ST,CHESTNUT,ST,NULL
CHICAGO WAY,CHICAGO,WAY,NULL
CHILD ST,CHILD,ST,NULL
CHILTON AVE,CHILTON,AVE,NULL
CHINA BASIN ST,CHINA BASIN,ST,NULL
CHINOOK CT,CHINOOK,CT,NULL
CHRISTMAS TREE POINT RD,CHRISTMAS TREE POINT,RD,NULL
CHRISTOPHER DR,CHRISTOPHER,DR,NULL
CHULA LN,CHULA,LN,NULL
CHUMASERO DR,CHUMASERO,DR,NULL
CHURCH ST,CHURCH,ST,NULL
CHURCH ACCESS RD,CHURCH ACCESS,RD,NULL
CHURCH PARKING LOT,CHURCH PARKING LOT,NULL,NULL
CIELITO DR,CIELITO,DR,NULL
CIRCULAR AVE,CIRCULAR,AVE,NULL
CITYVIEW WAY,CITYVIEW,WAY,NULL
CLAIRVIEW CT,CLAIRVIEW,CT,NULL
CLARA ST,CLARA,ST,NULL
CLAREMONT BLVD,CLAREMONT,BLVD,NULL
CLARENCE PL,CLARENCE,PL,NULL
CLARENDON AVE,CLARENDON,AVE,NULL
CLARION ALY,CLARION,ALY,NULL
CLARKE LN,CLARKE,LN,NULL
CLARKE ST,CLARKE,ST,NULL
CLARKSON ST,CLARKSON,ST,NULL
CLAUDE LN,CLAUDE,LN,NULL
CLAY ST,CLAY,ST,NULL
CLAYTON ST,CLAYTON,ST,NULL
CLEARFIELD DR,CLEARFIELD,DR,NULL
CLEARVIEW CT,CLEARVIEW,CT,NULL
CLEARY CT,CLEARY,CT,NULL
CLEMENT ST,CLEMENT,ST,NULL
CLEMENTINA ST,CLEMENTINA,ST,NULL
CLEO RAND AVE,CLEO RAND,AVE,NULL
CLEVELAND ST,CLEVELAND,ST,NULL
CLIFFORD TER,CLIFFORD,TER,NULL
CLINTON PARK,CLINTON,PARK,NULL
CLIPPER ST,CLIPPER,ST,NULL
CLIPPER TER,CLIPPER,TER,NULL
CLIPPER COVE WAY,CLIPPER COVE,WAY,NULL
CLOUD CIR,CLOUD,CIR,NULL
CLOVER LN,CLOVER,LN,NULL
CLOVER ST,CLOVER,ST,NULL
CLYDE ST,CLYDE,ST,NULL
COCHRANE ST,COCHRANE,ST,NULL
CODMAN PL,CODMAN,PL,NULL
COLBY ST,COLBY,ST,NULL
COLE ST,COLE,ST,NULL
COLEMAN ST,COLEMAN,ST,NULL
COLERIDGE ST,COLERIDGE,ST,NULL
COLIN PL,COLIN,PL,NULL
COLIN P KELLY JR ST,COLIN P KELLY JR,ST,NULL
COLLEEN WAY,COLLEEN,WAY,NULL
COLLEGE AVE,COLLEGE,AVE,NULL
COLLEGE TER,COLLEGE,TER,NULL
COLLINGWOOD ST,COLLINGWOOD,ST,NULL
COLLINS ST,COLLINS,ST,NULL
COLON AVE,COLON,AVE,NULL
COLONIAL WAY,COLONIAL,WAY,NULL
COLTON ST,COLTON,ST,NULL
COLUMBIA SQUARE ST,COLUMBIA SQUARE,ST,NULL
COLUMBUS AVE,COLUMBUS,AVE,NULL
COLUSA PL,COLUSA,PL,NULL
COMERFORD ST,COMERFORD,ST,NULL
COMMER CT,COMMER,CT,NULL
COMMERCIAL ST,COMMERCIAL,ST,NULL
COMMONWEALTH AVE,COMMONWEALTH,AVE,NULL
COMPTON RD,COMPTON,RD,NULL
CONCORD ST,CONCORD,ST,NULL
CONCOURSE DR,CONCOURSE,DR,NULL
CONGDON ST,CONGDON,ST,NULL
CONGO ST,CONGO,ST,NULL
CONKLING ST,CONKLING,ST,NULL
CONNECTICUT ST,CONNECTICUT,ST,NULL
CONRAD ST,CONRAD,ST,NULL
STEUART LN,STEUART,LN,NULL
BRAGHETTA LN,BRAGHETTA,LN,NULL
CONSERVATORY ACCESS RD,CONSERVATORY ACCESS,RD,NULL
CONSTANSO WAY,CONSTANSO,WAY,NULL
CONTINUUM WAY,CONTINUUM,WAY,NULL
CONVERSE ST,CONVERSE,ST,NULL
COOK ST,COOK,ST,NULL
COOPER ALY,COOPER,ALY,NULL
COPPER ALY,COPPER,ALY,NULL
CORA ST,CORA,ST,NULL
CORAL CT,CORAL,CT,NULL
CORAL RD,CORAL,RD,NULL
CORALINO LN,CORALINO,LN,NULL
CORBETT AVE,CORBETT,AVE,NULL
CORBIN PL,CORBIN,PL,NULL
CORDELIA ST,CORDELIA,ST,NULL
CORDOVA ST,CORDOVA,ST,NULL
CORNWALL ST,CORNWALL,ST,NULL
CORONA ST,CORONA,ST,NULL
FARALLON ST,FARALLON,ST,NULL
CORONADO ST,CORONADO,ST,NULL
CORTES AVE,CORTES,AVE,NULL
CORTLAND AVE,CORTLAND,AVE,NULL
CORWIN ST,CORWIN,ST,NULL
COSGROVE ST,COSGROVE,ST,NULL
COSMO PL,COSMO,PL,NULL
COSO AVE,COSO,AVE,NULL
COSTA ST,COSTA,ST,NULL
COTTAGE ROW,COTTAGE,ROW,NULL
COTTER ST,COTTER,ST,NULL
COUNTRY CLUB DR,COUNTRY CLUB,DR,NULL
COVENTRY CT,COVENTRY,CT,NULL
COVENTRY LN,COVENTRY,LN,NULL
COWELL PL,COWELL,PL,NULL
COWLES ST,COWLES,ST,NULL
