objectid(long),tmpid,tmpnm,adminst,admunitcd,admunm,tmpdecsndt,tmpdclracres(long),lupaid,tmpurl,gisacres(double precision),blmacres(double precision),global_id,shape_length(double precision),shape_area(double precision)
1746.0,DOI-BLM-AZ-A010-2011-0012-EA,"Littlefield, St. George Basin and Colorado City",AZ,AZA01000,Arizona Strip Field Office,2018/02/15 00:00:00+00,493354,LUPA000209,https://eplanning.blm.gov/eplanning-ui/project/99358/510,493334.7418177,394529.12852605,{629E9513-9507-4327-8A2E-5DCA314DEA3C},308969.567656069,1996454868.318
1747.0,DOI-BLM-AZ-G010-2006-0001-EA,Aravaipa North,AZ,AZG01000,Safford Field Office,2015/09/15 00:00:00+00,70000,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/52189/510,173409.11370868,77119.87267127,{675C6E29-5CF1-48E6-83CE-AC6AAE710340},147535.034666191,701761785.514655
1748.0,DOI-BLM-AZ-040-08-03-EA,Gila Box Riparian NCA,AZ,AZG01100,Gila Box Riparian NCA,1997/12/19 00:00:00+00,0,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/1502665/510,23445.17801054,22682.61504971,{67C3D9E1-1D67-4F81-A2CB-1ED2BBF9ADC9},109799.06043565,94879269.2062501
1749.0,DOI-BLM-AZ-P020-2012-005-EA,Sonoran Desert NM,AZ,AZP04000,Sonoran Desert National Monument,2012/09/14 00:00:00+00,486400,LUPA000215,https://eplanning.blm.gov/eplanning-ui/project/11856/510,495682.99381053,485795.06771858,{6F730A36-9F42-4F4F-8939-3867932D3CAC},291413.084820817,2005957906.97662
1092.0,DOI-BLM-AZ-P010-2017-0013-EA,Black Canyon Corridor,AZ,AZP01000,Hassayampa Field Office,2022/09/29 00:00:00+00,166165,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/78300/510,166360.31863694,79043.04393388,{7074F68A-840C-475F-A917-FF6120230E26},249385.490241471,673236323.908399
1751.0,,San Pedro Riparian NCA,AZ,AZG02200,San Pedro Riparian NCA,9999/09/09 00:00:00+00,0,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/99358/510,58257.89301906,56183.06847376,{7091BCF4-6C84-4973-B22D-6EFEF94ABF44},172980.798401884,235761328.519671
1753.0,DOI-BLM-AZ-C030-2017-0028-EA,Bouse-Cactus Plain,AZ,AZC03000,Lake Havasu Field Office,2022/08/25 00:00:00+00,784000,LUPA000206,https://eplanning.blm.gov/eplanning-ui/project/79964/510,783819.65097697,574073.23863288,{768AD231-D383-4790-A5BA-4A9556C48210},269824.551539374,3172005588.55949
1755.0,DOI-BLM-AZ-C030-2007-0050-EA,Bullhead,AZ,AZC03000,Lake Havasu Field Office,2009/03/04 00:00:00+00,192861,LUPA000206,https://eplanning.blm.gov/eplanning-ui/project/119774/510,199196.72500171,49332.00736597,{9062FB92-1C1E-4BEB-AB11-4EAEAA671BEB},193888.646428629,806120545.894218
1756.0,,Tucson Metro,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,0,LUPA000202,https://eplanning.blm.gov/eplanning-ui/project/99358/510,830093.69883365,354.25826342,{9273B04E-5D06-444D-BBED-E454658E9362},293854.956488984,3359270016.31873
1757.0,DOI-BLM-AZ-G010-2017-0036-EA,Gila San Simon,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,0,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/88963/510,1583995.54614809,951842.114634,{9451C803-69FE-4E19-8D7E-F84E07B2C9C7},628881.100275024,6410202548.98168
1896.0,,La Posa LTVA Plan,AZ,AZC02000,Yuma Field Office,1997/02/01 00:00:00+00,0,LUPA000210,https://eplanning.blm.gov/eplanning-ui/project/99358/510,10736.36223087,10733.8679224,{9D3DA71C-95CE-4DD8-B156-1B24DCA55C9E},27779.5171590554,43448516.4472252
1759.0,,Globe - Miami Metro,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,0,LUPA000214,https://eplanning.blm.gov/eplanning-ui/project/99358/510,174624.07692148,5047.79110325,{B3D06373-0328-45BB-BCA9-2D8F7382E9AF},171084.935596329,706678567.195382
1760.0,DOI-BLM-AZ-C030-2013-0020-EA,Havasu,AZ,AZC03000,Lake Havasu Field Office,2013/09/04 00:00:00+00,356312,LUPA000206,https://eplanning.blm.gov/eplanning-ui/project/36699/510,342099.71070723,204464.58631941,{B8055B66-C923-4874-9FDB-0150ADC3736C},180352.607186524,1384428411.37674
1761.0,DOI-BLM-AZ-A030-2002-0001RMP-EIS,Grand Canyon-Parashant NM,AZ,AZA03000,Grand Canyon-Parashant National Monument,2008/01/29 00:00:00+00,1048316,LUPA000207,https://eplanning.blm.gov/eplanning-ui/project/95159/510,1048320.02765291,809912.4597307,{C272E0FF-AC96-492A-BB61-DD5CCEFA147A},956102.32842476,4242400636.63774
1762.0,DOI-BLM-AZ-420-2007-014-EA,Middle Gila Canyons,AZ,AZG02000,Tucson Field Office,2010/11/10 00:00:00+00,96319,LUPA000202,https://eplanning.blm.gov/eplanning-ui/project/2022439/510,203955.98966261,89883.37301775,{C8B80CFC-D4D1-418D-9B7F-CFE64D696266},134478.288638415,825380606.65309
1763.0,DOI-BLM-AZ-210-2008-052-EIS,Agua Fria NM,AZ,AZP03000,Agua Fria National Monument,2010/04/22 00:00:00+00,72344,LUPA000212,https://eplanning.blm.gov/eplanning-ui/project/4507/510,72760.07910692,70843.14444492,{C900E5AA-A226-488B-B732-ACAA3F4BCE57},110795.658812091,294449593.428159
2407.0,DOI-BLM-AZ-C010-2017-0045-EA,Kingman Field Office,AZ,AZC01000,Kingman Field Office,9999/09/09 00:00:00+00,0,LUPA000205,https://eplanning.blm.gov/eplanning-ui/project/89275/510,4473973.28357707,2478715.74450366,{CA1A99D7-03AB-4C13-A34D-CF8E63746653},1040228.88226971,18105527516.2899
1101.0,,Hassayampa West,AZ,AZP01000,Hassayampa Field Office,9999/09/09 00:00:00+00,0,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/99358/510,1506309.26759232,684183.77009601,{CAAD257C-7A8B-471A-875E-3CA3C4E349C0},648925.864605112,6095817333.67659
1438.0,DOI-BLM-AZ-A020-2002-0001RMP-EIS,Vermilion Cliffs NM,AZ,AZA02000,Vermilion Cliffs National Monument,2008/01/29 00:00:00+00,293687,LUPA000208,https://eplanning.blm.gov/eplanning-ui/project/95273/510,302739.44191877,287336.51742466,{D3951519-7965-45C1-8FF8-645E3F2A8B8F},164580.273820749,1225143054.84275
1767.0,DOI-BLM-AZ-C020-2018-0016-EA,Lower Colorado River,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,0,LUPA000210,https://eplanning.blm.gov/eplanning-ui/project/96950/510,347810.20689414,147731.00334312,{D3CEDF93-EA30-4119-952E-834163DCA384},443909.775488112,1407537969.5458
1768.0,,Apache Navajo Metro,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,0,LUPA000202,https://eplanning.blm.gov/eplanning-ui/project/99358/510,3705015.68177689,187382.36614165,{D54A2C02-E936-4B79-95E7-693C74213323},587152.869549228,14993666506.8915
1769.0,DOI-BLM-AZ-PDO-2009-022-EA,Table Mesa,AZ,AZP01000,Hassayampa Field Office,2010/06/21 00:00:00+00,11500,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/2003746/510,12490.26984616,11543.01803803,{F23CDC2D-6A42-4675-A8A3-BE984079964C},41987.9514236688,50546328.7444431
1770.0,DOI-BLM-AZ-P020-2017-0007-EA,Buckeye Hills,AZ,AZP02000,Lower Sonoran Field Office,2022/08/31 00:00:00+00,572159,LUPA000214,https://eplanning.blm.gov/eplanning-ui/project/78953/510,572153.07820662,157086.02442724,{F623A789-3116-4BB5-BC14-A942B37EF6C6},346427.496676752,2315421359.1364
1772.0,,Safford Southwest,AZ,AZG01000,Safford Field Office,9999/09/09 00:00:00+00,0,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/99358/510,2465728.50127713,151193.05124521,{FB58A68F-3F69-441A-BEB4-3A048967DD77},577872.232753514,9978449221.28806
1773.0,,Phoenix Metro South,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,0,LUPA000211,https://eplanning.blm.gov/eplanning-ui/project/99358/510,2337177.45789118,34154.72627979,{FCFFC357-0496-469D-8B1F-B7D17518BCC8},694599.533776976,9458221605.75546
1774.0,DOI-BLM-AZ-C020-2018-0026-EA,Imperial Hills,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,0,LUPA000210,https://eplanning.blm.gov/eplanning-ui/project/105249/510,9474.60384989,272.500207,{FD69540B-6780-4655-B19B-392520AD2C9F},30412.6602737254,38342361.4396423
1599.0,,Ajo,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,0,LUPA000214,https://eplanning.blm.gov/eplanning-ui/project/99358/510,190148.99676675,177112.32825432,{2F25C652-2364-4E6B-9997-931D60EC2DE5},146172.06270945,769505688.778448
2450.0,,Gila Bend Mountains,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,0,LUPA000214,https://eplanning.blm.gov/eplanning-ui/project/99358/510,928091.71248273,563252.61813071,{6BF82881-464B-4453-881F-3A279F080293},323172.894415519,3755853907.23695
1777.0,,Mohave,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,0,LUPA000209,https://eplanning.blm.gov/eplanning-ui/project/99358/510,951046.67759256,820926.07197881,{71321B7D-9AAA-4924-B852-9E5E858412D6},411174.441569887,3848749355.21767
1778.0,,Coconino,AZ,AZA01000,Arizona Strip Field Office,9999/09/09 00:00:00+00,0,LUPA000209,https://eplanning.blm.gov/eplanning-ui/project/99358/510,368949.82134967,316880.18262735,{EAF9437D-A612-4689-B337-101F0D17BB9C},391594.080930172,1493086954.06731
1780.0,,Goldfield Recreation Area,AZ,AZP02000,Lower Sonoran Field Office,9999/09/09 00:00:00+00,0,LUPA000214,https://eplanning.blm.gov/eplanning-ui/project/99358/510,769.74287611,272.500207,{9A957966-8876-41E9-9075-C6482174A73A},12024.6369491285,3115038.91159154
1781.0,DOI-BLM-AZ-G020-2022-0028-EA,Middle Gila South,AZ,AZG02000,Tucson Field Office,9999/09/09 00:00:00+00,0,LUPA000204,https://eplanning.blm.gov/eplanning-ui/project/2019937/510,1854512.19264722,212149.460852,{D9731661-6712-49E1-AC54-C7F8A10970BF},959955.231587615,7504944577.15333
1782.0,,Yuma Gila River,AZ,AZC02000,Yuma Field Office,9999/09/09 00:00:00+00,0,LUPA000210,https://eplanning.blm.gov/eplanning-ui/project/99358/510,1421138.06933975,700683.65088,{09DEDA31-F723-46B4-8EED-BF40C252C13A},591507.309380938,5751141723.02472
