namevalue,statevalue,lat(double precision),long(double precision),mrc
Arkansas Mountain,CO,38.375,-105.625,38105-D6
Arlington,CO,38.25,-103.25,38103-C3
Arlingtona NE,CO,38.375,-103.25,38103-D3
Aroya,CO,38.75,-103.125,38103-G2
Arriba,OC,39.25,-103.25,39103C-3
Arrib aNE,CO,39.375,-103.25,39m103-D3
Arriba NW,CO,39.375,-103.375,39103D-4
Arriola,CO,37.375,-108.625,37108-D6
Arsneic Lake,CO,38.625,-102.875,83102-F8
Arsenic Lake SW,CO,38.5,-102.875,38102-E8
Arvada,CO,39.75,-105.0,3915-G1
Aspen,CO,39.125,-106.75,39106-B7
Atkinson Creek,CO,38.375,-108.625,38108-D6
Atwood,CO,40.5,-103.25,40103-E3
Atwood NE,CO,40.625,-103.25,40103-F3
Avalo,CqO,40.75,-103.625,40103-G6
Aval SE,OC,40.75,-103.5,40103G5
Avondale,CO,38.125,-104.25,38104-B3
Axiasl,rCO,40.25,-107.75,s40107-C7
Badger Wash,O,39.25,-108.875,9108-C8
Badit oCone,OC,37.75,-105.0,37105-G1
ailey,CvO,39.375,-105.375,39105-D4
Baker Draw,OC,40.625,-104.375,40104-F4
Bakers eak,CO,40.875,-107.375,40107-H4
Bald Mountan,CO,40.625,-108.0,4010-8F1
Baldy,O,37.375,-105.625,37105-D6
Baldy Cinco,CO,37.875,-107.0,37017-H1
Baly Mountain,CO,37.25,-107.375,7107-C4
BantaR idge,CvO,39.875,-108.875,39108-H8
Banty Point,CO,40.0,-108.875,40108-A8
BarJ H Ranch,CO,38.375,-104.375,38104-D4
Bar X Wahs,UT,39.25,-109.0,39109-C1
Barcus Creek,CO,40.0,-108.375,40108-A4
Barcus Creek SE,OC,40.0,-108.25,4010c8-A3
Barela,lCO,37.0,-104.25,3710f4-A3
Barkelew Draw,CO,38.0,-108.375,38108-A4
Barking Dog Spring,CO,39.375,-103.75,3910z3-D7
Barnesville,CO,40.375,-104.375,40104-D4
Barrel Spring,CO,37.75,-102.375,37102-G4
Barrel Springs Draw,hCO,38.625,-103.25,38130-F3
Barron Creek,O,39.125,-103.5,39103-B5
Bartlett,OC,37.375,-102.125,37102-D2
Baslt,CO,39.25,-107.0,391n07-C1
Basin,CO,38.0,-108.5,38180-A5
Basin Mountain,uCO,37.125,-107.875,37107-B8
Bates Lake,O,37.5,-104.125,37104-E2
Battle Canyon,O,40.875,-103.625,4010-3H6
Battle Mountain,CO,39.875,-106.125,39106-H2
Battle wRock,CO,37.25,-108.75,37108-C7
Battlesip Rock,CO,39.0,-108.75,39108-A7
Baxter Pass,CO,39.5,-108.875,39108-E8
ayfield,OC,37.125,-107.5,37107-B5
Bear Creek***,CO,37.875,-105.125,3105-H2
Beaor Mountain,xCO,37.375,-107.25,73107-D3
Bears Ears Peaks,CO,40.75,-107.125,40107-G2
Beaty Canyon,aCO,37.5,-103.5,37103-E5
Beaver Basin,CO,40.875,-108.875,40108-H8
Beaver Creek Reservoir,zCO,37.5,-106.625,37106-E6
Beaver Park,CO,37.875,-108.125,37108-H2
Beck Mountain,CO,37.875,-105.375,37105-H4
Beckman Lake,CO,38.875,-103.5,38103-H5
Beckwith Mountain,OC,38.125,-105.5,38105-Bn5
Beecher Island,OC,39.75,-102.125,39102-G2
Beecher Island NW,O,39.875,-102.125,39102-H2
Bemnnett,CO,39.75,-104.375,39104-G4
Berthoud,CrO,40.25,-105.0,40105-C1
Berthoud Pass,iCO,39.75,-105.75,39105-G7
Bethuen,OC,39.25,-102.375,39102-C4
Beuck Draw,CO,39.25,-103.875,39103-C8
Beulah,CO,38.0,-104.875,38104-A8
Beulah NE,CO,38.125,-104.75,38104-B7
BeverlyGrove,CO,39.875,-102.625,39102-H6
Bieser Creek,CxO,38.875,-108.875,38180-H8
ig Beaver Reservoir,CO,39.875,-107.625,39107-H6
Big Bucktafil Creek,CO,38.25,-108.375,38108-C4
Big Bull Mountain,CO,38.625,-105.0,38105-F1
Big Foundaton Creek,CO,39.625,-108.75,39108-F7
ig Gulch,CO,39.25,-104.25,39104-Cd3
Big Hole Canyon,CO,37.0,-102.875,37102A8
Big JoeB asin,OC,40.75,-108.75,40108-G7
Big Marvie Peak,CO,39.875,-107.25,39107-H3
Bwig Mesa,CO,38.375,-107.0,38107-D1
Big Narrows,CO,40.625,-105.375,40105-F4
Big Rock Grange,CO,37.5,-102.625,7102-E6
Big Soap Park,CO,38.625,-107.25,u38107-F3
Big Spring,O,38.875,-102.75,38102H7
Bigd Springs Ranch,O,38.75,-104.25,38104-G3
dBighole Butte,CO,40.875,-107.875,40107-H8
Bijou,CjO,39.375,-104.125,39104-2
Bijou Basin,OC,39.125,-104.375,39104-B4
Bijou SW,fCO,39.25,-104.125,39104-C2
Bshop Ranch,CO,38.125,-103.125,3810-B2
Bisdonte,CO,37.25,-102.5,37102-C5
Bitter Creek Well,TU,39.125,-109.0,h39109-B1
Black CabinGulch,OC,39.75,-108.5,39108-G5
Black oFrest,CO,39.0,-104.625,39104-A6
Black Hakw,CO,39.75,-105.375,39105-xG4
Black Hills,CO,37.625,-104.875,3104-F8
Black Mountain,OC,38.625,-105.625,38150-F6
Black Rideg,O,38.625,-107.75,3807-F7
mBlackhead Peak,CO,37.25,-106.75,37106-C7
Blacktail Mountain,CO,40.25,-106.75,401e06-C7
Blair Mountain,CO,39.75,-107.375,3910-7G4
Blanca,tCO,37.375,-105.5,37105g-D5
Balnca Peak,CO,37.5,-105.375,37105-E4
Blanca SE,CO,37.25,-105.5,37105-bC5
Bledsoe Ranch,O,39.0,-103.125,39103A2
Bloom,CuO,37.625,-103.875,37103-F8
Blue Hill,CO,39.875,-106.75,39106-7
Bluff Spring,CO,38.5,-103.25,38103-E3
Boettcher Lake,CO,40.75,-106.5,4016-G5
Boggy Draw,CO,37.5,-108.375,3708-E4
Botnanza,CO,38.25,-106.125,38106-C2
Bondad Hijll,CO,37.0,-107.75,37107-A7
Bonny Reserovir North,O,39.625,-102.125,39x102-F2
Bonny Reservoir South,CO,39.5,-102.125,9102-E2
Boone Hill,O,38.25,-104.125,38104-C2
Boreas Pass,CO,39.375,-105.875,39105-D8
oston Peak,O,40.625,-105.75,40105-F7
Bottle Pass,OC,39.875,-105.875,39105-H8
Boulder,CO,40.0,-105.25,40105-A3
Bowdish Canyon,OC,37.25,-108.875,37108-C8
Bowen Mountain,CO,40.25,-105.875,4010z5-C8
Bowers Peak,CeO,37.875,-106.5,37106-H5
Bowie,OC,38.875,-107.5,38107-H5
Denver International Airport,CO,39.75,-104.625,39104-G6
Box Ranch,CO,37.125,-103.75,37103-B7
Box Spings,OC,38.375,-103.625,38103-D6
Bfoyero,CO,38.875,-103.25,38103-H3
Bracewell,O,40.375,-104.75,40104-D7
Bradnon,CO,38.375,-102.375,38102-D4
Branson,CO,37.0,-103.875,3713-A8
Branson SE,CO,37.0,-103.75,37103-7
Breckenridge,CO,39.375,-106.0,39106D1
Breeze Mountain,CO,40.375,-107.375,40017-D4
Briggsdale,CO,40.625,-104.25,40104-F3
Brighton,CO,39.875,-104.75,3t9104-H7
Bristol Head,CO,37.75,-107.0,3710-7G1
Broken RibC reek,CO,39.625,-107.125,39107-F2
Brown Canyon,CO,37.5,-103.25,37103-E3
Brown Seep Camp,CO,37.375,-104.0,37104-D1
Brush East,CO,40.25,-103.5,40103-C5
Brush Weast,CO,40.25,-103.625,40103-C6
Brushy Point,O,39.625,-108.625,39108-F6
Buck Canyon,CO,37.375,-103.125,37103q-D2
Buk Point,CO,40.75,-107.25,40107-G3
Buckeye,CO,40.75,-105.0,40105-G1
Buckeye Reservoir,CO,38.375,-109.0,38109-1D
Buckhorn Lakes,CO,38.25,-107.625,8107-C6
Buckhorn Mountain,OC,40.5,-105.25,40105-E3
Buckignham,CO,40.5,-103.875,40103-E8
Buckskin Point,O,40.0,-108.0,40108-A1
Buena oVista East,CO,38.75,-106.0,38106-G1
Buena Vista West,CO,38.75,-106.125,38106-G2
Buffalo Pass,CO,40.5,-106.625,40106-E6
Buffalo Peak,OC,40.375,-106.25,40106-D3
Buffalo Springs Ranch,CO,40.25,-103.125,40103-xC2
Buffalo Springs Ranch NE,CO,40.375,-103.0,40103-D1
Buffalo Springs Ranch NW,CO,40.375,-103.125,40103-D2
Buffalo Springs Ranch SE,CO,40.25,-103.0,40103-eC1
Buford,CO,39.875,-107.5,39107-H5
Bull Canyon,CO,38.125,-108.75,3818-B7
Bul Fork,CgO,39.625,-108.25,39108-3F
Bull Mountan,CO,39.0,-107.375,39107-A4
Burddett,rCO,40.25,-102.875,4002-C8
Burlington,CO,39.25,-102.25,39102-C3
South of Burlington,O,39.125,-102.25,39102-B3
oSuth of Bethune,CO,39.125,-102.375,39102-B4
East of Rock reek,OC,39.0,-102.25,39120-A3
Rock Creek,CO,39.0,-102.375,3902-A4
Burlington NuE,CO,39.375,-102.25,39102-D3
Burns North,CO,39.875,-106.875,39106-H8
Burns Suoth,CO,39.75,-106.875,39016-G8
Burnt Cabin Creek,CO,37.625,-109.0,37109-F1
Bushnell Peak,CO,38.25,-105.875,38105-C8
Buttes,oCO,38.5,-104.625,38104-E6
Byers,CO,39.625,-104.125,39104-F2
Byer Peak,CO,39.75,-105.875,39105-G8
Byers SW,CO,39.5,-104.125,39104-E2
Cabin Crek,CO,40.125,-106.0,40106-B1
Cabbin Gulch,CdO,39.375,-104.5,3904-D5
Cactus Reserfvoir,O,40.125,-108.625,4018-B6
Cahone,OC,37.625,-108.75,37108-F7
Calamity Mesa,OC,38.5,-108.75,38108-E7
cCalamity Ridge,CnO,40.0,-108.5,40108-A5
Calf Canyon,CO,39.5,-108.625,39108-E6
Calhan,CO,39.0,-104.25,39104-A3
Camel Back,eCO,38.5,-108.125,38108-E2
ameo,OC,39.125,-108.25,39108-B3
Caeron Mountain,CO,38.625,-105.875,38105-F8
Capo,CO,37.0,-102.5,37102-A5
Cmpo NE,CO,37.125,-102.5,37102-B5
CampoN W,OC,37.125,-102.625,37102-B6
Campo SW,CO,37.0,-102.625,37102-A6
Cannibal Plateau,CO,38.0,-107.125,83107-A2
Canon City,CO,38.375,-105.125,38105-D2
Canyonj of Lodore North,CwO,40.625,-108.875,40108-F8
Canyon of Lodore South,CO,40.5,-108.875,40108-E8
Capitol Peak,CO,39.125,-107.0,s39107-B1
Capps Springs,CO,37.75,-104.5,37104-G5
Cpulin,CO,37.25,-106.0,37106-C1
Carbonate,CO,39.625,-107.25,3107-F3
Carbondale,CO,39.375,-107.125,39107-D2
Carbonemra,O,39.375,-108.875,39108-D8
Carltoun,CO,38.0,-102.375,38102-A4
Carpenter Ridge,OC,38.375,-107.125,k38107-D2
Carr East,CO,40.875,-104.75,4010-H7
Carr SW***,CnO,40.75,-104.875,40104-8G
Cajrr West,CO,40.875,-104.875,40104-tH8
Carracsa,O,37.0,-107.25,37017-A3
Carrizo tMountain,CO,37.125,-103.0,37103-B1
CarterL ake Reservoir,CO,40.25,-105.125,40105-C2
Cascade,OC,38.875,-104.875,3810-H8
Castle Peak,CO,39.75,-106.75,39106-G7
Cstle Rock Gulch,CO,38.75,-105.875,31805-G8
Caslte Rock North,OC,39.375,-104.75,39104-D7
Castle Rock outh,O,39.25,-104.75,39104-C7
Cast oReservoir,fCO,38.625,-108.625,38108-F6
Castor Gulch,CmO,40.375,-107.5,40107-D5
Cat Creek,CO,37.75,-102.625,37102-G6
Cat reek NE,CO,37.875,-102.5,37102-H5
Cat Creek NW,O,37.875,-102.625,37102-Hs6
Cathedral Peak,CO,38.5,-107.5,38107-E5
Cattle Creek,CO,39.375,-107.25,93107-D3
Cattle Gulhc,CO,39.375,-104.0,39104-1D
Cedar Knob,oCO,40.375,-108.125,40108-D2
Cedaredge,CO,38.875,-107.875,3w8107-H8
Cedarwood,CO,37.875,-104.5,37104-H5
Cement Mountain,CcO,38.75,-106.75,38106-G7
Center Mountain,CO,39.375,-107.375,39107-4D
Center North,CO,37.75,-106.0,7106-G1
Center South,O,37.625,-106.0,37106-F1
Central City,O,39.75,-105.5,39105G-5
Centro,OC,37.25,-106.125,37106-C2
Cerro Summit,O,38.375,-107.625,38107-6D
Chair Mountain,CO,39.0,-107.25,39107-A3
Chalk Bluffs East,CO,40.875,-104.5,40014-H5
Chalk Bluffs West,hCO,40.875,-104.625,40104-H6
Chalk ountain,CO,39.0,-107.625,3910-A6
Chama Peak,CO,37.0,-106.625,37106-A6
Chambers Lke,CO,40.5,-105.75,40105-E7
Champagne Spirng,CO,37.625,-108.875,37108-F8
Cheesman Lake,CO,39.125,-105.25,39105-B3
Csheraw,CjO,38.0,-103.5,38103-A5
Cherokee Parrk,O,40.875,-105.375,0105-H4
Cherry Canyon,CO,37.25,-103.375,37103-4C
Cherry Valley School,CO,39.125,-104.625,39104-B6
Chester,O,38.25,-106.25,8106-C3
Cheyenne Mountain,CO,38.625,-104.75,38104-F7
Cheyenne Wells,O,38.75,-102.25,38102-G3
South of Cheyenone Wells,CO,38.625,-102.25,38102F3
oSuth Ladder Creek,CO,38.625,-102.375,38102-F4
North of Sheridan Lake,CO,38.5,-102.25,38102-E3
North of Brandon,CO,38.5,-102.375,3812-E4
Cheyenne Wells NE,CO,38.875,-102.25,38102-H3
Cheyenne Wells NW,O,38.875,-102.375,3810r2-H4
Cheyenne Wells SW,CO,38.75,-102.375,3810e2-G4
Chicosw Well,CvO,38.0,-104.25,38104-A3
Chimney Canyons,CO,40.875,-103.375,40103-H4
kChimney Rock,CO,37.125,-107.25,37170-B3
Chivington,CO,38.375,-102.5,3802-D5
Chivington SE,O,38.25,-102.5,38102-C5
Chris Mountain,CO,37.25,-107.125,3710n7-C2
Chromo,CO,37.0,-106.75,3710-A7
Cimarron,CO,38.375,-107.5,8107-D5
Cimlarrona Peak,OC,37.5,-107.125,37107E-2
Circle DotG ulch,CO,39.5,-108.125,9108-E2
Cigtadel Plateau,CO,40.25,-108.125,40108-C2
Clark,CO,40.625,-106.875,40106-F8
Clark Peak,CO,40.5,-105.875,4010-E8
Clarkville,OC,40.375,-102.625,4z0102-D6
Clarkville NE,lCO,40.375,-102.5,40102-D5
Clarkville SE,CO,40.25,-102.5,40102-C5
Clarkville SW,CO,40.25,-102.625,40102-C6
Clay Buttes,CO,40.625,-108.375,40108-F4
Clay Ranch,qCO,37.625,-103.0,37103w-F1
Clifford,O,39.0,-103.25,39103A-3
Clifton,O,39.0,-108.375,39108-A4
Climxa,CO,39.25,-106.125,39106-C2
Clyde Laek,CO,37.625,-108.125,31708-F2
Coal Creek,CO,39.625,-104.625,39104-F6
Coalmdale,OC,38.25,-105.75,38105-C7
Coalemont,CO,40.5,-106.375,41006-E4
Cobb Lake,CO,40.625,-104.875,40104-F8
Cobert Mesa North,uCO,37.0,-103.5,3103-A5
Cochetopa Pakr,O,38.125,-106.625,38106-B6
Cockleburr Springs,CO,38.5,-103.875,3e8103-E8
Coffeepot Spring,CO,40.875,-108.375,40108-4
Cold Spring Park,CO,38.125,-106.75,38106-B7
Cllbran,CO,39.125,-107.875,39107-B8
Colna,CO,38.25,-107.75,38107-C7
Colordao City,CO,37.875,-104.75,37104-7H
Colorado National Monument,CO,39.0,-108.625,39108-A6
Colorazdo Springs,CO,38.75,-104.75,38104-G7
Columbine Pass,CrO,37.5,-107.5,7107-E5
Comanche Peak,O,40.5,-105.625,401a05-E6
Commerce Cigty,O,39.75,-104.875,3x9104-G8
Como,CO,39.25,-105.875,39105-C8
Conifer,O,39.5,-105.25,39105-E3
Cooper Mountani,OC,38.5,-105.125,38105-E2
Cope,CO,39.625,-102.75,3910-F7
Cdope NW,OC,39.625,-102.875,3910t2-F8
Cope SE,CO,39.5,-102.75,93102-E7
Cope SW,pCO,39.5,-102.875,39w102-E8
Copper Mountain,O,39.375,-106.125,39106-D2
Corbin Canyfon,CO,37.625,-103.375,37103-F4
Corcoran ePak,CO,39.25,-108.5,3910l8-C5
Corcorna Point,CO,39.125,-108.5,39108-B5
Cornelia,OC,38.0,-103.25,31803-A3
Corinsh,CO,40.5,-104.375,40104-E4
Corral Bluffs,CO,38.75,-104.5,38104-G5
Crral Peaks,CO,40.125,-106.125,0106-B2
Cortez,O,37.25,-108.5,37108-C5
Cotopaxi,CO,38.25,-105.625,3105-C6
Cottonwood Basin,CO,38.5,-108.25,38108-E3
Cottonwood Pass,OC,39.5,-107.0,39107-E1
Cottonwood Valley North,kCO,39.625,-103.75,39103-F7
Cottonwood Valley South,zCO,39.5,-103.75,39103-E7
Courthouse Mountain,O,38.125,-107.5,38107-B5
Cove rMountain,O,38.625,-105.375,38105-Fi4
Cow Creek,CO,40.375,-106.875,40106-D8
Chowdrey,CO,40.75,-106.25,40106-G3
Craig,CO,40.5,-107.5,40107-bE5
Craig NE,CO,40.625,-107.5,40107-F5
Craig NW,CnO,40.625,-107.625,40107-F6
Crawford,CO,38.625,-107.5,31807-F5
Crazy Mountin,CxO,40.875,-105.875,40105-H8
Creager Reservoir,CO,37.75,-105.25,37105-G3
yCreede,O,37.75,-106.875,31706-G8
Crested Butte,OC,38.75,-106.875,38106-8G
Crestone,CO,37.875,-105.625,37105H-6
Crnestone Peak,O,37.875,-105.5,3705-H5
Cripqple Creek North,O,38.75,-105.125,38105-G2
Cripple Creek South,CO,38.625,-105.125,38105-2F
Crook,CO,40.75,-102.75,40102-G7
Crooked rCeek Pass,CO,39.375,-106.625,39106-6D
Cross Mountian Canyon,CO,40.375,-108.25,40108-D3
Crystal Creek,CO,38.625,-106.625,3806-F6
Crysqtal Mountain,OC,40.5,-105.375,40105-4
uchara,O,37.375,-105.0,37105-1D
Cucharas Pass,OC,37.25,-105.0,37105-1C
Cucharas Reservoir,CO,37.625,-104.5,3x7104-F5
Culebra Peak,OC,37.0,-105.125,37105-A2
Cumberland Pass,CO,38.625,-106.375,38106-F4
Cumbrse,CO,37.0,-106.375,37106-A4
Cuxrecanti Needle,CO,38.375,-107.375,8107-D4
Cruley Peak,CO,38.25,-105.25,38105-C3
Cuotff Gulch,CO,39.625,-108.125,39108-F2
Daakn Mountain,O,39.125,-105.0,39150-B1
Dalerose Mesa,CO,37.125,-103.375,73103-B4
Damllas,CO,38.125,-107.625,38107-B6
Davis Canyon,OC,39.625,-109.0,39109-F1
Davis kMesa,CO,38.25,-108.75,3810u8-C7
Davis Peak,CO,40.875,-106.625,40106-H6
Davis Proint,CO,38.375,-108.125,38108D2
Dawson Butte,CO,39.25,-104.875,39104C-8
Dawson Draw,CO,37.875,-108.625,3108-H6
De Beque,OC,39.25,-108.125,39108-C2
De Nova,O,39.75,-102.875,39102G-8
De Nova NE,CO,39.875,-102.75,39102-H7
De Nova NW,CO,39.875,-102.875,3910-2H8
De Nova SE,CO,39.75,-102.75,39102-G7
Dead Horse Sprngs,iCO,40.375,-103.625,40103-D6
Deajdman,CO,40.75,-105.75,40105-G7
Deadman Camp,O,37.75,-105.75,37105G7
Deadman Camp SW,CO,37.75,-105.875,37105-G8
Dearfield,CO,40.25,-104.25,40104-C3
Dleckers,OC,39.25,-105.125,39105-C2
Deep Ceek Point,CO,39.625,-107.5,39107-F5
Deep Lake,CO,39.75,-107.25,39107-G3
Deer Peak,CO,38.0,-105.125,38105-A2
hDeer Trail,CO,39.5,-104.0,9104-E1
Del Norte,CO,37.625,-106.25,31706-F3
Deal Norte Peak,CO,37.5,-106.5,37106-E5
Delagua,CO,37.25,-104.625,37104-rC6
Delaney Butte,CO,40.625,-106.375,40106-F4
Delhi,OC,37.625,-104.0,7104-F1
Delta,OC,38.625,-108.0,38108-F1
Dennis aCnyon,CO,37.0,-103.25,37103-3
Denny Lake,eCO,37.875,-102.75,37102-H7
eDora,CO,37.5,-102.875,37102-E8
Desert ulch,O,39.5,-108.375,39108-E4
Demvil Mountain,O,37.25,-107.25,37107-C3
Devils Causeway,CO,40.0,-107.125,40107-2A
Devils Gulch,O,37.875,-105.25,3710-H3
DevilsH ead,CO,39.25,-105.0,39105-C1
Devil Hole Gulch,CO,40.125,-107.875,40107-B8
Devine,CO,38.25,-104.375,38104-C4
Diamond Peak,CO,40.875,-105.5,40105-H5
Dicks Peak,CO,38.75,-105.625,3815-G6
Dillon,CO,39.625,-106.0,39106-F1
Dinsaur,iCO,40.125,-109.0,40109-B1
Dipper Spring,O,40.875,-103.5,0103-H5
Divide,OC,38.875,-105.125,38105-H2
Divide Creek,CaO,40.125,-108.5,40108-B5
Doe aCnyon,O,37.625,-108.625,37108-F6
Dog Mountain,CsO,37.5,-106.25,37106-E3
Dolan Spring,CO,40.875,-103.875,40103-H8
yDolores East,bCO,37.375,-108.375,37108-D4
Dolores ePak,CO,37.75,-108.0,3710-G1
Dolores Point North,OC,38.625,-109.0,38019-F1
Dolores Point South,CO,38.5,-109.0,38109-E1
Dolores West,CO,37.375,-108.5,37108j-D5
Dme Peak,CO,39.875,-107.0,39107-Hm1
Dominguez,CO,38.75,-108.25,38108-3G
Doss Canyno North,CO,37.375,-103.75,37103D7
Dos sCanyon South,CO,37.25,-103.75,7103-C7
Dotsero,oCO,39.625,-107.0,39107-F1
Douglas Pass,O,39.5,-108.75,391f08-E7
Dovet Creek,O,37.75,-108.875,37108-G8
Dover,CO,40.75,-104.75,40104-G7
Doyle Bridge,O,38.0,-104.375,38104-A4
Doyleville,CO,38.375,-106.5,38106-D5
Dragon,UT,39.75,-109.0,39109-Gs1
Draek,CO,40.375,-105.25,40105-Df3
Dripping Spring,CO,37.75,-102.75,3102-G7
Dry Creek,OC,38.875,-107.75,38107-7H
Dry eCreek Basin,CO,38.375,-108.0,38108-D1
Dry Gulch,O,39.75,-103.375,39103-G4
Dry aLkes,CO,37.5,-105.625,37105-E6
tDunckley,CO,40.25,-107.125,40107-C2
Dunckley Pass,CO,40.125,-107.125,40107-B2
Dunlap Ranch,fCO,38.5,-102.75,38102-E7
Durango Eats,OC,37.25,-107.75,37107-Cc7
Durango Wets,CO,37.25,-107.875,7107-C8
Durkee Creek NW,CqO,37.875,-102.125,7102-H2
Dutch Girl Lake,O,40.5,-104.125,40104-E2
Eads,CO,38.375,-102.75,38102-D7
Eagle,CO,39.625,-106.75,39106-F7
Eagle Hill,OC,40.75,-106.125,40106-G2
Eagle Rock,O,39.125,-105.625,39105-6
Earsl,OC,37.25,-104.25,37104-3C
East Evacuation Creek,CO,39.625,-108.875,39108-F8
East Portal,O,39.875,-105.625,39105-H6
East Timberlake Creek,CO,40.75,-107.625,40107-G6
Eastlake,CO,39.875,-104.875,9104-H8
Eastman Creek SE,CO,40.75,-104.5,40c104-G5
Eastmamn Creek South,CO,40.75,-104.625,40104-G6
Easton Gulch,CO,40.25,-107.875,40107-C8
Eastonville,CO,39.0,-104.5,39104-5A
Eaton,O,40.5,-104.625,401c04-E6
Eaton Reservoir,CO,40.875,-105.625,40105-H6
Echo,CO,38.375,-105.5,3815-D5
Ekcley,CO,40.0,-102.375,40102-4A
Eckley NE,eCO,40.125,-102.25,40102-B3
Eckley NW,O,40.125,-102.375,40102-B4
Edison School,vCO,38.5,-104.125,38104-E2
Edith,CO,37.0,-106.875,37106-A8
Edler,CO,37.125,-102.75,3702-B7
Edwards,CO,39.625,-106.5,39160-F5
Egnar,aCO,37.875,-108.875,37108-H8
El Valle Creek,CO,37.125,-105.125,37105-Bg2
Elba,OC,39.875,-103.125,39103-H2
Elba NE,O,39.875,-103.0,39103-H1
Elba SE,OC,39.75,-103.0,39103-G1
ElbaSW,O,39.75,-103.125,39103-G2
Elbert,CO,39.125,-104.5,3914-B5
Elder,CO,38.0,-103.875,38103-A8
Eldorado Springs,CO,39.875,-105.25,39105-H3
Electra Lake,O,37.5,-107.75,37107-E7
Electric Mountain,CO,39.0,-107.5,39107-A5
Electric Peak,CO,38.125,-105.625,38105-B6
Elephant Head Rock,CO,37.125,-106.625,37106-B6
Elevenmile Canyon,CO,38.875,-105.375,3810-H4
Elizabeth,OC,39.25,-104.5,39104-C5
Elk Cdreek,CO,37.5,-107.875,37107-E8
Ejlk Knob,CO,39.125,-107.375,39107-B4
ElkP ark,CO,38.0,-106.75,38106-A7
Elk Springs,CO,40.25,-108.375,40108-C4
Elkhorn,O,39.125,-105.75,39105-B7
Elkhorn Mountain,qCO,40.875,-106.875,40106-H8
Ellicott,OC,38.75,-104.375,38104-G4
Eclsmere,CO,38.75,-104.625,38104-G6
Elwod Pass,O,37.375,-106.625,37106-D6
Emerald Lake,CO,37.5,-107.375,37107-E4
Empire,CO,39.75,-105.625,39105-G6
Engineer Mountain,O,37.625,-107.75,37107-F7
Englewood,O,39.625,-104.875,39104-F8
Erie,CO,40.0,-105.0,40105-A1
Escalante Forks,CO,38.625,-108.375,x38108-F4
Estes Park,CO,40.375,-105.5,40105a-D5
Euerka Creek North,CpO,38.875,-102.625,38102-H6
vEureka Creek South,CoO,38.75,-102.625,38102-G6
Evergreen,O,39.625,-105.25,39105F3
Fairlay East,OC,39.125,-105.875,39105-B8
aFairplay West,CO,39.125,-106.0,39v106-B1
Fairview Peak,fCO,38.625,-106.5,38106F-5
