OBJECTID,HMA_NAME,HMA_ID,ADMIN_ST,ADM_UNIT_CD,ADMIN_AGCY,HERD_TYPE,OBJECTID_1,HMA_NM,ADMIN_ST_1,HMA_IDENTIFIER,TRANSFER_ACRES,BLM_ACRES,TOTAL_ACRES,HORSE_AML_LOW,HORSE_AML_HIGH,EST_HORSE_POP,PERCENT_AML_HORSE_SYBL_ONLY,BURRO_AML_LOW,BURRO_AML_HIGH,EST_BURRO_POP,POP_INVENTORY_DT,LAST_GATHER_DT,MOST_RECENT_AML_YR,MESSAGE,WEBSITE_URL,PERCENT_AML_HORSE_MAPTIP,PERCENT_AML_BURRO_MAPTIP,PERCENT_AML_BURRO_SYBL_ONLY,SHAPE_Length,SHAPE_Area
15,Black Mountain,ID0006,ID,IDB03000,BLM,HORSE,,BLACK MOUNTAIN,,ID0006,,47434,50904,30,60,40,50,0,0,0,2016/02/01 00:00:00+00,2015/09/01 00:00:00+00,2016,,http://www.blm.gov/id/st/en/prog/wild_horses_/hmas/black_mountain_hma.html,Within AML,,,0.910775541330086,0.022845661127494
16,Black Rock Range,NV0209,NV,NVW03000,BLM,HORSE,,BLACK ROCK RANGE EAST,,NV0209,0,185478,183520,112,186,456,245.161290322581,0,0,0,2014/06/01 00:00:00+00,2012/01/01 00:00:00+00,2015,,Webpage does not exist at this time.,245%,,,1.58715447095648,0.0799527072584088
17,Blue Wing Mountains,NV0217,NV,NVW01000,BLM,BOTH,,BLUE WING MOUNTAINS ,,NV0217,0,17854,17854,22,36,0,0,17,28,15,2015/01/01 00:00:00+00,2005/11/01 00:00:00+00,2016,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,0%,88%,88.2352941176471,0.552116801452452,0.00766169879061927
18,Bordo Atravesado,NM0001,NM,NMA02000,BLM,HORSE,,BORDO ATRAVESADO,,NM0001,,16487,19614,40,60,79,131.666666666667,0,0,0,2012/07/01 00:00:00+00,2012/06/01 00:00:00+00,2014,,Webpage does not exist at this time.,132%,,,0.400434897773795,0.00775719717333245
19,Buckhorn,CA0262,CA,CAN07000,BLM,HORSE,,BUCKHORN ,,CA0262,0,67415,76590,59,85,186,218.823529411765,0,0,0,2015/05/01 00:00:00+00,2009/12/01 00:00:00+00,2012,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-262.html,219%,,,1.09522831182382,0.0331169779503737
20,Buffalo Hills,NV0220,NV,NVW03000,BLM,HORSE,,BUFFALO HILLS,,NV0220,0,125207,131861,188,314,635,202.229299363057,0,0,25,2015/05/01 00:00:00+00,2009/01/01 00:00:00+00,2002,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,202%,Not designated for burros,99999,1.23458195837419,0.0541612038695522
21,Bullfrog,NV0629,NV,NVB02000,BLM,BURRO,,BULLFROG,,NV0629,0,146701,157180,0,0,0,,55,91,204,2012/01/01 00:00:00+00,2015/09/01 00:00:00+00,2014,,Webpage does not exist at this time.,,224%,224.175824175824,0.97078690451947,0.0643930281436418
22,Calico Mountains,NV0222,NV,NVW03000,BLM,HORSE,,CALICO MOUNTAINS,,NV0222,0,158086,160831,200,333,511,153.453453453453,0,0,0,2014/06/01 00:00:00+00,2011/12/01 00:00:00+00,2013,,Webpage does not exist at this time.,153%,,,1.5232679320608,0.0702165405906476
23,Callaghan,NV0604,NV,NVB01000,BLM,HORSE,,CALLAGHAN ,,NV0604,0,152726,156156,134,237,387,163.291139240506,0,0,0,2015/09/01 00:00:00+00,2011/01/01 00:00:00+00,2012,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/callaghan_hma.html,163%,,,1.21401631197733,0.0664611587665533
24,Canyon Lands,UT0571,UT,UTC02000,BLM,Burro,,CANYON LANDS,,UT0571,0,77254,89392,0,0,0,,60,100,166,2015/03/01 00:00:00+00,,2012,,Webpage does not exist at this time.,,166%,166,1.44206440954715,0.0373039564265403
25,Carter Reservoir,CA0269,CA,CAN07000,BLM,HORSE,,CARTER RESERVOIR,,CA0269,0,21591,23468,25,35,85,242.857142857143,0,0,0,2014/06/01 00:00:00+00,2014/10/01 00:00:00+00,2011,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-269.html,243%,,,0.668058352862004,0.0102548656651821
26,Cedar Mountain,UT0241,UT,UTW01000,BLM,Horse,,CEDAR MOUNTAIN,,UT0241,0,197275,211592,190,390,862,221.025641025641,0,0,0,2009/02/01 00:00:00+00,2012/02/01 00:00:00+00,2011,,http://www.blm.gov/ut/st/en/fo/salt_lake/wild_horses___burros/cedar_mountains_hma.html,221%,,,1.73128030105437,0.0909787241213247
27,Centennial,CA0654,CA,CAD05000,BLM,HORSE,,CENTENNIAL ,,CA0654,6322,71350,318499,134,168,456,271.428571428571,0,0,451,2015/05/01 00:00:00+00,2015/01/01 00:00:00+00,2008,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-264.html,271%,Not designated for burros,99999,1.56665485459423,0.129116149703372
28,Cerbat Mountain,AZ0002,AZ,AZC01000,BLM,HORSE,,CERBAT MOUNTAINS,,AZ0002,,60420,83006,72,90,70,97.2222222222222,0,0,0,2006/08/01 00:00:00+00,2007/07/01 00:00:00+00,2016,,http://www.blm.gov/az/st/en/prog/whb/hmas/cerbat.html,97%,,,1.20540105442932,0.0333080749610832
29,Challis,ID0005,ID,IDI03000,BLM,HORSE,,CHALLIS,,ID0005,,156545,167848,185,253,241,50,0,0,0,2016/02/01 00:00:00+00,2012/10/01 00:00:00+00,2016,,http://www.blm.gov/id/st/en/prog/wild_horses_/hmas/challis_hma.html,Within AML,,,1.46403258507816,0.0765166899007129
30,Chemehuevi,CA0698,CA,CAD09000,BLM,BURRO,,CHEMEHUEVI ,,CA0698,0,128861,138333,0,0,0,,97,108,890,2012/05/01 00:00:00+00,2016/01/01 00:00:00+00,2010,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-698.html,,824%,824.074074074074,1.18433351394831,0.0449530045345568
31,Chicago Valley,CA0681,CA,CAD08000,BLM,HORSE,,CHICAGO VALLEY,,CA0681,17562,258867,278105,10,12,12,100,0,0,0,2011/01/01 00:00:00+00,2007/09/01 00:00:00+00,2016,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-681.html,100%,,,1.97767429259535,0.1127623761504
32,Chocolate-Mule Mountains,CA0671,CA,CAD07000,BLM,BURRO,,CHOCOLATE-MULE MOUNTAINS ,,CA0671,0,192220,203539,0,0,0,,109,133,300,2010/03/01 00:00:00+00,2008/10/01 00:00:00+00,2012,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-671.html,,226%,225.563909774436,1.67104714081819,0.0794572456002384
33,Choke Cherry,UT0443,UT,UTC01000,BLM,Horse,,CHOKE CHERRY (12),,UT0443,0,39782,48139,24,30,184,613.333333333333,0,0,0,2015/02/01 00:00:00+00,2011/01/01 00:00:00+00,2012,,Webpage does not exist at this time.,613%,,,0.782924444493699,0.0200027352435677
34,Cholride Canyon,UT0442,UT,UTC01000,BLM,Horse,,CHLORIDE CANYON,,UT0442,0,42557,63684,15,30,113,376.666666666667,0,0,0,2014/05/01 00:00:00+00,2015/08/01 00:00:00+00,2013,,Webpage does not exist at this time.,377%,,,0.638294391367384,0.0263239333930921
35,Cibola-Trigo,AZ0011,AZ,AZC02000,BLM,BOTH,,CIBOLA-TRIGO ,,AZ0011,,185132,634218,120,150,158,105.333333333333,228,285,487,2014/03/01 00:00:00+00,2015/09/01 00:00:00+00,2002,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/az/st/en/prog/whb/hmas/cibola.html,105%,171%,170.877192982456,3.48206151352131,0.248178637263474
36,Clan Alpine,NV0310,NV,NVC01000,BLM,HORSE,,CLAN ALPINE,,NV0310,0,298064,302226,612,979,685,50,0,0,0,2014/10/01 00:00:00+00,2006/10/01 00:00:00+00,2016,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/clan_alpines_hma.html,Within AML,,,1.9618896807823,0.128383926128685
37,Cold Springs,OR0013,OR,ORV00000,BLM,HORSE,,COLD SPRING,,OR0013,0,29889,32664,75,150,256,170.666666666667,0,0,0,2014/07/01 00:00:00+00,2010/07/01 00:00:00+00,2013,,http://www.blm.gov/or/resources/whb/herd-manage.php,171%,,,0.7430965945938,0.0147063767111219
38,Conant Creek,WY0029,WY,WYR05000,BLM,HORSE,,CONANT CREEK (originally part of Lander) ,,WY0029 ,,49528,57702,60,100,115,115,0,0,0,2012/07/01 00:00:00+00,2012/11/01 00:00:00+00,2015,,Webpage does not exist at this time.,115%,,,0.811059720974717,0.0257250332380679
39,Confusion,UT0552,UT,UTW02000,BLM,Horse,,CONFUSION,,UT0552,0,255752,293665,70,115,388,337.391304347826,0,0,0,2010/03/01 00:00:00+00,2010/09/01 00:00:00+00,2004,,http://www.blm.gov/ut/st/en/prog/wild_horse_and_burro/congerComplex/conger_complex_gather.html,337%,,,1.45546769429444,0.124464668387076
40,Conger,UT0553,UT,UTW02000,BLM,Horse,,CONGER,,UT0553,0,151506,170993,40,80,285,356.25,0,0,0,2016/02/01 00:00:00+00,2010/09/01 00:00:00+00,2011,,http://www.blm.gov/ut/st/en/prog/wild_horse_and_burro/congerComplex/conger_complex_gather.html,356%,,,1.1205286855602,0.0721051754969723
41,Coppersmith,CA0261,CA,CAN07000,BLM,HORSE,,COPPERSMITH ,,CA0261,0,60246,73422,50,75,111,148,0,0,0,2015/05/01 00:00:00+00,2009/12/01 00:00:00+00,2012,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-261.html,148%,,,0.848933440888146,0.0318115500386672
42,Coyote Lake-Alvord-Tule Springs,OR0014,OR,ORV00000,BLM,HORSE,,COYOTE LAKE/ALVORD TULE SPRINGS ,,OR0014,0,584854,588432,198,390,330,50,0,0,0,2015/06/01 00:00:00+00,2011/09/01 00:00:00+00,2016,,http://www.blm.gov/or/resources/whb/herd-manage.php,Within AML,,,3.60824301271765,0.261034219239655
43,Crooks Mountain,WY0036,WY,WYR05000,BLM,HORSE,,CROOKS MOUNTAIN (from WY0033) (6),,WY0036,,54721,58415,65,85,242,284.705882352941,0,0,0,2015/04/01 00:00:00+00,2011/10/01 00:00:00+00,2013,,http://www.blm.gov/wy/st/en/field_offices/Lander/wh.html,285%,,,0.749958064422739,0.0258614267006475
44,Desatoya,NV0606,NV,NVB01000,BLM,HORSE,,DESATOYA ,,NV0606,0,157838,161678,127,180,397,220.555555555556,0,0,0,2014/01/01 00:00:00+00,2012/08/01 00:00:00+00,2013,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/desatoya_hma.html,221%,,,1.69733590238037,0.0684621635041435
45,Diamond,NV0609,NV,NVB01000,BLM,HORSE,,DIAMOND,,NV0609,0,145341,166632,91,151,265,175.496688741722,0,0,0,2016/02/01 00:00:00+00,2013/02/01 00:00:00+00,2013,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/diamond_mountains.html,175%,,,1.5334782485715,0.070538772558327
46,Diamond Hills North,NV0104,NV,NVE02000,BLM,HORSE,,DIAMOND HILLS NORTH,,NV0104,0,70531,71564,22,37,150,405.405405405405,0,0,0,2016/02/01 00:00:00+00,2013/01/01 00:00:00+00,2013,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/diamondhills_hma.html,405%,,,0.821231247727082,0.0306561484180485
47,Diamond Hills South,NV0412,NV,NVL01000,BLM,HORSE,,DIAMOND HILLS SOUTH (original name Railroad Pass),,NV0412,0,20082,20082,10,22,125,568.181818181818,0,0,0,2016/02/01 00:00:00+00,2013/01/01 00:00:00+00,2004,,Webpage does not exist at this time.,568%,,,0.572923671125245,0.00823693514241212
48,Dishpan Butte,WY0028,WY,WYR05000,BLM,HORSE,,DISHPAN BUTTE (originally part of Lander) ,,WY0028,,92282,99719,50,100,132,132,0,0,0,2012/07/01 00:00:00+00,2012/11/01 00:00:00+00,2014,,Webpage does not exist at this time.,132%,,,1.4277211720301,0.0441262486822245
49,Divide Basin,WY0002,WY,WYD04000,BLM,HORSE,,"DIVIDE BASIN (from WY0043 & WY0038) (3, 6)",,WY0002,,561213,778500,415,600,670,111.666666666667,0,0,0,2015/04/01 00:00:00+00,2014/10/01 00:00:00+00,2015,,http://www.blm.gov/wy/st/en/field_offices/Rock_Springs/wildhorses.html,112%,,,3.42867910265474,0.341800715130752
50,Dogskin Mountains,NV0302,NV,NVC02000,BLM,HORSE,,DOGSKIN MOUNTAINS,,NV0302,0,6497,6523,10,15,44,293.333333333333,0,0,0,2012/05/01 00:00:00+00,1994/08/01 00:00:00+00,2004,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/dogskin_mountains.html,293%,,,0.250575853717133,0.0027783759006135
51,Eagle,NV0414,NV,NVL02000,BLM,HORSE,,EAGLE ,,NV0414,0,659188,660610,100,210,1322,629.52380952381,0,0,0,2015/02/01 00:00:00+00,2016/02/01 00:00:00+00,2011,,Webpage does not exist at this time.,630%,,,7.61884371008989,0.274580091291193
52,El Dorado Mountains,NV0501,NV,NVS01000,BLM,BURRO,,EL DORADO MOUNTAINS,,NV0501,0,15120,16525,0,0,0,,0,0,0,2007/03/01 00:00:00+00,2000/09/01 00:00:00+00,2016,,Webpage does not exist at this time.,,,,0.548825290231305,0.00654692431745368
53,Fifteenmile,WY0011,WY,WYR01000,BLM,HORSE,,FIFTEENMILE,,WY0011,,68607,81127,70,160,285,178.125,0,0,0,2016/01/01 00:00:00+00,2009/11/01 00:00:00+00,2013,,http://www.blm.gov/wy/st/en/field_offices/Worland/wh/hma.html,178%,,,0.951398920978654,0.0369504848790707
54,Fish Creek,NV0612,NV,NVB01000,BLM,HORSE,,FISH CREEK ,,NV0612,0,250244,252771,107,180,421,233.888888888889,0,0,0,2014/02/01 00:00:00+00,2015/02/01 00:00:00+00,2012,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/fish_creek_hma.html,234%,,,1.86202101369294,0.106997126452666
55,Fish Lake Valley,NV0622,NV,NVB02000,BLM,HORSE,,FISH LAKE VALLEY,,NV0622,0,64007,67085,32,54,82,151.851851851852,0,0,0,2015/11/01 00:00:00+00,2013/08/01 00:00:00+00,2012,,Webpage does not exist at this time.,152%,,,0.928139493446822,0.0278186808016545
56,Flanigan,NV0301,NV,NVC02000,BLM,HORSE,,FLANIGAN,,NV0301,0,16319,17147,80,124,178,143.548387096774,0,0,0,2014/07/01 00:00:00+00,2012/01/01 00:00:00+00,2013,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/flanigan_and_fort.html,144%,,,0.411163364995892,0.00732375460471113
57,Fort Sage,CA0241,CA,CAN05000,BLM,HORSE,,FORT SAGE ,,CA0241,0,13666,15967,24,29,52,179.310344827586,0,0,0,2015/05/01 00:00:00+00,1998/09/01 00:00:00+00,2001,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-241.html,179%,,,0.372889206700998,0.00679865603315674
58,Fort Sage,NV0320,NV,NVC02000,BLM,Horse,,,,,,,,,,,,,,,,,,,,,,,0.115401675280584,0.000842825781989357
59,Four Mile,ID0002,ID,IDB01000,BLM,HORSE,,FOUR MILE,,ID0002,,15441,18034,37,60,111,185,0,0,0,2016/02/01 00:00:00+00,2009/10/01 00:00:00+00,2012,,http://www.blm.gov/id/st/en/prog/wild_horses_/hmas/four_mile_hma.html,185%,,,0.39845971951597,0.0082162419863417
60,Four Mile,UT0444,UT,UTC01000,BLM,Horse,,"FOUR MILE (3, 12)",,UT0444,0,52985,61273,30,60,175,291.666666666667,0,0,0,2015/02/01 00:00:00+00,2012/01/01 00:00:00+00,2012,,Webpage does not exist at this time.,292%,,,0.651333448042122,0.0254667253268682
61,Fox-Lake Range,NV0228,NV,NVW03000,BLM,HORSE,,FOX-LAKE RANGE,,NV0228,0,172692,177724,122,204,586,287.254901960784,0,0,0,2008/07/01 00:00:00+00,2008/07/01 00:00:00+00,2010,,Webpage does not exist at this time.,287%,,,1.76633388322511,0.0755529777152079
62,Fox Hog,CA0263,CA,CAN07000,BLM,HORSE,,FOX HOG,,CA0263,0,121086,127122,120,226,383,169.469026548673,0,0,0,2014/06/01 00:00:00+00,2011/11/01 00:00:00+00,2014,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-263.html,169%,,,1.33933116284406,0.0550973891587504
63,Frisco,UT0445,UT,UTC01000,BLM,Horse,,FRISCO,,UT0445,0,48733,60367,30,60,244,406.666666666667,0,0,0,2016/02/01 00:00:00+00,2012/12/01 00:00:00+00,2006,,http://www.blm.gov/ut/st/en/prog/wild_horse_and_burro/friscoGather/cedarHMA.html,407%,,,0.871962382827382,0.0252393747924565
64,Garfield Flat,NV0313,NV,NVC01000,BLM,HORSE,,GARFIELD FLAT,,NV0313,0,125420,142716,83,125,179,143.2,0,0,0,2015/05/01 00:00:00+00,2012/02/01 00:00:00+00,2014,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/garfield_hma.html,143%,,,1.16990993119775,0.0595650196239183
65,Gold Butte,NV0502,NV,NVS01000,BLM,BURRO,,GOLD BUTTE,,NV0502,0,170354,178564,0,0,0,,22,98,368,2011/03/01 00:00:00+00,2007/03/01 00:00:00+00,2007,,http://www.blm.gov/style/medialib/blm/nv/field_offices/las_vegas_field_office/wild_horse___burro/las_vegas_herd_management.Par.28283.File.dat/gold_butte2.pdf,,376%,375.510204081633,1.15793931715946,0.0726220689378749
66,Gold Mountain,NV0628,NV,NVB02000,BLM,BURRO,,GOLD MOUNTAIN,,NV0628,0,106522,107638,0,0,8,99999,47,78,1,2006/09/01 00:00:00+00,2013/08/01 00:00:00+00,2001,,Webpage does not exist at this time.,Not designated for horses,2%,2.12765957446809,0.839544914752342,0.0442854912498661
67,Goldfield,NV0626,NV,NVB02000,BLM,BURRO,,GOLDFIELD,,NV0626,0,52965,62367,0,0,38,99999,22,37,47,2010/02/01 00:00:00+00,1996/11/01 00:00:00+00,1996,,Webpage does not exist at this time.,Not designated for horses,127%,127.027027027027,0.632033078820215,0.0258113687792644
68,Goshute,NV0108,NV,NVE03000,BLM,HORSE,,GOSHUTE,,NV0108,0,266045,267277,74,123,904,734.959349593496,0,0,0,2015/03/01 00:00:00+00,2011/02/01 00:00:00+00,2011,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/goshute_hma.html,735%,,,1.35017101458263,0.115028936665899
69,Granite Peak,NV0303,NV,NVC02000,BLM,HORSE,,GRANITE PEAK,,NV0303,0,3981,4001,11,18,30,166.666666666667,0,0,0,2012/05/01 00:00:00+00,2012/01/01 00:00:00+00,2013,,Webpage does not exist at this time.,167%,,,0.154132819140192,0.00170269025732934
70,Granite Range,NV0221,NV,NVW03000,BLM,HORSE,,GRANITE RANGE,,NV0221,0,92016,103804,155,258,269,104.263565891473,0,0,0,2014/06/01 00:00:00+00,2011/12/01 00:00:00+00,2015,,Webpage does not exist at this time.,104%,,,1.82877457500512,0.0448952868375281
71,Green Mountain,WY0037,WY,WYR05000,BLM,HORSE,,GREEN MOUNTAIN (from WY0033) (6),,WY0037,,99363,116712,170,300,1025,341.666666666667,0,0,0,2015/04/01 00:00:00+00,2011/10/01 00:00:00+00,2013,,http://www.blm.gov/wy/st/en/field_offices/Lander/wh.html,342%,,,2.00327494943498,0.0516437016011067
72,Hardtrigger,ID0007,ID,IDB03000,BLM,HORSE,,HARD TRIGGER,,ID0007,,60090,67882,66,130,5,7.57575757575758,0,0,0,2014/06/01 00:00:00+00,2015/10/01 00:00:00+00,2016,,http://www.blm.gov/id/st/en/prog/wild_horses_/hmas/hardtrigger_hma.html,8%,,,1.01430900886009,0.0304838148808309
73,Havasu,AZ0010,AZ,AZC03000,BLM,BURRO,,HAVASU ,,AZ0010,,267286,269168,0,0,0,,133,166,206,2012/04/01 00:00:00+00,2015/10/01 00:00:00+00,2014,,http://www.blm.gov/az/st/en/prog/whb/hmas/havasu.html,,124%,124.096385542169,5.16414483821571,0.106330679638415
74,Hickison,NV0610,NV,NVB01000,BLM,BURRO,,HICKISON SUMMIT*,,NV0610,0,57275,57275,0,0,0,,16,45,50,2014/03/01 00:00:00+00,,,,Webpage does not exist at this time.,,111%,111.111111111111,0.987797397482185,0.0242380527508446
75,High Rock,CA0264,CA,CAN07000,BLM,HORSE,,HIGH ROCK,,CA0264,0,94612,94708,78,120,188,156.666666666667,0,0,0,2014/06/01 00:00:00+00,2011/11/01 00:00:00+00,2014,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/CA-264.html,157%,,,0.95856480345512,0.0412435289956271
76,Hog Creek,OR0011,OR,ORV00000,BLM,HORSE,,HOG CREEK,,OR0011,0,21819,22381,30,50,74,148,0,0,0,2014/07/01 00:00:00+00,2009/11/01 00:00:00+00,2013,,http://www.blm.gov/or/resources/whb/herd-manage.php,148%,,,0.586425234660759,0.0101439340752155
77,Horse Mountain,NV0308,NV,NVC01000,BLM,HORSE,,HORSE MOUNTAIN,,NV0308,0,49572,49779,78,118,0,0,0,0,0,2003/11/01 00:00:00+00,,2016,,Webpage does not exist at this time.,0%,,,0.638164832842222,0.0210121139666796
78,Hot Creek,NV0616,NV,NVB02000,BLM,HORSE,,HOT CREEK,,NV0616,0,54238,54671,25,41,43,104.878048780488,0,0,0,2014/03/01 00:00:00+00,2004/12/01 00:00:00+00,2015,,Webpage does not exist at this time.,105%,,,0.699287298881993,0.0228255868069191
