1664.fipstwo,f30111***,f30111
112.countytwo,Criaghead ,Craighead 
1660.county,eTreasure ,Treasure 
274.statefips,49,8
58.statecounty,AK_Bethel Census Area,AL_Fayette
127.fips,2282.0,5061
72.county,Lake and Peninsula Borough,Lowndes 
1532.countytwo,Boliavr ,Bolivar 
2007.statevalue,Y,NY
1042.fipstwo,nf21085,f21085
89.statecounty,AK_Bristol Bay Borough,AL_Sumter
155.statevalue,R,AR
825.statecounty,IN_Founatin,IN_Fountain
142.statecounty,AK_Wrangell City and Borough,AR_Miller
2917.countytwo,Cnarroll ,Carroll 
2051.county,Westcheste r,Westchester 
1593.statevalue,SM,MS
1470.statecounty,M_Marion,MO_Marion
2355.fipstwo,7f2065,f72065
17.statevalue,K,AK
1113.statecounty,KY_Warrne,KY_Warren
51.fips,2105.0,1043
2012.statevalue,Y,NY
67.fips,1055.0,1075
2938.statecounty,VA_Foyd,VA_Floyd
1309.countytwo,Roscomon ,Roscommon 
175.fips,2122.0,60040
72.fipstwo,f02220,f01085
2313.county,Tijoga ,Tioga 
193.statecounty,AK_Yakutat City and Borough,CA_Alpine
1419.countytwo,Bulter ,Butler 
1924.statecounty,NJ_amden,NJ_Camden
137.county,Denali Borough,Little River 
154.fips,2282.0,5115
1832.statecounty,E_Chase,NE_Chase
1936.county,Passaic ***,Passaic 
158.fipstwo,f02060,f05125
2539.county,Dyere ,Dyer 
97.fips,2050.0,5001
1873.statevalue,EN,NE
3059.fipstwo,53025,f53025
22.statevalue,K,AK
194.fips,2185.0,6005
1138.statecounty,LA_Eastt Feliciana,LA_East Feliciana
45.fips,2020.0,1031
2568.county,Linocln ,Lincoln 
180.fips,1049.0,4007
1781.countytwo,Gojlden Valley ,Golden Valley 
96.fips,2282.0,1133
1725.fipstwo,fy37121,f37121
253.statefips,94,8
2653.statevalue,XT,TX
1337.statevalue,NM,MN
93.fips,2050.0,1127
622.countytwo,Minlls ,Mills 
33.statevalue,mAL,AL
68.fips,2070.0,1077
2488.fipstwo,fu46077,f46077
222.statecounty,CA_ePlacer,CA_Placer
619.county,Mahaka ,Mahaska 
144.fips,2090.0,5095
1640.statecounty,T_Missoula,MT_Missoula
1924.countytwo,Camde ,Camden 
2071.statecounty,OH_Cuahoga,OH_Cuyahoga
198.fipstwo,f02180,f06013
259.statefips,2.0,8
1821.statecounty,NE_aBnner,NE_Banner
3006.statecounty,VA_ockingham,VA_Rockingham
211.fips,2100.0,6039
895.countytwo,Alen ,Allen 
163.fipstwo,f02180,f05135
1027.statecounty,KY_rCittenden,KY_Crittenden
113.statecounty,AK_Kenai Peninsula Borough,AR_Crawford
153.fipstwo,f02105,f05113
76.statecounty,AK_Juneau City and Borough,AL_Marion
2377.county,Paillas Municipio,Patillas Municipio
206.statefips,72,6
775.statevalue,LI,IL
187.statecounty,AK_Haines Borough,AZ_Pima
191.statefips,32,4
180.fipstwo,f02198,f04007
67.fipstwo,f02068,f01075
28.county,Anchorage Municipality,Yakutat City and Borough
1066.countytwo,Lethcer ,Letcher 
1601.countytwo,aWrren ,Warren 
88.fips,1055.0,1115
1740.statevalue,C,NC
1630.county,Jeffesron ,Jefferson 
3114.statevalue,uWI,WI
1731.county,nOslow ,Onslow 
2922.countytwo,Chesterfierld ,Chesterfield 
2456.countytwo,Brow n,Brown 
256.fipstwo,f02180,f08013
1303.statevalue,MhI,MI
3002.statevalue,A,VA
1895.statevalue,E,NE
2598.countytwo,rSullivan ,Sullivan 
54.statecounty,AK_Yakutat City and Borough,AL_DeKalb
107.fipstwo,f02050,f05021
1646.statevalue,T,MT
151.statevalue,RA,AR
1779.countytwo,mmons ,Emmons 
1769.fipstwo,3f8009,f38009
770.statevalue,L,IL
1096.fipstwo,f21139,f21193
2200.fipstwo,4f0117,f40117
687.fipstwo,1f6061,f16061
115.fips,2070.0,5037
2954.county,Harjrisonburg city,Harrisonburg city
1960.countytwo,ora ,Mora 
1055.fipstwo,21111,f21111
2656.countytwo,Coorado ,Colorado 
2794.countytwo,Panla ,Panola 
613.county,Le e,Lee 
235.fipstwo,f02282,f06087
564.fipstwo,19013,f19013
194.statecounty,AK_Fairbanks North Star Borough,CA_Amador
128.statevalue,AK,AR
1374.countytwo,Nrman ,Norman 
1424.countytwo,Carroll ***,Carroll 
74.fips,2164.0,1089
947.countytwo,iLncoln ,Lincoln 
3042.fipstwo,50019,f50019
1736.countytwo,Pelrquimans ,Perquimans 
2545.county,Grabinger ,Grainger 
1715.statevalue,CN,NC
2092.statevalue,HO,OH
205.fipstwo,f02105,f06027
149.fipstwo,f01013,f05105
459.fipstwo,f13153,f13135
84.statecounty,AK_Hoonah-Angoon Census Area,AL_Pike
231.statefips,24,6
1018.statecounty,KY_Campebll,KY_Campbell
1403.countytwo,Wajtonwan ,Watonwan 
2621.countytwo,Bandra ,Bandera 
211.statefips,94,6
2512.countytwo,Turmner ,Turner 
292.statevalue,O,CO
173.fipstwo,f02261,f60020
779.countytwo,Randolqph ,Randolph 
236.statecounty,C_Shasta,CA_Shasta
273.statefips,11,8
532.statecounty,GA_Treutlne,GA_Treutlen
66.statecounty,AK_Bethel Census Area,AL_Jefferson
3078.statecounty,A_Spokane,WA_Spokane
953.statevalue,S,KS
488.fipstwo,fk13197,f13197
1920.county,Sullivan ***,Sullivan 
756.fipstwo,f17171,f17117
211.fipstwo,f02188,f06039
78.statecounty,AK_Matanuska-Susitna Borough,AL_Mobile
768.countytwo,Motngomery ,Montgomery 
799.fipstwo,f171t97,f17197
2939.statecounty,VA_iFluvanna,VA_Fluvanna
1720.statevalue,NwC,NC
34.fips,2282.0,1009
296.statefips,105,8
1664.county,Yellowstonen ,Yellowstone 
821.statevalue,N,IN
3037.fipstwo,f5000l9,f50009
638.county,Sc ,Sac 
51.county,Bethel Census Area,Cullman 
2030.countytwo,Otseg ,Otsego 
1107.countytwo,Sepncer ,Spencer 
222.fipstwo,f02122,f06061
544.statecounty,GA_Webstoer,GA_Webster
204.fipstwo,f02270,f06025
197.fips,1007.0,6011
570.countytwo,Clhoun ,Calhoun 
100.county,Barbour ,Benton 
2871.statecounty,UTDaggett,UT_Daggett
85.fipstwo,f01005,f01111
1150.fipstwo,f2061,f22061
125.county,North Slope Borough,Hempstead 
92.county,North Slope Borough,Tuscaloosa 
228.statefips,50,6
532.statevalue,gGA,GA
2395.fipstwo,sf72145,f72145
262.statefips,103,8
2919.countytwo,Chrlotte ,Charlotte 
929.statevalue,S,KS
121.county,Bristol Bay Borough,Fulton 
161.fips,2188.0,5131
862.countytwo,Oewn ,Owen 
3218.countytwo,rCook ,Crook 
208.fips,2090.0,6033
2492.county,Lyma ,Lyman 
2599.county,umner ,Sumner 
321.countytwo,Widham ,Windham 
678.countytwo,remont ,Fremont 
1089.county,Nelsn ,Nelson 
1573.statecounty,MS_lMarshall,MS_Marshall
238.statefips,2.0,6
311.statefips,38,8
158.fips,5107.0,5125
172.statevalue,AR,AS
114.statecounty,AK_Juneau City and Borough,AR_Crittenden
307.statefips,83,8
255.fipstwo,f01003,f08011
2207.county,Rhogers ,Rogers 
2146.fipstwo,f40009***,f40009
1285.countytwo,Lcuce ,Luce 
220.fips,2070.0,6057
120.fipstwo,f02016,f05047
41.statecounty,AK_Bethel Census Area,AL_Choctaw
117.statefips,2.0,5
140.fips,2050.0,5087
541.statevalue,GjA,GA
1594.fipstwo,f2t8135,f28135
1541.statecounty,MS_Coppiah,MS_Copiah
24.fips,2100.0,2240
1850.fipstwo,f3105,f31065
458.statevalue,A,GA
155.fips,1051.0,5117
2825.countytwo,tarr ,Starr 
3188.county,oMnongalia ,Monongalia 
2848.statevalue,X,TX
777.statecounty,IL_ulaski,IL_Pulaski
3028.statevalue,AV,VA
182.statevalue,AK,AZ
534.countytwo,urner ,Turner 
102.statecounty,AL_Butler,AR_Bradley
28.statevalue,KA,AK
332.countytwo,Calhuon ,Calhoun 
2961.county,King and Quee n,King and Queen 
376.statevalue,gFL,FL
1346.statecounty,jMN_Grant,MN_Grant
1473.statevalue,OM,MO
2563.statevalue,hTN,TN
148.county,Bibb ,Ouachita 
1698.statevalue,CN,NC
326.statevalue,FaL,FL
138.fipstwo,f02068,f05083
47.county,Bristol Bay Borough,Conecuh 
135.county,Dillingham Census Area,Lee 
121.statecounty,AK_Aleutians West Census Area,AR_Fulton
2566.statecounty,TN_Lbawrence,TN_Lawrence
240.fipstwo,f01001,f06097
51.statecounty,AK_Kenai Peninsula Borough,AL_Cullman
20.fips,2100.0,2195
1628.fipstwo,3f0039,f30039
349.county,Hawrdee ,Hardee 
219.fipstwo,f02100,f06055
226.fipstwo,f02185,f06069
1501.county,Scotlan d,Scotland 
3195.fipstwo,f540s75,f54075
86.statecounty,AK_Anchorage Municipality,AL_Russell
1770.countytwo,Bowmna ,Bowman 
103.fipstwo,f06019,f05013
113.county,Kodiak Island Borough,Crawford 
2597.countytwo,Stewwart ,Stewart 
2413.countytwo,Calhou n,Calhoun 
294.statefips,56,8
3041.statecounty,VT_Orane,VT_Orange
276.statefips,77,8
1287.county,uMacomb ,Macomb 
386.fipstwo,f21121,f12121
87.statecounty,AL_Montgomery,AL_Shelby
2983.statecounty,A_Northampton,VA_Northampton
132.statevalue,R,AR
170.fipstwo,f02170,f05147
85.statevalue,AaL,AL
948.statevalue,S,KS
1279.statevalue,IM,MI
78.statefips,2.0,1
120.county,Aleutians West Census Area,Franklin 
41.fips,2016.0,1023
61.statecounty,AL_Blount,AL_Greene
457.fipstwo,f1131,f13131
56.fips,2122.0,1053
174.fips,2261.0,60030
77.fips,2050.0,1095
2560.statecounty,T_NJackson,TN_Jackson
152.statefips,2.0,5
2600.statecounty,TNTipton,TN_Tipton
24.statevalue,K,AK
101.county,Bristol Bay Borough,Boone 
22.county,Nome Census Area,Sitka City and Borough
263.fipstwo,f06019,f08025
130.county,Northwest Arctic Borough,Jackson 
2645.countytwo,ass ,Cass 
2306.statecounty,P_Pike,PA_Pike
20.statevalue,K,AK
905.countytwo,Cheorkee ,Cherokee 
214.fipstwo,f01017,f06045
110.county,Northwest Arctic Borough,Columbia 
755.countytwo,Macn ,Macon 
2991.countytwo,Pittsqylvania ,Pittsylvania 
341.statecounty,FL_Escambaia,FL_Escambia
3099.county,Ddge ,Dodge 
1764.statevalue,C,NC
2247.countytwo,Tbillamook ,Tillamook 
423.countytwo,Clazyton ,Clayton 
2680.statevalue,uTX,TX
131.statevalue,R,AR
48.fips,2070.0,1037
2291.statevalue,A,PA
122.fipstwo,f02100,f05051
1654.statecounty,MT_Sherdan,MT_Sheridan
827.statecounty,IN_Fuklton,IN_Fulton
75.fipstwo,f01039,f01091
177.fipstwo,f02188,f04001
358.statevalue,L,FL
2342.fipstwo,f70241,f72041
116.county,Haines Borough,Dallas 
1685.county,Chowa n,Chowan 
223.fipstwo,f02013,f06063
2628.county,hBorden ,Borden 
1013.statevalue,YK,KY
410.countytwo,Butt ,Butts 
187.fips,1007.0,4019
161.statefips,2.0,5
2329.statecounty,PR_Arroyo uMnicipio,PR_Arroyo Municipio
662.statevalue,DI,ID
2090.fipstwo,f390s73,f39073
188.fips,2282.0,4021
164.fipstwo,f02180,f05123
237.fipstwo,f02068,f06091
220.fipstwo,f01071,f06057
741.countytwo,Jefferpson ,Jefferson 
2993.countytwo,Portsmouth ciyt,Portsmouth city
115.statevalue,gAR,AR
80.statevalue,aAL,AL
143.fips,2070.0,5093
3184.statecounty,WVM_cDowell,WV_McDowell
2483.countytwo,Hutchison ,Hutchinson 
3108.statevalue,WuI,WI
1524.countytwo,Rota Municipaliyt,Rota Municipality
172.fipstwo,f01001,f60010
1048.fipstwo,f12097,f21097
210.statefips,32,6
207.fipstwo,f01013,f06031
44.statevalue,LA,AL
1700.countytwo,Gasto ,Gaston 
160.fips,2122.0,5129
1101.countytwo,Rockcastl e,Rockcastle 
1621.county,Falon ,Fallon 
1850.county,Fuhrnas ,Furnas 
240.statecounty,CA_onoma,CA_Sonoma
1407.fipstwo,f72173,f27173
91.statevalue,AgL,AL
295.statefips,96,8
1783.county,Granjt ,Grant 
2236.countytwo,lamath ,Klamath 
1203.statevalue,DM,MD
2708.countytwo,Hamilto n,Hamilton 
163.statevalue,AL,AR
151.statecounty,AK_Bethel Census Area,AR_Pike
2714.statecounty,TuX_Hartley,TX_Hartley
15.statevalue,KA,AK
854.countytwo,Miai ,Miami 
2612.countytwo,Apnderson ,Anderson 
186.fipstwo,f01035,f04017
1420.countytwo,Caldwevll ,Caldwell 
143.county,Anchorage Municipality,Mississippi 
885.statecounty,INV_ermillion,IN_Vermillion
216.fipstwo,f02090,f06049
1309.county,Roscommo ,Roscommon 
1182.statecounty,LA_West Fliciana,LA_West Feliciana
2202.countytwo,Pkittsburg ,Pittsburg 
464.county,Haris ,Harris 
2900.statevalue,AV,VA
102.statevalue,AL,AR
432.countytwo,Crzisp ,Crisp 
2369.county,Maricao Muincipio,Maricao Municipio
401.county,Buen Hill ,Ben Hill 
229.statefips,2.0,6
358.statecounty,FLLafayette,FL_Lafayette
13.statevalue,AhK,AK
160.fipstwo,f02060,f05129
1181.statevalue,xLA,LA
2336.county,Canovanas unicipio,Canovanas Municipio
75.statefips,2.0,1
1457.statevalue,OM,MO
2053.fipstwo,f36213,f36123
2129.statecounty,OH_Satrk,OH_Stark
1824.statecounty,NE_Bxo Butte,NE_Box Butte
40.fips,2016.0,1021
3095.statecounty,qWI_Clark,WI_Clark
21.fips,2090.0,2198
88.statefips,2.0,1
2488.county,xKingsbury ,Kingsbury 
99.statevalue,AL,AR
62.fips,2068.0,1065
1383.countytwo,RedLake ,Red Lake 
52.county,Bethel Census Area,Dale 
3114.statecounty,WI_Juneua,WI_Juneau
227.fipstwo,f01055,f06071
90.statevalue,L,AL
880.fipstwo,f81155,f18155
2756.countytwo,eon ,Leon 
141.county,Matanuska-Susitna Borough,Marion 
37.fips,2185.0,1015
2701.fipstwo,f48197,f48179
235.statefips,2.0,6
11.fips,2050.0,2110
108.statefips,2.0,5
2507.statevalue,SzD,SD
603.county,Hmuboldt ,Humboldt 
2526.countytwo,Carte r,Carter 
39.county,Anchorage Municipality,Cherokee 
72.statevalue,LA,AL
1214.statecounty,MD_Princ George's,MD_Prince George's
180.statefips,2.0,4
2827.statecounty,TX_Stering,TX_Sterling
488.statevalue,vGA,GA
3000.statecounty,VAz_Rappahannock,VA_Rappahannock
1007.countytwo,Boonwe ,Boone 
2906.countytwo,Bedfor ,Bedford 
146.statefips,2.0,5
243.fipstwo,f06019,f06103
2737.countytwo,Johnosn ,Johnson 
2874.statecounty,UT_Emrey,UT_Emery
106.statevalue,aAR,AR
1126.county,Bienvile Parish,Bienville Parish
254.statefips,11,8
2775.statevalue,X,TX
2596.statecounty,TNd_Smith,TN_Smith
1823.statecounty,NEBoone,NE_Boone
2612.statevalue,XT,TX
241.fipstwo,f01041,f06099
71.county,Dillingham Census Area,Limestone 
140.statevalue,AK,AR
3087.countytwo,Asland ,Ashland 
72.fips,2060.0,1085
486.countytwo,Maacon ,Macon 
2122.countytwo,Putanm ,Putnam 
213.fipstwo,f01041,f06043
722.county,eDuPage ,DuPage 
266.fipstwo,f06093,f08031
1904.statevalue,EN,NE
1024.statecounty,KY_Clakr,KY_Clark
3058.statecounty,WA_Garfiecld,WA_Garfield
533.fipstwo,f1328d5,f13285
1938.statecounty,NcJ_Somerset,NJ_Somerset
919.countytwo,Ek ,Elk 
298.statefips,12,8
634.countytwo,olk ,Polk 
637.statecounty,AI_Ringgold,IA_Ringgold
482.fipstwo,fo13181,f13181
139.county,Kenai Peninsula Borough,Lonoke 
107.fips,2180.0,5021
105.statevalue,AK,AR
1263.statevalue,I,MI
2889.statecounty,U_Tooele,UT_Tooele
150.statevalue,AL,AR
93.statecounty,AK_Juneau City and Borough,AL_Walker
2523.countytwo,Cmampbell ,Campbell 
1912.countytwo,Carrol l,Carroll 
1401.statecounty,MN_Wsaeca,MN_Waseca
139.statevalue,AK,AR
2077.countytwo,Fayette ***,Fayette 
83.fipstwo,f02013,f01107
2526.statecounty,TN_Caretr,TN_Carter
125.fips,2185.0,5057
990.fipstwo,f2019h1,f20191
169.statefips,2.0,5
2143.statevalue,KO,OK
114.fipstwo,f02090,f05035
128.statecounty,AK_Aleutians East Borough,AR_Independence
915.statecounty,KSDickinson,KS_Dickinson
310.statefips,80,8
270.fipstwo,f080r41,f08041
102.county,Aleutians West Census Area,Bradley 
179.statevalue,AL,AZ
40.fipstwo,f02068,f01021
1658.county,Teon ,Teton 
91.county,Juneau City and Borough,Tallapoosa 
35.fips,2180.0,1011
76.statefips,2.0,1
62.county,Juneau City and Borough,Hale 
182.fips,2020.0,4011
156.fips,1049.0,5119
3056.countytwo,eFrry ,Ferry 
2335.fipstwo,f7e2027,f72027
2932.statecounty,V_AEmporia city,VA_Emporia city
681.fipstwo,f1h6049,f16049
562.countytwo,Auudbon ,Audubon 
146.fipstwo,f02100,f05099
203.fips,2060.0,6023
2728.statevalue,XT,TX
82.fips,2270.0,1105
1213.county,hMontgomery ,Montgomery 
1169.county,St. Martin Praish,St. Martin Parish
3139.statecounty,WIq_Rock,WI_Rock
23.county,Haines Borough,Skagway Municipality
1108.fipstwo,f21271,f21217
380.fipstwo,f1s2113,f12113
1205.fipstwo,ff24015,f24015
2857.county,Wwilliamson ,Williamson 
3002.statecounty,VA_Richmnod city,VA_Richmond city
169.fips,2060.0,5145
981.statecounty,KS_Sedgxwick,KS_Sedgwick
212.fips,2122.0,6041
1163.county,St. Bernadr Parish,St. Bernard Parish
1205.county,Ceicl ,Cecil 
100.statefips,2.0,5
1370.countytwo,ower ,Mower 
2220.countytwo,Benotn ,Benton 
1533.countytwo,alhoun ,Calhoun 
2116.fipstwo,f391d25,f39125
666.county,Bonnevislle ,Bonneville 
188.statefips,2.0,4
2148.statevalue,uOK,OK
62.statevalue,L,AL
134.statefips,2.0,5
1584.countytwo,Povntotoc ,Pontotoc 
853.fipstwo,nf18101,f18101
2799.statevalue,TrX,TX
71.fips,2164.0,1083
200.statecounty,AK_Matanuska-Susitna Borough,CA_El Dorado
531.fipstwo,f13821,f13281
1647.statecounty,MT_dPowell,MT_Powell
1001.statevalue,jKY,KY
1604.statecounty,MS_Webter,MS_Webster
233.countytwo,Santa Brbara ,Santa Barbara 
1250.countytwo,Cajlhoun ,Calhoun 
1148.county,Lafaytete Parish,Lafayette Parish
1867.county,Karney ,Kearney 
1486.countytwo,Prry ,Perry 
291.countytwo,Moffat ***,Moffat 
2782.statevalue,qTX,TX
1523.statevalue,xMP,MP
156.fipstwo,f02188,f05119
117.fips,1003.0,5041
2116.statevalue,HO,OH
1366.county,McLed ,McLeod 
1890.fipstwo,ft31145,f31145
1690.countytwo,Cumbrland ,Cumberland 
1174.county,TerrebonneP arish,Terrebonne Parish
91.statecounty,AK_Bristol Bay Borough,AL_Tallapoosa
1956.fipstwo,35027,f35027
2915.countytwo,Campbel l,Campbell 
2020.county,Montgomebry ,Montgomery 
1557.statecounty,MSv_Jasper,MS_Jasper
35.fipstwo,f01025,f01011
242.statefips,2.0,6
378.statevalue,L,FL
14.statevalue,K,AK
64.fips,2060.0,1069
118.fips,2013.0,5043
247.fipstwo,f01051,f06111
1251.countytwo,ass ,Cass 
1214.countytwo,Prince Geoge's ,Prince George's 
1641.countytwo,Muselshell ,Musselshell 
2114.fipstwo,f39112,f39121
25.statevalue,pAK,AK
130.statecounty,AK_Bethel Census Area,AR_Jackson
154.statefips,2.0,5
241.statefips,2.0,6
186.fips,2188.0,4017
1769.countytwo,Bottisneau ,Bottineau 
1041.fipstwo,21083,f21083
1373.statevalue,N,MN
189.statefips,2.0,4
83.fips,1099.0,1107
61.statefips,2.0,1
1024.countytwo,Clrak ,Clark 
171.statevalue,AL,AR
133.fips,2270.0,5073
1119.statevalue,kKY,KY
1578.statecounty,uMS_Noxubee,MS_Noxubee
1775.county,ickey ,Dickey 
1035.statevalue,Y,KY
39.fipstwo,f01005,f01019
2654.statevalue,fTX,TX
1236.fipstwo,f2309,f23029
2196.fipstwo,f41009,f40109
136.county,Petersburg Census Area,Lincoln 
2657.countytwo,gComal ,Comal 
2613.county,Andrws ,Andrews 
3001.statevalue,bVA,VA
313.statefips,108,8
2513.statecounty,D_Union,SD_Union
2200.county,Pawneje ,Pawnee 
2184.statevalue,OvK,OK
1769.statevalue,NmD,ND
2618.fipstwo,48013,f48013
608.statecounty,A_Jefferson,IA_Jefferson
745.statevalue,LI,IL
2265.statecounty,PA_ambria,PA_Cambria
2702.statevalue,XT,TX
2655.countytwo,lCollingsworth ,Collingsworth 
2299.countytwo,onroe ,Monroe 
2920.county,Carlottesville city,Charlottesville city
1798.county,Pembin a,Pembina 
604.statecounty,I_Ida,IA_Ida
1432.county,Clintond ,Clinton 
84.statevalue,L,AL
653.statevalue,IsA,IA
1158.countytwo,Pionte Coupee ,Pointe Coupee 
1430.countytwo,Cark ,Clark 
2539.statevalue,NT,TN
84.county,Fairbanks North Star Borough,Pike 
376.statecounty,FL_aPsco,FL_Pasco
191.fipstwo,f01047,f04027
1025.statevalue,KiY,KY
173.fips,2105.0,60020
67.county,Kodiak Island Borough,Lamar 
2096.statecounty,OH_Lke,OH_Lake
803.fipstwo,f180e01,f18001
134.statecounty,AK_Bethel Census Area,AR_Lawrence
1960.fipstwo,3f5033,f35033
426.fipstwo,f1069,f13069
236.fipstwo,f02020,f06089
2329.countytwo,Arroyo Munibcipio,Arroyo Municipio
2793.statevalue,X,TX
131.fipstwo,f02050,f05069
40.county,Aleutians West Census Area,Chilton 
1937.fipstwo,f3033,f34033
99.fips,2188.0,5005
2894.fipstwo,49055,f49055
197.fipstwo,f02180,f06011
46.fipstwo,f02275,f01033
2525.countytwo,Ccarroll ,Carroll 
92.statecounty,AK_Sitka City and Borough,AL_Tuscaloosa
76.county,Denali Borough,Marion 
134.countytwo,awrence ,Lawrence 
1568.statevalue,MpS,MS
1655.countytwo,Silvr Bow ,Silver Bow 
177.statevalue,AK,AZ
101.fips,2180.0,5009
167.county,Vanr Buren ,Van Buren 
55.countytwo,lmore ,Elmore 
55.statecounty,AK_Aleutians East Borough,AL_Elmore
1911.county,eBlknap ,Belknap 
249.fipstwo,f02185,f06115
171.fips,1049.0,5149
1720.statecounty,NC_Maucon,NC_Macon
829.statecounty,IN_Grat,IN_Grant
1314.statecounty,MI_St. lair,MI_St. Clair
61.fips,2185.0,1063
148.fipstwo,f02185,f05103
13.county,Kenai Peninsula Borough,Ketchikan Gateway Borough
907.countytwo,Cnlark ,Clark 
234.statefips,2.0,6
2609.countytwo,uWhite ,White 
219.fips,6019.0,6055
124.statevalue,AL,AR
3214.countytwo,Big Hrn ,Big Horn 
43.fips,2016.0,1027
3086.statecounty,WI_Adamcs,WI_Adams
1853.statevalue,NzE,NE
86.county,Dillingham Census Area,Russell 
845.statevalue,N,IN
110.fipstwo,f02290,f05027
1692.county,are ,Dare 
184.fips,2188.0,4013
937.statevalue,S,KS
178.fips,2188.0,4003
928.statecounty,K_Grant,KS_Grant
1607.statevalue,MfS,MS
892.fipstwo,f181j79,f18179
49.fips,2060.0,1039
2891.statecounty,U_TUtah,UT_Utah
1261.statevalue,IM,MI
158.statevalue,AK,AR
2128.countytwo,Sehlby ,Shelby 
2062.fipstwo,f3907,f39017
895.statevalue,KzS,KS
129.county,Aleutians East Borough,Izard 
448.fipstwo,tf13113,f13113
1737.statevalue,CN,NC
1209.statecounty,MD_Grrett,MD_Garrett
1516.statecounty,MO_Vernoon,MO_Vernon
603.countytwo,Humeboldt ,Humboldt 
2294.fipstwo,zf42079,f42079
1774.fipstwo,f8019,f38019
176.fips,2100.0,60050
1204.statevalue,D,MD
18.statevalue,KA,AK
639.county,Sctot ,Scott 
721.fipstwo,17041,f17041
217.fipstwo,f02100,f06051
215.fipstwo,f02122,f06047
1309.statevalue,qMI,MI
1395.statevalue,N,MN
97.county,Haines Borough,Arkansas 
204.statefips,2.0,6
197.statefips,95,6
1679.countytwo,Camde n,Camden 
2711.statevalue,XT,TX
1039.statevalue,Y,KY
948.countytwo,tLinn ,Linn 
3216.countytwo,Carbone ,Carbon 
510.fipstwo,f31239,f13239
1550.fipstwo,f2047,f28047
2717.statevalue,TzX,TX
1909.countytwo,heeler ,Wheeler 
2501.statevalue,SoD,SD
239.statefips,57,6
496.countytwo,Mrgan ,Morgan 
2584.statevalue,TeN,TN
136.fipstwo,f02275,f05079
1378.statevalue,eMN,MN
153.statevalue,ApR,AR
2667.countytwo,Dalla ,Dallam 
2217.fipstwo,f4151,f40151
368.fipstwo,12086,f12086
107.statefips,2.0,5
1928.fipstwo,f3405,f34015
386.county,Suwanene ,Suwannee 
1819.fipstwo,f31d003,f31003
40.statefips,2.0,1
70.fips,2070.0,1081
3000.statevalue,uVA,VA
1412.countytwo,Batrry ,Barry 
49.statefips,2.0,1
933.countytwo,Harpoer ,Harper 
2997.countytwo,Prinec William ,Prince William 
1941.countytwo,Waren ,Warren 
3005.county,Rockbjridge ,Rockbridge 
232.fipstwo,f06019,f06081
210.fips,1001.0,6037
2675.statecounty,TX_Dimmti,TX_Dimmit
620.statevalue,AI,IA
254.fipstwo,f02270,f08009
1704.fipstwo,f7079,f37079
1856.fipstwo,f31k077,f31077
2791.statecounty,jTX_Oldham,TX_Oldham
2816.statecounty,TX_San Patricioo,TX_San Patricio
2834.statecounty,TXd_Terry,TX_Terry
133.statevalue,AK,AR
2857.statecounty,TX_Williamon,TX_Williamson
1144.county,Jackson Pairsh,Jackson Parish
694.statevalue,DI,ID
79.statecounty,AL_Etowah,AL_Monroe
200.fipstwo,f02013,f06017
233.fipstwo,f06093,f06083
3098.fipstwo,f5025,f55025
497.countytwo,Murrary ,Murray 
2020.fipstwo,36057,f36057
1325.countytwo,Bento n,Benton 
