objectid(long),schoolname,schooltype,typedesc,grades,streetnumber(long),streetname,city,zip(long),homeurl,schyr,region(long),global_id,creation_date,creator,edit_date,editor,shape_area(double precision),shape_length(double precision)
3984.0,MARSHALL,HS,High,9-12,7731,LEESBURG PIKE,FALLS CHURCH,22043,https://marshallhs.fcps.edu/,2023_24,5,891eff38-33ec-492e-8c15-f92b58d630d5,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,335595136.164063,157882.716797486
3985.0,MCLEAN,HS,High,9-12,1663,DAVIDSON RD,MCLEAN,22101,https://mcleanhs.fcps.edu/,2023_24,2,f3a80bf4-26da-4f16-8999-44494a5ed79d,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,305635855.015625,133699.81503956
3986.0,MOUNT VERNON,HS,High,9-12,8515,OLD MOUNT VERNON RD,ALEXANDRIA,22309,https://mountvernonhs.fcps.edu/,2023_24,3,85a7a8ea-3309-480d-a978-1f0b8061e9eb,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,639721352.109375,181002.693552058
3987.0,OAKTON,HS,High,9-12,2900,SUTTON RD,VIENNA,22181,https://oaktonhs.fcps.edu/,2023_24,1,57f85324-a97f-4479-b716-6e8b9a4f5550,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,431755041.9375,148596.078227397
3988.0,ROBINSON,HS,High,9-12,5035,SIDEBURN RD,FAIRFAX,22032,https://robinsonss.fcps.edu/,2023_24,4,1a17ee6c-b16a-4198-ad57-c00f4b225ccf,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,959650100.835938,217859.536665797
3989.0,SOUTH COUNTY,HS,High,9-12,8501,SILVERBROOK RD,LORTON,22079,https://southcountyhs.fcps.edu/,2023_24,4,68e214b8-1e61-4fb0-9ab5-e51bd13bed6e,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,887893546.789063,223476.603737636
3990.0,SOUTH LAKES,HS,High,9-12,11400,SOUTH LAKES DR,RESTON,20191,https://southlakeshs.fcps.edu/,2023_24,1,f4fd5938-3620-4d23-93ef-d57ea4141937,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,476373321.203125,136954.691495088
3991.0,WEST POTOMAC,HS,High,9-12,6500,QUANDER RD,ALEXANDRIA,22307,https://westpotomachs.fcps.edu/,2023_24,3,322ef7cf-a0aa-4eb8-bc3a-5e306b7538b3,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,331385131.617188,98943.9878052972
3992.0,WEST SPRINGFIELD,HS,High,9-12,6100,ROLLING RD,SPRINGFIELD,22152,https://westspringfieldhs.fcps.edu/,2023_24,4,4d4f49ef-fa37-4086-b44f-06ee08438199,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,240807431.78125,83139.0105114734
3993.0,WESTFIELD,HS,High,9-12,4700,STONECROFT BLVD,CHANTILLY,20151,https://westfieldhs.fcps.edu/,2023_24,5,56ad4c80-0e93-4305-8368-fffdbece78f2,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,841706833.414063,200045.854510486
3994.0,WOODSON,HS,High,9-12,9525,MAIN ST,FAIRFAX,22031,https://woodsonhs.fcps.edu/,2023_24,5,3dcc4633-da6b-4249-aac2-d07098064047,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,492373006.460938,175702.028788829
3995.0,THOMAS JEFFERSON,HS,High,9-12,6560,BRADDOCK RD,ALEXANDRIA,22312,https://tjhsst.fcps.edu/,2023_24,6,7bb7c945-cf32-4d72-9ade-6c9f7dd90daa,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,1720776.7265625,6677.5655275263
