540.code,74-Im030,74-I030
28.superintendentsemail,rwpitt@okeene.k12.ok.uxs,rwpitt@okeene.k12.ok.us
1.superintendentsemail,mhargis@peavinepanthers.nert,mhargis@peavinepanthers.net
471.address,11929 Ns 350,11929 Ns 3550
460.fax,(918) 443-9088***,(918) 443-9088
278.districtname,OSAGE                         ***,OSAGE                         
249.boardpresident,Leon Mgitchell,Leon Mitchell
320.fax,(198) 463-2542,(918) 463-2542
533.superintendentsemail,phiseley@okxayps.org,phiseley@okayps.org
12.superintendentsemail,ANDERSOND@CHEROKE.EK12.OK.US,ANDERSOND@CHEROKEE.K12.OK.US
126.countyname,tCREEK       ,CREEK       
200.websiteurl,www.navajo.k12.ok.ufs,www.navajo.k12.ok.us
546.countyname,wWOODS       ,WOODS       
316.address,2k02 W. Broadway,202 W. Broadway
14.phone,(580) 889-3687***,(580) 889-3687
20.fax,(580) 625-3609,(580) 625-3690
19.superintendent,Lri Delay,Lori Delay
105.superintendent,Deanena Voegeli,Deanna Voegeli
473.fax,(405z) 382-3339,(405) 382-3339
413.phone,w(918) 297-2534,(918) 297-2534
117.superintendentsemail,cmckeon@welchwildczats.net,cmckeon@welchwildcats.net
324.code,52-oI004,52-I004
491.code,69-I0a03,69-I003
239.superintendentsemail,wmcgowen@fanshae.k12.ok.us,wmcgowen@fanshawe.k12.ok.us
469.city,Konlawa,Konawa
486.boardpresident,Cody Slona,Cody Sloan
133.boardpresident,Anthon Sylvester,Anthony Sylvester
412.address,10 Boulevard  Uni A,10 Boulevard  Unit A
58.superintendentsemail,cmcvay@elrenpos.org,cmcvay@elrenops.org
55.boardpresident,Davdi Bilderback,David Bilderback
140.boardpresident,Matthew Buddner,Matthew Budder
377.address,225 Country Road2 706,225 Country Road 2706
458.fax,(918) 26-8647,(918) 266-8647
79.superintendent,Bryan Hxi,Bryan Hix
519.statevalue,K,OK
64.address,16624 Us Hwxy 77,16624 Us Hwy 77
92.districtname,ROBIN HILL        y            ,ROBIN HILL                    
82.websiteurl,www.tahlequahschools.xorg,www.tahlequahschools.org
469.code,67-I040,67-I004
500.city,Hafrdesty,Hardesty
80.code,1-1I006,11-I006
414.code,61k-I002,61-I002
431.city,Shawnee***,Shawnee
351.phone,(405) 769-4i859,(405) 769-4859
143.websiteurl,www.ridgerunner.snet,www.ridgerunners.net
419.fax,x(918) 334-3295,(918) 334-3295
48.code,08-I610,08-I160
267.statevalue,K,OK
474.superintendent,Diane aPrris,Diane Parris
72.websiteurl,www.bokosheschool.rg,www.bokosheschool.org
282.websiteurl,www.elg.k12.ok.us,www.lg.k12.ok.us
517.phone,(918) 834c-3936,(918) 834-3936
361.superintendentsemail,aalor@aokcps.org,aalora@okcps.org
359.statevalue,K,OK
342.superintendentsemail,bach@hfaaokc.rg,bach@hfaaokc.org
530.phone,(918)272-5367,(918) 272-5367
485.fax,(918) 427-1w785,(918) 427-1785
77.superintendentsemail,egkennedy@grandview.k12.ok.us,ekennedy@grandview.k12.ok.us
26.code,05I031,05-I031
161.statevalue,K,OK
227.boardpresident,Shaw nVogt,Shawn Vogt
120.statevalue,OjK,OK
97.phone,(405) 329-76q91,(405) 329-7691
528.superintendentsemail,hartzler.kir@tunionps.org,hartzler.kirt@unionps.org
69.superintendentsemail,bphelps@foxps.k12.oik.us,bphelps@foxps.k12.ok.us
342.phone,(405) 702-3422,(405) 702-4322
449.statevalue,KO,OK
490.fax,(580) 349-2907,(580) 439-2907
493.city,Ducan,Duncan
431.districtname,RGOVE                         ,GROVE                         
363.fax,) -,() -
481.districtname,SALLISAW    v                  ,SALLISAW                      
324.districtname,FRONTIER                      ***,FRONTIER                      
550.countyname,WOODWARD    ***,WOODWARD    
265.districtname,MULHALL-ORLANDO               ***,MULHALL-ORLANDO               
89.phone,(50) 544-3110,(580) 544-3110
326.address,"Rural Route 1, Box3 77-7","Rural Route 1, Box 377-7"
447.websiteurl,www.rattan.k12.ok.s,www.rattan.k12.ok.us
277.superintendentsemail,teresia.knott@wickliffenschool.com,teresia.knott@wickliffeschool.com
157.address,650 East Wood Road,6520 East Wood Road
300.city,WrightC ity,Wright City
440.phone,(405) 273-053,(405) 273-0653
536.phone,(918) 483-2r401,(918) 483-2401
391.phone,(918) 678-225,(918) 678-2255
197.websiteurl,wwwholdenville.k12.ok.us,www.holdenville.k12.ok.us
70.websiteurl,www.dickson.k12d.ok.us,www.dickson.k12.ok.us
408.superintendent,Patricek Turner,Patrick Turner
377.boardpresident,Jqim Smith,Jim Smith
235.code,39-In004,39-I004
245.superintendent,Grant aRlls,Grant Ralls
287.city,Wahyne,Wayne
133.websiteurl,www.drumright.k12.ok.su,www.drumright.k12.ok.us
158.code,24-I075,24-I057
378.boardpresident,Jhon Strom,John Strom
123.fax,(918) w224-0617,(918) 224-0617
459.websiteurl,http://www.chelseadragoons.net,http://www.chelseadragons.net
187.phone,(580) 92-3362,(580) 921-3362
398.phone,(918) 76-23676,(918) 762-3676
360.boardpresident,Heather iller,Heather Miller
287.boardpresident,Abbi Castel,Abbi Castle
505.address,500 Sotuh Main,500 South Main
34.phone,(580 283-3775,(580) 283-3775
329.fax,(918) 623-349,(918) 623-9349
429.websiteurl,httep://www.roff.k12.ok.us/,http://www.roff.k12.ok.us/
133.superintendent,Robby Dorsy,Robby Dorsey
318.countyname,MUSKOGEEq    ,MUSKOGEE    
5.fax,(18) 696-2192,(918) 696-2192
239.address,Hwy 70,Hwy 270
295.superintendent,Doug Bron,Doug Brown
2.fax,(918) 966-6746,(918) 696-6746
442.city,aWnette,Wanette
313.countyname,USKOGEE    ,MUSKOGEE    
358.countyname,OLKAHOMA    ,OKLAHOMA    
402.boardpresident,Debra Vnicent,Debra Vincent
320.phone,(918) 463-5d171,(918) 463-5171
234.websiteurl,www.bvpsxd.org,www.bvpsd.org
477.websiteurl,marblecity.opsrcu.net,marblecity.opsrc.net
478.city,Sallisqaw,Sallisaw
213.address,200 Norteh 8Th Street,200 North 8Th Street
296.fax,(580) 245-225,(580) 245-2265
426.fax,(580) 310-7e206,(580) 310-7206
321.city,Prum,Porum
154.districtname,KRMLIN-HILLSDALE             ,KREMLIN-HILLSDALE             
453.websiteurl,http://www.ciheyenne.k12.ok.us,http://www.cheyenne.k12.ok.us
269.address,22069 State Hwy.23,22069 State Hwy.32
511.districtname,TULSA CHARTER: KIPP TULS     ,TULSA CHARTER: KIPP TULSA     
523.statevalue,KO,OK
7.city,atts,Watts
423.superintendentsemail,bpcaruthers@allen.k12.ok.us,bcaruthers@allen.k12.ok.us
163.boardpresident,Adiranne Olguin,Adrianne Olguin
490.countyname,STEPHNES    ,STEPHENS    
46.city,Cyeril,Cyril
192.superintendentsemail,mguthrie@stiglerpscom,mguthrie@stiglerps.com
193.websiteurl,www.mccurtainschools.vorg,www.mccurtainschools.org
438.boardpresident,Je Brooks,Joe Brooks
79.superintendentsemail,bhix@tenkiller.k1.ok.us,bhix@tenkiller.k12.ok.us
537.city,opan,Copan
258.statevalue,OoK,OK
147.websiteurl,www.vicischols.k12.ok.us,www.vicischools.k12.ok.us
31.code,0-6I105,06-I105
90.city,Felqt,Felt
484.websiteurl,www.gands.k12.ok.us,www.gans.k12.ok.us
206.fax,(580) 757-609,(580) 757-2609
94.districtname,NORMNA                        ,NORMAN                        
114.statevalue,OpK,OK
313.phone,(918) 478-2447,(918) 478-2474
6.phone,918) 696-7768,(918) 696-7768
433.countyname,POTTWAATOMIE,POTTAWATOMIE
148.phone,(580) 922-7n383,(580) 922-7383
141.boardpresident,Cole Mbott,Cole Mott
107.fax,(580) 357-8t307,(580) 357-8307
545.websiteurl,www.alvaschols.net,www.alvaschools.net
474.websiteurl,Bunter.k12.ok.us,Butner.k12.ok.us
265.superintendent,Rodneyf Vollmer,Rodney Vollmer
342.code,55-E100,55-E010
315.statevalue,K,OK
39.websiteurl,www.gdurantisd.org,www.durantisd.org
413.statevalue,K,OK
508.superintendentsemail,jhigdon@grandfield.k12.ok.su,jhigdon@grandfield.k12.ok.us
465.countyname,SEMINOLE    ***,SEMINOLE    
291.districtname,LUKFATA                       ***,LUKFATA                       
223.websiteurl,www.loumega.k12.ok.us,www.lomega.k12.ok.us
165.code,52-I009,25-I009
491.superintendent,George offman Jr.,George Coffman Jr.
462.code,66-I06,66-I006
519.superintendentsemail,rclark@lhaatt.com,rclark@lhatt.com
417.phone,(l918) 469-3100,(918) 469-3100
346.boardpresident,Debr aMurray,Debra Murray
403.code,q60-I056,60-I056
393.websiteurl,http://www.commercetigers.net***,http://www.commercetigers.net
238.phone,(918 )653-4476,(918) 653-4476
106.fax,(580 365-4705,(580) 365-4705
141.statevalue,KO,OK
280.superintendent,Madrk Lippe,Mark Lippe
283.superintendentsemail,kmason@chouteauwildcat.scom,kmason@chouteauwildcats.com
360.statevalue,KO,OK
218.city,Blakcwell,Blackwell
404.countyname,PAYNE      l ,PAYNE       
426.phone,580) 310-7200,(580) 310-7200
78.address,17210 South 59 Road,17210 South 569 Road
115.city,inita,Vinita
343.address,1901 Ne 13Th tSreet,1901 Ne 13Th Street
364.statevalue,K,OK
502.districtname,TYRONE                       ,TYRONE                        
174.countyname,GRADY      ,GRADY       
89.websiteurl,www.oisecity.k12.ok.us,www.boisecity.k12.ok.us
513.phone,(918) 925-158l0,(918) 925-1580
460.city,Oologuah,Oologah
511.statevalue,dOK,OK
265.city,Mulhamll,Mulhall
313.superintendent,Derald Gloer,Derald Glover
187.superintendent,Eddife Thomas,Eddie Thomas
242.countyname,LE FLOgRE    ,LE FLORE    
139.countyname,DELAAWRE    ,DELAWARE    
434.superintendentsemail,sstanlye@mcloudschools.us,sstanley@mcloudschools.us
541.superintendent,Jsaon Goostree,Jason Goostree
530.fax,(918) 227-8111,(918) 272-8111
243.fax,(918) 753-264,(918) 753-2604
30.districtname,GEARY       s                  ,GEARY                         
515.fax,(918) g925-1629,(918) 925-1629
264.countyname,OLGAN       ,LOGAN       
539.city,Rabmona,Ramona
155.code,24-042,24-I042
242.boardpresident,Laura Pitisco,Laura Pitsco
362.code,55J001,55-J001
201.city,Dkue,Duke
183.countyname,GRAN T      ,GRANT       
538.boardpresident,Davizd Ryan Higbee,David Ryan Higbee
274.superintendent,Charlse Anglin,Charles Anglin
307.websiteurl,http://midway.k12.ok.us/***,http://midway.k12.ok.us/
132.superintendent,Robert Armstrnog,Robert Armstrong
324.statevalue,KO,OK
438.phone,(045) 997-5616,(405) 997-5616
35.countyname,RYAN       ,BRYAN       
204.boardpresident,Misit Fraser,Misti Fraser
135.websiteurl,www.htomas.k12.ok.us,www.thomas.k12.ok.us
452.districtname,REYDON                       ,REYDON                        
19.phone,(e580) 889-1996,(580) 889-1996
36.city,Cdado,Caddo
463.boardpresident,Larry aMllory,Larry Mallory
239.city,Fanshdawe,Fanshawe
78.boardpresident,Billjy Gibson,Billy Gibson
179.statevalue,K,OK
330.city,Mson,Mason
361.fax,(405) 5o87-0443,(405) 587-0443
20.countyname,BEcAVER      ,BEAVER      
305.countyname,CINTOSH    ,MCINTOSH    
173.city,Msinco,Minco
426.code,62-0I19,62-I019
239.countyname,LbE FLORE    ,LE FLORE    
402.districtname,STILLWATER                   ,STILLWATER                    
470.phone,(405) 527-5771,(405) 257-5771
71.websiteurl,www.ringlnig.k12.ok.us,www.ringling.k12.ok.us
60.statevalue,K,OK
377.districtname,OSGAE HILLS                   ,OSAGE HILLS                   
168.districtname,ELMORE CITY-PERNELL          ,ELMORE CITY-PERNELL           
438.address,101 North Willien Stargell,101 North Willie Stargell
345.countyname,OKLAHOMA    ***,OKLAHOMA    
132.statevalue,KO,OK
89.superintendentsemail,ira.harris@bcpsdu.org,ira.harris@bcpsd.org
328.superintendentsemail,cfhaddox@scps.k12ok.us,cfhaddox@scps.k12.ok.us
354.statevalue,OwK,OK
413.websiteurl,http://www.hartshorne.k12.ko.us/,http://www.hartshorne.k12.ok.us/
122.address,15223 West 81St Stret South,15223 West 81St Street South
146.countyname,DELAWARE    ***,DELAWARE    
534.address,14540 S. 302Nd East Ae.,14540 S. 302Nd East Ave.
356.websiteurl,http://ww.wmillwoodps.org,http://www.millwoodps.org
317.statevalue,KO,OK
322.districtname,PRERY                         ,PERRY                         
476.fax,(918l) 427-4961,(918) 427-4961
149.code,22-I001,22-I010
274.fax,(580) 976-2350,(580) 796-2350
377.code,75-C003,57-C003
18.countyname,ATOAK       ,ATOKA       
411.city,Mcalestger,Mcalester
119.phone,(918) 2566-778,(918) 256-6778
75.fax,(918) 77-22430,(918) 772-2430
29.city,Watnoga,Watonga
531.code,7-I013,72-I013
512.districtname,TULSA LGACY CHARTER SCHL INC ,TULSA LEGACY CHARTER SCHL INC 
142.statevalue,hOK,OK
231.countyname,KOIWA       ,KIOWA       
68.phone,(58e0) 229-0566,(580) 229-0566
20.websiteurl,http://wwwbeaver.k12.ok.us/,http://www.beaver.k12.ok.us/
22.phone,(580) 47-3366,(580) 487-3366
238.boardpresident,Jim Huryst,Jim Hurst
103.phone,(580) 42-3266,(580) 429-3266
157.city,aWukomis,Waukomis
473.phone,(40) 382-4014,(405) 382-4014
303.address,115035 S 360 Rd,115035 S 3960 Rd
40.superintendentsemail,jfiet@choctawnation.com,jfite@choctawnation.com
304.websiteurl,www.stiham.k12.ok.us,www.stidham.k12.ok.us
279.districtname,PRYOR                         ***,PRYOR                         
507.districtname,FREDERICK                     ***,FREDERICK                     
43.statevalue,qOK,OK
394.districtname,MIAMI                        ,MIAMI                         
55.superintendent,William Dreryberry,William Derryberry
105.address,30 Chebahtah,307 Chebahtah
233.countyname,LATIMER     ***,LATIMER     
173.address,701 Sw Thir St,701 Sw Third St
197.address,210 Grims Street,210 Grimes Street
298.districtname,EAGLTEOWN                     ,EAGLETOWN                     
359.superintendentsemail,Brichards@crokedoak.org,Brichards@crookedoak.org
83.districtname,CHEROKEE IMMERSIN CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH
328.fax,(918) 255-2630,(918) 255-6230
419.countyname,PITTSBURG f  ,PITTSBURG   
459.superintendentsemail,mcspadden@chelseadragons.net,rmcspadden@chelseadragons.net
547.superintendentsemail,miller@freedom.k12.ok.us,jmiller@freedom.k12.ok.us
95.superintendent,Frbank Solomon,Frank Solomon
377.statevalue,K,OK
133.fax,(918) 352-4l430,(918) 352-4430
327.superintendentsemail,lashock@npsok.org,lashlock@npsok.org
250.countyname,LE FLORE    ***,LE FLORE    
111.fax,(580 )597-3344,(580) 597-3344
1.boardpresident,Epdward Gass,Edward Gass
68.boardpresident,Scwott Webb,Scott Webb
78.superintendentsemail,shaynes@briggs.k12.ok.uzs,shaynes@briggs.k12.ok.us
261.districtname,CARNEY                        ***,CARNEY                        
352.districtname,DEER CREKE                    ,DEER CREEK                    
389.code,57-K010,57-K001
205.address,34 Apache Avenue,340 Apache Avenue
483.boardpresident,arin Huggins,Darin Huggins
550.phone,b(580) 989-3210,(580) 989-3210
351.websiteurl,htbtp://www.cnpschools.org/,http://www.cnpschools.org/
97.boardpresident,Beverly elton,Beverly Felton
545.city,lva,Alva
483.superintendent,Roanl Flanagan,Ronal Flanagan
544.websiteurl,wsww.cordell.k12.ok.us,www.cordell.k12.ok.us
99.websiteurl,http://www.coalgtaeschools.org/,http://www.coalgateschools.org/
277.websiteurl,http://www.wicliffeschool.com,http://www.wickliffeschool.com
289.websiteurl,www.blanchad.k12.ok.us,www.blanchard.k12.ok.us
1.city,Stilwell***,Stilwell
50.city,oFrt Cobb,Fort Cobb
32.superintendent,Kate Mcdovnald,Kate Mcdonald
451.websiteurl,www.eledey.k12.ok.us,www.leedey.k12.ok.us
118.districtname,BLEJACKET                    ,BLUEJACKET                    
390.statevalue,K,OK
101.city,Lawotn,Lawton
143.fax,(t918) 786-9365,(918) 786-9365
127.superintendent,Jimmy Reynolsd,Jimmy Reynolds
200.phone,(580) 482-7724,(580) 482-7742
296.websiteurl,www.haworthk12.ok.us,www.haworth.k12.ok.us
268.districtname,THACKERVLLE                  ,THACKERVILLE                  
58.statevalue,oOK,OK
92.address,4801 East Franklin oad,4801 East Franklin Road
526.superintendentsemail,rthoams@skiatookschools.org,rthomas@skiatookschools.org
221.superintendent,Brady Banes,Brady Barnes
258.phone,(918)9 68-2541,(918) 968-2541
360.code,55-I08,55-I088
255.websiteurl,ttp://www.chandler.k12.ok.us/,http://www.chandler.k12.ok.us/
547.fax,(580) 621-q3699,(580) 621-3699
123.boardpresident,Aaron Jonhson,Aaron Johnson
422.address,200 East Adamks,200 East Adams
360.fax,(405) 499g-4606,(405) 499-4606
191.statevalue,KO,OK
305.superintendent,eJanette Smith,Jeanette Smith
132.boardpresident,Melnida Ryan,Melinda Ryan
60.websiteurl,http://www.mustnagps.org,http://www.mustangps.org
333.boardpresident,Jesse Burdien,Jesse Burden
164.address,600 First Sftreet,600 First Street
403.city,Perkisn,Perkins
149.superintendent,Dalrci Brown,Darci Brown
409.districtname,FRINK-CHAMBERS               ,FRINK-CHAMBERS                
35.phone,5(80) 296-2624,(580) 296-2624
159.superintendent,Brent Rousye,Brent Rousey
432.boardpresident,Kellzy Petty,Kelly Petty
330.websiteurl,htt:p//www.mason.k12.ok.us/,http://www.mason.k12.ok.us/
369.address,316 E. 8Th tSreet ,316 E. 8Th Street 
542.fax,(580) 562-447,(580) 562-4847
386.superintendentsemail,ed@hominyk.12.ok.us,ed@hominy.k12.ok.us
441.boardpresident,Micheal Mratin,Micheal Martin
299.city,Smihtville,Smithville
426.statevalue,K,OK
126.code,19-I00s5,19-I005
79.districtname,TENKILER                     ,TENKILLER                     
467.districtname,WEWOKA                        ***,WEWOKA                        
500.address,5Th An Crawford,5Th And Crawford
201.superintendentsemail,kbrown@dukeuschools.com,kbrown@dukeschools.com
276.districtname,KINGSbTON                      ,KINGSTON                      
361.districtname,OKLAHOMA CIuTY                 ,OKLAHOMA CITY                 
117.boardpresident,George Moore***,George Moore
508.websiteurl,http://www.grandfield.k12.okus/,http://www.grandfield.k12.ok.us/
154.fax,580) 874-4488,(580) 874-4488
105.superintendentsemail,eanna.voegeli@indiahomaps.org,deanna.voegeli@indiahomaps.org
383.fax,(918) 79-2061,(918) 793-2061
121.districtname,GYPSY                         ***,GYPSY                         
362.city,Oklahxoma City,Oklahoma City
489.countyname,STEPHENS    ***,STEPHENS    
96.districtname,LEXINGThON                     ,LEXINGTON                     
149.statevalue,KO,OK
242.superintendentsemail,lbarnes@opcolaschools.org,lbarnes@pocolaschools.org
298.websiteurl,http://www.eagletownisd.org/index.tm,http://www.eagletownisd.org/index.htm
459.address,401 Rewdbud Lane,401 Redbud Lane
193.superintendentsemail,dward.palmer@mccurtainschools.org,deward.palmer@mccurtainschools.org
437.websiteurl,www.amcomb.k12.ok.us,www.macomb.k12.ok.us
279.superintendentsemail,raleiglhd@pryorschools.org,raleighd@pryorschools.org
95.code,14-040,14-I040
54.countyname,CANADIAN   ,CANADIAN    
94.superintendentsemail,nickm@norman.k12.ok.s,nickm@norman.k12.ok.us
455.districtname,HAMMON                       ,HAMMON                        
438.statevalue,OuK,OK
165.address,800 West Creke Street,800 West Creek Street
512.websiteurl,wwwm.tulsalegacy.org,www.tulsalegacy.org
266.statevalue,K,OK
441.phone,(405) 78-42331,(405) 784-2331
246.superintendent,Gratn Ralls,Grant Ralls
147.superintendent,Cob yNelson,Coby Nelson
246.countyname,LE FLaORE    ,LE FLORE    
118.address,76 Ne 3Rd St.,276 Ne 3Rd St.
379.countyname,OSAGE       ***,OSAGE       
14.address,4926 S Bently Rd,4926 S Bentley Rd
208.city,Wauirka,Waurika
296.superintendent,Jason rice,Jason Price
462.websiteurl,http://www.esquoyaheagles.net,http://www.sequoyaheagles.net
192.code,31-020,31-I020
336.boardpresident,Antonia Jjennings,Antonia Jennings
229.statevalue,K,OK
17.code,03I015,03-I015
408.phone,(918) 426l-4700,(918) 426-4700
63.phone,(580) 22a6-7650,(580) 226-7650
129.fax,(918)8 62-3955,(918) 862-3955
423.city,Allne,Allen
147.address,3i01 North Miller Street,301 North Miller Street
4.address,470658 E. 850 Raod,470658 E. 850 Road
3.fax,(918) 696-3645,(918) 696-3654
240.superintendent,Richard Hanyes,Richard Haynes
45.districtname,BOONE-APACHE             s     ,BOONE-APACHE                  
495.phone,(580) 658-5706,(580) 658-5076
326.statevalue,OgK,OK
7.districtname,WATTS                         ***,WATTS                         
306.phone,(918) 473-80p00,(918) 473-8000
381.superintendent,Mooe Beverly,Moore Beverly
157.fax,(580)7 58-3504,(580) 758-3504
250.statevalue,KO,OK
314.city,Webbers Falls***,Webbers Falls
348.superintendent,DavidChaney,David Chaney
308.address,301 E. SecondS t.,301 E. Second St.
64.websiteurl,www.springerchools.com,www.springerschools.com
61.city,Calcumet,Calumet
138.superintendentsemail,kguthrie@clera.net,kguthrie@cleora.net
510.city,uTlsa,Tulsa
225.city,Henessey,Hennessey
106.code,16I003,16-I003
349.superintendentsemail,frhodes@putnamcitychools.org,frhodes@putnamcityschools.org
128.districtname,KIEFERp                        ,KIEFER                        
138.city,Afiton,Afton
68.address,2763 Texas Strreet,2763 Texas Street
75.city,Hulberwt,Hulbert
222.boardpresident,Larry Harvsiton,Larry Harviston
507.address,817 N. 1Th,817 N. 15Th
238.countyname,LE FLOR    ,LE FLORE    
358.boardpresident,JimmieN olen,Jimmie Nolen
506.districtname,TIPTON                        ***,TIPTON                        
441.city,Aser,Asher
420.phone,(9l18) 548-3777,(918) 548-3777
159.boardpresident,Curtis Mnack,Curtis Mack
193.districtname,MCCURTAIjN                     ,MCCURTAIN                     
183.fax,(58) 388-4341,(580) 388-4341
225.fax,(s405) 853-4439,(405) 853-4439
108.city,aLwton,Lawton
83.websiteurl,www.bokoshschool.org,www.bokosheschool.org
224.superintendentsemail,jason.sternberger@kingfisherk12.ok.us,jason.sternberger@kingfisher.k12.ok.us
288.countyname,MCCLAI N    ,MCCLAIN     
525.statevalue,OqK,OK
224.city,Kiwngfisher,Kingfisher
247.code,40-0I26,40-I026
459.superintendent,Ric Mcspadden,Rich Mcspadden
175.websiteurl,http://www.alex.k12.ok.s/,http://www.alex.k12.ok.us/
498.districtname,YARBROUGH                    ,YARBROUGH                     
515.superintendentsemail,nkawlra@collegiatehlal.org,nkawlra@collegiatehall.org
440.fax,(405 273-6818,(405) 273-6818
60.boardpresident,Chad Fultohn,Chad Fulton
96.code,14-057,14-I057
315.phone,(c918) 687-7556,(918) 687-7556
342.city,Oklahom aCity ,Oklahoma City 
432.fax,(405) 275-694,(405) 275-6094
485.phone,(91g8) 427-4601,(918) 427-4601
265.boardpresident,Gaye Pfeifzfer,Gaye Pfeiffer
96.statevalue,K,OK
516.code,72x-G001,72-G001
81.websiteurl,htp://www.hulbertriders.com/,http://www.hulbertriders.com/
281.boardpresident,Lonine Salyers,Lonnie Salyers
517.boardpresident,Mary oPinter,Mary Pointer
83.superintendentsemail,elroy-qualls@cherokee.org,leroy-qualls@cherokee.org
46.superintendentsemail,jmitchell@cyrilschools.onrg,jmitchell@cyrilschools.org
287.code,47I-010,47-I010
449.fax,(580) 298-4006***,(580) 298-4006
76.districtname,PEGGS                        ,PEGGS                         
466.countyname,SEMINLOE    ,SEMINOLE    
318.superintendentsemail,coody@hilldaleps.org,kcoody@hilldaleps.org
379.boardpresident,Adrian Phillipxs,Adrian Phillips
239.phone,(918) 65-92341,(918) 659-2341
426.websiteurl,www.adapsns.com,www.adapss.com
394.address,26 NorthM ain,26 North Main
239.statevalue,K,OK
544.fax,(580 )832-1090,(580) 832-1090
37.phone,(580) 847-h2737,(580) 847-2737
507.websiteurl,www.rederickbombers.net,www.frederickbombers.net
232.websiteurl,www.wilburtodiggers.org,www.wilburtondiggers.org
163.code,25I-005,25-I005
19.superintendentsemail,l.delay@caneisd.org,l.delay@caneyisd.org
400.city,Cuhsing,Cushing
350.superintendentsemail,BGUNN@LUTHERLOINS.ORG,BGUNN@LUTHERLIONS.ORG
135.districtname,THOMAS-FAY-CUSTER NIFIED DIST,THOMAS-FAY-CUSTER UNIFIED DIST
343.fax,(40)5 425-4624,(405) 425-4624
302.superintendentsemail,cjeyllisor@bbisd.org,cjellisor@bbisd.org
232.countyname,LTAIMER     ,LATIMER     
140.phone,(91) 434-5799,(918) 434-5799
281.city,Salnia,Salina
485.boardpresident,harles Howard,Charles Howard
161.superintendentsemail,lwood@swbead.k12.ok.us,lwood@wbead.k12.ok.us
134.address,214 N.12Th Street,214 N. 12Th Street
508.code,7-I249,71-I249
55.phone,(40) 262-5647,(405) 262-5647
436.phone,(405) 273d-0385,(405) 273-0385
476.districtname,LIBERTY          k             ,LIBERTY                       
484.city,Gnas,Gans
290.countyname,MCCURTAN   ,MCCURTAIN   
392.districtname,QUAPAW                    m    ,QUAPAW                        
77.websiteurl,www.grandviewcharges.org,www.grandviewchargers.org
144.websiteurl,www.kansasps.cosm,www.kansasps.com
294.districtname,HOLLY CREEK  t                 ,HOLLY CREEK                   
524.districtname,JENKS     u                    ,JENKS                         
226.code,37-I098,37-I089
402.code,60-016,60-I016
254.phone,(405) 964f-3428,(405) 964-3428
10.city,Bcunch,Bunch
177.city,Blanchadr,Blanchard
