year,state,hai,operative_procedure,facility_id_one,facility_name_one,county,procedure_count,infection_count,predicted_infection_count,sir,comparison,sirci_nine_five_lower_limit,sirci_nine_five_upper_limit,notes
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,40000101,Community Regional Medical Center,Fresno,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000008,Desert Regional Medical Center,Riverside,49,0,0.74,0.0,No Difference*,0.0,4.99,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000122,Doctors Medical Center,Stanislaus,9,0,0.1,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70000139,Dominican Hospital,Santa Cruz,2,0,0.07,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000053,East Los Angeles Doctors Hospital,Los Angeles,2,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000011,Eisenhower Medical Center,Riverside,3,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70001351,El Camino Hospital,Santa Clara,4,0,0.06,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,90000040,El Centro Regional Medical Center,Imperial,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,230000013,Enloe Medical Center - Esplanade,Butte,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000011,Fountain Valley Regional Hospital & Medical Center,Orange,11,0,0.22,0.0,No Difference*,0.0,17.16,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,50000016,French Hospital Medical Center,San Luis Obispo,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000059,Glendale Adventist Medical Center,Los Angeles,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000093,Glendale Memorial Hospital and Health Center,Los Angeles,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,2,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70000153,"Good Samaritan Hospital, San Jose",Santa Clara,7,0,0.09,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,80000045,Grossmont Hospital,San Diego,3,0,0.06,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000012,Hemet Valley Medical Center,Riverside,3,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000014,Hoag Memorial Hospital Presbyterian,Orange,2,0,0.26,0.0,No Difference*,0.0,14.3,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000026,Huntington Memorial Hospital,Los Angeles,53,0,0.43,0.0,No Difference*,0.0,8.64,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,240000024,"Kaiser Foundation Hospital, Fontana",San Bernardino,7,0,0.18,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,40000949,"Kaiser Foundation Hospital, Fresno",Fresno,1,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,11,0,0.67,0.0,No Difference*,0.0,5.51,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000973,"Kaiser Foundation Hospital, Manteca",San Joaquin,2,0,0.03,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,3,0,0.05,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000050,"Kaiser Foundation Hospital, Panorama City",Los Angeles,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000707,"Kaiser Foundation Hospital, Riverside",Riverside,2,1,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30001370,"Kaiser Foundation Hospital, Roseville",Placer,3,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000130,"Kaiser Foundation Hospital, Sacramento",Sacramento,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,220000008,"Kaiser Foundation Hospital, San Francisco",San Francisco,7,0,0.12,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70000150,"Kaiser Foundation Hospital, San Jose",Santa Clara,2,0,0.21,0.0,No Difference*,0.0,17.74,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70001355,"Kaiser Foundation Hospital, Santa Clara",Santa Clara,3,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,110000508,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,1,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000133,"Kaiser Foundation Hospital, South Sacramento",Sacramento,1,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,6,0,0.15,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000290,"Kaiser Foundation Hospital, Woodland Hills",Los Angeles,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,120001444,Kaweah Delta Medical Center,Tulare,2,1,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000912,Keck Hospital of USC,Los Angeles,19,0,0.9,0.0,No Difference*,0.0,4.09,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,120000342,Kern Medical Center,Kern,3,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000040,LAC+USC Medical Center,Los Angeles,9,0,0.19,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000027,LAC/Harbor-UCLA Medical Center,Los Angeles,36,0,0.84,0.0,No Difference*,0.0,4.4,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000038,LAC/Olive View-UCLA Medical Center,Los Angeles,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000047,Lakewood Regional Medical Center,Los Angeles,24,0,0.52,0.0,No Difference*,0.0,7.11,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,630015551,Loma Linda University Children's Hospital,San Bernardino,13,0,0.14,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,240000027,Loma Linda University Medical Center,San Bernardino,4,0,0.15,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,630012971,Loma Linda University Medical Center - Murrieta,Riverside,3,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000095,Long Beach Memorial Medical Center,Los Angeles,22,1,0.35,2.83,No Difference*,0.07,15.78,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000025,Los Alamitos Medical Center,Orange,4,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,50000020,Los Robles Hospital & Medical Center,Ventura,1,0,0.19,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70001349,Lucile Packard Children's Hospital Stanford,Santa Clara,21,0,0.27,0.0,No Difference*,0.0,13.76,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,50000021,Marian Regional Medical Center,Santa Barbara,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000123,Memorial Medical Center,Stanislaus,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000727,Menifee Valley Medical Center,Riverside,7,0,0.1,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000124,Mercy General Hospital,Sacramento,6,0,0.19,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,120000404,Mercy Hospital,Kern,1,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,230000010,Mercy Medical Center Redding,Shasta,9,0,0.13,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000127,Mercy San Juan Medical Center,Sacramento,8,0,0.17,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,220000017,Mills-Peninsula Medical Center,San Mateo,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70000146,O'Connor Hospital,Santa Clara,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000208,Orange Coast Memorial Medical Center,Orange,10,0,0.13,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000073,Orange County Global Medical Center,Orange,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,230000014,Oroville Hospital,Butte,3,0,0.08,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000052,PIH Hospital - Downey,Los Angeles,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000077,Palmdale Regional Medical Center,Los Angeles,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,630013873,Palomar Medical Center,San Diego,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000099,Presbyterian Intercommunity Hospital,Los Angeles,2,1,0.12,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000066,Providence Holy Cross Medical Center,Los Angeles,3,0,0.1,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000081,Providence Little Company of Mary Medical Center Torrance,Los Angeles,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000101,Providence Saint Joseph Medical Center,Los Angeles,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000091,Providence Tarzana Medical Center,Los Angeles,6,0,0.09,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,110000041,Queen of the Valley Medical Center,Napa,2,0,0.04,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,80000023,Rady Children's Hospital - San Diego,San Diego,4,0,0.04,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,230000261,Rideout Memorial Hospital,Yuba,3,0,0.05,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000049,Riverside Community Hospital,Riverside,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000050,Riverside County Regional Medical Center,Riverside,2,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000162,Ronald Reagan UCLA Medical Center,Los Angeles,28,0,0.91,0.0,No Difference*,0.0,4.06,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000063,Saddleback Memorial Medical Center,Orange,1,0,0.02,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000104,Saint Vincent Medical Center,Los Angeles,11,0,0.15,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,240000053,San Antonio Regional Hospital,San Bernardino,2,0,0.04,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,630013913,San Leandro Hospital,Alameda,10,0,0.2,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,50000280,Santa Barbara Cottage Hospital,Santa Barbara,1,0,0.06,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70000149,Santa Clara Valley Medical Center,Santa Clara,12,0,0.14,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,140001268,Santa Rosa Memorial Hospital,Sonoma,3,0,0.04,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,80000022,Scripps Green Hospital,San Diego,4,0,0.08,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,80000149,Scripps Memorial Hospital - La Jolla,San Diego,1,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,220000025,Sequoia Hospital,San Mateo,5,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,220000026,Seton Medical Center,San Mateo,1,0,0.03,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,90000021,Sharp Chula Vista Medical Center,San Diego,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,80000036,Sharp Memorial Hospital,San Diego,2,0,0.05,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,50000031,Sierra Vista Regional Medical Center,San Luis Obispo,14,0,0.16,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,250000344,"Southwest Healthcare System, Wildomar",Riverside,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,110000058,St. Helena Hospital,Napa,2,0,0.03,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,110000067,"St. Joseph Hospital, Eureka",Humboldt,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000067,"St. Joseph Hospital, Orange",Orange,10,0,0.15,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000143,St. Joseph's Medical Center Of Stockton,San Joaquin,2,1,0.04,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000068,St. Jude Medical Center,Orange,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,240000104,"St. Mary Medical Center, Apple Valley",San Bernardino,5,0,0.07,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000103,"St. Mary Medical Center, Long Beach",Los Angeles,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,70001357,Stanford Health Care,Santa Clara,7,0,1.02,0.0,No Difference,0.0,2.93,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000151,"Sutter Medical Center, Sacramento",Sacramento,17,0,0.2,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,630014442,Temecula Valley Hospital,Riverside,1,0,0.01,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,80000152,Tri-City Medical Center,San Diego,5,0,0.1,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,220000031,UCSF Medical Center,San Francisco,27,0,1.06,0.0,No Difference,0.0,2.82,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,30000113,University of California Davis Medical Center,Sacramento,16,0,0.39,0.0,No Difference*,0.0,9.53,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,60000071,University of California Irvine Medical Center,Orange,3,0,0.14,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,90000154,"University of California, San Diego Medical Center",San Diego,8,0,0.29,0.0,No Difference*,0.0,12.59,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,40000129,Valley Children's Hospital,Madera,10,0,0.26,0.0,No Difference*,0.0,14.13,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000129,Valley Presbyterian Hospital,Los Angeles,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,240000054,Victor Valley Global Medical Center,San Bernardino,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,140000118,Washington Hospital,Alameda,1,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal aortic aneurysm repair,930000028,West Hills Hospital & Medical Center,Los Angeles,2,0,0.02,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,60000002,AHMC Anaheim Regional Medical Center,Orange,123,0,0.92,0.0,No Difference*,0.0,4.02,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,630012960,Adventist Medical Center,Kings,51,1,0.4,2.49,No Difference*,0.06,13.86,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,40000124,Adventist Medical Center - Reedley,Fresno,22,0,0.21,0.0,No Difference*,0.0,17.91,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,40000122,Adventist Medical Center - Selma,Fresno,13,0,0.08,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,140000011,Alameda Hospital,Alameda,19,0,0.13,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,930000005,Alhambra Hospital Medical Center,Los Angeles,18,0,0.12,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,140000425,Alta Bates Summit Medical Center,Alameda,92,0,0.91,0.0,No Difference*,0.0,4.06,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,140000012,Alta Bates Summit Medical Center - Alta Bates Campus,Alameda,137,2,1.24,1.61,No Difference,0.27,5.33,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,90000013,Alvarado Hospital Medical Center,San Diego,3,0,0.02,,,,,"Hospitals reported combined data, see Data Dictionary"
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,60000074,Anaheim Global Medical Center,Orange,38,0,0.27,0.0,No Difference*,0.0,13.71,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,930000008,Antelope Valley Hospital,Los Angeles,202,1,1.81,0.55,No Difference,0.03,2.72,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,240000100,Arrowhead Regional Medical Center,San Bernardino,136,0,1.51,0.0,No Difference,0.0,1.99,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,120000338,Bakersfield Memorial Hospital,Kern,99,0,0.82,0.0,No Difference*,0.0,4.48,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,230000008,Banner Lassen Medical Center,Lassen,6,0,0.04,,,,,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,240000001,Barstow Community Hospital,San Bernardino,21,0,0.2,0.0,No Difference*,0.0,18.08,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,30000114,Barton Memorial Hospital,El Dorado,34,0,0.26,0.0,No Difference*,0.0,14.24,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,930000012,Beverly Hospital,Los Angeles,48,0,0.34,0.0,No Difference*,0.0,10.82,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,930000002,California Hospital Medical Center - Los Angeles,Los Angeles,225,0,1.81,0.0,No Difference,0.0,1.65,
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,220000002,California Pacific Medical Center - California West Campus Hospital,San Francisco,138,1,0.79,1.26,No Difference*,0.03,7.02,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)", Abdominal hysterectomy,220000023,California Pacific Medical Center - Davies Campus Hospital,San Francisco,1,0,0.02,,,,,
