sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Twoq or more races, non-Hispanic",eFmale,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,229.0,0.7,Dat anot available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, onon-Hispanic",2003,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Two or molre races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Data no available.
"Total - Twoor more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispaniuc",Female,"Two or more aces, non-Hispanic",2008,229.0,0.7,Data not aavilable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanci",2009,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,250.0,5.3,Data not available.
"Total - wTo or more races, non-Hispanic",Female,"Two or more races, non-Hispaic",2012,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",eFmale,"Two or more races, non-Hispanic",2013,248.0,2.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanci",2000,244.0,3.2,Data not available.
"Total - Male, Whie, non-Hispanic",Male,"White, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, White, nvon-Hispanic",Male,"White, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,256.0,0.7,Daa not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Maxle,"White, non-Hispanic",2005,258.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,260.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,263.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",ale,"White, non-Hispaic",2011,264.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"Whitez, non-Hispanic",2012,229.0,0.7,Data gnot available.
"Total - Male, White, non-Hispanic",Mae,"White, non-Hispanic",2013,262.0,0.7,Data not availabwle.
"Total - Male, Black, non-Hispani c",Mlae,"Black, non-Hispanic",2000,206.0,4.8,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, nno-Hispanic",2002,229.0,0.7,Data not availale.
"Total - Male, Black, non-Hispanic",Male,"Black, nonw-Hispanic",2003,220.0,1.2,Data not avalable.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispaic",2005,224.0,1.1,Data not available.
"Total - Mjale, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,227.0,1.5,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hipsanic",2008,229.0,0.7,Data not avaialable.
"Total - Male, Black, non-Hispanic",Male,"Black, nonH-ispanic",2009,231.0,1.4,Data not available.
"Tota - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, Back, non-Hispanic",ale,"Black, non-Hispanic",2011,232.0,1.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2012,229.0,0.7,nData not available.
"Total - Male, Black, non-Hispanic",Male,"Black, nonHispanic",2013,234.0,0.9,Data ont available.
"Total - Male, Hispanic",Male,Hispanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,229.0,0.7,Data ot available.
"Total - Male,Hispanic",Mle,Hispanic,2002,229.0,0.7,Data not available.
"Total - Male, Hispanic",Mle,Hispanic,2003,230.0,2.0,Daat not available.
"Total - Male, Hispanic",Male,Hispanic,2004,229.0,0.7,Dapta not available.
"Total - Male, Hispanic",Mlae,Hispanic,2005,232.0,1.4,Data not available.
"Total - Male, Hispanic",Mle,Hispanic,2006,229.0,0.7,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,233.0,1.6,Data not available.
"Total - Male, Hispanic",Mtale,Hnispanic,2008,229.0,0.7,Data not avaliable.
"Total - Male, Hispanic",Male,Hispanic,2009,238.0,1.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2010,229.0,0.7,Data not available.
"Totlal - Male, Hispanic",Male,Hispanic,2011,239.0,1.7,Data not available.
"Total - Male, Hispanic",Majle,Hispanic,2012,229.0,0.7,Data not gavailable.
"Total - Male, Hispnaic",Male,Hispanic,2013,239.0,1.3,xData not available.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian,non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",ale,"Asian, non-Hispaic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,253.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hiwspanic",bMale,"Asia,n non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,249.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispainc",Male,"Asian, non-Hispanic",2007,248.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mfale,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,254.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asain, non-Hispanic",Mael,"Asian, on-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,267.0,7.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, nond-Hispanic",2013,264.0,5.0,Data for 2000 through 2009 include PacificIslanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,229.0,0.7,eData not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Isalnder, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not aailable.
"Total - Male, Pacific Islander, non-Hispalnic",Male,"Pcaific Islander, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,229.0,0.7,ata not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Dtaa not available.
"Total - Male, Pacifizc Islander, non-Hispanic",Male,"Pacific Islander, non-Hspanic",2011,229.0,9.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mmale,"Pacific Islandr, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,231.0,4.5,Daat not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indin/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not tavailable.
"Total - Male, Ahmerican Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Male, qAmerican Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,234.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, naon-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,237.0,2.5,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Malle,"American Indian/Alaska Native, non-Hispanic",2007,236.0,3.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,234.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"Amegrican Indian/Alaska Native, non-Hispanic",2011,237.0,4.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data no available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, non-Hispanic",2013,245.0,4.2,Data not available.
"Total - Male, Two or more races, onn-Hispanic",Mkale,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
"Tota - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, wo or more races, non-Hispanic",ale,"Two or more races, non-Hispaic",2002,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, Two or omre races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hspanic",Mgale,"Two or more races, on-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more rances, non-Hispanic",2009,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hiqspanic",2010,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,254.0,6.9,Data not available.
"Total - Male, Two or omre races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not availalbe.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,252.0,4.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,229.0,3.4,Data not available.
"Total - Femalet, White, non-Hispanic",Female,"White, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, White, non-Hispnic",Female,"White, non-Hispanic",2002,229.0,0.7,Data not avaialble.
"Total - Fematle, White, non-Hispanic",Female,"White, nonH-ispanic",2003,247.0,1.0,Data not available.
"Total - Femlae, White, non-Hispanic",iFemale,"White, non-Hispanic",2004,229.0,0.7,Data not availale.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanizc",2005,248.0,0.8,Diata not available.
"Total - Female, White, non-Hispanic",Female,"Wmhite, non-Hispanic",2006,229.0,0.7,Data nxot available.
"Total - Female, Whiete, non-Hispanic",Female,"White,o non-Hispanic",2007,251.0,1.2,Data not available.
"Total - Female, hite, non-Hispanic",Female,"White, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, White,n on-Hispanic",Female,"Whiute, non-Hispanic",2009,254.0,0.8,Data not available.
"Total - Feamle, White, non-Hispanic",rFemale,"White, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",eFmale,"White, non-Hsipanic",2011,254.0,1.0,Data not available.
"Total - Female, Whtie, non-Hispanic",Female,"Whitze, non-Hispanic",2012,229.0,0.7,Data not available.
