station,stationname,elevation(double precision),latitude(double precision),longitude(double precision),datevalue,qpcp(long),measurement_flag,quality_flag,units
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:00,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:00,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840104 22:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840104 22:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 19:15,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:15,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:15,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:15,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:00,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 00:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:00,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:15,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:00,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:30,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:30,1.0,v,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,l,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,t,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 04:30,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,s,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,c,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,j,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 17:15,1.0,q,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,2.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,z,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 15:45,1.0,x,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,1.0,m,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840123 23:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840118 02:30,1.0,c,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 19:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:00,1.0,o,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 16:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 04:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 05:45,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:00,1.0,f,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:30,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 06:45,1.0,c,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 07:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 07:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 09:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 10:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 11:00,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 12:00,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 13:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 14:00,1.0,r,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 15:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 16:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 17:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 18:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 19:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 20:00,1.0,j,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 21:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840124 22:30,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840125 02:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840125 06:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840125 08:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 10:15,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 11:30,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 12:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 14:00,1.0,p,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 15:15,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 16:30,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 17:45,1.0,***,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 19:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840130 22:00,1.0,,,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840131 02:30,1.0,***,,HI
