yearvalue,statevalue,county,hai,facilityid,facilityname,facilitytype,numbermonthsexpected,notes
2019,California,Tulare,Surgical Site Infection (SSI),120001444.0,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilitation Unit,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Alameda,Surgical Site Infection (SSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Alameda,Surgical Site Infection (SSI),140000184.0,Fairmont Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),170001767.0,Fairview Developmental Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Tulare,Surgical Site Infection (SSI),170001874.0,Porterville Developmental Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),220000012.0,Laguna Honda Hospital & Rehabilitation Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000004.0,"Eastern Plumas Hospital, Portola Campus",Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Glenn,Surgical Site Infection (SSI),230000006.0,Glenn Medical Center,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000017.0,Seneca District Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Modoc,Surgical Site Infection (SSI),230000021.0,Surprise Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Trinity,Surgical Site Infection (SSI),230000022.0,Trinity Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Colusa,Surgical Site Infection (SSI),230000259.0,Colusa Medical Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Butte,Surgical Site Infection (SSI),230000405.0,Enloe Rehabilitation Center,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Shasta,Surgical Site Infection (SSI),230000422.0,Vibra Hospital of Northern California,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),240000002.0,Bear Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),240000040.0,"Kindred Hospital, Ontario",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kern,Surgical Site Infection (SSI),240000052.0,Mountains Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Inyo,Surgical Site Infection (SSI),240000102.0,Southern Inyo Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),240001218.0,Ballard Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Riverside,Surgical Site Infection (SSI),250000004.0,"Kindred Hospital, Riverside",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),630012380.0,Totally Kids Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Stanislaus,Surgical Site Infection (SSI),630016419.0,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),630016625.0,Kentfield Hospital San Francisco,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Riverside,Surgical Site Infection (SSI),630017654.0,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000013.0,Catalina Island Medical Center,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000014.0,Barlow Respiratory Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000020.0,Casa Colina Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000031.0,California Rehabilitation Institute,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000039.0,"Kindred Hospital, South Bay",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000042.0,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000088.0,"Kindred Hospital, Los Angeles",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000089.0,"Kindred Hospital, La Mirada",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000144.0,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000158.0,DOCS Surgical Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),930001607.0,"Kindred Hospital, Santa Ana",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
