993.county,Wabunsee ,Wabaunsee 
2267.county,arbon ,Carbon 
390.statevalue,L,FL
2827.countytwo,Setrling ,Sterling 
2870.fipstwo,fw49007,f49007
1416.county,Bollingre ,Bollinger 
1633.statevalue,vMT,MT
1439.statecounty,MO_DeKab,MO_DeKalb
2857.county,Williamsonp ,Williamson 
3204.fipstwo,f50493,f54093
2295.county,Lcoming ,Lycoming 
799.county,Wil ,Will 
1232.county,Picsataquis ,Piscataquis 
1723.statecounty,NC_McDoswell,NC_McDowell
56.county,Escabmia ,Escambia 
1108.statecounty,KY_Taylojr,KY_Taylor
44.statevalue,AcL,AL
1584.statecounty,MS_oPontotoc,MS_Pontotoc
1949.county,ona Ana ,Dona Ana 
1119.statecounty,KY_Woodord,KY_Woodford
1748.county,Shtanly ,Stanly 
2947.countytwo,Goochhland ,Goochland 
1259.statevalue,IM,MI
899.statecounty,KS_Barotn,KS_Barton
1147.countytwo,L aSalle ,La Salle 
2729.county,rIion ,Irion 
204.statevalue,CxA,CA
746.statevalue,L,IL
2243.countytwo,Morrhow ,Morrow 
1828.statecounty,NE_eBurt,NE_Burt
201.statecounty,A_Fresno,CA_Fresno
1107.county,Sencer ,Spencer 
2780.county,Motague ,Montague 
1951.statecounty,NMGrant,NM_Grant
1656.county,Stsillwater ,Stillwater 
1431.county,Cglay ,Clay 
3054.statevalue,A,WA
38.statevalue,AmL,AL
3055.countytwo,aDouglas ,Douglas 
1487.fipstwo,f291v59,f29159
3011.county,Smyht ,Smyth 
2697.county,Gillepie ,Gillespie 
1218.county,Talbo ,Talbot 
33.statecounty,AjL_Bibb,AL_Bibb
989.county,Stevensx ,Stevens 
560.statevalue,IoA,IA
297.statecounty,CO_Prak,CO_Park
2841.statevalue,XT,TX
223.statevalue,gCA,CA
2682.countytwo,Elli s,Ellis 
2630.statecounty,TXB_owie,TX_Bowie
1510.fipstwo,f9186,f29186
2212.county,illman ,Tillman 
880.countytwo,Swizerland ,Switzerland 
487.county,Madisn ,Madison 
293.statecounty,C_Montrose,CO_Montrose
1696.fipstwo,f73063,f37063
2761.statevalue,X,TX
2053.statevalue,Y,NY
2288.county,Juniat a,Juniata 
1913.countytwo,Cheshrie ,Cheshire 
2058.fipstwo,f30909,f39009
2214.county,Wagouner ,Wagoner 
3084.statevalue,WlA,WA
2866.countytwo,Miway Islands,Midway Islands
2406.statevalue,CS,SC
2183.statevalue,OrK,OK
88.fipstwo,f011s15,f01115
1649.statevalue,TM,MT
696.statecounty,ID_Shoshne,ID_Shoshone
2577.statecounty,TN_Meisg,TN_Meigs
1943.fipstwo,f35003***,f35003
2029.statevalue,YN,NY
2913.county,Buckingha m,Buckingham 
1532.county,olivar ,Bolivar 
1550.countytwo,Harriso n,Harrison 
1381.countytwo,Ppoe ,Pope 
2952.fipstwo,f51x650,f51650
2279.fipstwo,f420l49,f42049
424.statecounty,GA_Clicnh,GA_Clinch
875.countytwo,Spence r,Spencer 
1152.fipstwo,2f2065,f22065
968.fipstwo,f20q147,f20147
512.county,fRandolph ,Randolph 
1286.statevalue,IM,MI
275.countytwo,Grnad ,Grand 
1553.statecounty,MSHumphreys,MS_Humphreys
2287.statevalue,gPA,PA
3208.statevalue,WmV,WV
2496.statevalue,pSD,SD
1231.fipstwo,f20319,f23019
215.countytwo,Mrced ,Merced 
1360.county,Le Suur ,Le Sueur 
2609.countytwo,hWite ,White 
1016.countytwo,Caldwemll ,Caldwell 
3028.statevalue,AV,VA
1627.county,Golden Valleyb ,Golden Valley 
2971.county,Madirson ,Madison 
2405.fipstwo,f4l5001,f45001
3088.statevalue,IW,WI
2445.statecounty,SC_Sahluda,SC_Saluda
2853.county,Wheeler ***,Wheeler 
2575.fipstwo,f4u7107,f47107
2733.statevalue,XT,TX
2870.county,Crabon ,Carbon 
1190.county,Hmpden ,Hampden 
1666.statecounty,NC_Alxander,NC_Alexander
2993.fipstwo,f5174a0,f51740
1046.county,Hardinl ,Hardin 
981.statevalue,S,KS
2836.countytwo,Titsu ,Titus 
378.county,Pok ,Polk 
696.county,Shoshonue ,Shoshone 
2754.countytwo,Laaca ,Lavaca 
882.statevalue,N,IN
2685.fipstwo,48147,f48147
3028.countytwo,ythe ,Wythe 
3174.countytwo,Harriso n,Harrison 
27.statecounty,K_Wrangell City and Borough,AK_Wrangell City and Borough
291.fipstwo,f08018,f08081
2808.countytwo,Roberst ,Roberts 
3188.statevalue,V,WV
1347.fipstwo,27053,f27053
3041.countytwo,Owrange ,Orange 
1870.fipstwo,fk31105,f31105
1057.statecounty,wKY_Johnson,KY_Johnson
446.countytwo,Evnas ,Evans 
108.statecounty,AaR_Cleburne,AR_Cleburne
2254.county,Yamhlil ,Yamhill 
28.statecounty,AK_Yakutat City and Borogh,AK_Yakutat City and Borough
2856.county,illacy ,Willacy 
2256.county,Alleghenry ,Allegheny 
47.countytwo,Conecyuh ,Conecuh 
1176.statecounty,LA_Vemilion,LA_Vermilion
488.fipstwo,f13917,f13197
2483.statevalue,D,SD
2508.county,tanley ,Stanley 
2776.statevalue,XT,TX
1297.county,oMntmorency ,Montmorency 
338.statecounty,FL_DeStoo,FL_DeSoto
1478.fipstwo,29141,f29141
2446.fipstwo,f40583,f45083
1234.fipstwo,f23052,f23025
696.fipstwo,qf16079,f16079
349.statevalue,LF,FL
1120.statecounty,L_Acadia,LA_Acadia
1528.countytwo,Alcron ,Alcorn 
2773.statevalue,TyX,TX
619.statecounty,IA_Mhaska,IA_Mahaska
2048.fipstwo,3f6113,f36113
315.fipstwo,f09030,f09003
2348.countytwo,Fajardo Muniscipio,Fajardo Municipio
2620.county,Baiyley ,Bailey 
476.countytwo,ones ,Jones 
37.county,Calhou n,Calhoun 
215.statecounty,A_Merced,CA_Merced
2068.countytwo,Colmbiana ,Columbiana 
1966.county,San Migauel ,San Miguel 
2577.countytwo,eigs ,Meigs 
557.statecounty,IH_Maui,HI_Maui
2455.statevalue,DS,SD
2346.county,Culeba Municipio,Culebra Municipio
676.countytwo,Elgmore ,Elmore 
905.county,sCherokee ,Cherokee 
1958.statecounty,NM_uLna,NM_Luna
1127.countytwo,Bossier ***,Bossier 
63.fipstwo,f01607,f01067
1316.county,Tusola ,Tuscola 
2233.statecounty,OR_Jackpson,OR_Jackson
1062.statevalue,KhY,KY
2947.county,Goocahland ,Goochland 
1266.countytwo,Graticot ,Gratiot 
1524.statecounty,MP_Rota Munilcipality,MP_Rota Municipality
2136.fipstwo,3f9165,f39165
1176.statevalue,fLA,LA
32.fipstwo,f0100m5,f01005
2796.statevalue,X,TX
3042.county,Orlean s,Orleans 
2181.countytwo,eL Flore ,Le Flore 
1401.fipstwo,f2h7161,f27161
2811.statevalue,X,TX
167.statevalue,yAR,AR
193.statecounty,CA_lpine,CA_Alpine
1711.statecounty,NC_oke,NC_Hoke
1922.county,Brgen ,Bergen 
1679.fipstwo,f37092,f37029
3149.statecounty,WI_dVilas,WI_Vilas
492.countytwo,Millecr ,Miller 
644.county,Talyor ,Taylor 
175.statevalue,SA,AS
1820.county,Arthru ,Arthur 
1387.statecounty,MN_oRck,MN_Rock
1176.countytwo,Vermiloin ,Vermilion 
1376.statevalue,NM,MN
179.county,Cconino ,Coconino 
44.statecounty,AL_Cleburen,AL_Cleburne
369.statecounty,F_LMonroe,FL_Monroe
2044.countytwo,Sulivan ,Sullivan 
435.statecounty,A_Decatur,GA_Decatur
923.statecounty,KS_ord,KS_Ford
1320.statecounty,MIe_Wexford,MI_Wexford
221.countytwo,Orainge ,Orange 
2837.countytwo,Tm Green ,Tom Green 
2464.statevalue,DS,SD
2600.statevalue,wTN,TN
2084.statevalue,lOH,OH
2024.countytwo,gOneida ,Oneida 
2435.county,Leey ,Lee 
3036.statevalue,VdT,VT
1815.fipstwo,f38p101,f38101
196.statevalue,qCA,CA
250.county,Aduams ,Adams 
982.countytwo,Sewrad ,Seward 
2909.county,Botpetourt ,Botetourt 
1527.statecounty,MS_Azdams,MS_Adams
745.fipstwo,fy17089,f17089
940.statevalue,tKS,KS
673.fipstwo,f1603,f16033
2056.county,Ashand ,Ashland 
3097.statevalue,IW,WI
2122.statevalue,H,OH
558.fipstwo,19001,f19001
1163.countytwo,St. ernard ,St. Bernard 
2430.statevalue,lSC,SC
529.fipstwo,f13727,f13277
397.statevalue,AG,GA
697.countytwo,Tetn ,Teton 
2822.fipstwo,f4841,f48421
1111.statecounty,KY_Tjrimble,KY_Trimble
2282.statecounty,PA_Frankln,PA_Franklin
1861.fipstwo,f31078,f31087
399.countytwo,Barrwo ,Barrow 
1484.statecounty,sMO_Ozark,MO_Ozark
1197.county,Woercester ,Worcester 
151.statevalue,yAR,AR
1806.county,Seridan ,Sheridan 
935.countytwo,Hasell ,Haskell 
1129.statecounty,LA_Calcarsieu,LA_Calcasieu
883.county,nion ,Union 
895.statevalue,SK,KS
1847.county,iFllmore ,Fillmore 
1725.fipstwo,fw37121,f37121
207.countytwo,Kjings ,Kings 
708.countytwo,Caroll ,Carroll 
3035.fipstwo,f50005***,f50005
2530.statecounty,TN_Cly,TN_Clay
1840.countytwo,Dwaes ,Dawes 
1026.county,lCinton ,Clinton 
1443.fipstwo,ef29071,f29071
875.statecounty,IN_sSpencer,IN_Spencer
1641.statevalue,TM,MT
128.statevalue,R,AR
218.statecounty,CA_Monetrey,CA_Monterey
1933.fipstwo,f43025,f34025
1756.statevalue,CN,NC
454.county,Glacock ,Glascock 
2832.county,rTaylor ,Taylor 
1071.statecounty,KY_yon,KY_Lyon
2869.statevalue,UcT,UT
2792.statecounty,TX_range,TX_Orange
451.fipstwo,f13c119,f13119
3228.fipstwo,f5603n1,f56031
2121.statevalue,OvH,OH
739.county,Jacson ,Jackson 
2411.statevalue,CS,SC
525.countytwo,Talyor ,Taylor 
1375.fipstwo,f7109,f27109
611.fipstwo,f9107,f19107
1446.fipstwo,f29077***,f29077
2490.statecounty,SD_Lawrenoce,SD_Lawrence
2647.countytwo,Chambesr ,Chambers 
2405.county,bbeville ,Abbeville 
2012.countytwo,amilton ,Hamilton 
1274.statevalue,I,MI
1684.countytwo,herokee ,Cherokee 
2622.statecounty,TX_Bastrpo,TX_Bastrop
2961.statecounty,VA_Kirng and Queen,VA_King and Queen
2909.countytwo,otetourt ,Botetourt 
936.countytwo,Hogeman ,Hodgeman 
2956.county,Henr y,Henry 
3218.statevalue,YW,WY
2252.statecounty,OR_Washingon,OR_Washington
1084.fipstwo,f21169***,f21169
1103.statevalue,KiY,KY
115.statecounty,ARu_Cross,AR_Cross
1104.statevalue,Y,KY
2884.county,Sal Lake ,Salt Lake 
1811.statecounty,NDk_Stutsman,ND_Stutsman
2834.statecounty,TX_erry,TX_Terry
513.county,Rcihmond ,Richmond 
1907.statecounty,NE_Waybne,NE_Wayne
1125.fipstwo,f2011,f22011
1057.fipstwo,f1115,f21115
465.statecounty,G_Hart,GA_Hart
2461.fipstwo,f46032,f46023
2625.county,Bel ,Bell 
2889.statevalue,T,UT
1064.county,eLe ,Lee 
1395.countytwo,Stevnes ,Stevens 
563.statevalue,AI,IA
904.countytwo,Chautauqvua ,Chautauqua 
1032.county,still ,Estill 
1623.fipstwo,f300w29,f30029
1045.statecounty,K_Hancock,KY_Hancock
1686.statecounty,NmC_Clay,NC_Clay
307.countytwo,San iguel ,San Miguel 
323.county,Kenot ,Kent 
2444.statecounty,SCRichland,SC_Richland
2617.county,Armpstrong ,Armstrong 
1564.statecounty,MS_Laukderdale,MS_Lauderdale
1867.statevalue,hNE,NE
1790.fipstwo,38051,f38051
2505.countytwo,Sanbron ,Sanborn 
2059.county,Auglaipze ,Auglaize 
1703.countytwo,Granvillee ,Granville 
2441.county,conee ,Oconee 
1295.county,Monro ,Monroe 
2007.fipstwo,f3031,f36031
2529.statevalue,N,TN
555.statecounty,HqI_Kalawao,HI_Kalawao
1838.statecounty,NE_Csuter,NE_Custer
2937.countytwo,Fauquieir ,Fauquier 
1034.county,leming ,Fleming 
2414.county,Charlestxon ,Charleston 
3147.county,Tremepaleau ,Trempealeau 
2581.county,Morganj ,Morgan 
224.statevalue,A,CA
2019.statecounty,NY_Monore,NY_Monroe
716.statecounty,L_Cook,IL_Cook
2157.statecounty,OK_Cmoanche,OK_Comanche
1206.statecounty,D_Charles,MD_Charles
1508.fipstwo,f21989,f29189
2931.county,Dinwiddei ,Dinwiddie 
1991.countytwo,Whipte Pine ,White Pine 
2788.fipstwo,f4835f3,f48353
801.fipstwo,17201,f17201
2213.statevalue,KO,OK
799.statecounty,ILWill,IL_Will
2471.fipstwo,hf46043,f46043
60.statecounty,ALG_eneva,AL_Geneva
2772.county,McLenan ,McLennan 
2238.statecounty,OR_Lnae,OR_Lane
1212.statevalue,qMD,MD
1235.countytwo,Walbdo ,Waldo 
1709.statecounty,NC_Hnderson,NC_Henderson
2915.fipstwo,f50131,f51031
845.statevalue,NI,IN
708.statecounty,IL_Carroll***,IL_Carroll
1268.countytwo,Houghon ,Houghton 
3213.statevalue,Y,WY
179.fipstwo,f04005***,f04005
1646.county,Powder Rivr ,Powder River 
2659.statevalue,XT,TX
3210.statevalue,WnV,WV
273.statevalue,bCO,CO
1301.county,Ocean a,Oceana 
2397.fipstwo,f2149,f72149
2168.countytwo,gGrant ,Grant 
2572.countytwo,Mrion ,Marion 
276.fipstwo,f08015,f08051
2444.statevalue,C,SC
1481.countytwo,Noadway ,Nodaway 
1804.county,Roette ,Rolette 
2836.county,iTtus ,Titus 
1019.statevalue,Y,KY
1001.statevalue,KpY,KY
133.statevalue,R,AR
1727.county,Moorey ,Moore 
2632.statecounty,TX_Brazoqs,TX_Brazos
2354.countytwo,Gurao Municipio,Gurabo Municipio
1398.fipstwo,f2155,f27155
1730.fipstwo,f31731,f37131
1992.countytwo,Alany ,Albany 
336.statevalue,L,FL
2707.county,tHall ,Hall 
858.statevalue,IvN,IN
542.county,aWshington ,Washington 
401.countytwo,BenHill ,Ben Hill 
788.county,tark ,Stark 
1558.countytwo,eJfferson ,Jefferson 
1426.fipstwo,f2903d7,f29037
1424.statecounty,MO_aCarroll,MO_Carroll
53.fipstwo,f01l047,f01047
933.statevalue,SK,KS
95.fipstwo,f0113v1,f01131
1150.statecounty,LALincoln,LA_Lincoln
1052.statecounty,KYHickman,KY_Hickman
422.statevalue,AG,GA
2910.county,Bristol cimty,Bristol city
2957.statecounty,VA_Highlad,VA_Highland
3064.statecounty,A_Kitsap,WA_Kitsap
2447.county,Sumtver ,Sumter 
2579.countytwo,Moxntgomery ,Montgomery 
3096.statecounty,WI_Columbcia,WI_Columbia
474.county,Jenkin s,Jenkins 
724.statecounty,IL_Edawrds,IL_Edwards
1053.statevalue,YK,KY
2775.county,Menar ,Menard 
430.statevalue,GhA,GA
2564.statevalue,N,TN
2431.statevalue,xSC,SC
3049.statecounty,qWA_Benton,WA_Benton
1371.county,Murpray ,Murray 
1563.statevalue,SM,MS
1471.countytwo,Mconald ,McDonald 
1139.county,Evaneline Parish,Evangeline Parish
139.statecounty,AR_onoke,AR_Lonoke
685.fipstwo,f10657,f16057
2543.countytwo,Gibsn ,Gibson 
635.statevalue,A,IA
1659.statevalue,mMT,MT
604.statecounty,I_Ida,IA_Ida
726.countytwo,Fyaette ,Fayette 
301.countytwo,ueblo ,Pueblo 
860.statevalue,NI,IN
271.fipstwo,fm08039,f08039
1529.fipstwo,f28005***,f28005
1281.fipstwo,f2h6087,f26087
663.statecounty,IDl_Blaine,ID_Blaine
1821.statecounty,NE_Banneer,NE_Banner
1325.statevalue,MuN,MN
1620.county,Deer odge ,Deer Lodge 
2579.statecounty,TN_Montgomry,TN_Montgomery
1032.fipstwo,21065,f21065
174.county,Rsoe Island,Rose Island
696.countytwo,Shoshne ,Shoshone 
880.statevalue,N,IN
1329.county,Carltonc ,Carlton 
3054.statecounty,WAC_owlitz,WA_Cowlitz
1746.county,Szampson ,Sampson 
2596.countytwo,Smtih ,Smith 
311.statevalue,OC,CO
1422.statevalue,O,MO
2217.countytwo,Woodsb ,Woods 
1348.statevalue,N,MN
2213.countytwo,Tlusa ,Tulsa 
705.county,Brfown ,Brown 
1101.fipstwo,2f1203,f21203
374.fipstwo,f12907,f12097
736.fipstwo,f17r071,f17071
597.statecounty,I_AHamilton,IA_Hamilton
2350.countytwo,Guanicao Municipio,Guanica Municipio
3183.countytwo,ason ,Mason 
2515.statevalue,DS,SD
2635.countytwo,Broosk ,Brooks 
859.countytwo,Nble ,Noble 
439.statecounty,GA_Dougerty,GA_Dougherty
2032.statevalue,bNY,NY
1732.countytwo,Ornge ,Orange 
2211.fipstwo,ft40139,f40139
1637.county,McCvone ,McCone 
3088.fipstwo,f50505,f55005
2846.statecounty,TX_Vicotria,TX_Victoria
2877.fipstwo,f4921,f49021
2147.countytwo,Blain e,Blaine 
2582.county,bion ,Obion 
38.statecounty,AL_Chamebrs,AL_Chambers
1384.statevalue,wMN,MN
1151.statevalue,A,LA
2415.statevalue,ScC,SC
2041.statevalue,Y,NY
2084.fipstwo,f3901,f39061
2074.statecounty,HO_Delaware,OH_Delaware
2672.fipstwo,48121,f48121
1340.statecounty,NM_Dodge,MN_Dodge
1097.statecounty,KY_Pihke,KY_Pike
293.county,Montroske ,Montrose 
973.statecounty,KS_Republioc,KS_Republic
1547.fipstwo,f2841,f28041
2968.statevalue,AV,VA
3051.county,Clalla m,Clallam 
2667.county,Dallamb ,Dallam 
580.statevalue,AI,IA
2962.statevalue,A,VA
1247.statevalue,IM,MI
421.statecounty,GiA_Clarke,GA_Clarke
2127.statevalue,iOH,OH
2761.countytwo,Llno ,Llano 
2544.county,Gile s,Giles 
1707.statevalue,C,NC
1731.statevalue,CN,NC
2733.fipstwo,f4823,f48243
2049.countytwo,aWshington ,Washington 
1539.county,Clya ,Clay 
667.fipstwo,f1602p1,f16021
413.statevalue,AG,GA
2990.countytwo,Peltersburg city,Petersburg city
3011.countytwo,Skmyth ,Smyth 
2440.statecounty,SwC_Newberry,SC_Newberry
1184.countytwo,Barstable ,Barnstable 
1013.fipstwo,f21f027,f21027
1104.countytwo,Sctot ,Scott 
1149.county,Lafouche Parish,Lafourche Parish
1636.county,Madisonq ,Madison 
358.county,Lafayette ***,Lafayette 
2672.county,Denotn ,Denton 
438.countytwo,ooly ,Dooly 
1562.county,Lafayentte ,Lafayette 
458.fipstwo,f31133,f13133
3003.fipstwo,f511h61,f51161
2624.statecounty,X_Bee,TX_Bee
3051.statevalue,hWA,WA
147.countytwo,Newotn ,Newton 
2050.fipstwo,f3117,f36117
331.county,Borward ,Broward 
1652.statecounty,MT_Rosebdu,MT_Rosebud
1143.statevalue,uLA,LA
3152.fipstwo,qf55131,f55131
1226.statecounty,MEH_ancock,ME_Hancock
1532.statevalue,SM,MS
2744.countytwo,Kerdr ,Kerr 
1537.countytwo,Caiborne ,Claiborne 
1452.statecounty,OM_Howard,MO_Howard
260.fipstwo,f0819,f08019
2212.countytwo,Tpillman ,Tillman 
2434.fipstwo,f450x59,f45059
944.statecounty,S_Labette,KS_Labette
1132.countytwo,Cataholua ,Catahoula 
3006.statecounty,VA_Rockikngham,VA_Rockingham
3118.statecounty,WI_Laayette,WI_Lafayette
1611.statevalue,MvT,MT
3214.countytwo,Bdig Horn ,Big Horn 
1001.statecounty,KY_Allne,KY_Allen
189.countytwo,Santa ruz ,Santa Cruz 
922.countytwo,Fingney ,Finney 
2023.countytwo,Naigara ,Niagara 
259.countytwo,Cheenne ,Cheyenne 
3191.county,Niucholas ,Nicholas 
1975.countytwo,aCrson City,Carson City
462.county,Huancock ,Hancock 
324.statecounty,DE_New Castlie,DE_New Castle
2985.fipstwo,f51702,f51720
1162.countytwo,aSbine ,Sabine 
3225.statevalue,Y,WY
1788.statevalue,DN,ND
314.statecounty,T_Fairfield,CT_Fairfield
565.county,Boone ***,Boone 
741.fipstwo,f10781,f17081
2623.statecounty,TX_aylor,TX_Baylor
3108.statecounty,WI_Gren,WI_Green
938.statecounty,KS_efferson,KS_Jefferson
405.countytwo,rBantley ,Brantley 
1496.statevalue,wMO,MO
915.statevalue,SK,KS
73.fipstwo,f01078,f01087
2744.statevalue,X,TX
112.countytwo,Craighea d,Craighead 
1499.statecounty,O_Saline,MO_Saline
2214.statecounty,KO_Wagoner,OK_Wagoner
138.statevalue,RA,AR
3130.county,Outuagamie ,Outagamie 
380.fipstwo,f21113,f12113
2473.county,Fall Rive ,Fall River 
1662.statecounty,MT_Whetland,MT_Wheatland
2088.countytwo,enry ,Henry 
614.statevalue,AI,IA
2804.fipstwo,f48835,f48385
3049.statevalue,A,WA
1370.statecounty,N_Mower,MN_Mower
1924.fipstwo,f3007,f34007
1738.fipstwo,f3717,f37147
499.statevalue,A,GA
1533.countytwo,Calhonu ,Calhoun 
989.statevalue,KgS,KS
1625.statevalue,MnT,MT
1398.countytwo,Travesre ,Traverse 
2952.statevalue,bVA,VA
752.fipstwo,f1703,f17103
473.county,Jeffekrson ,Jefferson 
1444.county,Gasocnade ,Gasconade 
2118.countytwo,Pickawiay ,Pickaway 
1720.county,Mcaon ,Macon 
1807.statecounty,ND_ioux,ND_Sioux
574.fipstwo,f91033,f19033
2842.statevalue,X,TX
3057.fipstwo,f35021,f53021
23.countytwo,rSkagway Municipality,Skagway Municipality
2492.county,yLman ,Lyman 
2412.county,Berukeley ,Berkeley 
2637.statecounty,TX_uBrleson,TX_Burleson
1221.statevalue,DM,MD
1957.fipstwo,f3502v8,f35028
638.countytwo,Sa ,Sac 
1046.countytwo,Hadin ,Hardin 
720.county,DeKal b,DeKalb 
1093.fipstwo,f1187,f21187
2453.countytwo,Bennextt ,Bennett 
1798.countytwo,embina ,Pembina 
2937.county,Fauquie ,Fauquier 
413.county,Candller ,Candler 
1474.fipstwo,f29133***,f29133
1354.statecounty,MN_Kandiyoi,MN_Kandiyohi
2861.countytwo,Wood ***,Wood 
2029.statecounty,NnY_Oswego,NY_Oswego
1893.fipstwo,31151,f31151
2097.fipstwo,fq39087,f39087
2250.statevalue,R,OR
2525.fipstwo,f47e017,f47017
3076.countytwo,Skaania ,Skamania 
3232.fipstwo,5f6039,f56039
185.countytwo,oMhave ,Mohave 
1888.fipstwo,f31411,f31141
3076.statecounty,WA_Sakmania,WA_Skamania
2917.countytwo,Carrll ,Carroll 
106.statecounty,AR_Clrak,AR_Clark
1588.fipstwo,f281i23,f28123
220.statevalue,CqA,CA
886.statevalue,N,IN
2347.statevalue,R,PR
1953.statevalue,yNM,NM
2562.county,Johnsn ,Johnson 
2394.county,Vega Alta Munciipio,Vega Alta Municipio
1601.countytwo,Warern ,Warren 
558.countytwo,dair ,Adair 
1609.statecounty,MT_Beavrehead,MT_Beaverhead
2199.county,Ottaw ,Ottawa 
3100.countytwo,oor ,Door 
337.fipstwo,f1202b3,f12023
965.county,Osbore ,Osborne 
1032.statecounty,KYc_Estill,KY_Estill
2049.statecounty,NY_Washingon,NY_Washington
505.statecounty,AG_Pierce,GA_Pierce
447.statevalue,AG,GA
347.fipstwo,f1204t5,f12045
795.statecounty,ILj_Washington,IL_Washington
607.fipstwo,f1909o9,f19099
18.statevalue,eAK,AK
897.statecounty,KS_Atwchison,KS_Atchison
2781.statecounty,TX_Montomery,TX_Montgomery
80.county,Montgomeyr ,Montgomery 
