characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Ttoal - White, non-Hispanic",Female,"White, non-Hispanic",2013,127.0,1.3,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,96.0,2.9,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,120.0,2.4,ata not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,94.0,2.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Dtaa not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,120.0,2.4,Data not availbale.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,98.0,1.9,Dta not available.
Total - Hispaic,Female,Hispanic,2005,99.0,3.2,Data not available.
Total - Hispaniic,Female,Hispqanic,2006,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2007,120.0,2.4,Data not available.
Total - Hispanic,Feale,Hispanic,2008,120.0,2.4,Data not available.
Total - Hbispanic,Female,Hispanic,2009,105.0,1.9,Data not available.
Total - Hispanic,Feale,Hispanic,2010,120.0,2.4,Data not availalbe.
Total - Hispanic,Female,Hispanic,2011,120.0,2.4,Data not available.
Total -Hispanic,Female,Hispanic,2012,120.0,2.4,Data not available.
Total - Hispanic,Female,Hispanic,2013,106.0,2.4,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanyic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian,n on-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"sian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Aisan, non-Hispanic",Female,"Asian, non-Hispanic",2009,137.0,7.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asain, non-Hispanic",Fegmale,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,122.0,7.8,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacifi cIslander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Datan ot available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-ispanic",2006,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacifich Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, no-Hispanic",2011,120.0,2.4,Data not available.
"Total - Pacific Islander, non-Hispanic",wFemale,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Pacific Islandser, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or teh coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanci",2008,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fvemale,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fiemale,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not aavilable.
Total - Two or more races non-Hispanic,Female,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hisapnic",2009,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,120.0,2.4,Data notl available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hiskpanic",2013,125.0,6.3,Dta not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanci",2005,122.0,2.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",ale,"White, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, ngon-Hispanic",2009,131.0,1.7,Data not available.
"Total - Male, White, non-Hispanic",mMale,"White, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,130.0,1.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Blakc, non-Hispanic",2005,98.0,3.7,Data not available.
"Total - Male, Black, non-Hispanic",Mae,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,96.0,3.5,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,120.0,2.4,Data no available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,120.0,2.4,Data noot available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Black non-Hispanic",Male,"Black, non-Hispanic",2013,100.0,2.4,Data not available.
"Total - Male ,Hispanic",Male,Hispanioc,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,ispanic,2006,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,109.0,2.4,Data not available.
"Total - Male, Hispnaic",ale,Hisanic,2010,120.0,2.4,Data njot available.
"Total - Male, Hispanic",Male,Hispanic,2011,120.0,2.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,120.0,2.4,Data ont available.
"Total - Male, Hispanic",Male,Hispanic,2013,108.0,2.7,Data not available.
"Total - Male, Asina, non-Hispanic",Male,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"otal - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data for 2005and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mael,"Asian, nn-Hispanic",2011,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 ad 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispnic",Male,"Asian, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, onon-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, PacificI slander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mae,"Pacific Islander, non-Hispanic",2009,120.0,2.4,ata not available.
"Total - Male, Pacific Islander, non-Hispanic",Mlae,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Pacific Islander, non-Hispanci",Male,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Datta not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standardsn ot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hsipanic",2007,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Idnian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not avyailable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hipanic",2011,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/AlaskaNative, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Moale,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mle,"Two or more races, non-Hispanic",2009,120.0,2.4,Data not available.
"Ttoal - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malje,"Two or more races, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Feale,"White, non-Hispanic",2005,116.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",eFmale,"White, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"Whit,e non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, White, non-ispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,120.0,2.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispaic",2011,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, White, non-Hispanic",Femae,"White, onn-Hispanic",2013,123.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanc",2006,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Fnemale,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,92.0,3.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"dBlack, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,95.0,3.0,Data not avaailable.
"Total - Female, Hispanic",Female,Hispanic,2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanc,2006,120.0,2.4,Datanot available.
"Total - Female, Hicspanic",Female,Hispanic,2007,120.0,2.4,Data not available.
"Total - Female, Hispanic",Femae,Hispanic,2008,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,100.0,2.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2010,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,120.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,120.0,2.4,Dvata not available.
"Total - Female, Hispanic",Female,Hispanic,2013,103.0,3.6,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fmale,"Asian, non-Hispanic",2006,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,120.0,2.4,Data not available. Data or 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islnders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,120.0,2.4,Data not avbailable. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,120.0,2.4,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanfic",Female,"Asian, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2005 and 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific sIlander, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, nonH-ispanic",Female,"Pacific Islander, non-Hispanic",2010,120.0,2.4,Data not avabilable.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Totpal - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Natvie, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not vaailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2009,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hisanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not wavailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Daxta not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Amerian Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"otal - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,120.0,2.4,Data not available.
"Total - Female, Two or more races,t non-Hispanic",Female,"Two or more races, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,120.0,2.4,Dataz not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more wraces, non-Hispanic",2009,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,120.0,2.4,Data not availaeble.
"Total - Female, Two or more races, non-Hiispanic",Female,"Two or more races, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,120.0,2.4,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
