yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
1986.0,Survey Methodology Changed in 2012,Total,14.6,13.8,15.3
1994.0,Survey Methodology Changed in 2012,Male,17.0,15.9,18.2
1993.0,Survey Methodology Changed in 2012,Female,11.1,10.3,16.3
1989.0,Survey Methodology Changed in 2012,Total,14.0,13.4,14.7
1993.0,Survey Methodology Changed in 2012,Male,17.5,16.4,18.7
1985.0,Survey Methodology Changed in 2012,Female,9.1,8.4,9.8
1985.0,Survey Methodology Changed in 2012,Totl,13.3,12.6,13.9
1986.0,Survey Methodology Changed in 2012,Male,17.1,16.0,18.1
1991.0,Survey Methodology Changed in 2012,Female,10.7,10.0,11.4
1991.0,Survey Methodology Changed in 2012,Total,13.8,13.2,14.4
1991.0,Survey Methodology Changed in 2012,Mael,16.5,15.6,17.4
1986.0,Survey Methodology Changed in 2012,Female,10.6,10.0,11.2
1991.0,Survey Methodology Changed in 2012,otal,13.3,12.8,13.8
1991.0,Survey Methodology Changed in 2012,Male,15.8,14.9,16.7
1986.0,Survey Methodology Changed in 2012,Female,10.5,9.9,11.1
1985.0,Survey Methodology Changed in 2012,Total,13.1,12.6,13.6
1984.0,Survey Methodology Changed in 2012,Mdale,14.7,13.8,15.5
1984.0,Survey Methodology Changed in 2012,Female,9.6,9.0,10.1
2010.0,Survey Methodology Changed in 2012,Total,11.9,11.6,12.6
1994.0,Survey Methodology Changed in 2012,ale,14.9,14.0,15.7
1984.0,Survey Methodology Changed in 2012,Female,9.3,8.7,9.8
1988.0,Survey Methodology Changed in 2012,Total,12.0,11.5,12.5
1992.0,Present,Male,15.5,14.6,16.4
1989.0,Present,Female,10.0,9.4,10.7
1993.0,Present,Total,12.7,12.2,13.3
1996.0,Present,Male,15.1,14.1,16.2
1984.0,Present,Female,8.5,7.7,9.2
1984.0,Present,Total,11.7,11.1,12.4
1986.0,Present,Mael,14.9,13.2,16.6
1986.0,Present,Female,38.60863668658606,7.2,9.5
1984.0,Present,Total,11.6,10.6,12.6
1987.0,Present,Male,12.9,11.5,14.3
1989.0,Present,Female,8.1,6.9,9.2
1986.0,Present,Total,10.5,9.5,11.4
1991.0,Present,dMale,14.8,13.0,16.6
1995.0,Present,Female,8.1,6.6,9.6
1988.0,Present,Tottal,11.4,10.3,12.6
1992.0,Present,Male,13.3,11.0,15.7
1984.0,Present,Female,7.0,5.8,8.1
1990.0,Present,Total,10.1,8.8,11.4
1985.0,Present,Male,12.1,10.3,13.9
1990.0,Present,Female,7.5,5.7,9.3
1988.0,Present,Toal,9.7,8.5,11.0
1994.0,Present,Male,11.3,8.9,13.8
1984.0,Present,Female,6.3,5.2,7.4
1986.0,Present,Total,8.8,7.4,10.2
