year_start,year_end,location_abbr,location_desc,datasource,class,topic,question,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,sample_size,total,poverty_level,ageyears,birth_order,education,gender,marital_status,metropolitan,race_ethnicity,wic_participation,geo_location,class_id,topic_id,question_id,data_value_type_id,location_id,stratification_category_one,stratification_one,stratification_category_id_one,stratification_id_one
2018,2018,FL,Florida,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,37.1,37.1,,,29.1,45.8,276.0,Total,,,,,,,,,,"(28.932040377000476, -81.92896053899966)",BF,BF1,Q002,VALUE,12,Total,Total,OVR,OVERALL
2017,2017,LA,Louisiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,24.3,24.3,,,17.3,32.9,215.0,Total,,,,,,,,,,"(31.31266064400046, -92.44568007099969)",BF,BF1,Q002,VALUE,22,Total,Total,OVR,OVERALL
2017,2017,OR,Oregon,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,93.2,93.2,,,87.0,96.5,182.0,Total,,,,,,,,,,"(44.56744942400047, -120.15503132599969)",BF,BF1,Q006,VALUE,41,Total,Total,OVR,OVERALL
2017,2017,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,30.6,30.6,,,22.6,40.0,215.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q002,VALUE,5,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,23.5,23.5,,,21.0,26.1,3350.0,,,,,,,,Non-metropolitan,,,,BF,BF1,Q008,VALUE,59,Metropolitan,Non-metropolitan,METRO,METRONO
2017,2017,MA,Massachusetts,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,58.1,58.1,,,49.7,66.2,321.0,Total,,,,,,,,,,"(42.27687047000046, -72.08269067499964)",BF,BF1,Q005,VALUE,25,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,50.9,50.9,,,48.6,53.2,6612.0,,,20 - 29,,,,,,,,,BF,BF1,Q005,VALUE,59,Age (years),20 - 29,AGEYR,AGEYR2029
2017,2017,MI,Michigan,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,15.6,15.6,,,11.3,21.1,353.0,Total,,,,,,,,,,"(44.6613195430005, -84.71439026999968)",BF,BF1,Q003,VALUE,26,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,46.9,46.9,,,24.3,70.9,100.0,,,,,,,,,Hawaiian/Pacific Islander,,,BF,BF1,Q008,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,VT,Vermont,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,58.6,58.6,,,52.4,64.6,355.0,Total,,,,,,,,,,"(43.62538123900049, -72.51764079099962)",BF,BF1,Q007,VALUE,50,Total,Total,OVR,OVERALL
2017,2017,AZ,Arizona,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,42.8,42.8,,,35.1,50.7,219.0,Total,,,,,,,,,,"(34.865970280000454, -111.76381127699972)",BF,BF1,Q002,VALUE,4,Total,Total,OVR,OVERALL
2017,2017,VI,Virgin Islands,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,Total,,,,,,,,,,"(18.335765, -64.896335)",BF,BF1,Q004,VALUE,78,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,14.4,14.4,,,8.0,24.7,172.0,,,,,,,,,American Indian/Alaska Native,,,BF,BF1,Q001,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,HI,Hawaii,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,13.7,13.7,,,9.4,19.5,259.0,Total,,,,,,,,,,"(21.304850435000446, -157.85774940299973)",BF,BF1,Q003,VALUE,15,Total,Total,OVR,OVERALL
2017,2017,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,37.8,37.8,,,33.0,42.9,782.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q004,VALUE,36,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,84.1,84.1,,,83.0,85.1,20016.0,Total,,,,,,,,,,,BF,BF1,Q006,VALUE,59,Total,Total,OVR,OVERALL
2017,2017,IL,Illinois,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,39.2,39.2,,,33.6,45.2,419.0,Total,,,,,,,,,,"(40.48501028300046, -88.99771017799969)",BF,BF1,Q001,VALUE,17,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,61.9,61.9,,,60.1,63.5,11112.0,,,,,,,,,Non-Hispanic White,,,BF,BF1,Q005,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2017,2017,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,17.5,17.5,,,12.8,23.4,303.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q003,VALUE,28,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,19.0,19.0,,,17.2,21.0,7550.0,,,,,,,,,,Yes,,BF,BF1,Q008,VALUE,59,WIC Participation,Yes,WIC,WICYES
2017,2017,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,23.7,23.7,,,19.0,29.1,343.0,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q008,VALUE,40,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,22.3,22.3,,,18.7,26.3,1355.0,,,,,,,,,,"No, but eligible",,BF,BF1,Q001,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2017,2017,RI,Rhode Island,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,31.5,31.5,,,24.7,39.1,193.0,Total,,,,,,,,,,"(41.70828019300046, -71.52247031399963)",BF,BF1,Q001,VALUE,44,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,75.7,75.7,,,73.0,78.2,3331.0,,600 or greater,,,,,,,,,,BF,BF1,Q005,VALUE,59,% Poverty Level,600 or greater,POV,POV600PLUS
2017,2017,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,32.5,32.5,,,25.8,40.0,232.0,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q004,VALUE,19,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,57.2,57.2,,,55.2,59.3,9187.0,,,,,College graduate,,,,,,,BF,BF1,Q007,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2017,2017,MA,Massachusetts,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,44.5,44.5,,,36.3,53.0,309.0,Total,,,,,,,,,,"(42.27687047000046, -72.08269067499964)",BF,BF1,Q007,VALUE,25,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,84.1,84.1,,,81.5,86.3,4376.0,,,,,,,,,Hispanic,,,BF,BF1,Q006,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.7,19.7,,,18.3,21.2,14349.0,,,,,,,,Metropolitan,,,,BF,BF1,Q003,VALUE,59,Metropolitan,Metropolitan,METRO,METROYES
2017,2017,CA,California,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,67.1,67.1,,,58.0,75.1,416.0,Total,,,,,,,,,,"(37.63864012300047, -120.99999953799971)",BF,BF1,Q005,VALUE,6,Total,Total,OVR,OVERALL
2017,2017,UT,Utah,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,42.4,42.4,,,35.8,49.3,274.0,Total,,,,,,,,,,"(39.360700171000474, -111.58713063499971)",BF,BF1,Q004,VALUE,49,Total,Total,OVR,OVERALL
2017,2017,DC,District of Columbia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,24.0,24.0,,,18.9,29.9,359.0,Total,,,,,,,,,,"(38.89037138500049, -77.03196112699965)",BF,BF1,Q008,VALUE,11,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,19.7,19.7,,,11.2,32.2,135.0,,,Under 20,,,,,,,,,BF,BF1,Q003,VALUE,59,Age (years),Under 20,AGEYR,AGEYR0019
2017,2017,NV,Nevada,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,40.1,40.1,,,32.6,48.1,256.0,Total,,,,,,,,,,"(39.493240390000494, -117.07184056399967)",BF,BF1,Q002,VALUE,32,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,31.2,31.2,,,28.9,33.6,7749.0,,,,,,Male,,,,,,BF,BF1,Q001,VALUE,59,Gender,Male,GEN,MALE
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,29.9,29.9,,,26.4,33.7,1599.0,,,,,High school graduate,,,,,,,BF,BF1,Q002,VALUE,59,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,55.7,55.7,,,53.7,57.7,10056.0,,,,,,,,,,Ineligible,,BF,BF1,Q007,VALUE,59,WIC Participation,Ineligible,WIC,WICINELG
2017,2017,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,33.5,33.5,,,26.3,41.5,176.0,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q002,VALUE,54,Total,Total,OVR,OVERALL
2017,2017,AK,Alaska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,43.9,43.9,,,36.8,51.3,244.0,Total,,,,,,,,,,"(64.84507995700051, -147.72205903599973)",BF,BF1,Q004,VALUE,2,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.8,34.8,,,32.3,37.4,5915.0,,,,,,Female,,,,,,BF,BF1,Q002,VALUE,59,Gender,Female,GEN,FEMALE
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,83.5,83.5,,,82.1,84.8,12259.0,,,,Not first born,,,,,,,,BF,BF1,Q006,VALUE,59,Birth Order,Not first born,BO,BONOT1
2017,2017,IL,Illinois,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,23.9,23.9,,,19.8,28.4,551.0,Total,,,,,,,,,,"(40.48501028300046, -88.99771017799969)",BF,BF1,Q008,VALUE,17,Total,Total,OVR,OVERALL
2017,2017,ID,Idaho,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,24.6,24.6,,,18.0,32.7,218.0,Total,,,,,,,,,,"(43.682630005000476, -114.3637300419997)",BF,BF1,Q008,VALUE,16,Total,Total,OVR,OVERALL
2017,2017,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,70.0,70.0,,,63.7,75.6,403.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q006,VALUE,28,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,33.9,33.9,,,30.6,37.4,3526.0,,,,,,,Unmarried,,,,,BF,BF1,Q001,VALUE,59,Marital Status,Unmarried,MARSTAT,UNMARRIED
2017,2017,FL,Florida,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,31.8,31.8,,,24.7,39.7,392.0,Total,,,,,,,,,,"(28.932040377000476, -81.92896053899966)",BF,BF1,Q001,VALUE,12,Total,Total,OVR,OVERALL
2017,2017,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,50.2,50.2,,,43.8,56.5,365.0,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q005,VALUE,29,Total,Total,OVR,OVERALL
2017,2017,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,8.9,8.9,,,5.4,14.5,183.0,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q003,VALUE,47,Total,Total,OVR,OVERALL
2017,2017,IA,Iowa,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,16.8,16.8,,,11.2,24.3,186.0,Total,,,,,,,,,,"(42.46940091300047, -93.81649055599968)",BF,BF1,Q003,VALUE,19,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,25.6,25.6,,,24.3,26.8,19417.0,Total,,,,,,,,,,,BF,BF1,Q008,VALUE,59,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,30.5,30.5,,,27.3,33.9,4079.0,,200 - 399,,,,,,,,,,BF,BF1,Q001,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2017,2017,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,53.6,53.6,,,47.5,59.6,356.0,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q005,VALUE,40,Total,Total,OVR,OVERALL
2017,2017,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,32.1,32.1,,,20.8,46.0,123.0,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q002,VALUE,47,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,26.1,26.1,,,23.0,29.5,1851.0,,,,,,,,,Non-Hispanic Black,,,BF,BF1,Q004,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,25.8,25.8,,,21.5,30.5,760.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q008,VALUE,36,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,24.0,24.0,,,14.2,37.5,183.0,,,Under 20,,,,,,,,,BF,BF1,Q004,VALUE,59,Age (years),Under 20,AGEYR,AGEYR0019
2017,2017,GU,Guam,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,76.0,76.0,,,66.3,83.5,195.0,Total,,,,,,,,,,"(13.444304, 144.793731)",BF,BF1,Q006,VALUE,66,Total,Total,OVR,OVERALL
2017,2017,UT,Utah,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,26.3,26.3,,,20.6,32.8,261.0,Total,,,,,,,,,,"(39.360700171000474, -111.58713063499971)",BF,BF1,Q008,VALUE,49,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,84.9,84.9,,,83.8,85.9,16572.0,,,,,,,,Metropolitan,,,,BF,BF1,Q006,VALUE,59,Metropolitan,Metropolitan,METRO,METROYES
2017,2017,AZ,Arizona,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,48.8,48.8,,,42.3,55.4,311.0,Total,,,,,,,,,,"(34.865970280000454, -111.76381127699972)",BF,BF1,Q007,VALUE,4,Total,Total,OVR,OVERALL
2017,2017,IN,Indiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,42.6,42.6,,,36.2,49.3,307.0,Total,,,,,,,,,,"(39.766910452000445, -86.14996019399968)",BF,BF1,Q007,VALUE,18,Total,Total,OVR,OVERALL
2017,2017,NC,North Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,42.5,42.5,,,36.4,48.9,393.0,Total,,,,,,,,,,"(35.466220975000454, -79.15925046299964)",BF,BF1,Q007,VALUE,37,Total,Total,OVR,OVERALL
2017,2017,MN,Minnesota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,29.1,29.1,,,21.4,38.2,218.0,Total,,,,,,,,,,"(46.35564873600049, -94.79420050299967)",BF,BF1,Q001,VALUE,27,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,21.6,21.6,,,19.4,23.9,6769.0,,,,First born,,,,,,,,BF,BF1,Q003,VALUE,59,Birth Order,First born,BO,BOFIRST
2017,2017,CT,Connecticut,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,85.4,85.4,,,76.4,91.3,184.0,Total,,,,,,,,,,"(41.56266102000046, -72.64984095199964)",BF,BF1,Q006,VALUE,9,Total,Total,OVR,OVERALL
2017,2017,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,77.5,77.5,,,74.2,80.5,3444.0,,,,,,,,Non-metropolitan,,,,BF,BF1,Q006,VALUE,59,Metropolitan,Non-metropolitan,METRO,METRONO
2017,2017,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,28.8,28.8,,,21.2,37.8,175.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q002,VALUE,28,Total,Total,OVR,OVERALL
