county_name,code,district_name,city,address,state,zip,phone,fax,web_siteurl,superintendent,superintendent_email,board_president
CARTER      ,10-C072,Zaneis                        ,Wilson,30515 Us Highway 70,OK,73463.0,(580) 668-2955,(580) 668-2114,NULL,Ryan Cole,zaneis@zaneis.k12.ok.us,Lindsay Southward
CARTER      ,10-I019,Ardmore                       ,Ardmore,800 M Street Ne,OK,73401.0,(580) 226-7650,(580) 226-2472,www.ardmoreschools.org,Nathaniel Bates,sbates@ardmoreschools.org,Scott Carpenter
CARTER      ,10-I021,Springer                      ,Springer,16624 Us Hwy 77,OK,73458.0,(580) 653-2656,(580) 653-2666,www.springerschools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
CARTER      ,10-I027,Plainview                     ,Ardmore,1140 South Plainview Road,OK,73401.0,(580) 223-6319,(580) 490-3190,www.plainview.k12.ok.us,Karl Stricker,kstricker@plainview.k12.ok.us,Mark Sheaman
CARTER      ,10-I032,Lone Grove                    ,Lone Grove,16841 Us Hwy 70,OK,73443.0,(580) 657-3131,(580) 657-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k12.ok.us,Darryl Howard
CARTER      ,10-I043,Wilson                        ,Wilson,1860 Hewitt Road,OK,73463.0,(580) 668-2306,(580) 668-2170,www.wilson.k12.ok.us,Eric Smith,esmith@wilson.k12.ok.us,Suzanne Goode
CARTER      ,10-I055,Healdton                      ,Healdton,2763 Texas Street,OK,73438.0,(580) 229-0566,(580) 229-1522,www.healdtonschools.org,Terry Shaw,tshaw@healdtonschools.org,Chris Sparks
CARTER      ,10-I074,Fox                           ,Fox,100 Creek Ave,OK,73435.0,(580) 673-2081,(580) 673-2389,http://www.foxps.k12.ok.us/,Brent Phelps,bphelps@foxps.k12.ok.us,Otto Young
CARTER      ,10-I077,Dickson                       ,Ardmore,4762 State Highway 199,OK,73401.0,(580) 223-3624,(580) 223-7947,www.dickson.k12.ok.us,Larry Case,lcase@dickson.k12.ok.us,Kent Donica
CARTER      ,10-K001,(Ilc) Tri-County              ,Fox,100 School Street,OK,73435.0,(580) 673-2310,(580) 673-2309,www.ringling.k12.ok.us,Michelle Taylor,mtaylor@ringling.k12.ok.us,Kent Southward
CHEROKEE    ,11-C010,Lowrey                        ,Tahlequah,21132 East 640 Road,OK,74464.0,(918) 456-4053,(918) 458-0647,www.lowrey.k12.ok.us,Bryan Hix,bhix@lowrey.k12.ok.us,Garry Million
CHEROKEE    ,11-C014,Norwood                       ,Hulbert,7966 West 790 Road,OK,74441.0,(918) 478-3092,(918) 478-3833,www.norwood.k12.ok.us,Diana Garnatz,garnatzd@norwood.k12.ok.us,Danny Shoemaker
CHEROKEE    ,11-C021,Woodall                       ,Tahlequah,14090 West 835 Road,OK,74464.0,(918) 458-5444,(918) 456-5015,www.woodall.k12.ok.us,Linda Clinkenbeard,lclink@woodall.k12.ok.us,Tony Delmedico
CHEROKEE    ,11-C026,Shady Grove                   ,Hulbert,11042 West Shady Grove Road,OK,74441.0,(918) 772-2511,(918) 772-2430,NULL,Emmett Thompson,ethompson@shadygrove.k12.ok.us,Lea Arnall
CHEROKEE    ,11-C031,Peggs                         ,Peggs,10821 West Hickory Ave.,OK,74452.0,(918) 598-3412,(918) 598-3833,peggspanthers.com,John Cox,jcox@peggs.k12.ok.us,Tim Applegate
CHEROKEE    ,11-C034,Grand View                    ,Tahlequah,15481 North Jarvis Road,OK,74464.0,(918) 456-5131,(918) 456-1526,www.grandviewchargers.org,Ed Kennedy,ekennedy@grandview.k12.ok.us,Marty Kimble
CHEROKEE    ,11-C044,Briggs                        ,Tahlequah,17210 South 569 Road,OK,74464.0,(918) 456-4221,(918) 456-4049,www.briggs.k12.ok.us,Stephen Haynes,shaynes@briggs.k12.ok.us,Billy Gibson
CHEROKEE    ,11-C066,Tenkiller                     ,Welling,26106 East 863 Road,OK,74471.0,(918) 457-5996,(918) 457-5619,www.tenkiller.k12.ok.us,Randy Rountree,rrountree@tenkiller.k12.ok.us,Charley Holcomb
CHEROKEE    ,11-I006,Keys                          ,Park Hill,26622 South 520 Road,OK,74451.0,(918) 458-1835,(918) 456-1656,www.keys.k12.ok.us,Vol Woods,vwoods@keys.k12.ok.us,Radean Foreman
CHEROKEE    ,11-I016,Hulbert                       ,Hulbert,316 Rider Lane,OK,74441.0,(918) 772-2501,(918) 772-2766,http://www.hulbertriders.com/,Marilyn Dewoody,mdewoody@hulbertriders.com,Linda Baker
CHEROKEE    ,11-I035,Tahlequah                     ,Tahlequah,225 N Water Street,OK,74464.0,(918) 458-4100,(918) 458-4103,www.tahlequahschools.org,Lisa Presley,presleyl@tahlequahschools.org,David Morrison
CHEROKEE    ,11-T001,Cherokee Immersion Charter Sch,Tahlequah,17675 S. Muskogee,OK,74465.0,(918) 453-5400,(918) 458-6257,NULL,Leroy Qualls,leroy-qualls@cherokee.org,Amon Baker
CHOCTAW     ,12-C003,Grant                         ,Grant,201 N. Everidge St.,OK,74738.0,(580) 326-8315,(580) 326-9236,NULL,Buck Hammers,bhammers@grant.k12.ok.us,Dennis Lee
CHOCTAW     ,12-C021,Swink                         ,Swink,500 Jourdan Street,OK,74761.0,(580) 873-2695,(580) 873-9493,www.swink.k12.ok.us,Mark Bush,mbush@swink.k12.ok.us,Darrell Stowers
CHOCTAW     ,12-I001,Boswell                       ,Boswell,604 N. 7Th St.,OK,74727.0,(580) 566-2558,(580) 566-2265,www.boswellschools.org,Keith Edge,kedge@boswellschools.org,John Kerr
CHOCTAW     ,12-I002,Fort Towson                   ,Fort Towson,205 W. 3Rd St.,OK,74735.0,(580) 873-2712,(580) 873-1053,www.forttowson.k12.ok.us,Jason Price,supt@forttowson.k12.ok.us,Glenn Lamza
CHOCTAW     ,12-I004,Soper                         ,Soper,100 St. Louis St.,OK,74759.0,(580) 345-2757,(580) 345-2222,http://www.soperschool.com/,Scott Van Worth,soperschool@live.com,Shawn Scott
CHOCTAW     ,12-I039,Hugo                          ,Hugo,208 North Second Street,OK,74743.0,(580) 326-6483,(580) 326-2480,http://www.hugoschools.com,Tod Harrison,tharrison@hugoschools.com,Shane Spillman
CIMARRON    ,13-I002,Boise City                    ,Boise City,700 Se First Street,OK,73933.0,(580) 544-3110,(580) 544-2972,www.boisecity.k12.ok.us,Dr. Ira Harris,ira.harris@bcpsd.org,Billy Mizer
CIMARRON    ,13-I010,Felt                          ,Felt,101 South Lincoln,OK,73937.0,(580) 426-2220,(580) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,John Fain
CIMARRON    ,13-I011,Keyes                         ,Keyes,3Rd & Mcknab,OK,73947.0,(580) 546-7231,(580) 546-7338,keyes.k12.ok.us,Sherri Hitchings,sherri.hitchings@keyesps.org,Avis Strasner
CLEVELAND   ,14-C016,Robin Hill                    ,Norman,4801 East Franklin Road,OK,73026.0,(405) 321-4186,(405) 321-5179,www.robinhillschool.org,Brandon Voss,bvoss@roboinhill.k12.ok.us,J. B. Southerland
CLEVELAND   ,14-I002,Moore                         ,Moore,1500 Southeast 4Th Street,OK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Robert Romines,robertromines@mooreschools.com,Larry Leemaster
CLEVELAND   ,14-I029,Norman                        ,Norman,131 South Flood Ave,OK,73069.0,(405) 364-1339,(405) 366-5851,www.norman.k12.ok.us,Joseph Siano,jsiano@norman.k12.ok.us,Linda Sexton
CLEVELAND   ,14-I040,Noble                         ,Noble,111 S 4Th,OK,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com,Frank Solomon,fsolomon@nobleps.com,Jeanette Smith
CLEVELAND   ,14-I057,Lexington                     ,Lexington,420 Northeast Fourth Street,OK,73051.0,(405) 527-7236,(405) 527-9517,http://www.lexington.k12.ok.us/,Ronda Bass,rbass@lexington.k12.ok.us,Terry Mixon
CLEVELAND   ,14-I070,Little Axe                    ,Norman,2000 168Th Ave Northeast,OK,73026.0,(405) 329-7691,(405) 579-2929,http://www.littleaxe.k12.ok.us/,Jay Thomas,jay.thomas@littleaxeps.org,Beverly Felton
COAL        ,15-C004,Cottonwood                    ,Coalgate,Hwy 31 2 Miles Ne,OK,74538.0,(580) 927-2937,(580) 927-2938,www.cottonwoodschool.net,John Daniel,jdaniel@cottonwoodps.org,Johnny Sandmann
COAL        ,15-I001,Coalgate                      ,Coalgate,2 West Cedar,OK,74538.0,(580) 927-2351,(580) 927-2694,http://www.coalgateschools.org/,Jim Girten,jgirten@coalgateschools.org,Tracy Penney
COAL        ,15-I002,Tupelo                        ,Tupelo,200 South 7Th,OK,74572.0,(580) 845-2460,(580) 845-2565,http://www.tupelo.k12.ok.us,Jerry Romines,jromines@tupelo.k12.ok.us,Joyce Sanders
COMANCHE    ,16-C048,Flower Mound                  ,Lawton,2805 Southeast Flower Mound Road,OK,73501.0,(580) 353-4088,(580) 353-5742,www.flowermound.k12.ok.us,Dax Trent,dtrent@flowermound.k12.ok.us,Brenda Parker
COMANCHE    ,16-C049,Bishop                        ,Lawton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,(580) 353-4879,www.Bishop.K12.ok.us,Howard Hampton,hamptonh@bishop.k12.ok.us,Thresa Seabolt
COMANCHE    ,16-I001,Cache                         ,Cache,102 East H Ave,OK,73527.0,(580) 429-3266,(580) 429-3271,www.cacheps.org,Randy Batt,randy.batt@cacheps.org,Lenson Hearn
COMANCHE    ,16-I002,Indiahoma                     ,Indiahoma,307 Chebahtah,OK,73552.0,(580) 246-3448,(580) 246-3372,www.indiahoma.k12.ok.us,Deanna Voegeli,deanna.voegeli@indiahomaps.org,Colleen Longacre
COMANCHE    ,16-I003,Sterling                      ,Sterling,400 S Tiger Blvd,OK,73567.0,(580) 365-4307,(580) 365-4705,www.sterling.k12.ok.us,Julie Poteete,jpoteete@sterling.k12.ok.us,Joe Joiner
COMANCHE    ,16-I004,Geronimo                      ,Geronimo,800 West Main Street,OK,73543.0,(580) 355-3160,(580) 357-8307,www.geronimo.k12.ok.us,Bill Pascoe,bpascoe@geronimo.k12.ok.us,Donald Mccaig
COMANCHE    ,16-I008,Lawton                        ,Lawton,753 Nw Fort Sill Blvd.,OK,73502.0,(580) 357-6900,(580) 585-6319,www.lawtonps.org,Tom Deighan,tom.deighan@lawtonps.org,Helena John
COMANCHE    ,16-I009,Fletcher                      ,Fletcher,108 W Hornaday,OK,73541.0,(580) 549-3016,(580) 549-6016,NULL,Shane Gilbreath,sgilbreath@fletcherschools.org,Aaron Jones
COMANCHE    ,16-I016,Elgin                         ,Elgin,Hwy 17 & Mighty Owl Ave.,OK,73538.0,(580) 492-3663,(580) 492-4084,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.org,Charley Robertson
COMANCHE    ,16-I132,Chattanooga                   ,Chattanooga,507 4Th Street,OK,73528.0,(580) 597-3347,(580) 597-3344,http://www.chatty.k12.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,Brent Peters
COTTON      ,17-I001,Walters                       ,Walters,418 South Broadway Street,OK,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedmon,jldedmon@waltersps.org,Scott Reed
COTTON      ,17-I101,Temple                        ,Temple,206 School Road,OK,73568.0,(580) 342-6230,(580) 342-6463,www.temple.k12.ok.us,Kolby Johnson,kjohnson@temple.k12.ok.us,Micah Lipscomb
COTTON      ,17-I333,Big Pasture                   ,Randlett,1502 N. 10Th St.,OK,73562.0,(580) 281-3831,(580) 281-3299,http://www.bigpasture.org,Nat Lunn,nlunn@bigpasture.org,Eddie Kuykendall
CRAIG       ,18-C001,White Oak                     ,Vinita,27355 South 4340 Road,OK,74301.0,(918) 256-4484,(918) 256-4486,NULL,Richard Mcspadden,rmcspadden@whiteoakschool.net,Bill Kelsey
CRAIG       ,18-I006,Ketchum                       ,Ketchum,404 N. Boston,OK,74349.0,(918) 782-5091,(918) 782-9018,http://www.ketchumwarriors.com,Pete Hiseley,phiseley@ketchumwarriors.com,Dandy Risman
CRAIG       ,18-I017,Welch                         ,Welch,707 S Curtis Street,OK,74369.0,(918) 788-3129,(918) 788-3734,www.welchwildcats.net,R. Clark Mckeon,cmckeon@welchwildcats.net,Cathey Forrest
CRAIG       ,18-I020,Bluejacket                    ,Bluejacket,276 Ne 3Rd St.,OK,74333.0,(918) 784-2365,(918) 784-2130,www.bluejacket.k12.ok.us,Shellie Baker,sbaker@bluejacket.k12.ok.us,John Rogers
CRAIG       ,18-I065,Vinita                        ,Vinita,114 South Scraper Street,OK,74301.0,(918) 256-6778,(918) 256-5617,www.vinitahornets.com,Kelly Grimmett,grimmekd@vinitahornets.com,Jandra Mayer-Ward
CREEK       ,19-C008,Lone Star                     ,Sapulpa,2945 S. Hickory St.,OK,74066.0,(918) 224-0201,(918) 224-3927,www.lonestar.k12.ok.us,Tracie Hale,thale@lonestar.k12.ok.us,Jim Pilkington
CREEK       ,19-C012,Gypsy                         ,Depew,30899 South 417Th West Ave,OK,74028.0,(918) 324-5365,(918) 324-5003,http://www.gypsy.k12.ok.us,Rachel Collins,rcollins@gypsy.k12.ok.us,Teresa Flatt
CREEK       ,19-C034,Pretty Water                  ,Sapulpa,15223 West 81St Street South,OK,74066.0,(918) 224-4952,(918) 224-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.k12.ok.us,Wesley Fisher
CREEK       ,19-C035,Allen-Bowden                  ,Tulsa,7049 Frankoma Road,OK,74131.0,(918) 224-4440,(918) 224-0617,http://www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Mark Mcadams
CREEK       ,19-I002,Bristow                       ,Bristow,420 North Main,OK,74010.0,(918) 367-5555,(918) 367-5848,www.bristow.k12.ok.us,Curtis Shelton,cshelton@bristow.k12.ok.us,Patricia Lawrence
CREEK       ,19-I003,Mannford                      ,Mannford,136 Evans Ave,OK,74044.0,(918) 865-4062,(918) 865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Wayne Burk
CREEK       ,19-I005,Mounds                        ,Mounds,1603 Russell Ave,OK,74047.0,(918) 827-6100,(918) 827-3704,http://www.moundsps.com,Alfred Gaches,agaches@moundsps.com,Joe Carner
CREEK       ,19-I017,Olive                         ,Drumright,9352 South 436Th West Ave,OK,74030.0,(918) 352-9567,(918) 352-4379,http://www.olive.k12.ok.us,Jimmy Reynolds,jreynolds@olive.k12.ok.us,Matt Hodson
