sexraceethnicity,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total - Hispanic,,Hispanic,2003,172.0,1.5,
Total - Hispanic,,Hispanic,2004,,,Data not available.
Total - Hispanic,,Hispanic,2005,176.0,1.2,
Total - Hispanic,,Hispanic,2006,,,Data not available.
Total - Hispanic,,Hispanic,2007,173.0,1.2,
Total - Hispanic,,Hispanic,2008,,,Data not available.
Total - Hispanic,,Hispanic,2009,170.0,1.7,
Total - Hispanic,,Hispanic,2010,,,Data not available.
Total - Hispanic,,Hispanic,2011,171.0,1.4,
Total - Hispanic,,Hispanic,2012,,,Data not available.
Total - Hispanic,,Hispanic,2013,166.0,1.1,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2001,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,193.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,192.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,198.0,2.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,195.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,199.0,2.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,199.0,4.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,195.0,3.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2000,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2001,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,162.0,7.8,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2013,160.0,7.4,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2001,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,171.0,3.7,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,166.0,2.9,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,172.0,3.0,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,168.0,3.4,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,175.0,3.8,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,170.0,3.7,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2013,169.0,4.2,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2000,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2001,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,189.0,3.3,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2013,183.0,2.9,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,178.0,5.8,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,194.0,0.9,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,193.0,0.8,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,199.0,0.8,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,200.0,0.6,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,200.0,0.9,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,197.0,0.7,
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,,,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,196.0,0.8,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2002,168.0,2.3,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2003,163.0,1.2,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2005,169.0,1.5,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2007,171.0,1.3,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2009,172.0,1.6,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2011,168.0,1.1,
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Male, Black, non-Hispanic ",Male,"Black, non-Hispanic ",2013,167.0,1.2,
"Total - Male, Hispanic",Male,Hispanic,2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,173.0,2.9,
"Total - Male, Hispanic",Male,Hispanic,2003,169.0,1.9,
"Total - Male, Hispanic",Male,Hispanic,2004,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,176.0,1.5,
"Total - Male, Hispanic",Male,Hispanic,2006,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,172.0,1.4,
"Total - Male, Hispanic",Male,Hispanic,2008,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,169.0,1.9,
"Total - Male, Hispanic",Male,Hispanic,2010,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,171.0,1.7,
"Total - Male, Hispanic",Male,Hispanic,2012,,,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,166.0,1.5,
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,191.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,186.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,195.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,190.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,191.0,3.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,195.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,194.0,3.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,163.0,9.9,
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,149.0,5.6,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,168.0,4.9,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,166.0,3.8,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,172.0,3.4,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,169.0,3.9,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,178.0,5.3,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,169.0,4.9,
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,177.0,5.5,
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,191.0,3.6,
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,183.0,3.5,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,188.0,9.0,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,197.0,1.3,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,197.0,1.2,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,199.0,0.9,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,200.0,1.0,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,201.0,1.0,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,197.0,1.0,
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,,,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,195.0,1.1,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2002,173.0,2.1,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2003,168.0,1.9,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2005,175.0,1.7,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2007,175.0,1.7,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2009,173.0,1.8,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2011,171.0,1.6,
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2013,169.0,1.7,
"Total - Female, Hispanic",Female,Hispanic,2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2001,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2002,176.0,4.2,
"Total - Female, Hispanic",Female,Hispanic,2003,176.0,2.3,
"Total - Female, Hispanic",Female,Hispanic,2004,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,176.0,1.7,
"Total - Female, Hispanic",Female,Hispanic,2006,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,175.0,2.0,
"Total - Female, Hispanic",Female,Hispanic,2008,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,170.0,2.7,
"Total - Female, Hispanic",Female,Hispanic,2010,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,171.0,2.3,
"Total - Female, Hispanic",Female,Hispanic,2012,,,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2013,166.0,2.5,
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,198.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,202.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,201.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,202.0,6.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,213.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,205.0,8.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,198.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,Data not available.
