Rank,Name,Score
108,MarlynMay,"100,000 points"
109,lk501980,"100,000 points"
110,flyngdtchmn,"100,000 points"
111,Calicokid,"100,000 points"
112,hakeman,"100,000 points"
113,keketu,"100,000 points"
114,fournull,"100,000 points"
115,aavay,"100,000 points"
116,cjz37,"100,000 points"
117,CFS1947,"100,000 points"
118,sabunim,"100,000 points"
119,CFS1947,"100,000 points"
120,msjesmit,"100,000 points"
121,sabunim,"100,000 points"
122,CFS1947,"100,000 points"
123,CFS1947,"100,000 points"
124,sabunim,"100,000 points"
125,Phidget40,"100,000 points"
126,stoneheap,"100,000 points"
127,buddzi,"100,000 points"
128,marriedsadie,"100,000 points"
129,Stephie4444,"100,000 points"
130,ed7mac,"100,000 points"
131,cathysdearabby,"100,000 points"
132,broncosfan11,"100,000 points"
133,broncosfan11,"100,000 points"
134,jrd1946,"100,000 points"
135,gizzi19,"100,000 points"
136,lopep,"100,000 points"
137,katmoon76,"100,000 points"
138,gardenfairy1,"100,000 points"
139,tag68,"100,000 points"
140,rmcjtin,"100,000 points"
141,apriljmt,"100,000 points"
142,eggplant1,"100,000 points"
143,abbygirl66,"100,000 points"
144,Chaunsa,"100,000 points"
145,LANK51,"100,000 points"
146,walaja,"100,000 points"
147,53plc,"100,000 points"
148,53plc,"100,000 points"
149,pgilmura,"100,000 points"
150,muzz607,"100,000 points"
151,Puzlar,"100,000 points"
152,Brian91010,"100,000 points"
153,53plc,"100,000 points"
154,sirisa88,"100,000 points"
155,serdna1,"100,000 points"
156,granpaBob,"100,000 points"
157,pumpkin56,"100,000 points"
158,granpaBob,"100,000 points"
159,granpaBob,"100,000 points"
160,Kate812,"100,000 points"
161,wdschiessl,"100,000 points"
162,Birthdaygirl,"100,000 points"
163,Ladybug1949,"100,000 points"
164,Jadetree,"100,000 points"
165,mistydolphin,"100,000 points"
166,granpaBob,"100,000 points"
167,granpaBob,"100,000 points"
168,granpaBob,"100,000 points"
169,P563,"100,000 points"
170,nov18,"100,000 points"
171,fiestyfun29,"100,000 points"
172,Pat24,"100,000 points"
173,monzelljohn,"100,000 points"
174,Strategist,"100,000 points"
175,ProfessorDC,"100,000 points"
176,vidiya,"100,000 points"
177,brujo,"100,000 points"
178,rain405,"100,000 points"
179,patch21,"100,000 points"
180,oldg6,"100,000 points"
181,woodshaper,"100,000 points"
182,bbeettssyy,"100,000 points"
183,Mlove3434,"100,000 points"
184,dotparsons,"100,000 points"
185,brbk30,"100,000 points"
186,katkato,"100,000 points"
187,scruff9,"100,000 points"
188,musicmama1715,"100,000 points"
189,sporttrak,"100,000 points"
190,Altine,"100,000 points"
191,chichi62,"100,000 points"
192,gatorlil,"100,000 points"
193,bipandfish,"100,000 points"
194,1DeadParrot,"100,000 points"
195,lumpyflounder,"100,000 points"
196,cherimcg,"100,000 points"
197,davethepirate,"100,000 points"
198,dehabe46,"100,000 points"
199,Protaxtinator,"100,000 points"
200,RedMole,"100,000 points"
201,nudistone,"100,000 points"
202,qtytwo,"100,000 points"
203,itches,"100,000 points"
204,jetmet813,"100,000 points"
205,Catzomine,"100,000 points"
206,scorpo,"100,000 points"
207,AlanHaley,"100,000 points"
208,etio,"100,000 points"
209,my711,"100,000 points"
210,DA75HP,"100,000 points"
211,molay01,"100,000 points"
212,vxlump,"100,000 points"
213,matnancy77,"100,000 points"
214,vudakota,"100,000 points"
215,ladytxan,"100,000 points"
216,n67camaro11,"100,000 points"
217,trevorkev,"100,000 points"
218,Sorendat,"100,000 points"
219,mjkirk,"100,000 points"
220,GibbyinPhoenix,"100,000 points"
221,morinda,"100,000 points"
222,GibbyinPhoenix,"100,000 points"
223,lazeexb0i,"100,000 points"
224,morinda,"100,000 points"
225,Schleswig,"100,000 points"
226,morinda,"100,000 points"
227,morinda,"100,000 points"
228,msfran,"100,000 points"
229,TootsC,"100,000 points"
230,morinda,"100,000 points"
231,morinda,"100,000 points"
232,morinda,"100,000 points"
233,ninal,"100,000 points"
234,morinda,"100,000 points"
235,morinda,"100,000 points"
236,morinda,"100,000 points"
237,BevFlygirl,"100,000 points"
238,Jnana1,"100,000 points"
239,morinda,"100,000 points"
240,firstey,"100,000 points"
241,morinda,"100,000 points"
242,morinda,"100,000 points"
243,GRANNYDEE,"100,000 points"
244,GLH1955,"100,000 points"
245,brockwell35,"100,000 points"
246,mscsurvivor,"100,000 points"
247,clevfandeb,"100,000 points"
248,propernoun,"100,000 points"
249,shockmom13,"100,000 points"
250,ZACKOO1,"100,000 points"
251,Eugene6545,"100,000 points"
252,Kalola1,"100,000 points"
253,JohnCee,"100,000 points"
254,kmm1954,"100,000 points"
255,Rufie2,"100,000 points"
256,kmm1954,"100,000 points"
257,oldenglishd,"100,000 points"
258,kanikas,"100,000 points"
259,crwilliams777,"100,000 points"
260,camarojim,"100,000 points"
261,sisterdurass2,"100,000 points"
262,Zeke21350,"100,000 points"
263,dholland74,"100,000 points"
264,chuchi,"100,000 points"
265,4short1,"100,000 points"
266,hiimclarie,"100,000 points"
267,wildcat78,"100,000 points"
268,hiimclarie,"100,000 points"
269,mardrigg,"100,000 points"
270,hiimclarie,"100,000 points"
271,forest53,"100,000 points"
272,rustynail71,"100,000 points"
273,TylersGramma,"100,000 points"
274,CornerGas,"100,000 points"
275,MightyMouse07,"100,000 points"
276,Beckie2419,"100,000 points"
277,threetoomany,"100,000 points"
278,ruthann1244,"100,000 points"
279,DeltaDawn0113,"100,000 points"
280,Greybones,"100,000 points"
281,grandmummydude,"100,000 points"
282,flipfloprodeo,"100,000 points"
283,DwKing,"100,000 points"
284,sanlyn105,"100,000 points"
285,makeaves,"100,000 points"
286,aussieis,"100,000 points"
287,Froz3nsang3l,"100,000 points"
288,elern99,"100,000 points"
289,janber,"100,000 points"
290,coemarg,"100,000 points"
291,scotgal,"100,000 points"
292,BecFabu,"100,000 points"
293,ConnieStarr,"100,000 points"
294,japonicajo,"100,000 points"
295,joniboo1,"100,000 points"
296,noodle440,"100,000 points"
297,lookingback,"100,000 points"
298,HPMR,"100,000 points"
299,KUFanatic,"100,000 points"
300,Jovdb,"100,000 points"
301,LizD,"100,000 points"
302,JellyfishSteph,"100,000 points"
303,skarne,"100,000 points"
304,giraffeable,"100,000 points"
305,Char70,"100,000 points"
306,zuuuuluuuu,"100,000 points"
307,JellyfishSteph,"100,000 points"
308,Kwrazy1,"100,000 points"
309,JellyfishSteph,"100,000 points"
310,DCTarga,"100,000 points"
311,daisydish,"100,000 points"
312,JellyfishSteph,"100,000 points"
313,pandoralgs,"100,000 points"
314,peanutmarie,"100,000 points"
315,fwk56,"100,000 points"
316,ptyeyes124,"100,000 points"
317,sassymw,"100,000 points"
318,eggplant1,"100,000 points"
319,lucus,"100,000 points"
320,joanie729,"100,000 points"
321,bladese,"100,000 points"
322,fescms,"100,000 points"
323,tjohns99,"100,000 points"
324,bladese,"100,000 points"
325,petorchard,"100,000 points"
326,Gin1022,"100,000 points"
327,kodibridge,"100,000 points"
328,Sheise,"100,000 points"
329,zocal,"100,000 points"
330,Scorpio711P,"100,000 points"
331,stpaulchuck,"100,000 points"
332,xela28,"100,000 points"
333,janestp,"100,000 points"
334,tennisbum,"100,000 points"
335,topmom76,"100,000 points"
336,granmiss12,"100,000 points"
337,fiddlingranny,"100,000 points"
338,gazoo,"100,000 points"
339,DebBlgh,"100,000 points"
340,Serendipity55,"100,000 points"
341,siyuntz,"100,000 points"
342,party,"100,000 points"
343,connie3,"100,000 points"
344,Courtney81,"100,000 points"
345,oldguynighthawk,"100,000 points"
346,tigeratheart,"100,000 points"
347,Mimitoo,"100,000 points"
348,aojdawg,"100,000 points"
349,curlyis41,"100,000 points"
350,vvet23,"100,000 points"
351,tvoegele,"100,000 points"
352,chamlneyes,"100,000 points"
353,thinkpete,"100,000 points"
354,stp10,"100,000 points"
355,aunted,"100,000 points"
356,ChrissyD222,"100,000 points"
357,shaniaforever,"100,000 points"
358,Beans,"100,000 points"
359,Loonacy,"100,000 points"
360,my3sons2519,"100,000 points"
361,DiVred,"100,000 points"
362,cagwftx,"100,000 points"
363,SheilaSheppard,"100,000 points"
364,pearl53066,"100,000 points"
365,knitqueen53,"100,000 points"
366,oomyzoomy,"100,000 points"
367,csdm37,"100,000 points"
368,menodak,"100,000 points"
369,auntmuggs,"100,000 points"
370,Irene71,"100,000 points"
371,stegin,"100,000 points"
372,BlueDuck,"100,000 points"
373,Pitapm,"100,000 points"
374,kiselas,"100,000 points"
375,iotwfan,"100,000 points"
376,shjnbt03,"100,000 points"
377,Gman10524577,"100,000 points"
378,barbie22048,"100,000 points"
379,squirt215,"100,000 points"
380,cowboyrider,"100,000 points"
381,les37,"100,000 points"
382,foxxie99,"100,000 points"
383,crackedpot,"100,000 points"
384,ingi408,"100,000 points"
385,hobeite,"100,000 points"
386,cralyn,"100,000 points"
387,Freefall341,"100,000 points"
388,Barberg,"100,000 points"
389,Lindsey49,"100,000 points"
390,WineO,"100,000 points"
391,CherylEm,"100,000 points"
392,Dataduchess,"100,000 points"
393,ByteLady,"100,000 points"
394,shorty416,"100,000 points"
395,aquavista,"100,000 points"
396,PopPop300,"100,000 points"
397,dotdirt,"100,000 points"
398,Joan37,"100,000 points"
399,alee0304,"100,000 points"
400,pappy2242,"100,000 points"
401,poltroon,"100,000 points"
402,mjshubert,"100,000 points"
403,jimj47,"100,000 points"
404,gilgamesh444,"100,000 points"
405,lmi4898024,"100,000 points"
406,tomodachi138,"100,000 points"
407,wicket1040,"100,000 points"
408,baanee,"100,000 points"
409,marzel,"100,000 points"
410,DarthGrandma,"100,000 points"
411,greedj,"100,000 points"
412,Jetlaw,"100,000 points"
413,cechat,"100,000 points"
414,tillietwos,"100,000 points"
415,jvoor,"100,000 points"
416,goldengrammy,"100,000 points"
417,happysingle1,"100,000 points"
418,teviko,"100,000 points"
419,pjdiver321,"100,000 points"
420,mhseck,"100,000 points"
421,Theba,"100,000 points"
422,daffy1480,"100,000 points"
423,daveok420,"100,000 points"
424,halfacandy,"100,000 points"
425,macachase,"100,000 points"
426,DKMusplheimNFOs,"100,000 points"
427,rayesofsunshine,"100,000 points"
428,charlottevictor,"100,000 points"
429,dmsbkg,"100,000 points"
430,celisking,"100,000 points"
431,YITTRO,"100,000 points"
432,KLW15,"100,000 points"
433,tollymom7,"100,000 points"
434,JuneyG,"100,000 points"
435,mallorysmama2,"100,000 points"
436,slentz,"100,000 points"
437,Granny105,"100,000 points"
438,HammerX,"100,000 points"
439,phony6ca,"100,000 points"
440,doglovertwo,"100,000 points"
441,jaye1547,"100,000 points"
442,jetske,"100,000 points"
443,nana5784,"100,000 points"
444,mitiger,"100,000 points"
445,pam37,"100,000 points"
446,lo3787,"100,000 points"
447,clyde1909,"100,000 points"
448,flipper150,"100,000 points"
449,krisijanni,"100,000 points"
450,111w111,"100,000 points"
451,RumbleButt,"100,000 points"
452,meth101,"100,000 points"
453,belinda614,"100,000 points"
454,Doug1619,"100,000 points"
455,babysisanne,"100,000 points"
456,mariepaquette,"100,000 points"
457,nuttygo,"100,000 points"
458,meth101,"100,000 points"
459,intoit,"100,000 points"
460,Pompeii999,"100,000 points"
461,SnFlwr,"100,000 points"
462,JoanMN,"100,000 points"
463,Vegchef,"100,000 points"
464,pellis98,"100,000 points"
465,gordynorgy,"100,000 points"
466,Ciggy,"100,000 points"
467,imblu2,"100,000 points"
468,jas673,"100,000 points"
469,Swansong,"100,000 points"
470,arcanemous,"100,000 points"
471,TurboBrain147,"100,000 points"
472,ymidoingthis,"100,000 points"
473,lilacimac,"100,000 points"
474,eddief2,"100,000 points"
475,ncjawbreaker,"100,000 points"
476,ncjawbreaker,"100,000 points"
477,gene525,"100,000 points"
478,shelbear,"100,000 points"
479,BsHunny,"100,000 points"
480,jlp111111,"100,000 points"
481,carolee1,"100,000 points"
482,Ichica,"100,000 points"
483,phill688,"100,000 points"
484,nancydrou,"100,000 points"
485,mwb0168,"100,000 points"
486,cNILE424,"100,000 points"
487,azmorton,"100,000 points"
488,twin46,"100,000 points"
489,mikusz,"100,000 points"
490,DianeinSalem,"100,000 points"
491,Suek,"100,000 points"
492,Elell,"100,000 points"
493,maford65,"100,000 points"
494,Papiray,"100,000 points"
495,westerma,"100,000 points"
496,mlaugher,"100,000 points"
497,cateyes23,"100,000 points"
498,gman71,"100,000 points"
499,trixielola,"100,000 points"
500,Peke1,"100,000 points"
