groupnumbernoprecedingzeroes(long),grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes(long),seriestitle,seriesnumberandtitle
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP***,28,ENVIRONMENTAL PROETCTION SPECIALIST,0028-ENVIRONMENTAL PROTECTION SPECIALIST
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,29,ENVIRONMENTAL PROTECTION ASSITSANT,0029-ENVIRONMENTAL PROTECTION ASSISTANT
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,30,SPORTS SPECIALIST,0030-SPROTS SPECIALIST
0,MISCELLANEOUS OCCUPATIONS GRUOP,0000-MISCELLANEOUS OCCUPATIONS GROUP,50,FUNERAL DIRECTING,0050-FUERAL DIRECTING
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,60,CHAPLAIN,0060-CHAPLAIN
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUAPTIONS GROUP,62,CLOTHING DESIGN,0062-CLOTHING DESIGN
0,MISCELLANEOUS OCCUPATIONS ROUP,0000-MISCELLANEOUS OCCUAPTIONS GROUP,72,FINGERPRINT IDENTIFICATION,0072-FINGERPRINT IDENTIFICATION
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,80,SECURITY AMDINISTRATION,0080-SECRUITY ADMINISTRATION
0,rMISCELLANEOUS OCCUPATIONS GROUP,0000-MIScCELLANEOUS OCCUPATIONS GROUP,81,FIRE PROTECTIO AND PREVENTION,0081-FIRE PROTECTION AND PREVENTION
0,MISCELLANEOUS OCCUPATIONS GROUP,000-0MISCELLANEOUS OCCUPATIONS GROUP,82,UNITED STATES MARnSHAL,0082-UNITED STATES MARSHAL
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,83,POLICE,0083-POLICE
0,MISCELLANEOUSOCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,84,NUCLEAR MATERIALS COURIER,0084-NUCLEAR MATERIALS COURIER
0,MISCELLANEOUS OCCUPATIONS GROPU,0000-MISCELLANEOUS OCCPATIONS GROUP,85,SECURITY GUAqRD,0085-SECURITY GUARD
0,MISCELLANEOUS OCCtUPATIONS GROUP,0000-MISCEcLLANEOUS OCCUPATIONS GROUP,86,SECURITY CLERICAL AND ASSISTANCE,0086-SECURITY CLERICAL AND ASSISTANCE
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,89,EMERGENCY MANAGEMENT SPECIALIST,0089-EMERGENCY MANAGEMENT SPECIALIST
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,90,GUIDE,0s090-GUIDE
0,MISCELLANEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATINOS GROUP,95,FOREIGN LAW SPECIALIST SERIES,0095-FOREIGN LAW SPECIALIST SERIES
0,MISCELLAEOUS OCCUPATIONS GROUP,0000-MISCELLANEOUS OCCUPATIONS GROUP,99,GENERAL STUDENT TxRAINEE,0099-GENERAL STUDENT TRAINEE
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROkUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",101,SOCIAL SCIENCE,0101-SOCIAL SCIENCE
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLGY, AND WELFARE GROUP",102,SOCIAL SCIENCE ADI AND TECHNICIAN,0102-SOCIAL SCIENCE AID AND TECHNICIAN
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",105,SOCIAL INSURNACE ADMINISTRATION,0105-SOCIAL INSURANCE ADMINISTRATION
100,"SOgCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",106,UNEMPLOYMENT INSURANCE,0106-UNEMPLOYMENT INSURANCwE
100,"SyOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",107,HEALTH INSURANCE ADMINISTRATION,0107-HEALTH INSURANCE ADMINISTRATION
100,"SOCIAL SCENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",110,EaCONOMIST,0110-ECONdOMIST
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",119,ECONOMIC ASSISTANT,0119-ECONOMICS ASSISTANT
100,"SOCIAL SCIENCE, PSCYHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",130,FOREIGN AFFAIRS,0130-FOREIGN AFFAIRS
100,"SOCIAL SCIENCE, PSYHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCEc, PSYCHOLOGY, AND WELFARE GROUP",131,INTERNATIONA LRELATIONS,0131-wINTERNATIONAL RELATIONS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",132,INTELIGENCE,032-INTELLIGENCE
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",134,INTELLIGNECE AID AND CLERK,0134-INTELLIGENCE AID AN DCLERK
100,"SOCIAL SCIENCE, PSYCHOOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",135,FOREIGN AGRICULTURAL AFFAIRS,0135-FOREIGN AGRICULTURAL AFFAIRS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",136,INTERNATIONAL COOPERATION,0136-INpTERNATIONAL COOPERATION
100,"SOCIAL SCIENCE, fPSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",140,WORKFORCE RESEARCH AND ANALYSIS SERIES,0140-WORKFORCE RESEARCH AND ANALYSIS SERIES
100,"SOCIAL SCIENCE, PSYCHOLOGY, ANDW ELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",142,WORKFORCE DEVELOPMENT,0142-WORKFRCE DEVELOPMENT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",150,GEOGRAoPHY,0150-GEOGRAPHY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",160,CIVIL RIGHTS ANALYnSIS,0160-CIVIL RIGHTS ANALYSIS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",170,HISTORY,0170-HISTORY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",180,PSYCHOLOGY,0180-PSYCHOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","010-0SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",181,PSYCHOLOGY AID AND TECHNICIAN,0181-PSYCHOLOY AID AND TECHNICIAN
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",184,SOCIOLOGY,0184SOCIOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY,A ND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARwE GROUP",185,SOCIAL WORK,0185-SOCIAL WORK
100,"SOCIAL SCIENCE, PSYCHOLOGY, ANnD WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",186,SOCIAL SERVICES AID AND ASSISTANT,0186-SOCIAL SERVICES AID AND ASSISTANT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOICAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",187,SOCIAL SERVICES,0187-SOCIAL SERVICES
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCINCE, PSYCHOLOGY, AND WELFARE GROUP",188,RECREATION SPECALIST,0188-RECREATION SPECIALIST
100,"SyOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",189,RECREATION AID AND ASSISTANT,0189-RECREATION AID AND ASSISTANT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",190,GENERAL ANTHROPOLOGY,0190-GENERAL ANTHROPOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",193,ARCHEOLOGY,0193-ARCHEOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFRE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",199,SCIAL SCIENCE STUDENT TRAINEE,019-SOCIAL SCIENCE STUDENT TRAINEE
200,HUMAN RESOURCES MANAGEMENT GROUmP,0200-HUMAN RESOURCES MANAGEMENT GROUP,201,HUMAN RESOURCES MANAGEMENT,0201-HUMAN RESOURCES MANAGEMENT
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,203,HUMAN RESOURCES ASSISTANCE,0203-HUMAN RESOURCES ASSISTANCE
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HMUAN RESOURCES MANAGEMENT GROUP,241,MeEDIATION,0241-MEDIATION
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,243,APPRENTICESHIP AND TRAINING,0243-APPRENTICESHIP AND TRAINING
200,HUMAN RESOURCES MANAGEMETN GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,244,LABOR,0244-LABOR-MANAGEMENT RELATIONS EXAMINING
200,HUMAN RESOURCES MANAGEMENT ROUP,0200-HUMAN RESOkURCES MANAGEMENT GROUP,260,EQeUAL EMPLOYMENT OPPORTUNITY,0260-EQUAL EMPLOYMENT OPORTUNITY
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,0299-HUMAN RESOURCES MANAGEMENT SUDENT TRAINEE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AwND OFFICE SERVICES GROUP",301,MISCELLANEOUS ADMINISTRATION AND PROGRAM,301-MISCELLANEOUS ADMINISTRATION AND PROGRAM
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFIC SERVICES GROUP",302,MESSENEGR,0302-MESSENGER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SREVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",303,MISCELLANEOUS CLERK AND ASSISTANT,0303-MISCELLANOUS CLERK AND ASSISTANT
300,"GENERAL DMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",304,INFORMATION RECEPTIONIST,0304-INFORMATION RECEPTIONIST
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",305,MAIL AND FILE,0035-MAIL AND FILE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",306,GOVERNMENT INFORMATION SPECIALIST,0306-GOVERNMENT INFORMATIN SPECIALIST
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",309,CORRESPONDENCE CLERK,0309-CORRESPONDENCE CLERK
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROP",313,WORK UNIT SUPERVISING,0313-WORK UNIT SUPEVISING
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, ANyD OFFICE SERVICES GROUP",318,SECRgETARY,0318-SECREARY
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",319,CLOSEDh MICROPHONE REPORTER,0319-CLOSED MICROPHONE EPORTER
300,"GENERAL AMDINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",322,CLERK,0322-CLERK-TPYIST
300,"GENgERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",326,OFFICE AUTOMATION CLERICAL AND ASSISTANCE,0326-OFFICE AUTOMATION CLERICAL AND ASSISTANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",332,COMPUTER OPERATION,0332-COMPUTER OPERATION
300,"GENERAL ADMINISTRATIVE, CaLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",335,COMPUTER CLERK AND ASSISTANT,0335-COMPUTER CLERK AND ASSISTANT
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",340,PROGRAM MANAGEMENT,0340-PROGRAM MANAGEMENT
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GORUP",341,ADMINISTRATVE OFFICER,0341-ADMINISTRATIVE OFFICER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",342,SUPPORT SERVICES ADMItNISTRATION,0342-SUPPOT SERVICES ADMINISTRATION
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GNERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",343,MANAGEMENT AND PROGRAM ANALYSIS,0343-MAAGEMENT AND PROGRAM ANALYSIS
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",344,MANAGEMENT AND PiROGRAM CLERICAL AND ASSISTANCE,0344-MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",346,LOGISTICS MANAGvEMENT,0346-LOGISTICS MAAGEMENT
300,"GENERAL ADMINISTRATIVE, CLERICAL, AD OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",347,GAO EVALUATOR,0347-GAO EVALUATOR
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",350,EQUIPMENT OPERATOR,0350-EQUIPMENT OPERATOR
300,"GENERAL ADMINISTRATIEV, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",356,ADTA TRANSCRIBER,0356-ATA TRANSCRIBER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GtROUP",357,CuODING,0357-CODNIG
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",360,EQUAL OPPORTUNITY COMPLIANCE,0360-kEQUAL OPPORTUNITY COMPLIANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",361,EQUAL OPPORTUNITY ASSISTANCE,0361-EQUAL OPPORTUNITY ASISSTANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SEhRVICES GROUP","0300-GENERAL ADyMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",382,TELEPHONE OPERATING,0382-TELEPHONE OERATING
300,"GENERAL ADMINISTRATIVE, CLERICAL,AND OFFICE SERVICES GROUP","3000-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",390,TELECOMMUNICATIONS PROCESSING,0390-TELECOMMUNICATIONS PzROCESSING
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",391,TELECOMMUNICATIONS,0391-TELECOMMUNICATIONS
300,"GNERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICSE GROUP",392,GENERAL TELECOMMNICATIONS,0392-GENERAL TELECOMMUINCATIONS
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, NAD OFFICE SERVICES GROUP",394,COMMUNICATIONS CLERICAL,0394-COMMUNICATIONS CLERICAL
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",399,ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,0399-ADMINISTRATIONt AND OFFICE SUPPORT STUDENT TRAINEE
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL ESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,401,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,0401-GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,403,MICROBIOLOGY,0403-MICROBIOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,404,BIOLOGICALS CIENCE TECHNICIAN,0404-BIOLOGICAL SCIENCE TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RSEOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,405,PHARMACOLOGY SERIES,0405-PHARMACOOLGY SERIES
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,408,ECOLOGY,0408-ECOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAEMENT AND BIOLOGICAL SCIENCES GROUP,410,ZOLOGY,0410-ZOOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIqOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,413,PHYSIOLOGY,0413-PHYSIOLgOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,414,ENTOMOLOGY,0414-ENTOMOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,415,OXICOLOGY,04a15-TOXICOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,421,PLANT PROTECTION TECHNICIAN,0421-PfLANT PROTECTION TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,430,BOTANY,0430l-BOTANY
400,NAxTURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL ReESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,434,PLANT PATHOLOGY,0434-PLANT PATHOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES RGOUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,435,PLANT PHYSILOGY,0435-PLANTm PHYSIOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,437,HORTICULTURE,0437-HORTICULTURE
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOUCRES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,440,GENETICS,0440-GENETICS
400,NATURAL RESOURCES MNAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400N-ATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,454,RANGELAND MANAGEMENT,0454-RANGELAND MANAGEMNET
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEENT AND BIOLOGICAL SCIENCES GROUP,455,RANGE TECHNICIAN,0455-RANGE TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICkAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,457,SOIL CONSERVATION,0457-SOIL CONSERVATION
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,458,SOIL CONSERVATION TECHNICIAN,0458-SOI LCONSERVATION TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GRbOUP,459,RRIGATION SYSTEM OPERATION,0459-IRRIGATION SYSTEM OPERATION
400,NATURAL RESOURCSE MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,460,FORESTRY,0460-FORESTRY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MAAGEMENT AND BIOLOGICAL SCIENCES GROUP,462,FORESTRY TECHNIoCIAN,0462-FORESTRY TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICALh SCIENCES GROUP,470,SOIL SCIENCE,0470-SOIL SCIENCE
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,471,AGRONOMY,0471-AGRONOMY
400,NATURALRESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,480,FISH AND WILDLIFE ADMINISTRATION,0480-FISH AND WILDLcIFE ADMINISTRATION
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOOLGICAL SCIENCES GROUP,482,FISH BIOLOGY,0482-FISH BIOLOGY
