characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,51.5,5.6,Reporting standards no met.,711430.0,85981.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,59.3,6.79,Reporting standards not met.,1270011.0,106868.3,Reporting standadrs not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,50.7,5.96,Reporting standards not met.,729407.0,92599.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native,n on-Hispanic",2007,38.2,5.05,Reporting standards not met.,1008453.0,81164.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,32.7,5.07,Reporting standards not met.,1096232.0,79035.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.8,4.93,Reporting standards not me.t,1281270.0,77664.9,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,31.7,4.96,Reporting standards not mmet.,1429116.0,80208.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,38.9,5.12,Reporting standards not met.,1096232.0,83198.6,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,36.6,4.59,Reporting standards not met.,1096232.0,75601.7,eporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,48.6,6.05,Reporting standards not met.,645420.0,87228.6,Reporting satndards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,42.0,5.11,Reporting standardsj not met.,645420.0,74161.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,46.4,6.19,Reporting standards not met.,636157.0,92189.6,Reporting standards not meth.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,43.1,5.57,Reporting standards not met.,598571.0,83255.4,Reportign standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,41.0,4.89,eporting standards not met.,1281270.0,73444.7,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,34.8,4.91,Reporting standards not met.,1096232.0,73688.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,44.1,5.51,Reporting standards not met.,598571.0,83241.6,Reporting standadrs not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,37.6,5.05,Reporting standards not met.,1096232.0,78060.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,37.8,5.59,Reporting standards not met.,792960.0,85356.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,27.9,4.87,Reporting standards not met.,404817.0,74694.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,28.2,4.62,Reporting standards not met.,1281270.0,72367.6,Reporting standards not met.
"Total - Black, non-Hispanic",oFemale,"American Indian/Alaska Native, non-Hispanic",2011,28.6,4.24,Reporting standards not met.,729407.0,65794.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,34.8,4.5,Reporting standards not met.,1270011.0,71784.3,Reporting standards not met.
Total,Female,"White, non-Hispanic",2000,59.8,6.44,Reporting standards not met.,1008500.0,118900.0,Reporting standards not met.
Total - Female,Female,"White, non-Hispanic",2001,51.9,5.4,Reporting standards not met.,1311629.0,100235.2,Reporting standards not met.
Total,Female,"White, non-Hispanic",2002,58.8,6.77,Reporting standards not met.,1008500.0,127290.3,eporting standards not met.
Total,Feale,"White, non-Hispanic",2003,46.9,5.51,Reporting standards not met.,1102128.0,101858.2,Reporting standards not met.
Total,Female,"White, non-Hispanic",2004,46.5,4.91,Reporting standards not met.,1008453.0,92202.9,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2005,49.7,5.71,Reporting standards not met.,1270011.0,108708.0,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2006,49.4,5.53,Reporting standards not met.,1008453.0,103037.6,Reporting standards not mte.
Total - Female,Female,"White, non-Hispanic",2007,43.9,5.36,Reporting standards not met.,749325.0,99661.5,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2008,39.3,5.37,Reporting standards not met.,1429116.0,98630.3,Reaporting standards not met.
Total - Female,Female,"White, non-Hispanic",2009,27.6,4.56,Reporing standards not met.,1096232.0,84364.2,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2010,30.6,4.61,Reporting standards not met.,552674.0,88600.4,Reporting standards not met.
Total - Female,Female,"White, non-Hispanic",2011,34.0,4.51,Reporting standards not met.,583963.0,13322.0,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2012,38.5,4.6,Reporting standards not met.,647802.0,82109.5,Reporting standakrds not met.
Total,Female,"Black, non-Hispanic",2000,74.4,11.71,Reporting stanadrds not met.,277063.0,92599.0,Reporting standards not met.
Total - Female,Female,"Black, non-Hispanic",2001,49.3,8.77,Reporting standrds not met.,1008453.0,35412.4,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2002,48.5,9.43,Reporting standards ot met.,180170.0,38281.9,Reporting standards not met.
Total - Female,Female,"Black, non-Hispanic",2003,53.8,10.01,Reporting standards not met.,189367.0,38369.2,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2004,71.0,10.93,Reporting standards not met.,1096232.0,43452.9,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2005,56.7,10.54,Reporting standards not met.,204703.0,41333.1,Reporting standards not met.
Total,Femlae,"Black, non-Hispanic",2006,46.1,9.17,Reporting standards not vmet.,1008500.0,34644.7,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2007,36.9,7.01,Reporting standards not met.,711430.0,29203.3,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2008,45.7,10.26,Reporting standards not met.,1281270.0,41075.4,Reportig standards not met.
Total - Female,Female,"Black, non-Hispanic",2009,36.6,8.99,Reporting standards not met.,1096232.0,36876.5,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2010,36.2,8.05,Reporting standards not met.,145922.0,35013.7,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2011,39.8,7.93,Reporting standards hnot met.,1102128.0,34260.8,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,34.0,7.05,Reporting standards not met.,1512961.0,32676.2,Reporting hstandards not met.
"Total - Black, non-Hispanic",Female,Hispanic,2000,42.6,7.79,Reporting standards not met.,749325.0,38313.5,Reporting standards nt met.
Total - Male,Female,Hispanic,2001,35.8,6.68,Reporting standards not met.,189367.0,33486.8,Redporting standards not met.
Total,Female,Hispanic,2002,34.4,6.87,Reporting standards not met.,1281270.0,37704.0,Reporting standards not met.
Total - Male,Female,Hispanic,2003,37.7,6.95,Reporting standards not met.,205821.0,92599.0,Reporting standards not met.
Total,Female,Hispanic,2004,30.0,5.73,Reporting standards not met.,1311629.0,32329.0,Reporting standards not met.
Total - Male,Female,Hispanic,2005,41.1,7.58,Reporting standards not met.,1311629.0,43317.9,Reporting standards not met.
Total,Female,Hispanic,2006,51.1,8.33,Reporting standards not met.,792960.0,49055.4,Reprting standards not met.
Total,Female,Hispanic,2007,26.1,4.92,Retporting standards not met.,711430.0,31594.3,Reporting standards not met.
Total - Male,Female,Hispanic,2008,15.1,4.54,Reporting standards not met.,89244.0,126617.1,Reporting standards not met.
Total,Female,Hispanic,2009,29.7,6.84,Reporting standards not met.,404817.0,42332.0,Reportding standards not met.
Total - Female,Female,Hispanic,2010,24.1,5.59,Reporting tandards not met.,204703.0,33276.5,Reporting standards not met.
Total,Female,Hispanic,2011,31.4,5.92,Reporting standards not met.,1008500.0,39174.6,Reporting standards not hmet.
Total,Female,Hispanic,2012,31.2,5.65,Reporting standardsn ot met.,1102128.0,40553.5,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,636157.0,13322.0,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,180170.0,13322.0,Data not available.
Total - Male,jFemale,"Asian, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,1008500.0,13322.0,Data not available.
Total - Female,Female,"Asian, non-Hispanic",2003,30.0,5.05,Reporting standards not me.t,1311629.0,13322.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2005,30.0,5.05,Reporting standartds not met.,37206.0,13401.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standarsd not met.
Total,Female,"Asian, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,645420.0,13322.0,Reportings tandards not met.
Total - Male,Female,"Asian, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,729407.0,13322.0,Reporting standard not met.
Total - Female,Female,"Asian, non-Hispanic",2010,30.0,5.05,Reporting standards not jmet.,1512961.0,13322.0,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2011,30.0,5.05,Reporting standards not mt.,792960.0,13322.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2012,26.9,9.42,Reporting standards not met.,1512961.0,15600.2,Rporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37206.0,82109.5,Data not available.
Total - Female,emale,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,37206.0,13409.0,Data not available.
Total - Male,Fmeale,"Pacific Islander, non-Hispanic",2002,30.0,5.05,,37206.0,13333.0,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards not ymet.,37206.0,13392.0,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standardsd not met.,37206.0,35013.7,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,1270011.0,13322.0,Reporting xstandards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,404817.0,13322.0,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,552674.0,13322.0,Reporting stanards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reportign standards not met.,37206.0,13401.0,Reporting standards not met.
Total,eFmale,"Pacific Islander, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,1008453.0,13322.0,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,647802.0,13322.0,Reporting standrads not met.
Total,Female,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,1102128.0,13322.0,Reporting standards not met.
Total - Female,Female,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,598571.0,13322.0,bReporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,145922.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reporting stnadards not met.,1102128.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,792960.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Rporting standards not met.,37206.0,13357.0,Reporting standards not met.
"Total - American Indian/Alaska Native, nonH-ispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,eRporting standards not met.,37206.0,13382.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,30.0,5.05,Reportingstandards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting standard not met.,37206.0,13418.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13416.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting stadnards not met.,37206.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,30.0,5.05,Redporting standards not met.,37214.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reportin standards not met.,37272.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13357.0,Reporting stangdards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,30.0,5.05,Reporting standards no tmet.,37288.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13405.0,Data not available.
"Total - Two or more races, non-Hispanic",Femlae,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37215.0,13322.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13350.0,Data not available.
"Total - Two or more races, non-Hispanic",Feamale,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Femazle,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13389.0,Reporting stndards not met.
"Total - Two or more races, non-Hispanic",Female,"Twoor more races, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13350.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13368.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting stanadrds not met.,37262.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13414.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13389.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13403.0,Reportinng standards not met.
"Total - Two or more races, no-nHispanic",Female,"Two or more races, non-Hispanic",2011,68.4,22.39,Reporting standards not et.,37206.0,13355.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or mor races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13353.0,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,65.8,8.39,Reporting standards not met.,559021.0,78977.3,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanioc",2001,57.8,7.22,Reporting standards not met.,497839.0,67774.6,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2002,63.6,8.69,Reportking standards not met.,544128.0,82605.7,Reporting standards not met.
"White, non-Hispanic",aMle,"White, non-Hispanic",2003,50.9,7.18,Reporting standards not met.,442490.0,67778.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2004,50.9,6.52,Reporting standards not met.,455272.0,62825.3,Reporting stanards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2005,68.5,8.62,Reporting standards not met.,616175.0,85651.3,Reportings tandards not met.
"White,n on-Hispanic",Male,"White, non-Hispanic",2006,51.7,7.09,Reporting standards not met.,456100.0,67729.9,Reporting stnadards not met.
"White, non-Hispanic",ale,"White, non-Hispanic",2007,43.5,6.32,Reporting standards not met.,380495.0,60709.6,Reporting xstandards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2008,37.4,6.63,Rporting standards not met.,327480.0,61525.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,26.7,5.57,Reporting standards not met.,235764.0,51915.3,Reporting standards nout met.
"White, non-Hispanic",Mle,"White, non-Hispanic",2010,36.2,6.29,jReporting standards not met.,328327.0,61455.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2011,42.4,6.39,Reporting standards not met.,373758.0,60832.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2012,37.7,5.81,Reporting stndards not met.,321681.0,52464.4,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,94.0,17.29,Reporting standards not met.,162608.0,34048.0,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,52.7,12.26,Reporting standardzs not met.,89460.0,22369.2,Reporting standards not met.
"Black, non-Hispanic",Mael,"Black, non-Hispanic",2002,50.7,12.57,Reporting stanvdards not met.,84534.0,22870.8,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,43.9,11.72,Reporting standards not met.,70989.0,20298.2,Reporting standardss not met.
"Black, non-Hispanic",Male,"Black, non-Hiscpanic",2004,83.8,16.17,Reporting standards not met.,137621.0,29287.0,Reporting standardsnot met.
"Black, non-Hispanic",Male,"Black, non-Hisspanic",2005,61.6,14.65,Reporting standards not met.,103128.0,26657.2,Reporting standards not met.
"Black, non-Hispanic",Mae,"Black, non-Hispanic",2006,40.4,11.47,Reporting standards not met.,65394.0,19619.4,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,31.7,7.71,Reporting standards not met.,57325.0,15177.7,sReporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,40.3,13.04,Reporting standards not met.,70091.0,23842.5,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hisvpanic",2009,43.4,13.01,Reporting standards not met.,79517.0,25503.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispcanic",2010,19.8,7.04,Reporting satndards not met.,38409.0,14273.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hjispanic",2011,39.5,10.44,Reporting standards not met.,71277.0,20155.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanci",2012,40.2,10.29,Reporting standards not me.t,87717.0,23641.4,Reporting standards not met.
Hispanic,aMle,Hispanic,2000,52.5,11.03,Reporting standards not met.,124550.0,28502.1,Reprting standards not met.
Hispanic,Male,Hispanic,2001,43.8,9.54,Reporting standards not met.,108853.0,25292.8,Reporting standarqds not met.
Hispanic,Male,Hispaic,2002,42.9,9.61,Repotring standards not met.,117733.0,28614.6,Reporting standards not met.
Hispanic,Male,Hitspanic,2003,40.9,9.19,Reporting standards not met.,115031.0,27677.0,Reporting standards not met.
Hispanic,Male,Hiqspanic,2004,32.7,7.79,Reporting standards not met.,90401.0,22605.1,Reporting standars not met.
Hispanic,Male,Hispanic,2005,44.7,10.07,Reporting standards not met.,124944.0,30100.5,Reporting standards not met.
Hispanic,Male,Hisanic,2006,66.4,12.22,Reporitng standards not met.,189872.0,38255.0,Reporting standards not met.
Hispanic,Male,Hiespanic,2007,31.3,6.58,Reporting standards not met.,99015.0,22631.8,Reporting standards not met.
Hispanic,Male,Hispanfic,2008,15.6,6.0,Reporting standards not met.,49174.0,19353.0,Reporting standards not met.
Hispanic,Male,Hispanic,2009,30.0,8.59,Reportinqg standards not met.,93343.0,28267.3,Reporting standards not met.
Hispanic,Male,ispanic,2010,28.5,7.68,Reporting standards not met.,83263.0,23890.9,Reporting standards not met.
Hispanic,Male,Hispanci,2011,32.7,7.53,Reporting standards not met.,107256.0,26305.6,Reporting standards not met.
Hispanic,Male,Hispanic,2012,31.9,7.49,Reporting standards not met.,110531.0,27150.2,Reporting standrads not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,30.0,5.05,Data not available.,37227.0,13322.0,Data not avavilable.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,30.0,5.05,Data not available.,37295.0,13322.0,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13331.0,nData not available.
"Asian, non-Hispanic",Male,"Asian, no-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13390.0,Reporting standards ont met.
"Asian, non-Hispanic",Maale,"Asian, non-Hsipanic",2004,30.0,5.05,Reporting standards not met.,37216.0,13322.0,Reporting tandards not met.
"Asian, non-Hispanic",Male,"sian, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards ot met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13407.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian,u non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13405.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asia,n non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37271.0,13322.0,Reprting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hiszpanic",2009,30.0,5.05,Reporting standards not met.,37269.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"sAian, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37304.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Malbe,"Asian, non-Hixspanic",2011,30.0,5.05,Reporting standardsnot met.,37206.0,13402.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, noon-Hispanic",2012,43.7,15.6,Reportin gstandards not met.,39801.0,14893.6,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Data not available.,37239.0,13322.0,Data not availabe.
"Paicfic Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13365.0,Data nto available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not availabe.,37303.0,13322.0,Data not available.
"Pacific Islande, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13419.0,Reporting standrads not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standards not mt.,37291.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13410.0,Reporting standards ont met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13371.0,Reporting standards nto met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting tandards not met.,37206.0,13333.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13394.0,Reporting standaxrds not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islandekr, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13332.0,Reporting standards not met.
"Pacific Islander, no-nHispanic",Male,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13372.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards no met.,37276.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",ale,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13384.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting tandards not met.,37206.0,13326.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,37206.0,13384.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37302.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",ale,"Abmerican Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13348.0,Reporting stanards not met.
