facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,93917.0,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/19 00:00:00,56.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,93918.0,SLEEP INN,1850 PRIORITY WAY,LOUISVILLE,KY,40299,22,2013/09/19 00:00:00,57.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,94918.0,SLEEP INN & SUITES,3330 PRESTON HWY,LOUISVILLE,KY,40213,28,2014/09/29 00:00:00,58.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,95054.0,HOLIDAY INN,1325 S. HURSTBOURNE PKWY,LOUISVILLE,KY,40222,29,2014/07/16 00:00:00,59.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,96457.0,CANDLEWOOD SUITES LOUISVILLE AIRPORT,1367 GARDINER LANE,LOUISVILLE,KY,40213,26,2014/11/14 00:00:00,60.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,96487.0,HILTON GARDEN INN LOUISVILLE DOWNTOWN,350 W. CHESTNUT ST,LOUISVILLE,KY,40202,28,2014/10/29 00:00:00,61.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,96651.0,HYATT PLACE LOUISVILLE EAST,701 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2015/02/26 00:00:00,62.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97063.0,COURTYARD BY MARRIOTT,100 S. 2ND ST.,LOUISVILLE,KY,40202,28,2015/03/26 00:00:00,63.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97087.0,HILTON GARDEN INN,1530 ALLIANT AVE,LOUISVILLE,KY,40299,22,2015/05/13 00:00:00,64.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97320.0,WOODSPRING SUITES,1201 KENTUCKY MILLS DR,JEFFERSONTOWN,KY,40299,22,2015/04/20 00:00:00,65.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,97577.0,SUPER 8 MOTEL,4800 PRESTON HWY,LOUISVILLE,KY,40213,27,2015/08/07 00:00:00,66.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98348.0,STAYBRIDGE SUITES,11711 GATEWORTH WAY,LOUISVILLE,KY,40299,22,2015/09/15 00:00:00,67.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98617.0,ALOFT LOUISVILLE DOWNTOWN HOTEL,102 W MAIN ST,LOUISVILLE,KY,40202,26,2015/11/03 00:00:00,68.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98884.0,RED CARPET INN,1640 S. HURSTBOURNE PKWY,LOUISVILLE,KY,40220,29,2015/12/14 00:00:00,69.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98990.0,FAIRFIELD INN AND SUITES,1220 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2016/01/25 00:00:00,70.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99138.0,DRURY INN,9597 BROWNSBORO RD,LOUISVILLE,KY,40241,21,2016/01/26 00:00:00,71.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99510.0,HOLIDAY INN EXPRESS,1921 BISHOP LN,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,72.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99629.0,HOME 2 SUITES,1150 FOREST BRIDGE RD,LOUISVILLE,KY,40223,25,2016/04/08 00:00:00,73.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99630.0,HAMPTON INN,1150 FOREST BRIDGE RD,LOUISVILLE,KY,40223,25,2016/04/08 00:00:00,74.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,100793.0,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,JEFFERSONTOWN,KY,40299,22,2016/08/26 00:00:00,75.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101254.0,CLARKE'S MOTEL,4700 DIXIE HWY,LOUISVILLE,KY,40216,23,2016/11/10 00:00:00,76.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101381.0,LOUISVILLE MARRIOTT EAST,1903 EMBASSY SQUARE BLVD,LOUISVILLE,KY,40245,29,2016/12/02 00:00:00,77.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101537.0,SUPER 8,101 CENTRAL AVE,LOUISVILLE,KY,40209,23,2017/01/05 00:00:00,78.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101569.0,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,LOUISVILLE,KY,40241,21,2017/01/11 00:00:00,79.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101826.0,QUALITY INN,1301 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2017/02/28 00:00:00,80.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103009.0,HYATT REGENCY,311 S 4TH ST,LOUISVILLE,KY,40202,24,2017/07/21 00:00:00,81.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103430.0,WINGATE BY WYNDHAM,12301 ALLIANT COURT,JEFFERSONTOWN,KY,40299,22,2017/08/31 00:00:00,82.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103591.0,HOME 2 SUITES,240 S HANCOCK ST,LOUISVILLE,KY,40202,26,2017/09/29 00:00:00,83.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103928.0,WINGATE LOUISVILLE FAIR & EXPO CENTER,3200 KEMMONS DR,LOUISVILLE,KY,40218,27,2017/11/28 00:00:00,84.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104028.0,THE SEELBACH HILTON LOUISVILLE,500 S 4TH ST,LOUISVILLE,KY,40202,24,2018/01/15 00:00:00,85.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104197.0,DUPONT SUITES,1401 BROWNS LANE,LOUISVILLE,KY,40207,26,2018/01/19 00:00:00,86.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104498.0,OMNI HOTEL,400 S 2ND ST,LOUISVILLE,KY,40202,24,2018/03/07 00:00:00,87.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104516.0,TRU BY HILTON,11505 BLUEGRASS PKWY,JEFFERSONTOWN,KY,40299,22,1988/06/02 00:00:00,88.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104517.0,TRU BY HILTON,810 PHILLIPS LANE,LOUISVILLE,KY,40209,27,2018/10/04 00:00:00,89.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104518.0,FAIRFIELD INN & SUITES,10110 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2018/04/18 00:00:00,90.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104519.0,TOWNEPLACE SUITES,10110 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2018/04/18 00:00:00,91.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104520.0,TOWNEPLACE SUITES,6601 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2019/01/31 00:00:00,92.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104523.0,RESIDENCE INN,401 BULLITT LANE,LOUISVILLE,KY,40222,26,2018/07/16 00:00:00,93.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104525.0,MOXY,100 W. WASHINGTON,LOUISVILLE,KY,40202,24,2019/10/29 00:00:00,94.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104685.0,HOMEWOOD SUITES,635 W MARKET ST,LOUISVILLE,KY,40202,24,2018/03/26 00:00:00,95.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104983.0,AC MARRIOTT HOTEL LOUISVILLE DOWNTOWN,727 E MARKET ST,LOUISVILLE,KY,40202,26,2018/04/25 00:00:00,96.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,105182.0,HOME 2 SUITES,3000 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2018/05/17 00:00:00,97.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,106691.0,EMBASSY SUITES,501 S 4TH ST,LOUISVILLE,KY,40202,24,2019/01/04 00:00:00,98.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,106730.0,SURE STAY PLUS HOTEL,4125 PRESTON HWY,LOUISVILLE,KY,40213,27,2019/01/08 00:00:00,99.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,107778.0,BEST WESTERN PREMIER,4110 DIXIE HWY,LOUISVILLE,KY,40216,23,2019/05/02 00:00:00,100.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,109544.0,HOTEL DISTIL,101 W MAIN ST,LOUISVILLE,KY,40202,24,2019/10/29 00:00:00,101.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,109915.0,CANDLEWOOD DOWNTOWN,1039 ZORN AVE,LOUISVILLE,KY,40207,28,2019/12/30 00:00:00,102.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,110048.0,MOTEL 6,6121 AIRPORT HOTELS BLVD,LOUISVILLE,KY,40213,27,2020/01/31 00:00:00,103.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,111309.0,HYATT HOUSE LOUISVILLE EAST,9315 LEESGATE RD,LOUISVILLE,KY,40222,25,2020/09/30 00:00:00,104.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,111690.0,RESIDENCE INN,2510 TERRA CROSSING BLVD,LOUISVILLE,KY,40245,25,2020/12/31 00:00:00,105.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,111716.0,LA QUINTA DEL-SOL LOUISVILLE EAST,13825 TERRA VIEW TRL,LOUISVILLE,KY,40245,25,2020/12/30 00:00:00,106.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,112052.0,STAYBRIDGE SUITES,380 FARMINGTON AVE,LOUISVILLE,KY,40209,27,2021/03/15 00:00:00,107.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,112220.0,FAIRFIELD INN & SUITES,653 PHILLIPS LN,LOUISVILLE,KY,40209,23,2021/04/22 00:00:00,108.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,112589.0,THE GRADY HOTEL,601 WEST MAIN ST,LOUISVILLE,KY,40202,24,2021/05/26 00:00:00,109.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,112942.0,HOLIDAY INN LOUISVILLE DOWNTOWN,101 W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40202,28,2021/06/24 00:00:00,110.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,113710.0,RED ROOF INN,4704 PRESTON HWY,LOUISVILLE,KY,40213,27,1988/06/02 00:00:00,111.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114001.0,TOWNEPLACE SUITES,801 W JEFFERSON ST,LOUISVILLE,KY,40202,24,2021/11/12 00:00:00,112.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114144.0,CAMBRIA HOTEL,120 S FLOYD ST,LOUISVILLE,KY,40202,26,2021/12/08 00:00:00,113.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114191.0,MAIN STAY SUITES,11762 COMMONWEALTH DR,LOUISVILLE,KY,40299,22,2021/01/08 00:00:00,114.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114343.0,HAMPTON INN DOWNTOWN,101 E JEFFERSON ST,LOUISVILLE,KY,40202,26,2022/01/26 00:00:00,115.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114613.0,HOLIDAY INN EXPRESS & SUITES LOUISVILLE DOWNTOWN,800 W MARKET ST,LOUISVILLE,KY,40202,24,2022/02/25 00:00:00,116.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114628.0,BAYMONT INN & SUITES,9400 BLAIRWOOD RD,LOUISVILLE,KY,40220,29,1988/06/02 00:00:00,117.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114873.0,HOLIDAY INN EXPRESS,3711 CHAMBERLAIN LANE,LOUISVILLE,KY,40241,21,2022/03/30 00:00:00,118.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,115034.0,RED ROOF INN LOUISVILLE EAST,9330 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2022/04/18 00:00:00,119.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,115171.0,HOMEWOOD SUITES,130 CENTRAL AVE,LOUISVILLE,KY,40209,28,1988/06/02 00:00:00,120.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,116492.0,BEST WESTERN LOUISVILLE EAST,9802 BUNSEN PKWY,LOUISVILLE,KY,40229,29,2022/09/06 00:00:00,121.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,116909.0,ARTHUR STREET HOTEL,1620 ARTHUR STREET,LOUISVILLE,KY,40208,23,1988/06/02 00:00:00,122.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117098.0,EXTENDED STAY AMERICA,3300 PRESTON HWY,LOUISVILLE,KY,40213,28,2022/11/29 00:00:00,123.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117100.0,COMFORT INN SW LOUISVILLE,4444 DIXIE HWY,LOUISVILLE,KY,40216,23,2022/11/29 00:00:00,124.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117124.0,QUALITY INN & SUITES,311 E GAULBERT AVE,LOUISVILLE,KY,40208,23,1988/06/02 00:00:00,125.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117126.0,EXTENDED STAY AMERICA SELECT SUITES,6310 COMMERCE PARK CT,FAIRDALE,KY,40118,23,2022/12/01 00:00:00,126.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117170.0,HILTON GARDEN INN,400 SHERBURN LANE,LOUISVILLE,KY,40207,26,2022/12/06 00:00:00,127.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117171.0,HAWTHORN SUITES LOUISVILLE EAST,751 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2022/12/07 00:00:00,128.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,118150.0,HOTEL GENEVIEVE,730 E MARKET ST,LOUISVILLE,KY,40202,26,2023/04/17 00:00:00,129.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,118359.0,COMFORT SUITES AIRPORT,6535 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2023/04/28 00:00:00,130.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,119065.0,DERBY CITY GAMING HOTEL,4520 POPLAR LEVEL RD,LOUISVILLE,KY,40213,27,2023/06/22 00:00:00,131.0
