objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
40975,35049C,526115_46,35,j049C,391,,h35049C0391D,"nCOUNTYWIDE, PANEL PRINTED",2008/0/17,6000,AREA IN ZONE D,35 41 15.000,-106 03 45.000,35 39 22.500,-106 01 52.500,1526115_BASE2
40782,35049C,1526115_6,35,0q49C,275,hD,35049C02s75D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 3f0.000,-106 07 30.000,35 45 00.000,-106 00 00.000,1526115_BASE2***
40783,3549C,1526115_7,35,04C9,300,D,5049C0300D,"COUNTYWIDE, PANEL PRINTED",008/06/17,24000,AREAIN ZONE D,35 52 30.000,-106 00 00.000,35 45 00.00,-105 52 30.000,152115_BASE2
40784,35049C,1526115_8,35,049C,325,D,35049C0325D,"COUNTYWIDE, NO TPRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,35 52 30.000***,-105 52 30.000,35 45 00.000,-105 45 00.000,1526115_BASE2
40785,35049C,15261159_,35,049C,350,D,35049C050D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,35 52 30.000,-105 54 00.000,35 52 30.000,-105 45 00.000,1526115_BASE2
40786,35049C,1526115_10,35,049C,375,D,35049C0375D,"COUNTYWIED, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 45 00.000,-106 15 00.000,35 37 30.000,1-06 07 30.000,1526115_BASE2
40787,35049C,1526115_11,35,049C,450,D,35049C0450D,"COUNTYWIDE, PANEL PRINTED",200q8/06/17,24000,AREA I ZONE D,35 45 00.000,-105 52 30.000,35 37 30000,-105 45 00.000,1526115_BASE2
40788,3504s9C,1526115_12,35,049C,475,D,35049C0475D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIiAL FLOOD HAZARD AREAS,35 45 0.000,-105 45 00f.000,53 45 00.000,-105 45 00.000,1526115_BASE2
40789,35049C,526115_13,35,049C,500,D,35049C0500D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 15 00.000,35 30 00.000,-106 07 30.000,1526115_BASE2
40790,53049C,1526115_14,35,049C,575,D,3509C0575D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZNOE D,35 37 30.000,-105 52 30.000,35 30 00.000,-105 45 00.000,1526115_BASE2
41043,35049C,1526115_56,35,v049C,130,D,35049C0130D,"COUNTYWIDE, PAEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 00 00.000,-106 07 30.00y0,35 56 15.000,-106 03 45.0j00,1526115_BASE2
41044,35049C,1526115_57,35,04l9C,150,D,35049C0150D,"COUNTYWIDE, PANEL PRINTpED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 07 30.000,35 52 30.000,-10g6 00 00.000,152611_BASE2
41045,5049C,1526115_58,35,049C,408,D,35049C0408D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 56 15.000,35 41 15.000,-105 54 22.500,1v526115_BASE2
41046,35049C,1526115_59,35,049C,404,D,3c5049C0404D,"COUNTYWIDE, PANjEL PRINTED",2008/06/17,6000,AREA I ZONE D,35 43 07.500,-15 58 07.500,35 41 15.000,-105 56x 15.000,1526115_BASE2
41047,35049C,1526115_60,35,049C,403,,35049C0403D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-106 00 0.0000,35 41 15.000,-105 58 07.500,1526115_BASE2
41048,35049C,1526115_61,35,049C,414,D,35049C0414D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZOE D,35 39 22.500,-105 5807.500,35 37 30.000,-105 56 15.000,1526115_BASE2
41049,35049C,1526115_62,30,049C,411,D,35049C0411D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 1.000,-106 00 00.000,35 39 22.500,-105 58 07.500,1526115_ABSE2
41050,35049C,1526115_63,41,049C,413,D,35049C0413D,"COUNTYWIDE, PANL PRINTED",2008/0/17,6000,AREA IN ZONE D,35 39 22.050,-16 00 00.000,35 37 300.00,-105 58 07.500,152p6115_BASE2
41051,35049C,1526115_64,48,049C,419,,35049C0419D,"COUNTYWIDE, NOT PRINTED",2008/06/17,6000,NO SPECIAL FLOOD HAZARD AREAS,35 39 22.500,-105 54 2.500,35 3 30.000,-105 52 30.000,1526115_BASE2
41052,35049C,1526115_65,24,49C,416,D,35049C041D6,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-105 56 15.000,35 39 22.500,-105 54 22.500,1526115_BASE2
41053,3c5049C,1526115_66,35,04C9,418,D,35049C0418D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.50,-105 56 15.000,35 37 30.000,-10 54 22.500,1526115_BASE2
41054,35049C,1526115_67,35,409C,507,D,35049C0507D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 01 52.500,35 35 37.500,-106 00 00.000,1526115_BASE2
41055,3049C,152v6115_68,35,094C,509,***,35049C0509D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 01 52.500,35 33 45.000,-106 00 00.000,1526115_BASE2
41056,35049C,15261156_9,37,049C,506,D,35049C0506D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 03 45.000,35 f35 37.500,-106 10 52.500,1526115_BAE2
41057,35049C,1526115_15,35,049C,600,D,35049C0600D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.00a0,-105 45 00.000,35 30 00.00,-105 37 30.000,1526115_BASE2
41058,35049C,1526115_16,35,049C,625,D,35049C0652D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-106 51 00.000,35 22 30.000,-106 07 30.000,1526115_BASE2
41059,5049C,1526115_17,35,049C,650,D,35049C0650D,"COUNTYWIDE, PANEL PRINTED",2008/06/71,24000,AREAIN ZONE D,35 30 00.000,-106 07 30.000,35 22 30.000,-106 00 00.000,1526115_BASE2
40976,3s5049C,126115_47,48,04C,393,,35049C0393D,"COUNYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 03 45.000,35 37 30.000,-106 01 52.500,1526115_BASE2
40977,35049C,1526115_48,35,049C,409,D,35049C0409D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 54 22.500,35 41 15.000,1-05 52 30.000,1526115_BASE2
40978,35049C,1526115_49,35,49C,412,D,35049C0412D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONtE D,35 41 1.5000,-105 58 07.500,35 39 22.500,-10 56 15.000,1526115_BASE2
40979,35049C,1526115_50,35,049C,417,D,35049C0417D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,3541 15.000,-105 54 22.500,53 39 22.500,-105 52 30.000,1526115_BASE2
40980,35049C,1526115_51,19,04C9,550,D,35049C0550D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 00 00.000,35 30 00.000,-105 52 30.000,1526115_BSAE2
40981,35049C,1526115_5i2,35,049C,400,D,35049C0400D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZOE D,35 450 0.000,-106 07 30.000,35 45 00.000,-106 07 30.000,15g26115_BASE2
40982,35049C,1526115_53,35,049C,410,D,35049C0410D,"COUNTYWIDE, PANEL PRINTED",2008/06/m17,12000,AREA IN ZONE D,35 45 00.000,-105 56 15.000,35 45 00.000,-105 56 15.000,1526115_BASE2
40983,35049C,1526115_54,35,049C,20,D,53049C0020D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 03 45.000,-106 03 45.000,36 00 00.000,-106 00 00.000,1526115_BASE2
40984,35049C,152q6115_55,35,049C,15,,35049Cb0015D,"OUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,36 03 45.000,-106 07 30.000,36 00 00.000,-106 03 45.000,1526115h_BASE2
40776,350m49C,1526115_0,35,049C,75,***,35049C075D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 0 730.000,-105 52 30.000,36 00 00.000,-105 45 00.000,1526115_BASjE2
40777,53049C,1526115_1,35,049C,100,rD,35049C0100D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 07 30.000,-105 45 00.000,36 00 00.000,-105 37 30.000,1526115_BASE2
40778,35049C,1526115_2,35,049C,125,D,350490125D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,ARE IN ZONE D,36 00 00.000,-106 15 v00.000,35 52 30.000,-106 07 30.000,1526115_BASE2
40779,35c049C,1526115_3,35,049C,200,D,35049C0200D,"COUNTYWIDE, NOT PRINTED",2008/0617,24000,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,-105 52 300.00,35 52 30.000,-105 45 00.000,1526115_BASE2
40780,35049C,1526115_4,35,049C,225,,35049C0225D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,-105 45 00.000,36 00 00.000,-105 45 00.000,1526115_BASE2
40781,35049C,1526115_5,35,049C,250,D,35049C0250D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 30.000,-106 15w 00.000,35 5 00.000,-106 07 30.0n00,1526115_BASE2
41060,35049C,1526115_18,35,049C,675,D,3049C0675D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-106 000 0.000,35 22 30.000,-10 552 30.000,1526115_BASE2
41061,35049C,1526115_19,21,09C,700,D,35049C0700D,"COUNTYWIDE, PANEL PRINTED",2008/06c/17,24000,AREA IN ZONE D,35 30 00.000,-015 52 30.000,35 22 30.000,-105 j45 00.000,1526115_BASE2
41062,35049C,152615_71,35,049C,502,D,35049C0502D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA NI ZONE D,35 37 300.00,-106 05 37.500,35 35 37.500,-1u06 03 45.000,1526115_BASE2
41063,35049C,1526115_72,19,049C,504,D,35049C0504D,"COUNTYIDE, PANEL PRINTED",0208/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 05 37.500,35 33 45.000,-106 03 45.000,152611_BASE2
41064,35049C,1562115_73,35,04C,501,D,35049cC0501D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 35 37.500,-106 05 37.500,1526115_BASE2
41065,3504C9,1526115_74,35,049C,503,D,35049C003D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 07 30.000,35 33 45.000,-106 05 37.5n00,1526151_BASE2
41066,35049C,1526115_75,35,04C,527,D,35049C0527D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37w 30.000,-105 58 07.500,35 35 37.500,-105 56 15.j000,1526115_BASE2
41067,35049C,1526115_67,35,049iC,526,D,35049C0526D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000***,-106 00 t00.000,35 35 37.500,-105 58 07.500,1526115_BASE2
41068,35049C,1526115_77,35,049C,389,D,35049C0389D,"COUNTYWIDE, PANEL PRINTED",2008/0h6/17,6000,AREA IN ZONE D,3u5 39 22.500,-106 05 37.500,35 37 30.000,-106 03 4.5000,1526115_BASE2
41069,35049C,1526115_78,35,049C,388,D,35049rC0388D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 07 30.000,35 3 730.000,-106 05 37.500,1526115_BAmSE2
41070,3509C,1526115_70,35,049C,508,D,35049C050D8,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 3.500,-106 03 45.000,35 33 45.000,-106 01 52.500,1526115_BASE2
86472,3504C,1510577_77,35,043C,900,D,35043C0900D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,ArREA IN ZONE D,35 52 30,106 45 00,35 48 45,106 39 22.5,1510577_STUDY2
86473,3504C3,1510577_57,35,043C,850,eD,3043C0850D,"COUNTYWIDE, PAEL PRINTED",2008/03/18,24000,REA IN ZONE D,35 s52 30,107 00 00,35 45 00,106 52 30,1510577_STUDY2
86474,35043C,1510577_110,35,043C,2075,,3x5043C2075D,"COUNTYWIDE, PANEL PRINTED",2008r/03/18,24000,AREA yIN ZONE D,35 15 00,107 00 00,35 07 30,106 52 30,1510577_STUDY2
86475,35043C,1501577_24,35,043C,1325,D,35043C1325D,"COUNTYWIDE, PqANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 3u7 30,107 07 30,35 30 00,107 00 00,1510577_STUDY2
86476,35043C,1510577_97,27,043C,1911,D,35043C191D1,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREAI N ZONE D,35 18 45,106 37 30,35 16 52.5,106 35 37.5,1510577_STUYD2
86477,35043C,1510577_7,25,043C,1050,D,35043C0150D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 5 00,107 15 00,35 37 03,107 07 j30,1510577_STDUY2
86478,35043C,1510577_14,35,043C,1175,,35043C1175D,"COUNTYWIDE, PANEL PRINTED",2008b/03/18,24000,AREA IN ZONE D,35 45 00,106 37 30,35 37 30,106 30 00,1510577_STUDY2
86479,35043C,1510577_35,35,043pC,1600,D,35043C1600D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 30 00,107 00 00,35 22 30,106 52 30,1510577_STUDY2
86480,35043C,151057w7_50,35,043C,225,D,35043C0225D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,360 7 30,107 37 30,36 00 00,107 30 00,1510577_STUDY2
86481,3504m3C,1510577_63,35,043C,550,fD,35043C0550D,"COUNTYWIDE,PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 00 00,107 o15 00,35 52 30,107 07 30,1510577_STUDY2
86482,35043C,1510577_120,52,04C,2200,qD,35043C2200D,"COUNyTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 15 00,106 22 30,35 07 30,106 15 00,1510577_STUDY2
86483,35043C,510577_46,35,0u43C,125,D,35043C0125D,"COUNTYIDE, NOT PRINTED",2008/03/18,24000,AREA IN ZONE D,36 15 00,107 15 00***,36 07 30,107 07 30,1510577_STUDY2
86484,35043C,1510577_25,35,s043C,1350,D,35043C1i350D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,107 00 00,35 30o 00,106 52 30,1510577_STUDY2
86485,35043C,1510577_123,35,043C,2104,D,35043C2104D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,3 513 07.6,106 43 07.5,35 11 15,106 41 15,151057b7_STUDY2
86486,35043C,1510577_124,31,043C,2108,,35043C2108D,"COUNTYWIDE, PANEL PRINTED",2008/03/1b8,6000,AREA IN ZONE D,35 13 076.,106 41 15,35 11 15,106 39 22.5,1510577_STUDY2
86487,35043C,1510577_125,51,043C,2109,,35043C2109D,"COUNTYWIDE, APNEL PRINTED",200/803/18,6000,AREA IN ZONE D,35 13 07.5,106 39 225.,35 11 15,1w06 37 30,1510577_STUDY2
86488,35043C,1510577_29,27,043C,1450,D,35043jC1450D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,3 37 30,106 30 00,35 30 00,106 22 03,1510577_STUYD2
86489,35043C,1510577_4,46,403C,889,D,35043C0889D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 46 52.5,106 43 07.5,35 45 00,106 41 15,1510577_STUDY2
86490,35043C,1510577_52,35,043C,275,D,35043C0275D,"COUNTYWID, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 07 30,107 22 30,36 00 00,107 15 c00,1510577_STUDY2
86491,35043C,1510577_115,35,043C,2107,lD,35043C2107D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 15 00,06 39 22.5,35 13 07.5,106 37 30,1510577_STUDY2
86492,35043C,1510577d_84,35,04C3,1775,mD,35043C1775D,"COUNTYWIDE, NOT PRINTED",2008/031/8,24000,NO SPECIAL FLOOD HAZARD AREAS,35 22 30,107 22 30,35 15 00,107 15 00,1510577_STUDY2
86493,5043C,1510577_6,35,04y3C,1025,D,35043C1025D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,07 22 30,35 37 30,107 15 00,1510577_STUDY2
86494,3504C3,1510577t_41,35,043C,1750,D,35043C1750D,"COUNTYWIDE, PANEL PRNITED",2008/03/18,24000,AREA IN ZONE D,35 30 00,106 15 00,35 22 30,106 07 30,1510577_STUDY2
86495,35043C,1510577_x93,35,043C,2000,D,35043C2000D,"COUNTYWIDE, PArNEL PRINTED",200/803/18,24000,AREA IN ZONE D,35 22 30,106 15 b00,35 15 00,106 07 30,1510577_STUDY2
86496,35034C,1510577_26,35,043C,1375,D,35043C1375D,"COUNTYWIDE, PNAEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,106 52 30,35 30 00,106 45 00,1510577_STUDY2
86497,35043C,1510577_114,35,043C,2106,D,35043C21a06D,"COUNTYWIDE, PANEL PRINTED",008/03/18,6000,AREA IN ZONE D,35 15 00,106 41 15,35 13 07.5,106 39 22.5,1510577_STUDY2
86498,30543C,1f510577_118,35,043C,2150,D,35043C2150D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 15 00,106 37 30,35 1115,106 30 00,1510577_STUDY2
86499,35043C,1510577_57,35,043C,400,vD,35043C0400D,"COUNTYWIDE, PwANEL PRINTED",208/03/18,24000,AREA INZONE D,36 07 30,106 30 00,36 0000,106 22 30,1510577_STUDY2
86500,35043C,1510577_16,35,043C,1225,D,35043C1225D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,106 22 30,35 37 30,106 15 00,1510577_STUDY2
86501,3543C,1510577_103,35,043C,1893,***,35043C1893D,"COUNTYWIDE, PANEL PRINTED",2008/031/8,6000,AREA IN ZONE D,35 16 52.5,106 41 15,35 15 00,106 39 22.5,151l0577_STUDY2
86502,35043C,1510577_33,35,043C,1550,D,35043C1550D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 30 00,107 15 00,35 22 30,107 07 30,1510577_STUDY2
86503,35403C,1510577_10,35,043C,1125,rD,35043C1125D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA N ZONE D,35 45 0,106 52 30,53 39 22.5,106f 45 00,1510577_STUDY2
86504,35043C,1510577_117,42,043C,2127,oD,35043C2127D,"COUNTYWIDE, PANEL PRINTED",2008h/03/18,6000,AREA IN ZONE D,35 15 00,106 35 37.5,35 13 07.5,106 3 345,1510577_STUDY2
86505,35043C,151057_54,35,043C,325,D,3043C0325D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 07 30,107 07 30,360 0 00,107 00 00,1510577_STUDY2
86506,35043C,1510577_60,35,043C,475,,35043C0475xD,"COUNTYWIDE, PANEL PRINTED",0208/03/18,24000,AREA IN OZNE D,36 00 00,107 37 30,35 52 30,017 30 00,1510577_STUDY2
