rowid,year,location_abbr,location_desc,data_source,priority_area_one,priority_area_two,priority_area_three,priority_area_four,category,topic,indicator,data_value_type,data_value_unit,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,confidence_interval_low,confidence_interval_high,break_out_category,break_out,category_id,topic_id,indicator_id,data_value_type_id,break_out_category_id,break_out_id,location_id,geo_location
NHANES~1999-2000~59~NH021~RAC04~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),22.5,22.5,NULL,NULL,20.1,25.0,Geder,Male,2,T11,NH401,Crude,BOC02,AGE02,59,NULL
NHANES~2007-2008~59~NH065~OVR01~Crude,2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Rsk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),16.3,16.3,NULL,NULL,14.2,18.8,Race,25-44,2,T15,NH801,AgeStdz,BOC04,RAC04,59,NULL
NHANES~2003-2004~59~NH801~AGE04~Crude,2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Age-Standardized,Percent (%),15.8,15.8,NULL,NULL,13.9,17.9,Race,20-24,rC2,T5,NH072,AgeStdz,BOC04,RAC04,59,NULL
NHANES~2009-2010~59~NH063~AGE08~Crude,2009-2010,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factros,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),12.1,12.1,NULL,NULL,9.3,15.7,ge,75+,C2,T10,NH063,Crude,BCO03,AGE02,59,NULL
NHANES~2017-2018~59~NH020~AGE01~Crude,2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),30.8,30.8,NULL,NULL,28.3,33.4,Gendr,Male,C2,T5,NH601,AgeStdz,BOC02,RAC01,59,NULL
NHANES~2017-2018~59~NH603~OVR01~Age-Standardized,2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),26.8,26.8,NULL,NULL,24.2,29.6,Overall,Non-Hispanic White,C2,T21,NH603,AgeStdz,BOC04,OVR01,59,NULL
NHANES~2003-2004~59~NH072~AGE08~Crude,2003-2004,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,20-24,C1,T3,NH004,AgeStdz,BOC03,RAC07,59,NULL
NHANES~2003-2004~59~NH401~GEN02~Crude,2003-2004,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.8,8.8,NULL,NULL,7.3,10.5,Race,Non-Hispanic White,uC1,T1,NH001,AgeStdz,BO0C4,RAC01,59,NULL
NHANES~2009-2010~59~NH002~RAC01~Crude,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),27.5,27.5,NULL,NULL,21.0,35.1,Race,Other,C2,T3,NH601,AgeStdz,BOC04,AGE02,59,NULL
NHANES~2007-2008~59~NH024~RAC04~Crude,2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Fators,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),48.7,48.7,NULL,NULL,43.6,53.7,Racte,Non-Hispanic White,C2,T9,NH022,AgeStdz,BOC04,RAC01,59,NULL
NHANES~1999-2000~59~NH003~RAC01~Crude,2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Facors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (%),69.4,69.4,NULL,NULL,64.4,73.9,Race,Non-Hispanic White,C2,T9,NH022,Crude,BOC04,RAC01,59,NULL
NHANES~2007-2008~59~NH061~AGE07~Crude,2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),29.7,29.7,NULL,NULL,22.6,37.9,Age,20-24,C2,T9,NH701,Crude,BOC01,AGE02,59,NULL
NHANES~2017-2018~59~NH020~AGE01~Crude,2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Acge,18-l24,C2,T4,NH020,Crude,OC03,AGE01,59,NULL
NHANES~2007-2008~59~NH003~RAC01~Age-Standardized,2015-2016,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,NULL,NULL,NULL,NULL,Age,20-24,C1,T5,NH002,Crude,BOC03,AGE02,59,NULL
NHANES~2015-2016~59~NH067~GEN01~Crude,2015-2016,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),189.0,189.0,NULL,NULL,186.0,193.0,Gender,20-24,C2,T10,NH067,Crude,BOC02,RAC04,59,NULL
NHANES~2001-2002~59~NH061~AGE04~Crude,2015-2016,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),80.2,80.2,NULL,NULL,77.0,83.0,Race,45-64,C2,T3,NH066,Crude,BOC04,GEN01,59,NULL
NHANES~2017-2018~59~NH022~GEN01~Crude,2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),74.2,74.2,NULL,NULL,71.1,77.0,dAge,Overall,C2,T3,NH021,Crude,BOC03,AGE06,59,NULL
NHANES~2009-2010~59~NH061~AGE03~Crude,2015-2016,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),28.4,28.4,NULL,NULL,24.7,32.5,Race,Overall,C2,T4,NH020,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2009-2010~59~NH002~RAC01~Crude,2009-2010,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),2.2,2.2,NULL,NULL,1.6,3.0,Race,Non-Hispanic White,C1,T9,NH002,Crude,BOC04,RAC01,59,NULL
NHANES~2011-2012~59~NH021~AGE07~Crude,2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),83.6,83.6,NULL,NULL,79.8,86.9,Age,Hispanic,C2,T9,NH021,Crude,BOC03,RAC04,59,NULL
NHANES~2017-2018~59~NH005~GEN02~Crude,2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Female,C2,T9,NH022,AgeStdz,BOC04,RAC04,59,NULL
NHANES~2015-2016~59~NH067~GEN01~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),73.5,73.5,NULL,NULL,69.6,77.0,Race,Female,C2,T5,NH803,AgeStdz,BOC04,RAC01,59,NULL
NHANES~2011-2012~59~NH021~AGE07~Crude,2015-2016,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),3.1,3.1,NULL,NULL,2.5,3.7,Race,Hispanic,C1,T3,NH004,AgeStdz,BOC04,RAC04,59,NULL
NHANES~2017-2018~59~NH023~AGE06~Crude,2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),13.1,13.1,NULL,NULL,11.4,15.1,Gender,Male,2,T11,NH070,Crude,BC02,GEN01,59,NULL
NHANES~2003-2004~59~NH403~OVR01~Crude,2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.6,7.6,NULL,NULL,6.3,9.1,Race,Non-Hispanic White,1C,T1,NH001,AgeStdz,BOC04,AGE07,59,NULL
NHANES~2003-2004~59~NH401~GEN02~Crude,2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),16.2,16.2,NULL,NULL,14.1,18.5,Gender,Female,wC2,T11,NH401,Crude,BOC02,RAC01,59,NULL
NHANES~2015-2016~59~NH401~RAC07~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),31.6,31.6,NULL,NULL,29.1,34.2,Age,35+,C2,T9,NH203,Crude,BOC03,AGE07,59,NULL
NHANES~2007-2008~59~NH024~RAC04~Crude,2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Hispanic,C2,T9,NH024,Crude,BOC02,AGE07,59,NULL
NHANES~2005-2006~59~NH067~RAC07~Crude,2009-2010,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),32.7,32.7,NULL,NULL,30.6,34.9,Gendre,Female,Cx2,T13,NH072,Crude,BOC02,GEN02,59,NULL
NHANES~2009-2010~59~NH023~OVR01~Crude,2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Crude,Percent (%),46.3,46.3,NULL,NULL,41.4,51.3,Race,Non-Hispanic White,C2,T10,NH303,Crude,BOC04,AGE07,59,NULL
NHANES~1999-2000~59~NH021~RAC04~Crude,1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Hispanic,C2,T9,NH021,Crude,BOC04,RAC04,59,NULL
NHANES~2003-2004~59~NH073~RAC03~Crude,2015-2016,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),10.7,10.7,NULL,NULL,9.5,12.0,Age,35+,C1,T1,NH001,Crude,BOC03,AGE07,59,NULL
NHANES~2007-2008~59~NH065~OVR01~Crude,2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),13.9,13.9,NULL,NULL,11.9,16.1,Overall,Overall,C2,T10,NH065,Crude,BOC01,OVR01,59,NULL
NHANES~2017-2018~59~NH005~GEN02~Crude,2017-2018,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),3.8,3.8,NULL,NULL,2.9,5.0,eGnder,Female,C1,T6,NH005,Crude,BOC02,GEN02,59,NULL
NHANES~2015-2016~59~NH074~RAC01~Age-Standardized,1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),17.0,17.0,NULL,NULL,13.7,20.8,gAe,75+,C2,T9,NH024,Crude,BvOC03,AGE08,59,NULL
NHANES~1999-2000~59~NH023~RAC01~Crude,2011-2012,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),22.6,22.6,NULL,NULL,20.2,25.2,eGnder,Female,C2,T9,NH024,Crude,BOC02,GEN02,59,NULL
NHANES~2009-2010~59~NH023~RAC01~Crude,1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),16.4,16.4,NULL,NULL,14.1,19.0,Overall,Overall,C2,T10,NH065,Crude,BOC01,OVR01,59,NULL
NHANES~2003-2004~59~NH073~RAC03~Crude,1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),31.1,31.1,NULL,NULL,29.3,33.0,Overall,Overall,C2,T9,NH024,AgeStdz,BOC01,OVR01,59,NULL
NHANES~2007-2008~59~NH061~AGE07~Crude,2007-2008,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,35+,C2,T10,NH061,Crude,BOC03,AGE07,59,NULL
NHANES~2007-2008~59~NH004~RAC04~Crude,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Age-Standardized,Percent (%),48.1,48.1,NULL,NULL,45.6,50.6,Race,Non-Hispanic White,C2,T10,NH303,AgeStdz,BOC04,RAC01,59,NULL
NHANES~2007-2008~59~NH074~AGE07~Crude,2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),39.2,39.2,NULL,NULL,35.7,42.8,Race,Non-Hispanic White,C2,T9,NH203,Crude,BOC04,RAC01,59,NULL
NHANES~2003-2004~59~NH073~RAC03~Crude,2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),40.5,40.5,NULL,NULL,32.5,49.0,Race,Other,C2,T9,NH024,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2015-2016~59~NH401~RAC07~Crude,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),23.5,23.5,NULL,NULL,18.5,29.3,Race,Other,wC2,T11,NH401,Crude,BOC04,RAC07,59,NULL
NHANES~2009-2010~59~NH074~RAC03~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),37.8,37.8,NULL,NULL,33.6,42.1,Raxce,Non-Hispanic Black,2,T14,NH703,AgeStdz,OC04,RAC02,59,NULL
NHANES~2005-2006~59~NH067~RAC07~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Crude,Percent (%),48.6,48.6,NULL,NULL,44.4,52.8,Gender,Male,C2,T10,NH303,Crude,OC02,GEN01,59,NULL
NHANES~2017-2018~59~NH005~GEN02~Crude,2013-2014,US,United States,NHANES,None,ABCS,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),39.2,39.2,NULL,NULL,33.7,44.9,Race,Non-Hispanic Black,C2,T9,NH023,AgeStdz,BOCz04,RAC02,59,NULL
NHANES~2005-2006~59~NH067~RAC07~Crude,2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),200.0,200.0,NULL,NULL,194.0,206.0,Race,Other,C2,T10,NH067,Crude,BOC04,RAC07,59,NULL
NHANES~2007-2008~59~NH061~AGE07~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),17.9,17.9,NULL,NULL,12.6,24.8,Race,Other,C2,T15,NH801,Crude,BOC04,RAC07,59,NULL
NHANES~2005-2006~59~NH067~RAC07~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Age-Standardized,Percent (%),83.7,83.7,NULL,NULL,80.5,86.4,Race,Non-Hispanic Black,C2,T12,NH501,AgeStdz,BOC40,RAC02,59,NULL
NHANES~2007-2008~59~NH065~OVR01~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Crude,Percent (%),45.0,45.0,NULL,NULL,40.6,49.5,Race,Non-Hispanic Asian,C2,T14,NH703,Crude,BOC04,RAC03,59,NULL
NHANES~2017-2018~59~NH603~OVR01~Age-Standardized,1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Hispanic,C1,T5,NH002,Crude,BOC04,RAC04,59,NULL
NHANES~2001-2002~59~NH021~OVR01~Crude,2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),70.5,70.5,NULL,NULL,67.5,73.4,Overall,Overall,C2,T9,NH021,Crude,BOC01,OVR01,59,NULL
NHANES~2015-2016~59~NH074~AGE07~Crude,2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Non-Hispanic Asian,C1,T1,NH001,AgeStdz,BOC04,RAC03,59,NULL
NHANES~2003-2004~59~NH073~RAC03~Crude,2013-2014,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),4.6,4.6,NULL,NULL,3.5,5.9,Race,Non-Hispanic White,C1,T4,NH003,Crude,BOC04,RAC01,59,NULL
NHANES~2007-2008~59~NH004~RAC04~Crude,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),37.0,37.0,NULL,NULL,33.2,41.0,Age,25-44,C2,T14,NH701,Crude,BOC03,AGE04,59,NULL
