Group,Description,Join Link,Members count
Site Audits,Group for discussing and working on best known practices for site audits and rescue projects.,Join,63
Western Maryland DUG,A Drupal user group serving the Western Maryland area.,Request membership,10
Basque Country,Basque Country drupal group,Request membership,20
Extremadura,Drupal developers in Extremadura,Join,31
DUG Gyor,"The Drupal User Group Gyor is a local user group from Gyor, located in the north-west of Hungary.",Join,7
Montpellier,Drupal group Montpellier,Join,24
Puebla,"Group dedicated to educate, organize, contribute, disseminate and support the poblanos on everything related to Drupal.",Join,49
Pacific NW Drupal Summits,This group helps PNWDS attendees communicate directly with each other,Join,144
Bahrain,Local Drupal Community in Bahrain,Join,26
Hospitality Network,Initiative to make more important connections happen and spread ideas when we travel,Join,52
Rio Grande do Norte,Usuários e desenvolvedores Drupal no estado do Rio Grande do Norte/Brasil,Join,2
Drupal Camp North West (UK),Coming to Manchester in November 2012,Join,79
WIDT,What I'm Drupaling Today,Join,61
Montenegro,This group is for all Montenegro Drupal users and developers.,Request membership,5
Visual Branding of Drupal,For people interested in helping improve the branding of the Drupal project and community.,Join,96
Popcorn,For anyone interested in integrating the Mozilla Popcorn project w/ Drupal,Join,59
La Paz,Drupaleros La Paz Bolivia,Join,19
Federal Digital Government Strategy,"A group discussing best-practices, tips and tools for implementing the Federal Digital Government Strategy using Drupal",Join,103
Gurgaon,"A group focused on promoting Drupal among techie and non-techie alike in Gurgaon, India.",Request membership,13
OpenAid,A group for discussion about the OpenAid distribution.,Join,65
Drupal Book Authors,A open platform for Drupalers to discuss and contribute on Drupal books and learning materials,Join,22
ELMS,Developments and conversations related to the ELMS distributions,Join,73
Drupal Design Camp LA,"Planning group for current and upcoming Drupal Design Camp LA (DDCLA) events, a design, theming and usability DrupalCamp in Los Angeles, California.",Join,68
Drupal Sao Paulo,Grupo de Usuarios de Drupal do Brasil,Join,15
"Group for installation profile ""Drupal Jobs"" (not a job board)",Support group for the Drop Jobs distribution. NOT A JOB BOARD!,Request membership,82
Yellowknife,Welcome to the Yellowknife drupal group!,Request membership,11
Balkan,Drupal communities in Balkan region speaking BCMS languages.,Join,73
Julio,A group for community discussions about using Julio.,Join,53
Higher Education Europe,Drupal for Higher European Education,Join,58
San Gabriel Valley Drupal,A Drupal user group serving the San Gabriel Valley.,Join,68
Thunder Bay,Geographically based community for drupal discussions,Request membership,17
University of Texas at Austin,Drupal users and developers at the University of Texas at Austin,Request membership,28
"Drupalistas Rome, Italy",A group of international professionals living and working in Rome with the common interest being Drupal,Join,56
Cornell University,Cornell Universities Drupal discussion group,Join,116
DrupalSib,"Siberian community of Drupal developers, Russia",Join,23
Chandigarh,Users from chandiagrh can join this group,Join,16
Melbourne,"Drupal users group for Melbourne, Australia",Join,203
Open Research,Community discussions around the use of the platform for open research.,Join,55
Redding,Redding California Drupal Group,Join,18
Chess,All Chess related (development) discussions,Join,22
Remote Meetups,A group for listing and discussing remote accessible Drupal meetups and technologies that make it happen,Join,54
Bihar,Drupal Lovers of Bihar,Join,23
Rajasthan DUG,This is drupal user group rajasthan.,Join,17
CastillayLeon,Castilla y leòn (spain),Request membership,23
Entity Construction Kit (ECK),"Let's discuss where the Entity Construction Kit (ECK) module should go, and how to improve it",Join,21
Portuguese,Portuguese speakers Drupal user group.,Join,46
