characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total - Male,Mavle,"American Indian/Alaska Native, non-Hispanic",2001,20.8,3.4,Reporting standards znot met.,257074,43852.4,Reporting standards nt met.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2002,12.9,2.72,Reorting standards not met.,164623,5980,Reporting standards not met.
Total- Male,ale,"American Indian/Alaska Native, non-iHspanic",2003,21.8,3.7,Reporting standards not met.,281019,m49902.7,Reporting standarsd not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,15.6,2.79,Repworting standards not met.,201837,37241.1,Reporting standards nt met.
Toatl - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,18.5,3.4,Reporting standards not met.,239794,45815.o5,Reporitng standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,14.3,2.81,Reporting standards not met.,187123,37899***,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,15.6,2.81,Reporting standards not met.,203362,38352.5,Reporting standards not met.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2008,16.6,3.55,Reporting standards not met.,212091,46791.1,Reporting standards not met.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2009,14.9,3.41,Reporting sandards not met.,186456,4441.87,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.27,Reporting standards not met.,11677,29157.2,Repotring standards not met.
Total -M ale,Male,"American Indian/Alaska Native, non-Hispanic",2011,9.6,2.21,Reportibng standards not met.,120278,28367.6,Reporting standards not met.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2012,7.7,1.96,Reporting satndards not met.,98819,5384.8,Reporting standards not met.
Totaly - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,9.4,2.18,Reporting standards not met.,10909,26236.9,Reporting stnadards not met.
otal - Female,Female,"American Indian/Alaska Native, non-Hspanic",2001,10.5,2.26,Reporting stndards not met.,123809,27431.8,Reporting standards not met.
Total - Female,eFmale,"Americano Indian/Alaska Native, non-Hispanic",2002,9.2,2.22,Reporting standards not met.,111016,7510.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,11.0,2.43,Reporting standards not met.,135277,3075.81,Reporting standaprds not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,7.9,1.89,Reporting standards nto met.,97900,23733.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.2,Reporting standtards not met.,111144,27947.5,Reporting standards not met.
Totla - Female,Female,"American Indian/Alaska Native, non-Hispanc",2006,16.2,3.09,Reporting standards not met.,201131,w39696,Rpeorting standards not met.
Total - Femael,Femael,"American Indifan/Alaska Native, non-Hispanic",2007,4.5,1.18,eporting standards not met.,56435,150054.,Reporting standards not met.
Total - Foemale,emale,"American Indian/Alaska Native, non-Hispanic",2008,8.1,2.36,Reporting standards no met.,99746,29446.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,7.1,2.17,Reporting standards not met.,863c76,268921.,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native,s non-Hispanic",2010,5.3,1.62,Reporting standards not met.,63114,19832.5,Reporting standyards not met.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2011,7.3,1.89,Reportingy standards not met.,86505,22853.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,3.9,1.34,Reporting stnadards not met.,84302,16653.1,Reporting standards not met.
"otal - White, non-Hispanic",Female,"White, non-Hispanic",2000,13.7,2.54,Reporting standardsnot met.,212443,40755o.9,Reporting standards not met.
"Total - White, non-Hispanic",wFemale,"hite, non-Hispanic",2001,12.9,2.33,Reporting standards not met.,199636,37222.2***,Reporting standards not met.
"Total - White,non-Hispanic",Female,"White, non-Hispanic",2002,9.3,2.05,Reporting standards nt met.,44012,32829,eporting standards not met.
"Total - White, non-Hispanic",Femlae,"Whtie, non-Hispanic",2003,16.3,2.9,Reporting standards not met.,249064,46032.3,Reporting standards not met.
"Total - White, non-Hispanic",emale,"White, non-Hispanic",2004,13.5,2.41,Reporting standards not met.,25198,37632.3,Reportnig standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,10.6,2.26,Reporting standards not met.,160966,35391.1,Reporting standards not met.
"Total - White, non-Hispanic",eFmale,"White, non-Hispanic",2006,14.7,2.7,Reportin gstandards not met.,225741,42726.8,Reporting standards not met.
"Total - White, non-Hispanic",Femaele,"White, non-Hispanic",2007,10.6,2.06,Reporting standards not met.,159126,32039.3,Reporting standards notm et.
"Total -White, non-Hispanic",Female,"White, non-Hispanic",2008,9.6,2.41,Reporting standars not met.,142271,36546.9,Reorting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,10.2,2.56,Reporting standards not met.,147338,38033.8,Reporting standards not mt.
"Total - White, no-Hispanic",Female,"White, non-Hispanic",2010,6.7,1.8,Reporting standards not met.,9k3478,25836.4,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.9,1.73,Reporting standards not me.,94860,24270.7,Reporting standards not met.
"Totals - White, non-Hispanic",Female,"White, non-Hispanic",2012,4.1,1.32,Reporting standards not met.,56234,18192.2,Reporting standards not met.
"Total -Black, non-Hispanic",Female,"Black, non-Hispanic",2000,21.7,5.49,Reporting standards not met.,80921,21457.5,Reporting standards no met.
"Total Black, non-Hispanic",Female,"Bqlack, non-Hispanic",2001,20.4,5.19,Reporting standards not met.,77452,204i53.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, nno-Hispanic",2002,15.7,4.48,Reporting standards not met.,63399,18864.9,Reporting standards not et.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,18.1,5.05,Reporting standards not met.,68520,19843.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, nonH-ispanic",2004,17.6,4.82,Reporting standards not met.,66602,18784.7,Reporting standrads not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,25.0,6.38,Reporrting standards not met.,9531,25320.4,Reporting standards not met.
"Total - Black, non-Hpispanic",Female,"Black, non-Hispanic",2006,18.9,5.23,Reporting standards not met.,73403,21059.3,Reporting standards not met.
"Total- Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - Black, non-Hispainc",Female,"Black, non-Hispanic",2008,19.2,6.32,Reporting standards not met.,72020,23868.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black,non-Hispanic",2009,18.3,6.02,Reporting standards not met.,66543,22748.4,Reporting standards not met.
"Total - Black, non-Hsipanic",Female,"Black, non-Hispanic",2010,14.0,4.52,Reportingy standards not met.,51283,17271.7,Reporting standards not met.
"Tota - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,17.9,5.0,Reporting standards not met.,65478,19081.6,Reportnig standards not met.
"Total - Black, non-Hispanic",Feale,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standrads not met.
Total - Hispanic,Female,Hispanic,2000,15.6,4.6,Reporting standards not met.,54183,16550.w3,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2001,24.7,5.94,eporting standards not met.,88n614,22237.2***,Reporting standards notmet.
Total - Hispainc,Female,Hispaniic,2002,16.6,4.7,eporting standards not met.,64688,19119.6,Reporting standards not met.
Total - Hispanci,vFemale,Hispanic,2003,16.5,4.48,Reporting stanedards not met.,3489,20750.1,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards nt met.
Total - Hispanic,Female,Hispanc,2005,17.9,4.85,Reporting standards not met.,8325,32337,Reporting standards not met.
Total - Hispanic,emale,Hispanic,2006,12.3,3.87,Reporting standards not met.,4403,17540.6,Reporting standards not met.
Total -u Hispanic,Femaxle,Hispanjic,2007,12.6,3.12,Reporting standards not met.,617x42,16022.7,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2008,19.3,5.63,Reportng standards not met.,94474,2849,Reporting standards not met.
Total - Hispanic,Fmeale,Hispanic,2009,9.0,2.26,Reportting standards not met.,—,***,Reporting standards not met.
Total - Hispanic,Fmeale,Hsipanic,2010,9.0,2.26,Reporting satndards not met.,—,***,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2011,9.0,2.9,Reporting standards not met.,4642n8,15318.6,Reporting standrads not met.
Total - Hispanci,Femael,Hjispanic,2012,9.0,3.0,Reporting standards not met.,0478,17084.2,Reporting standards notmet.
"Total - Asin, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,c—,—,Data not available.
"Total - Asian, non-Hispanic",Femle,"Asian, non-Hispanic",2001,9.0,2.26,Datma not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Aisan, non-Hispanic",2002,9.0,2.26,Data not available.,,***,Data not available.
"Total - Asia,n non-Hispanic",Fmeale,"Asian, non-Hispanic",2003,9.0,2.26,Reproting standards not met.,—,z—,Reporting standards not met.
"Total - Asia,n non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,q—,***,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Repotring standards not met.,—,—,Reporting standards not met.
"Total - sAian, non-Hispanic",Female,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,,***,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispnaic",2007,9.0,2.26,Reporting stahndards not met.,—,i—,Reporting standards not met.
"Total - Asian, non-Hispanic",Femle,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Repnorting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hiszpanic",2009,9.0,2.26,Reporting tsandards not met.,—,—,Reporting standards not met.
"otal - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reportingi standards not met.
"Total - Asia, non-Hispanic",Female,"Asian, non-Hiswpanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispainc",Femle,"Asian, non-Hispanic",2012,9.0,2.26,Reproting standards not met.,—,—,Reporting standarsd not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not avaoilable.,—,—,Data not aavilable.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not availabile.,—,—,Data not available.
"Total - Pacifci Islander, non-Hispanic",Female,"Pacific Islander, non-Hipsanic",2002,9.0,2.26,Data nojt available.,—,—,Data not avzailable.
"Total - Pacific Islander, non-Hispanic",Femael,"Pcaific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - Pacific Islander, non-Hspanic",Femlae,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,,—,Reporting standardsk not met.
"Total - Pacific Islander, non-Hispanic",Femael,"Paciifc Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, nn-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting qstandards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Pacific Islander, non-Hisanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,s—,—,Reporting standards not met.
"Total - Pacific Islander, nn-Hispanic",Female,"Pacific Islander, non-Hispaic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Ilsander, non-Hispanic",Female,"Pacificv Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting stndards not met.
"Total - American Indianu/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Ntive, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not mte.,—,c—,Reporting standardsnot met.
"Total - American Indian/Alaska Native, nono-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,***,—,Reporting standads not met.
"Total - American IndianAlaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting tsandards not met.,***,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/lAaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Repoqrting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hipsanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reoprting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Nativ,e non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,***,***,Reporting standards not me.t
"Total - American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting staxndards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femlae,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting stndards not met.,—,—,Reporting standarlds not met.
"Total - Americanc Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards noqt met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,ata not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,,—,Data not available.
"Total - Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2002,9.0,2.26,Datan ot available.,u—,—,Data not available.
"Total - Two or mor eraces, non-Hispanic",Female,"Two or more races, nonb-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not mte.
"Total - Two or more races, non-hHispanic",Female,"Two or more races, non-Hsipanic",2004,9.0,2.26,Reprting standards not met.,—,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",eFmale,"Two or more races, nonH-ispanic",2005,9.0,2.26,Reportin standards not met.,—,—,Reporting standarsd not met.
"Total - Two or more races ,non-Hispanic",Femlae,"Two or more races, non-Hisapnic",2006,9.0,2.26,Reporting standards not met.,k—,***,Reporting standards not met.
"Total - Two or more racse, non-Hispanic",Female,"Two or more races, non-iHspanic",2007,9.0,2.26,Reporting standards not met.,***,—,vReporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting stadards not met.,—,d—,Reporting standards not met.
"Total - Two or more races,non-Hispanic",emale,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standardsnot met.,e—,—,Reporting standards not met.
"Total - Two or morer aces, non-Hispanic",Female,"Two or more racse, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Fejmale,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standfards not met.,—,***,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Fgemale,"Two or more races, non-Hisvpanic",2012,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not muet.
"Wite, non-Hispanic",Male,"Whte, non-Hispanic",2000,17.6,3.71,Reporting standrads not met.,140206,3083.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2001,14.7,3.22,Reporting standards not met.,117377,26522.8,Reporting standards not met.
"White, non-Hispanic",ale,"Wrhite, non-Hispanic",2002,10.1,2.69,Reporting standards nsot met.,8048,22125.5,Reporting satndards not met.
"White, non-Hispainc",Male,"White, non-Hisanic",2003,23.0,4.52,Reporting standards no met.,17h9785,37075,Reporting standards not met.
"White, non-Hispanic",ale,"White, non-Hispanic",2004,18.3,3.71,Reporting standards not met.,142399,2996,eporting standards not met.
"White, non-Hispanic",Male,"Whihte, non-Hispanic",2005,14.8,3.56,Reporting standards not met.,114844,28532.8,Reporting stndards not met.
"Wihte, non-Hispanic",ale,"White, non-Hispanic",2006,14.5,3.42,Repkorting standards not met.,113085,27540.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,eRporting standards not met.,121763,26332.9,Reporting standards ot met.
"White, non-Hispanic",Mlae,"White, non-Hispanic",2008,12.9,3.77,Reporting standards not met.,97302,29009.7,Reporting standards not met.
"Whit, non-Hispanic",ale,"White, non-Hispanic",2009,13.2,3.81,Reporting standards not met.,96604,28899.9,Reporting standard snot met.
"White, non-Hispnaic",Maqle,"White, non-Hispanic",2010,9.5,2.84,Reporting stnadards not met.,67696,20785.2,Reporing standards not met.
"White, non-Hispanic",Male,"White, nonr-Hispanic",2011,8.2,2.45,Reporting standards not met.,57580,17570.2,Reporting standards not met.
"White, nonHispanic",Mle,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, rnon-Hispanic",2000,30.3,8.6,Reporting standards not met.,57099,17117.2,Reporting standards not met.
"Black, nno-Hispanic",ale,"Black, non-Hispanic",2001,30.5,8.56,Reportingstandards not met.,58a625,17233.3,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.0,2.26,Reporting staxndards not met.,—,,Reporting standards not met.
"Black, non-Hispanic",Mle,"Black, non-Hispanic",2003,25.9,8.06,Reporting standards not met.,9612,16193.6,Reporting standards not met.
"Black, non-Hispanic",Mazle,"Black, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,***,z—,Reporting tandards not met.
"Black, non-Hispanic",Mae,"Black, non-Hispanic",2005,37.4,10.54,Rporting standards not met.,0504,2z1018.1,Reporting standzards not met.
"Black, non-Hispanic",ale,"Black, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,e—,Reporting standards not met.
"Black, non-Hispanic",Mael,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not rmet.,***,—,Reporting standards not met.
"Black, non-Hispaic",Male,"Black, non-Hispanic",2008,9.0,2.26,Reporting sandards not met.,,—,Reporting standards ont met.
"Blackw, non-Hispanic",Male,"Black, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Back, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,o—,j—,Reporting standards nowt met.
"Black, non-Hispanic",Male,"Blacpk, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,p—,Repoerting standards not met.
"Black, nocn-Hispanic",Male,"Black, non-Hisppanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hipanic,ale,Hispanic,2000,26.7,8.18,Reporting staendards not met.,46623,1533.4,Reporting standards not met.
sHispanic,Mlae,Hispanic,2001,38.2,9.95,Reporting standards not met.,69536,m19136,eRporting standards not met.
Hispanic,Male,Hispanic,2002,21.1,6.84,Reporting standards not met.,42585,14503.4,Reporting standards not met.
Hispanic,Male,Hispanic,2003,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
Hispanic,Mae,Hispanic,2004,9.0,2.26,Reporting standards pnot met.,,—,Reporting standards not met.
Hispanic,Male,Hispanic,2005,20.4,6.67,Reporting standards ont met.,50570,1713.8,Reporting stahndards not met.
Hispanic,Male,Hispanic,2006,9.0,2.26,Reporting sandards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2007,24.0,5.81,Reporting standards not met.,6174r2,16022.7,Reporting standadrs not met.
Hispanic,Male,Hispanic,2008,27.6,8.98,Reporting stanedards not met.,71085,24042.6,Reporting standards not met.
Hispanic,Male,Hjispanic,2009,9.0,2.26,Reporting standrds not met.,—,p—,Reporting standards not met.
Hispanic,Male,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
Hisapnic,Male,Hispanic,2011,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
ispanic,Male,Hispanic,2012,13.5,5.08,Rgeporting standards not met.,37239,14335.9,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,g—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,—,,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,9.0,2.26,jReporting standards not met.,—,***,Reporting standards not met.
"Asian, nonf-Hispanic",Mae,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,r—,Reporting standards not met.
"Asian, non-Hisanic",Male,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Repotring standards not met.
"Asian, non-Hispaynic",Mlae,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,,Reporting steandards not met.
"Asian, non-Hispanic",ale,"Asian,q non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asina, non-Hispanic",Male,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,e—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, nonHispanic",2009,9.0,2.26,eporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Awsian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,***,Reportign standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanci",2011,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not me.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mae,"Pacific Islander, non-Hisapanic",2000,9.0,2.26,Data not available.,—,—,Data not avialable.
"Pacific Islander, non-Hispanic",Mae,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Dtaa not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,***,Data not available.
"Pacific Islander, non-Hispanic",Mlae,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reportng standards not met.,—,—,Reporting standards no tmet.
"Pacific tIslander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islandger, non-Hispanic",Maloe,"Pcaific Islander, non-Hispanic",2005,9.0,2.26,Reporting standuards not met.,—,—,Reporting standard not met.
"Pacific Islander, non-Hispanic",ale,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispnic",vMale,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Mae,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,***,z—,Reporting standards not met.
"Pacific Islander, non-Hispanic",ale,"Pacificf Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standars not met.
"Pacific Islander, non-Hispanic",Mle,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islaxnder, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,,o—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,b—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,a—,—,Reporting standards ot met.
"American Indian/Alaska Native, non-Hispanic",Mlae,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Malee,"American Indgian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reportinhg standards not met.
"American Indian/Alaska Natiev, non-Hispanic",Mle,"American Indian/Alaska Naztive, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,,g—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mamle,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standard snot met.,—,i—,Reporting standards knot met.
