object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
27.0,696554.0,2020/04/27 03:59:59+00,BUNGALOW JOES BAR & GRILL,7813 BEULAH CHURCH RD,40228.0,2020/04/28 03:59:59+00,7,FIELD
28.0,696591.0,2020/04/27 03:59:59+00,EL TARASCO #1,5425 NEW CUT RD,40215.0,2020/04/29 03:59:59+00,7,FIELD
29.0,696645.0,2020/04/28 03:59:59+00,KENTUCKY TOWERS,430 W MUHAMMAD ALI BLVD,40202.0,2020/04/29 03:59:59+00,7,FIELD
30.0,696793.0,2020/04/29 03:59:59+00,NORTON WOMENS CARE,"4123 DUTCHMANS LANE, STE 300",40207.0,2020/04/30 03:59:59+00,7,FIELD
31.0,696834.0,2020/04/30 03:59:59+00,JIM DANDY BEAUTY & HAIR,4838 POPLAR LEVEL RD,40213.0,2020/04/30 03:59:59+00,7,FIELD
32.0,696919.0,2020/04/30 03:59:59+00,WALMART #3294,7101 CEDAR SPRINGS BLVD,40291.0,2020/05/02 03:59:59+00,7,FIELD
33.0,697045.0,2020/05/04 03:59:59+00,HOLY TRINITY SCHOOL,423 CHERRYWOOD RD,40207.0,2020/05/06 03:59:59+00,7,FIELD
34.0,697120.0,2020/05/05 03:59:59+00,REYNOLDS WRAP CENTER,3041 WILSON AVE,40211.0,2020/05/07 03:59:59+00,7,FIELD
35.0,697124.0,2020/05/05 03:59:59+00,KENTUCKY TOWERS,430 W MUHAMMAD ALI BLVD,40202.0,2020/05/06 03:59:59+00,7,FIELD
36.0,697158.0,2020/05/05 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/06 03:59:59+00,7,FIELD
37.0,697278.0,2020/05/06 03:59:59+00,SUPERIOR MEATS INC,1900 W MAIN ST,40203.0,2020/05/07 03:59:59+00,7,FIELD
38.0,697411.0,2020/05/11 03:59:59+00,TELEPERFORMANCE,9721 ORMSBY STATION RD,40223.0,2020/05/11 03:59:59+00,7,FIELD
39.0,697480.0,2020/05/12 03:59:59+00,SONDEX INC USA,7040 INTERNATIONAL DR,40258.0,2020/05/14 03:59:59+00,7,FIELD
40.0,697484.0,2020/05/06 03:59:59+00,APARTMENT COMPLEX,900 CECIL AVE,40211.0,2020/05/11 03:59:59+00,7,FIELD
41.0,697770.0,2020/05/15 03:59:59+00,IROQUOIS COIN LAUNDRY,5337 MITSCHER AVE,40214.0,2020/05/15 03:59:59+00,7,FIELD
42.0,698034.0,2020/05/20 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
43.0,698079.0,2020/05/20 03:59:59+00,MESA FOODS,3701 W MAGNOLIA AVE,40211.0,2020/05/22 03:59:59+00,7,FIELD
44.0,698200.0,2020/05/22 03:59:59+00,MARCONE SUPPLY,3781 NEWBURG RD,40218.0,2020/05/27 03:59:59+00,7,FIELD
45.0,698225.0,2020/05/22 03:59:59+00,ALDI #39,4305 BARDSTOWN RD,40218.0,2020/05/26 03:59:59+00,7,FIELD
46.0,698281.0,2020/05/26 03:59:59+00,THORNTONS #54,4154 BARDSTOWN RD,40218.0,2020/05/28 03:59:59+00,7,FIELD
47.0,698346.0,2020/05/26 03:59:59+00,SAM'S CLUB #8111,1401 ALLIANT AVE,40299.0,2020/05/28 03:59:59+00,7,FIELD
48.0,698385.0,2020/05/27 03:59:59+00,TARGET PIZZA HUT EXPRESS,7311 JEFFERSON BLVD,40219.0,2020/06/02 03:59:59+00,7,FIELD
49.0,698475.0,2020/05/28 03:59:59+00,SONIC DRIVE-IN,8600 AMBROSSE LN,40299.0,2020/05/28 03:59:59+00,7,FIELD
50.0,698482.0,2020/05/28 03:59:59+00,TARGET T-1479,3600 MALL RD,40218.0,2020/05/29 03:59:59+00,7,FIELD
51.0,697930.0,2020/05/18 03:59:59+00,DOLLAR TREE,2815 W BROADWAY,40211.0,2020/05/19 03:59:59+00,7,FIELD
52.0,698222.0,2020/05/22 03:59:59+00,ARBY'S #194,5022 S 3RD ST,40214.0,2020/05/28 03:59:59+00,7,FIELD
53.0,698230.0,2020/05/25 03:59:59+00,SAVE-A-LOT,2626 PORTLAND AVE,40212.0,2020/05/27 03:59:59+00,7,FIELD
54.0,698355.0,2020/05/26 03:59:59+00,CASH SAVER,501 MT HOLLY RD,40118.0,2020/06/02 03:59:59+00,7,FIELD
55.0,698405.0,2020/05/27 03:59:59+00,INTERNATIONAL MOULDING,11400 WATTERSON TRAIL,40299.0,2020/05/28 03:59:59+00,7,FIELD
56.0,698656.0,2020/06/01 03:59:59+00,SPEEDWAY #9701,8510 NATIONAL TURNPIKE,40118.0,2020/06/04 03:59:59+00,7,FIELD
57.0,698875.0,2020/06/04 03:59:59+00,DOLLAR GENERAL #9448,5501 CLEARWATER FARM BLVD,40219.0,2020/06/29 03:59:59+00,7,FIELD
58.0,699024.0,2020/06/09 03:59:59+00,WOODS OF ST THOMAS CLUB,6701 FALLEN LEAF CIR,40241.0,2020/06/12 03:59:59+00,7,FIELD
59.0,699382.0,2020/06/16 03:59:59+00,COMPLETE TRANSFER,13120 AIKEN RD,40223.0,2020/06/19 03:59:59+00,7,FIELD
60.0,699788.0,2020/06/23 03:59:59+00,WALMART #5418,2020 BASHFORD MANOR LN,40218.0,2020/06/24 03:59:59+00,7,FIELD
61.0,700434.0,2020/07/01 03:59:59+00,ALGONQUIN PARK,1614 CYPRESS ST,40210.0,2020/07/02 03:59:59+00,7,FIELD
62.0,700472.0,2020/07/02 03:59:59+00,BEARNO'S BY THE BAY,5801 RIVER RD,40207.0,2020/07/02 03:59:59+00,7,FIELD
63.0,700593.0,2020/07/03 03:59:59+00,TORO,10602 SHELBYVILLE RD,40223.0,2020/07/03 03:59:59+00,7,FIELD
64.0,700600.0,2020/07/04 03:59:59+00,CHEESECAKE FACTORY,5000 SHELBYVILLE RD,40207.0,2020/07/04 03:59:59+00,7,FIELD
65.0,700658.0,2020/07/07 03:59:59+00,CIRCLE K #4703311,2911 BARDSTOWN RD,40205.0,2020/07/09 03:59:59+00,7,FIELD
66.0,700737.0,2020/07/08 03:59:59+00,O'CHARLEY'S,962 BRECKENRIDGE LN,40207.0,2020/07/08 03:59:59+00,7,FIELD
67.0,701061.0,2020/07/11 03:59:59+00,HOBBY LOBBY,7500 JEFFERSON BLVD,40219.0,2020/07/30 03:59:59+00,7,FIELD
68.0,701078.0,2020/07/13 03:59:59+00,KINGFISH #2,3021 UPPER RIVER RD,40207.0,2020/07/15 03:59:59+00,7,FIELD
69.0,693552.0,2020/03/25 03:59:59+00,VON SUBS,1614 DIXIE HWY,40210.0,2020/05/13 03:59:59+00,7,FIELD
70.0,694110.0,2020/03/30 03:59:59+00,TOWN AND COUNTRY FORD,6015 PRESTON HWY,40219.0,2020/03/31 03:59:59+00,7,FIELD
71.0,694161.0,2020/03/31 03:59:59+00,RENT TO OWN FURNITURE,5717 PRESTON HWY,40219.0,2020/04/01 03:59:59+00,7,FIELD
72.0,694293.0,2020/04/01 03:59:59+00,JIM DANDY,4838 POPLAR LEVEL,40213.0,2020/04/03 03:59:59+00,7,FIELD
73.0,694806.0,2020/04/07 03:59:59+00,IROQUOIS VFW POST #6182,992 LONGFIELD AVE,40215.0,2020/04/15 03:59:59+00,7,FIELD
74.0,695514.0,2020/04/14 03:59:59+00,FAMILY CARE CHIROPRACTIC,5712 BARDSTOWN ROAD,40291.0,2020/04/15 03:59:59+00,7,FIELD
75.0,695689.0,2020/04/16 03:59:59+00,KROGER L-356,12501 SHELBYVILLE RD,40243.0,2020/04/16 03:59:59+00,7,FIELD
76.0,695743.0,2020/04/10 03:59:59+00,SENECA PARK,3151 PEE WEE REESE RD,40207.0,2020/04/13 03:59:59+00,7,FIELD
77.0,695834.0,2020/04/17 03:59:59+00,KEARNEY MOTORSPORTS,5705 BARDSTOWN RD,40291.0,2020/04/17 03:59:59+00,7,FIELD
78.0,695977.0,2020/04/20 03:59:59+00,RENTMART,1318 BERRY BLVD,40215.0,2020/04/20 03:59:59+00,7,FIELD
79.0,696006.0,2020/04/20 03:59:59+00,TEXAS ROADHOUSE,3322 OUTER LOOP,40219.0,2020/04/21 03:59:59+00,7,FIELD
80.0,696037.0,2020/04/20 03:59:59+00,O'CHARLEY'S,4404 DIXIE HWY,40216.0,2020/04/22 03:59:59+00,7,FIELD
81.0,696049.0,2020/04/20 03:59:59+00,RESIDENCE,10617 NATIONAL TPKE,40118.0,2020/04/22 03:59:59+00,7,FIELD
82.0,696067.0,2020/04/20 03:59:59+00,E&R NAILS,"7813 BEULAH CHURCH ROAD, UNIT 105",40228.0,2020/04/21 03:59:59+00,7,FIELD
83.0,696149.0,2020/04/20 03:59:59+00,BUILDING,236 E KENTUCKY ST UNIT 101,40203.0,2020/04/21 03:59:59+00,7,FIELD
84.0,696153.0,2020/04/20 03:59:59+00,RESIDENT,9013 SPRUCE TREE PL,40242.0,2020/04/21 03:59:59+00,7,FIELD
85.0,696247.0,2020/04/20 03:59:59+00,VFW,6518 BLEVINS GAP RD,40272.0,2020/04/22 03:59:59+00,7,FIELD
86.0,696397.0,2020/04/24 03:59:59+00,VACANT BUILDING,5601 BARDSTOWN RD,40291.0,2019/04/25 03:59:59+00,7,FIELD
87.0,696444.0,2020/04/26 03:59:59+00,FIRST LADY NAILS,801 EASTERN PARKWAY,40217.0,2020/05/03 03:59:59+00,7,FIELD
88.0,697022.0,2020/05/04 03:59:59+00,PARKWAY PRODUCE,2601 PRESTON HWY,40217.0,2020/05/05 03:59:59+00,7,FIELD
89.0,697080.0,2020/04/30 03:59:59+00,RESIDENCE,2233 DUNCAN ST,40212.0,2020/05/01 03:59:59+00,7,FIELD
90.0,697118.0,2020/05/05 03:59:59+00,MEIJER #160,4500 S HURSTBOURNE PKWY,40299.0,2020/05/05 03:59:59+00,7,FIELD
91.0,697157.0,2020/04/29 03:59:59+00,RESIDENCE,110 STATE ST,40206.0,2020/05/05 03:59:59+00,7,FIELD
92.0,697160.0,2020/05/04 03:59:59+00,RESIDENCE,14200 ACADEMY RIDGE BLVD,40245.0,2020/05/05 03:59:59+00,7,FIELD
93.0,697279.0,2020/05/07 03:59:59+00,HEUSER HEARING INSTITUTE,117 E KENTUCKY ST,40203.0,2020/05/09 03:59:59+00,7,FIELD
94.0,697355.0,2020/05/08 03:59:59+00,"BLAIRWOOD TENNIS, SWIM & FITNESS CLUB",9300 BLAIRWOOD RD,40222.0,2020/05/13 03:59:59+00,7,FIELD
95.0,697428.0,2020/05/11 03:59:59+00,FRISCH'S BIG BOY #153,1710 LINCOLN AVE,40213.0,2020/05/12 03:59:59+00,7,FIELD
96.0,697585.0,2020/05/12 03:59:59+00,DOLLAR TREE #1898,4060 TAYLORSVILLE RD,40220.0,2020/05/14 03:59:59+00,7,FIELD
97.0,697958.0,2020/05/19 03:59:59+00,BANDIDO'S TAQUERIA MEXICANA,423 UNIVERSITY BLVD,40217.0,2020/05/28 03:59:59+00,7,FIELD
98.0,697986.0,2020/05/19 03:59:59+00,LOWES,9800 PRESTON CROSSINGS BLVD,40229.0,2020/05/20 03:59:59+00,7,FIELD
99.0,698103.0,2020/05/20 03:59:59+00,PUBLIC HOUSE,1576 BARDSTOWN RD,40205.0,2020/05/22 03:59:59+00,7,FIELD
100.0,698105.0,2020/05/20 03:59:59+00,PARKWAY PRODUCE,2601 PRESTON HWY,40217.0,2020/05/21 03:59:59+00,7,FIELD
101.0,697317.0,2020/05/07 03:59:59+00,KROGER L-327,2710 W BROADWAY,40211.0,2020/05/08 03:59:59+00,7,FIELD
102.0,697459.0,2020/05/11 03:59:59+00,HIGHLANDS HEALTH & REHAB CNTR,1705 STEVENS AVE,40205.0,2020/05/12 03:59:59+00,7,FIELD
103.0,697493.0,2020/05/11 03:59:59+00,MARCONE APPLIANCE CENTER,3781 NEWBURG ROAD,40218.0,2020/05/13 03:59:59+00,7,FIELD
104.0,697509.0,2020/05/06 03:59:59+00,MOTORCYCLE CLUB,620 S 24TH ST,40211.0,2020/05/11 03:59:59+00,7,FIELD
105.0,697678.0,2020/05/13 03:59:59+00,WITTY'S PARTY SUPPLY,3412 FRANKFORT AVENUE,40207.0,2020/05/15 03:59:59+00,7,FIELD
106.0,697723.0,2020/05/14 03:59:59+00,DANFOSS SONDEX HEAT EXCHANGERS,7000 INTERNATIONAL DR,40258.0,2020/05/15 03:59:59+00,7,FIELD
107.0,697811.0,2020/05/15 03:59:59+00,MOLLY MAIDS,1829 PLANTSIDE DR,40299.0,2020/05/19 03:59:59+00,7,FIELD
108.0,697870.0,2020/05/18 03:59:59+00,ELEVEN OAKS,5546 INDIAN OAKS CIRCLE,40219.0,2020/05/20 03:59:59+00,7,FIELD
109.0,697953.0,2020/05/18 03:59:59+00,TUESDAY MORNING,9240 WESTPORT ROAD,40242.0,2020/05/20 03:59:59+00,7,FIELD
110.0,698738.0,2020/06/01 03:59:59+00,TACO LUCHADOR,938 BAXTER AVE,40204.0,2020/06/04 03:59:59+00,7,FIELD
111.0,698873.0,2020/06/03 03:59:59+00,SUBWAY,1229 GOSS AVE,40217.0,2020/06/05 03:59:59+00,7,FIELD
112.0,698992.0,2020/06/08 03:59:59+00,CASH SAVER,501 MT HOLLY RD,40118.0,2020/06/22 03:59:59+00,7,FIELD
113.0,698996.0,2020/06/08 03:59:59+00,WAFFLE HOUSE #1887,10563 DIXIE HWY,40272.0,2020/06/10 03:59:59+00,7,FIELD
114.0,699345.0,2020/06/15 03:59:59+00,GREAT CLIPS,6411 DUTCHMANS PKWY,40205.0,2020/06/17 03:59:59+00,7,FIELD
115.0,699657.0,2020/06/20 03:59:59+00,BUTCHERS BEST MEATS & DELI,9521 US HWY 42,40059.0,2020/06/22 03:59:59+00,7,FIELD
116.0,699689.0,2020/06/22 03:59:59+00,HARD LIFE TATTOOS,962 BAXTER AVE STE B,40204.0,2020/06/23 03:59:59+00,7,FIELD
117.0,700287.0,2020/06/29 03:59:59+00,BAXTER JACKS,427 BAXTER AVE,40204.0,2020/07/08 03:59:59+00,7,FIELD
118.0,700363.0,2020/06/30 03:59:59+00,COVER ALL CAFE,5001 STEPHAN DR,40258.0,2020/07/01 03:59:59+00,7,FIELD
119.0,700597.0,2020/07/03 03:59:59+00,MARTINI ITALIAN BISTRO,4021 SUMMIT PLAZA DR,40241.0,2020/07/03 03:59:59+00,7,FIELD
120.0,700777.0,2020/07/04 03:59:59+00,LONGHORN STEAKHOUSE,4813 OUTER LOOP,40219.0,2020/07/04 03:59:59+00,7,FIELD
121.0,700829.0,2020/07/09 03:59:59+00,DENNY'S,434 EASTERN PKWY,40217.0,2020/07/13 03:59:59+00,7,FIELD
122.0,701251.0,2020/07/14 03:59:59+00,PANDA EXPRESS #2515,13311 SHELBYVILLE RD,40223.0,2020/07/15 03:59:59+00,7,FIELD
123.0,701365.0,2020/07/03 03:59:59+00,GRAVELY BREWING COMPANY,514 BAXTER AVE,40204.0,2020/07/03 03:59:59+00,7,FIELD
124.0,701379.0,2020/07/16 03:59:59+00,MISS KAY'S HAIR STUDIO,2407 S SHELBY ST,40208.0,2020/07/17 03:59:59+00,7,FIELD
125.0,701465.0,2020/07/16 03:59:59+00,DAIRY QUEEN,11699 DIXIE HWY,40272.0,2020/07/20 03:59:59+00,7,FIELD
126.0,701672.0,2020/07/17 03:59:59+00,WHITE CASTLE #19,7400 DIXIE HWY,40258.0,2020/07/21 03:59:59+00,7,FIELD
127.0,701823.0,2020/07/20 03:59:59+00,MEIJER #162,9905 DIXIE HWY,40272.0,2020/07/22 03:59:59+00,7,FIELD
128.0,693538.0,2020/03/25 03:59:59+00,ALAN WAR HOOKAH BAR,6709 STRAWBERRY LN,40214.0,2020/03/27 03:59:59+00,7,FIELD
129.0,694331.0,2020/03/30 03:59:59+00,PANHANDLER,2415 LEXINGTON RD,40206.0,2020/03/31 03:59:59+00,7,FIELD
130.0,694816.0,2020/04/07 03:59:59+00,DCL LOGISTICS,6825 ENTERPRISE DRD,40214.0,2020/04/20 03:59:59+00,7,FIELD
131.0,695227.0,2020/04/10 03:59:59+00,MASSEY BOOKKEEPING,7562 DIXIE HIGHWAY,40258.0,2020/04/15 03:59:59+00,7,FIELD
132.0,695506.0,2020/04/01 03:59:59+00,UNKNOWN,4203 GARVEY COURT,40216.0,2020/04/10 03:59:59+00,7,FIELD
133.0,695508.0,2020/04/01 03:59:59+00,UNKNOWN,513 FORUM AVENUE,40214.0,2020/04/10 03:59:59+00,7,FIELD
134.0,695619.0,2020/04/15 03:59:59+00,KENTUCKY REALTY,9804 WHIPPS MILL ROAD,40223.0,2020/04/16 03:59:59+00,7,FIELD
135.0,695664.0,2020/04/15 03:59:59+00,DILLARDS,5000 SHELBYVILLE ROAD,40207.0,2020/04/17 03:59:59+00,7,FIELD
136.0,695752.0,2020/04/06 03:59:59+00,RESIDENT,9311 OLD 3RD ST,40272.0,2020/04/15 03:59:59+00,7,FIELD
137.0,695817.0,2020/04/16 03:59:59+00,PASS TIME FISH HOUSE & TAVERN,10801 LOCUST DR,40299.0,2020/04/17 03:59:59+00,7,FIELD
138.0,695897.0,2020/04/17 03:59:59+00,GUESS INC,10610 FREEPORT DR,40258.0,2020/04/18 03:59:59+00,7,FIELD
139.0,695907.0,2020/04/17 03:59:59+00,JTOWN BEACH,10315 WATTERSON TRAIL,40299.0,2020/04/21 03:59:59+00,7,FIELD
140.0,695907.0,2020/04/17 03:59:59+00,JTOWN BEACH,10315 WATTERSON TRAIL,40299.0,2020/04/23 03:59:59+00,7,FIELD
141.0,695914.0,2020/04/16 03:59:59+00,BRAKEAWAY,5206 DIXIE HWY,40216.0,2020/04/20 03:59:59+00,7,FIELD
142.0,695921.0,2020/04/15 03:59:59+00,RESIDENT,1692 HAROLD AVE,40210.0,2020/04/16 03:59:59+00,7,FIELD
143.0,695983.0,2020/04/20 03:59:59+00,DOLLAR GENERAL #17104,9267 SMYRNA PKWY,40229.0,2020/04/21 03:59:59+00,7,FIELD
144.0,696003.0,2020/04/20 03:59:59+00,THORNTONS #28,100 W BROADWAY,40202.0,2020/04/21 03:59:59+00,7,FIELD
145.0,696014.0,2020/04/20 03:59:59+00,JEFFERSONTOWN HARDWARE,10513 WATTERSON TRAIL,40299.0,2020/04/20 03:59:59+00,7,FIELD
146.0,696134.0,2020/04/21 03:59:59+00,ALLIES MUTT HUTT,830 BROOKLINE AVENUE,40215.0,2020/04/21 03:59:59+00,7,FIELD
147.0,696138.0,2020/04/20 03:59:59+00,RESIDENT,1021 REEVES RD,40219.0,2020/04/21 03:59:59+00,7,FIELD
148.0,696282.0,2020/04/22 03:59:59+00,FOOD TRUCK,538 E ORMSBY AVE,40203.0,2020/04/25 03:59:59+00,7,FIELD
149.0,696486.0,2020/04/22 03:59:59+00,RESIDENCE,6707 CAROLYN RD,40214.0,2020/04/27 03:59:59+00,7,FIELD
150.0,696515.0,2020/04/27 03:59:59+00,VINTAGE PRINTING,967 S 11TH ST,40210.0,2020/05/07 03:59:59+00,7,FIELD
151.0,698507.0,2020/05/28 03:59:59+00,FORD,3001 CHAMBERLAIN LN,40241.0,2020/06/04 03:59:59+00,7,FIELD
152.0,698609.0,2020/05/29 03:59:59+00,LOWES,9800 PRESON CROSSING BLVD,40220.0,2020/06/12 03:59:59+00,7,FIELD
153.0,699030.0,2020/06/09 03:59:59+00,JERSEY MIKE'S,1983 S HURSTBOURNE PKWY,40223.0,2020/06/11 03:59:59+00,7,FIELD
154.0,699653.0,2020/06/20 03:59:59+00,TACO BELL,10701 DIXIE HWY,40272.0,2020/06/25 03:59:59+00,7,FIELD
155.0,699750.0,2020/06/23 03:59:59+00,PLANET FITNESS,3036 BARDSTOWN RD,40205.0,2020/07/08 03:59:59+00,7,FIELD
156.0,699786.0,2020/06/23 03:59:59+00,STABLE'S INN BARBER SHOP,9021 GALENE DR,40299.0,2020/07/07 03:59:59+00,7,FIELD
157.0,700335.0,2020/06/29 03:59:59+00,MCDONALD'S #1733,4445 CANE RUN RD,40216.0,2020/06/30 03:59:59+00,7,FIELD
158.0,700358.0,2020/06/30 03:59:59+00,LIMESTONE BAY CLUB,5801 RIVER RD,40059.0,2020/06/30 03:59:59+00,7,FIELD
159.0,700466.0,2020/07/02 03:59:59+00,BIG SPRING COUNTRY CLUB INC,5901 DUTCHMANS LN,40205.0,2020/07/03 03:59:59+00,7,FIELD
160.0,700594.0,2020/07/03 03:59:59+00,TEXAS ROADHOUSE,13321 SHELBYVILLE RD,40223.0,2020/07/03 03:59:59+00,7,FIELD
161.0,700603.0,2020/07/04 03:59:59+00,TACO LUCHADOR,112 MERIDIAN AVE,40207.0,2020/07/04 03:59:59+00,7,FIELD
162.0,700729.0,2020/07/08 03:59:59+00,FORD,2000 FERN VALLEY RD,40219.0,2020/07/15 03:59:59+00,7,FIELD
163.0,700734.0,2020/07/08 03:59:59+00,VIRTUE,103 W OAK ST,40202.0,2020/07/09 03:59:59+00,7,FIELD
164.0,693552.0,2020/03/25 03:59:59+00,VON SUBS,1614 DIXIE HWY,40210.0,2020/04/22 03:59:59+00,7,FIELD
165.0,693739.0,2020/03/26 03:59:59+00,REYNOLDS CONSUMER PRODUCTS,2827 HALE AVE,40211.0,2020/03/30 03:59:59+00,7,FIELD
166.0,694531.0,2020/04/02 03:59:59+00,XTREME AUTO SOUNDS,3919 BARDSTOWN RD,40218.0,2020/04/06 03:59:59+00,7,FIELD
167.0,694959.0,2020/04/03 03:59:59+00,MOBILE HOME PARK,3510 BLUEGRASS PARK DR,40218.0,2020/04/07 03:59:59+00,7,FIELD
168.0,695025.0,2020/04/08 03:59:59+00,THE RE-TAIL THRIFT SHOP,10519 WATTERSON TRL,40299.0,2020/04/10 03:59:59+00,7,FIELD
169.0,695110.0,2020/04/08 03:59:59+00,LITTLE CAESARS,3121 S 2ND ST,40208.0,2020/05/09 03:59:59+00,7,FIELD
170.0,695281.0,2020/04/10 03:59:59+00,SHIVELY ANIMAL CLINIC & HOSPITAL,2401 DIXIE HWY,40216.0,2020/04/13 03:59:59+00,7,FIELD
171.0,695430.0,2020/04/13 03:59:59+00,UNKNOWN,1276 WESTLYNNE WAY,40222.0,2020/04/14 03:59:59+00,7,FIELD
172.0,695490.0,2020/04/06 03:59:59+00,UNKNOWN,3206 ORCHARD MANOR CIRCLE,40220.0,2020/04/10 03:59:59+00,7,FIELD
173.0,695721.0,2020/04/16 03:59:59+00,SONIC DRIVE-IN,8600 AMBROSSE LN,40299.0,2020/04/17 03:59:59+00,7,FIELD
174.0,695736.0,2020/04/16 03:59:59+00,CENTERSTONE,600 S PRESTON ST,40202.0,2020/04/17 03:59:59+00,7,FIELD
175.0,695863.0,2020/04/17 03:59:59+00,LA POPULAR,2521 S 7TH ST,40208.0,2020/04/18 03:59:59+00,7,FIELD
176.0,695889.0,2020/04/17 03:59:59+00,BIG O TIRES,12614 DIXIE HWY,40272.0,2020/04/22 03:59:59+00,7,FIELD
177.0,696002.0,2020/04/20 03:59:59+00,SPEEDWAY #9714,4340 CANE RUN RD,40216.0,2020/04/20 03:59:59+00,7,FIELD
178.0,696047.0,2020/04/20 03:59:59+00,SHARP EDGE,11012 CEDAR CREEK RD,40229.0,2020/04/21 03:59:59+00,7,FIELD
179.0,696076.0,2020/04/20 03:59:59+00,CAM NAILS,5408 JOHNSONTOWN ROAD,40272.0,2020/04/21 03:59:59+00,7,FIELD
180.0,696102.0,2020/04/21 03:59:59+00,WALMART #5418,2020 BASHFORD MANOR LN,40218.0,2020/04/21 03:59:59+00,7,FIELD
181.0,696133.0,2020/04/20 03:59:59+00,RESIDENT,101 E JACOB ST,40202.0,2020/04/21 03:59:59+00,7,FIELD
