488.object_id,545.0,488
2518.address_one,805 BLANKENBAKER PKWY,1805 BLANKENBAKER PKWY
617.object_id,26.0,617
2261.address_one,9625 PRESTON CROSSINxG BLVD,9625 PRESTON CROSSING BLVD
422.reqid,694829.0,700067
4488.zip,40314.0,40222.0
1177.request_date,2002/05/06 03:59:59+00,2020/05/06 03:59:59+00
603.object_id,26.0,603
96.object_id,19.0,96
269.object_id,15.0,269
633.object_id,222.0,633
964.object_id,4.0,964
423.reqid,695082.0,700274
70.reqid,695525.0,694110
4677.personpremise,FIBRWORKS,FIBERWORKS
612.object_id,58.0,612
97.object_id,9.0,97
2994.personpremise,FOOD TRUKCS,FOOD TRUCKS
776.object_id,3.0,776
525.object_id,9.0,525
1034.object_id,6.0,1034
3115.zip,40264.0,40216.0
734.reqid,697480.0,696340
76.object_id,6.0,76
509.object_id,3.0,509
998.object_id,8.0,998
523.object_id,1.0,523
141.object_id,20.0,141
767.reqid,695019.0,697360
560.object_id,8.0,560
695.object_id,17.0,695
198.object_id,2.0,198
853.personpremise,LITTLE CAESARS***,LITTLE CAESARS
449.object_id,7.0,449
441.reqid,694505.0,701420
122.object_id,11.0,122
409.object_id,21.0,409
98.reqid,697045.0,697986
90.object_id,26.0,90
489.reqid,695464.0,694419
841.object_id,1.0,841
588.object_id,5.0,588
773.object_id,93.0,773
262.object_id,8.0,262
2810.request_date,2020/11/090 5:00:00+00,2020/11/09 05:00:00+00
527.object_id,1.0,527
37.object_id,3.0,37
876.object_id,2.0,876
473.reqid,694957.0,699024
600.object_id,3.0,600
44.reqid,698656.0,698200
1074.object_id,7.0,1074
859.object_id,227.0,859
814.object_id,5.0,814
3045.address_one,5901 DUTCHMASN LN,5901 DUTCHMANS LN
844.reqid,696258.0,693465
940.object_id,7.0,940
143.object_id,2.0,143
265.object_id,34.0,265
74.object_id,35.0,74
1077.reqid,695544.0,701496
66.object_id,27.0,66
1082.object_id,100.0,1082
1071.object_id,17.0,1071
145.object_id,3.0,145
783.reqid,698346.0,700601
601.object_id,4.0,601
1579.request_date,2020/05/08 03:59:5l9+00,2020/05/08 03:59:59+00
628.object_id,2.0,628
235.object_id,19.0,235
3479.zip,40260.0,40241.0
568.object_id,11.0,568
4057.zip,40323.0,40299.0
99.object_id,78.0,99
42.reqid,695525.0,698034
2413.address_one,4413 CANE RUN D,4413 CANE RUN RD
186.object_id,8.0,186
1471.request_date,220/04/08 03:59:59+00,2020/04/08 03:59:59+00
3115.address_one,4041 DIXIE HY,4041 DIXIE HWY
611.object_id,8.0,611
552.object_id,1.0,552
893.object_id,3.0,893
1079.object_id,8.0,1079
932.object_id,21.0,932
4338.zip,40260.0,40217.0
104.object_id,5.0,104
512.object_id,11.0,512
170.reqid,694829.0,695281
974.object_id,34.0,974
529.object_id,34.0,529
668.object_id,3.0,668
397.object_id,5.0,397
458.object_id,3.0,458
248.object_id,9.0,248
866.object_id,4.0,866
379.reqid,693745.0,696601
376.object_id,27.0,376
970.object_id,4.0,970
956.reqid,696003.0,697993
3210.zip,40298.0,40218.0
478.object_id,19.0,478
868.object_id,26.0,868
665.object_id,26.0,665
932.reqid,694957.0,696835
853.object_id,26.0,853
1081.object_id,4.0,1081
492.object_id,19.0,492
967.object_id,21.0,967
3901.request_date,2020/04/17 0:59:59+00,2020/04/17 03:59:59+00
541.reqid,695201.0,696791
882.object_id,6.0,882
507.object_id,2.0,507
811.object_id,15.0,811
984.object_id,20.0,984
2848.zip,40352.0,40299.0
340.object_id,2.0,340
391.reqid,695464.0,697163
558.object_id,27.0,558
561.object_id,17.0,561
1699.zip,40243.0,40242.0
125.object_id,21.0,125
33.object_id,26.0,33
978.object_id,2.0,978
696.object_id,5.0,696
429.object_id,26.0,429
715.reqid,694502.0,694425
61.object_id,5.0,61
475.object_id,8.0,475
40.reqid,694829.0,697484
75.object_id,15.0,75
779.object_id,3.0,779
563.reqid,694957.0,695719
293.object_id,201.0,293
276.object_id,19.0,276
962.object_id,27.0,962
829.object_id,6.0,829
819.object_id,15.0,819
52.reqid,695019.0,698222
673.object_id,19.0,673
505.object_id,26.0,505
664.object_id,3.0,664
944.object_id,3.0,944
817.object_id,261.0,817
387.object_id,26.0,387
435.object_id,5.0,435
973.request_date,202006/09 03:59:59+00,2020/06/09 03:59:59+00
287.reqid,695019.0,700964
130.object_id,2.0,130
1777.zip,40252.0,40209.0
3399.zip,40257.0,40202.0
264.object_id,21.0,264
155.object_id,5.0,155
242.object_id,2.0,242
3108.address_one,807 E MARKETST,807 E MARKET ST
4683.personpremise,VWF POST 2921,VFW POST 2921
370.zip,40251.0,40220.0
85.reqid,694103.0,696247
3256.request_date,220/11/10 05:00:00+00,2020/11/10 05:00:00+00
1093.object_id,545.0,1093
4389.address_one,1618 LINCLON AVE,1618 LINCOLN AVE
607.reqid,694505.0,696793
571.object_id,1.0,571
2238.zip,40270.0,40217.0
1039.object_id,34.0,1039
567.reqid,693745.0,695904
855.object_id,3.0,855
808.reqid,696394.0,700345
539.object_id,4.0,539
178.object_id,5.0,178
706.object_id,9.0,706
388.object_id,5.0,388
444.object_id,1.0,444
2474.zip,40257.0,40216.0
634.object_id,6.0,634
749.object_id,15.0,749
3285.address_one,937 PHILLIPS NL,937 PHILLIPS LN
4389.personpremise,EXCELLENCE LEARoNING ACADEMY,EXCELLENCE LEARNING ACADEMY
12.object_id,4.0,12
943.reqid,696919.0,697969
840.object_id,17.0,840
1007.object_id,3.0,1007
312.object_id,4.0,312
1061.object_id,27.0,1061
469.reqid,694607.0,698471
1058.object_id,17.0,1058
4239.personpremise,NEPHROLOGY rASSOCIATES OF KENTUCKIANA PSC,NEPHROLOGY ASSOCIATES OF KENTUCKIANA PSC
234.object_id,17.0,234
540.object_id,15.0,540
252.object_id,8.0,252
1914.address_one,5201 INTERCHjANGE WAY,5201 INTERCHANGE WAY
890.reqid,694957.0,696267
18.object_id,7.0,18
370.personpremise,WENDuYS,WENDYS
123.object_id,83.0,123
806.reqid,697317.0,696338
395.reqid,695082.0,697488
4491.address_one,6523 BARDSTOWN dRD,6523 BARDSTOWN RD
457.object_id,17.0,457
2238.request_date,2020/01/06 03:59:59+00,2020/10/06 03:59:59+00
670.object_id,300.0,670
897.reqid,696153.0,700480
4111.zip,40227.0,40216.0
1045.object_id,4.0,1045
466.object_id,34.0,466
2828.address_one,1850 S HURSTOBURNE PKWY,1850 S HURSTBOURNE PKWY
301.object_id,7.0,301
3790.request_date,2020/04/13 03:5d9:59+00,2020/04/13 03:59:59+00
4031.address_one,3815 DIsXIE HWY,3815 DIXIE HWY
1550.zip,40289.0,40214.0
865.object_id,5.0,865
102.object_id,2.0,102
925.reqid,695019.0,694635
260.reqid,695082.0,697146
972.reqid,698225.0,700965
194.reqid,695277.0,696904
3335.address_one,9g125 GALENE DR,9125 GALENE DR
2203.request_date,2020/09/2 503:59:59+00,2020/09/25 03:59:59+00
406.object_id,6.0,406
724.object_id,11.0,724
135.object_id,19.0,135
551.object_id,2.0,551
4338.request_date,2u021/01/19 05:00:00+00,2021/01/19 05:00:00+00
281.object_id,57.0,281
424.object_id,20.0,424
47.object_id,27.0,47
342.reqid,695544.0,695651
708.reqid,696793.0,700459
1047.object_id,261.0,1047
92.reqid,694957.0,697160
976.object_id,323.0,976
237.object_id,2.0,237
108.object_id,9.0,108
333.reqid,697770.0,694656
500.object_id,21.0,500
30.object_id,17.0,30
283.object_id,201.0,283
485.object_id,4.0,485
40.object_id,11.0,40
2433.address_one,1925 GALENE DR,9125 GALENE DR
745.object_id,7.0,745
329.object_id,26.0,329
72.reqid,698281.0,694293
1050.object_id,15.0,1050
952.object_id,7.0,952
868.reqid,695525.0,696624
789.reqid,695787.0,701032
214.object_id,5.0,214
91.object_id,20.0,91
314.object_id,3.0,314
286.object_id,1.0,286
1790.request_date,2020/4/17 03:59:59+00,2020/04/17 03:59:59+00
468.reqid,694957.0,698380
289.object_id,15.0,289
861.object_id,260.0,861
374.reqid,696229.0,696277
327.object_id,26.0,327
638.object_id,7.0,638
755.object_id,8.0,755
363.zip,40232.0,40208.0
739.object_id,5.0,739
2802.zip,40237.0,40216.0
450.object_id,226.0,450
582.object_id,5.0,582
686.object_id,11.0,686
604.address_one,801 EASTERNP ARKWAY,801 EASTERN PARKWAY
1015.reqid,694829.0,695387
503.object_id,11.0,503
542.object_id,3.0,542
135.reqid,695740.0,695664
171.object_id,1.0,171
719.object_id,27.0,719
806.object_id,27.0,806
926.reqid,696310.0,695208
1096.object_id,226.0,1096
681.object_id,1.0,681
310.object_id,6.0,310
338.object_id,21.0,338
553.reqid,694957.0,694783
300.reqid,693745.0,695753
581.object_id,224.0,581
596.object_id,3.0,596
173.reqid,695082.0,695721
412.object_id,26.0,412
889.reqid,695544.0,697926
926.object_id,1.0,926
367.object_id,1.0,367
1056.object_id,545.0,1056
472.object_id,72.0,472
274.object_id,7.0,274
4491.personpremise,JETS PIZZ #007,JETS PIZZA #007
1087.object_id,863.0,1087
1630.zip,40307.0,40218.0
3479.address_one,10490 WESTPxORT RD,10490 WESTPORT RD
3210.address_one,900 PRODUCE RD,3900 PRODUCE RD
1914.personpremise,NATIONAL TOBCCO COMPANY,NATIONAL TOBACCO COMPANY
461.reqid,695987.0,697847
4120.address_one,6415 BARDSTcOWN RD,6415 BARDSTOWN RD
1066.object_id,11.0,1066
738.object_id,227.0,738
669.reqid,695201.0,701669
2137.address_one,10305 TAYLORSVILLE RoD,10305 TAYLORSVILLE RD
765.object_id,11.0,765
188.reqid,695464.0,696628
343.reqid,699788.0,695929
4520.address_one,r1670 S 17TH ST,1670 S 17TH ST
547.object_id,4.0,547
1003.zip,40272.0,40219.0
313.object_id,1.0,313
687.object_id,2.0,687
1083.object_id,128.0,1083
536.object_id,81.0,536
405.reqid,695169.0,697266
216.object_id,151.0,216
4338.address_one,1169 EASTERN PKWY  #231v13,1169 EASTERN PKWY  #23113
115.object_id,21.0,115
606.object_id,11.0,606
1116.request_date,2020/04/02 03:59:59+00***,2020/04/02 03:59:59+00
460.object_id,3.0,460
275.object_id,17.0,275
693.reqid,694502.0,696369
1021.reqid,694505.0,696970
413.object_id,34.0,413
838.reqid,696106.0,701124
474.object_id,19.0,474
869.object_id,21.0,869
292.reqid,694957.0,693396
524.reqid,696834.0,695732
3953.address_one,4041 DIXEI HWY,4041 DIXIE HWY
279.object_id,19.0,279
604.object_id,5.0,604
730.object_id,7.0,730
2929.personpremise,MAGIC  TOUCH SLON,MAGIC  TOUCH SALON
553.object_id,6.0,553
501.reqid,694607.0,696099
1089.object_id,323.0,1089
4653.zip,40271.0,40205.0
414.object_id,17.0,414
782.object_id,3.0,782
1056.reqid,694502.0,701244
1709.zip,40337.0,40299.0
4683.zip,40272.0,40216.0
834.object_id,15.0,834
731.object_id,5.0,731
368.reqid,694502.0,695860
53.reqid,696394.0,698230
635.object_id,8.0,635
748.reqid,695201.0,697789
1022.reqid,696067.0,697024
1401.personpremise,ALIGN YOUR SPINE CHIRORACTIC  STE B,ALIGN YOUR SPINE CHIROPRACTIC  STE B
126.object_id,11.0,126
255.reqid,694957.0,697034
246.object_id,15.0,246
105.object_id,34.0,105
620.reqid,695082.0,697985
349.reqid,694607.0,696560
951.reqid,695987.0,698115
674.object_id,17.0,674
772.object_id,72.0,772
44.object_id,8.0,44
3108.zip,40211.0,40206.0
604.zip,40276.0,40217.0
393.object_id,7.0,393
849.object_id,8.0,849
548.reqid,697120.0,697210
990.reqid,693745.0,696164
2106.zip,40245.0,40229.0
508.object_id,4.0,508
691.object_id,21.0,691
684.object_id,7.0,684
718.object_id,7.0,718
450.reqid,693745.0,695467
878.object_id,20.0,878
546.reqid,695019.0,697121
3546.address_one,1932 CAPMUS PL,1932 CAMPUS PL
87.object_id,5.0,87
247.object_id,7.0,247
431.reqid,696591.0,700972
2433.personpremise,J-TOW BINGO HALL,J-TOWN BINGO HALL
2995.personpremise,ANNIE'S PIZhZA,ANNIE'S PIZZA
111.reqid,694502.0,698873
3604.request_date,k2020/06/10 03:59:59+00,2020/06/10 03:59:59+00
737.reqid,694502.0,696499
542.reqid,695466.0,696792
417.object_id,5.0,417
168.object_id,7.0,168
255.object_id,7.0,255
270.reqid,696106.0,697874
218.object_id,2.0,218
273.reqid,696229.0,698288
3942.address_one,2100 BASHFORD MANO RLN,2100 BASHFORD MANOR LN
585.object_id,19.0,585
680.object_id,6.0,680
308.object_id,11.0,308
578.object_id,7.0,578
1016.object_id,34.0,1016
59.object_id,21.0,59
232.object_id,5.0,232
545.reqid,695385.0,697103
442.reqid,694957.0,696924
398.object_id,11.0,398
179.object_id,35.0,179
381.object_id,58.0,381
831.object_id,545.0,831
187.object_id,100.0,187
4652.zip,40302.0,40205.0
1076.object_id,3.0,1076
928.object_id,5.0,928
1021.object_id,3.0,1021
1716.request_date,2020/04/01 0:359:59+00,2020/04/01 03:59:59+00
94.reqid,694103.0,697355
149.object_id,7.0,149
901.object_id,83.0,901
199.object_id,1.0,199
1048.object_id,34.0,1048
531.reqid,695169.0,696074
817.reqid,695466.0,700822
2203.zip,40279.0,40216.0
150.object_id,3.0,150
764.object_id,34.0,764
453.object_id,3.0,453
372.object_id,8.0,372
2518.request_date,2020j/07/25 03:59:59+00,2020/07/25 03:59:59+00
3790.zip,40268.0,40203.0
190.object_id,5.0,190
610.object_id,3.0,610
768.reqid,700737.0,697717
2413.zip,40284.0,40216.0
134.object_id,9.0,134
464.object_id,2.0,464
975.object_id,4.0,975
894.object_id,27.0,894
251.reqid,694957.0,700824
358.object_id,19.0,358
3901.address_one,370r7 KLONDIKE LN,3707 KLONDIKE LN
780.reqid,695907.0,700277
803.object_id,15.0,803
2848.personpremise,J-TOWN BINGO HAlLL,J-TOWN BINGO HALL
482.object_id,11.0,482
1726.zip,40244.0,40214.0
2828.request_date,2020/7/14 03:59:59+00,2020/07/14 03:59:59+00
109.object_id,7.0,109
846.reqid,695544.0,699125
63.object_id,26.0,63
899.object_id,184.0,899
870.object_id,128.0,870
593.object_id,4.0,593
1036.object_id,333.0,1036
816.object_id,34.0,816
881.object_id,8.0,881
391.object_id,8.0,391
1040.object_id,3.0,1040
368.object_id,5.0,368
455.object_id,5.0,455
4435.zip,40399.0,40299.0
2566.zip,40358.0,40258.0
743.object_id,9.0,743
4491.request_date,2020/10/14 03:5:959+00,2020/10/14 03:59:59+00
2995.zip,40259.0,40212.0
219.object_id,203.0,219
717.object_id,20.0,717
515.zip,40272.0,40214.0
799.object_id,11.0,799
124.reqid,694829.0,701379
832.reqid,695987.0,701088
595.object_id,19.0,595
2566.request_date,202h0/11/06 05:00:00+00,2020/11/06 05:00:00+00
342.object_id,4.0,342
377.reqid,694502.0,696460
414.reqid,698996.0,698022
395.object_id,1.0,395
1018.object_id,20.0,1018
510.object_id,4.0,510
576.object_id,11.0,576
900.object_id,17.0,900
854.reqid,695019.0,695227
995.object_id,349.0,995
1000.object_id,8.0,1000
788.object_id,260.0,788
1032.object_id,15.0,1032
535.object_id,20.0,535
418.object_id,5.0,418
4719.address_one,740 0OUTER LOOP,7400 OUTER LOOP
804.object_id,8.0,804
94.object_id,72.0,94
1550.personpremise,ROSENBURG REEYS MEDICAL,ROSENBURG REYES MEDICAL
4386.address_one,2015 PRODUCTION DR,2105 PRODUCTION DR
86.object_id,5.0,86
672.reqid,695740.0,702010
596.reqid,697930.0,697918
594.object_id,19.0,594
3901.zip,40266.0,40218.0
127.object_id,15.0,127
3045.personpremise,BIG wSPRING MAIN KITCHEN,BIG SPRING MAIN KITCHEN
678.object_id,1.0,678
689.object_id,5.0,689
37.reqid,694607.0,697278
151.reqid,697480.0,698507
468.object_id,8.0,468
747.reqid,695169.0,697779
1037.reqid,695464.0,697935
347.reqid,696067.0,696374
200.reqid,698346.0,697263
231.object_id,151.0,231
1010.object_id,8.0,1010
759.object_id,11.0,759
994.reqid,694829.0,696440
1067.reqid,700600.0,700352
1061.reqid,697120.0,695970
2610.address_one,6523 BARDSTOWN DR,6523 BARDSTOWN RD
3546.personpremise,WRREN TECHNOLOGY INC,WARREN TECHNOLOGY INC
1038.object_id,27.0,1038
467.object_id,4.0,467
95.object_id,19.0,95
705.object_id,34.0,705
448.object_id,8.0,448
1020.object_id,17.0,1020
404.object_id,8.0,404
356.object_id,11.0,356
256.reqid,693745.0,697048
65.reqid,696153.0,700658
2915.request_date,2020/08/2 603:59:59+00,2020/08/26 03:59:59+00
4473.personpremise,LITTLE SMILSE LEARNING ACADEMY,LITTLE SMILES LEARNING ACADEMY
2995.request_date,200/08/12 03:59:59+00,2020/08/12 03:59:59+00
709.object_id,11.0,709
861.reqid,695277.0,696280
284.object_id,3.0,284
51.object_id,19.0,51
609.object_id,27.0,609
625.object_id,5.0,625
153.object_id,17.0,153
747.object_id,34.0,747
167.object_id,15.0,167
36.reqid,698385.0,697158
767.object_id,6.0,767
3942.zip,40242.0,40218.0
84.object_id,20.0,84
887.object_id,58.0,887
372.reqid,695464.0,696157
2802.request_date,2020/11/13 05:00:00z+00,2020/11/13 05:00:00+00
750.object_id,1.0,750
322.object_id,5.0,322
431.object_id,15.0,431
1709.request_date,2020/0/07 03:59:59+00,2020/05/07 03:59:59+00
1059.object_id,11.0,1059
215.object_id,4.0,215
641.reqid,695201.0,701830
812.reqid,695544.0,696543
1630.address_one,3622 MALLRD,3622 MALL RD
1049.object_id,34.0,1049
396.object_id,11.0,396
306.object_id,15.0,306
382.object_id,7.0,382
407.object_id,2.0,407
908.object_id,1.0,908
3528.request_date,2020/09/21 0359:59+00,2020/09/21 03:59:59+00
778.object_id,27.0,778
4677.zip,40326.0,40299.0
636.object_id,4.0,636
549.object_id,3.0,549
989.object_id,6.0,989
